frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.85,-9.22,-2.85,-9.22,6.00,5.80,2.49,3.15,3.15,6.37
20.20,-2.67,-9.04,-2.67,-9.04,6.00,5.96,2.56,3.33,3.33,6.37
20.40,-2.49,-8.86,-2.49,-8.86,6.00,6.12,2.64,3.51,3.51,6.37
20.61,-2.32,-8.68,-2.32,-8.68,6.00,6.17,2.71,3.68,3.68,6.36
20.81,-2.16,-8.52,-2.16,-8.51,6.00,6.22,2.79,3.84,3.84,6.36
21.02,-2.00,-8.36,-2.00,-8.35,6.00,6.18,2.87,4.00,4.00,6.35
21.23,-1.85,-8.20,-1.86,-8.20,6.00,6.14,2.96,4.15,4.14,6.35
21.44,-1.72,-8.06,-1.72,-8.06,6.00,6.07,3.04,4.28,4.28,6.34
21.66,-1.59,-7.92,-1.59,-7.92,6.00,5.99,3.13,4.41,4.41,6.33
21.87,-1.47,-7.79,-1.47,-7.79,6.00,5.94,3.22,4.53,4.53,6.33
22.09,-1.36,-7.67,-1.36,-7.67,6.00,5.88,3.31,4.64,4.64,6.32
22.31,-1.25,-7.56,-1.25,-7.56,6.00,5.85,3.41,4.75,4.75,6.31
22.54,-1.15,-7.46,-1.15,-7.46,6.00,5.83,3.51,4.85,4.85,6.30
22.76,-1.06,-7.36,-1.07,-7.36,6.00,5.83,3.61,4.94,4.93,6.29
22.99,-0.98,-7.27,-0.98,-7.27,6.00,5.84,3.71,5.02,5.02,6.29
23.22,-0.91,-7.18,-0.91,-7.18,6.00,5.87,3.82,5.09,5.09,6.28
23.45,-0.84,-7.10,-0.84,-7.10,6.00,5.89,3.92,5.16,5.16,6.27
23.69,-0.77,-7.03,-0.77,-7.03,6.00,5.93,4.03,5.23,5.23,6.26
23.92,-0.71,-6.96,-0.71,-6.96,6.00,5.97,4.14,5.29,5.29,6.25
24.16,-0.65,-6.89,-0.65,-6.89,6.00,6.02,4.26,5.35,5.35,6.24
24.40,-0.60,-6.83,-0.60,-6.83,6.00,6.06,4.37,5.40,5.40,6.23
24.65,-0.55,-6.77,-0.55,-6.77,6.00,6.09,4.49,5.45,5.45,6.22
24.89,-0.50,-6.71,-0.50,-6.71,6.00,6.13,4.61,5.50,5.50,6.21
25.14,-0.45,-6.66,-0.45,-6.66,6.00,6.15,4.73,5.55,5.55,6.21
25.39,-0.41,-6.60,-0.41,-6.60,6.00,6.18,4.85,5.59,5.59,6.20
25.65,-0.36,-6.55,-0.36,-6.55,6.00,6.18,4.98,5.64,5.64,6.19
25.91,-0.32,-6.50,-0.32,-6.50,6.00,6.19,5.10,5.68,5.68,6.18
26.16,-0.27,-6.44,-0.27,-6.44,6.00,6.18,5.22,5.73,5.73,6.17
26.43,-0.23,-6.39,-0.23,-6.39,6.00,6.16,5.34,5.77,5.77,6.16
26.69,-0.18,-6.33,-0.18,-6.33,6.00,6.14,5.46,5.82,5.82,6.15
26.96,-0.14,-6.28,-0.14,-6.28,6.01,6.10,5.58,5.87,5.87,6.14
27.23,-0.09,-6.22,-0.09,-6.22,6.01,6.06,5.69,5.92,5.92,6.13
27.50,-0.04,-6.17,-0.04,-6.17,6.01,6.02,5.81,5.97,5.97,6.12
27.77,0.00,-6.11,0.00,-6.11,6.00,5.97,5.91,6.00,6.00,6.12
28.05,0.05,-6.05,0.05,-6.05,5.98,5.91,6.02,6.04,6.04,6.11
28.33,0.10,-5.99,0.10,-5.99,5.96,5.86,6.12,6.06,6.06,6.10
28.62,0.15,-5.93,0.15,-5.93,5.92,5.80,6.21,6.07,6.07,6.09
28.90,0.21,-5.87,0.21,-5.87,5.87,5.74,6.29,6.08,6.08,6.08
29.19,0.26,-5.81,0.26,-5.81,5.82,5.68,6.37,6.08,6.08,6.07
29.48,0.31,-5.75,0.31,-5.75,5.76,5.62,6.44,6.07,6.07,6.06
29.78,0.37,-5.69,0.37,-5.69,5.70,5.56,6.51,6.06,6.06,6.05
30.08,0.42,-5.62,0.42,-5.62,5.63,5.50,6.55,6.05,6.05,6.04
30.38,0.47,-5.56,0.47,-5.56,5.56,5.45,6.60,6.03,6.03,6.03
30.68,0.53,-5.50,0.53,-5.50,5.50,5.39,6.62,6.03,6.03,6.03
30.99,0.58,-5.44,0.58,-5.44,5.44,5.34,6.65,6.02,6.02,6.02
31.30,0.63,-5.37,0.63,-5.37,5.37,5.29,6.65,6.01,6.01,6.01
31.61,0.69,-5.31,0.69,-5.31,5.31,5.23,6.65,6.00,6.00,6.00
31.93,0.74,-5.25,0.74,-5.25,5.25,5.18,6.64,5.99,5.99,5.99
32.24,0.79,-5.19,0.79,-5.19,5.19,5.14,6.62,5.98,5.98,5.98
32.57,0.84,-5.14,0.83,-5.14,5.14,5.09,6.58,5.97,5.97,5.97
32.89,0.88,-5.08,0.88,-5.08,5.08,5.04,6.54,5.96,5.96,5.96
33.22,0.93,-5.02,0.93,-5.02,5.02,4.99,6.48,5.95,5.95,5.95
33.55,0.97,-4.97,0.97,-4.97,4.97,4.95,6.42,5.94,5.94,5.94
33.89,1.02,-4.92,1.02,-4.92,4.92,4.90,6.35,5.93,5.93,5.93
34.23,1.06,-4.87,1.06,-4.86,4.87,4.86,6.27,5.93,5.93,5.93
34.57,1.10,-4.81,1.10,-4.81,4.81,4.82,6.19,5.92,5.92,5.92
34.92,1.14,-4.76,1.14,-4.76,4.76,4.77,6.10,5.91,5.91,5.91
35.27,1.19,-4.71,1.19,-4.71,4.71,4.73,6.00,5.90,5.90,5.90
35.62,1.23,-4.66,1.23,-4.66,4.66,4.69,5.90,5.89,5.89,5.89
35.97,1.27,-4.61,1.27,-4.61,4.61,4.65,5.80,5.88,5.88,5.88
36.33,1.31,-4.56,1.31,-4.56,4.56,4.60,5.69,5.87,5.87,5.87
36.70,1.35,-4.51,1.35,-4.51,4.51,4.56,5.59,5.86,5.86,5.86
37.06,1.39,-4.46,1.39,-4.46,4.46,4.52,5.48,5.85,5.85,5.85
37.43,1.43,-4.41,1.43,-4.41,4.41,4.48,5.37,5.84,5.84,5.84
37.81,1.48,-4.36,1.48,-4.36,4.36,4.43,5.26,5.83,5.83,5.83
38.19,1.52,-4.31,1.52,-4.31,4.31,4.39,5.14,5.83,5.83,5.83
38.57,1.56,-4.26,1.56,-4.26,4.26,4.35,5.04,5.82,5.82,5.82
38.95,1.60,-4.20,1.60,-4.20,4.20,4.30,4.93,5.81,5.81,5.81
39.34,1.65,-4.15,1.65,-4.15,4.15,4.26,4.82,5.80,5.80,5.80
39.74,1.69,-4.10,1.69,-4.10,4.10,4.22,4.71,5.79,5.79,5.79
40.14,1.73,-4.05,1.73,-4.05,4.05,4.17,4.61,5.78,5.78,5.78
40.54,1.77,-4.00,1.77,-4.00,4.00,4.13,4.51,5.77,5.77,5.77
40.94,1.81,-3.95,1.81,-3.95,3.95,4.08,4.41,5.76,5.76,5.76
41.35,1.85,-3.90,1.85,-3.90,3.90,4.04,4.31,5.75,5.75,5.75
41.76,1.89,-3.86,1.89,-3.86,3.86,3.99,4.21,5.74,5.74,5.74
42.18,1.92,-3.81,1.92,-3.81,3.81,3.95,4.12,5.74,5.74,5.74
42.60,1.96,-3.77,1.96,-3.77,3.77,3.90,4.03,5.73,5.73,5.73
43.03,1.99,-3.72,1.99,-3.72,3.72,3.86,3.94,5.72,5.72,5.72
43.46,2.02,-3.68,2.02,-3.68,3.68,3.81,3.86,5.71,5.71,5.71
43.90,2.05,-3.65,2.05,-3.65,3.65,3.77,3.78,5.70,5.70,5.70
44.33,2.08,-3.61,2.08,-3.61,3.61,3.72,3.70,5.69,5.69,5.69
44.78,2.11,-3.57,2.11,-3.57,3.57,3.68,3.62,5.68,5.68,5.68
45.23,2.13,-3.54,2.13,-3.54,3.54,3.63,3.55,5.67,5.67,5.67
45.68,2.16,-3.51,2.16,-3.51,3.51,3.58,3.48,5.66,5.66,5.66
46.13,2.18,-3.48,2.18,-3.48,3.48,3.54,3.41,5.65,5.65,5.65
46.60,2.20,-3.45,2.20,-3.45,3.45,3.49,3.35,5.64,5.64,5.64
47.06,2.22,-3.42,2.22,-3.42,3.42,3.45,3.28,5.64,5.64,5.64
47.53,2.24,-3.39,2.24,-3.39,3.39,3.40,3.22,5.63,5.63,5.63
48.01,2.26,-3.36,2.26,-3.36,3.36,3.36,3.17,5.62,5.62,5.62
48.49,2.27,-3.34,2.27,-3.34,3.34,3.31,3.11,5.61,5.61,5.61
48.97,2.29,-3.31,2.29,-3.31,3.31,3.27,3.06,5.60,5.60,5.60
49.46,2.31,-3.28,2.31,-3.28,3.28,3.22,3.01,5.59,5.59,5.59
49.96,2.32,-3.26,2.32,-3.26,3.26,3.18,2.96,5.58,5.58,5.58
50.46,2.34,-3.23,2.34,-3.23,3.23,3.13,2.91,5.57,5.57,5.57
50.96,2.36,-3.21,2.36,-3.21,3.21,3.09,2.87,5.56,5.56,5.56
51.47,2.38,-3.18,2.38,-3.18,3.18,3.04,2.83,5.55,5.55,5.55
51.99,2.39,-3.15,2.39,-3.15,3.15,3.00,2.79,5.54,5.54,5.54
52.51,2.41,-3.12,2.41,-3.12,3.12,2.95,2.75,5.53,5.53,5.53
53.03,2.43,-3.09,2.43,-3.09,3.09,2.91,2.71,5.53,5.53,5.53
53.56,2.46,-3.06,2.46,-3.06,3.06,2.87,2.68,5.52,5.52,5.52
54.10,2.48,-3.03,2.48,-3.03,3.02,2.82,2.64,5.51,5.51,5.51
54.64,2.51,-2.99,2.51,-2.99,2.99,2.78,2.61,5.50,5.50,5.50
55.18,2.53,-2.95,2.53,-2.95,2.95,2.74,2.58,5.49,5.49,5.49
55.74,2.56,-2.92,2.56,-2.92,2.91,2.70,2.55,5.48,5.48,5.48
56.29,2.59,-2.88,2.59,-2.88,2.88,2.66,2.51,5.47,5.47,5.47
56.86,2.62,-2.83,2.62,-2.83,2.83,2.62,2.48,5.46,5.46,5.46
57.42,2.65,-2.79,2.65,-2.79,2.79,2.58,2.45,5.45,5.45,5.45
58.00,2.69,-2.75,2.69,-2.75,2.75,2.54,2.42,5.44,5.44,5.44
58.58,2.72,-2.70,2.72,-2.70,2.70,2.50,2.40,5.43,5.43,5.42
59.16,2.76,-2.66,2.76,-2.66,2.66,2.46,2.37,5.41,5.41,5.41
59.76,2.79,-2.61,2.79,-2.61,2.61,2.42,2.34,5.40,5.40,5.40
60.35,2.82,-2.57,2.82,-2.57,2.57,2.38,2.31,5.39,5.39,5.39
60.96,2.86,-2.52,2.86,-2.52,2.52,2.34,2.28,5.38,5.38,5.38
61.57,2.89,-2.48,2.89,-2.48,2.48,2.30,2.25,5.37,5.37,5.37
62.18,2.92,-2.43,2.92,-2.43,2.43,2.27,2.22,5.36,5.36,5.35
62.80,2.96,-2.39,2.96,-2.39,2.39,2.23,2.19,5.34,5.34,5.34
63.43,2.99,-2.34,2.99,-2.34,2.34,2.19,2.15,5.33,5.33,5.33
64.07,3.02,-2.30,3.02,-2.30,2.30,2.16,2.12,5.32,5.32,5.32
64.71,3.05,-2.26,3.05,-2.26,2.26,2.12,2.09,5.30,5.30,5.30
65.35,3.08,-2.21,3.08,-2.21,2.21,2.09,2.06,5.29,5.29,5.29
66.01,3.10,-2.17,3.10,-2.17,2.17,2.05,2.02,5.28,5.28,5.28
66.67,3.13,-2.13,3.13,-2.13,2.13,2.02,1.99,5.26,5.26,5.26
67.33,3.16,-2.09,3.16,-2.09,2.09,1.99,1.96,5.25,5.25,5.25
68.01,3.19,-2.05,3.19,-2.05,2.05,1.96,1.92,5.24,5.24,5.24
68.69,3.21,-2.01,3.21,-2.01,2.01,1.92,1.89,5.22,5.22,5.22
69.37,3.24,-1.97,3.24,-1.97,1.97,1.89,1.85,5.21,5.21,5.21
70.07,3.26,-1.93,3.26,-1.93,1.93,1.86,1.82,5.19,5.19,5.19
70.77,3.29,-1.89,3.29,-1.89,1.89,1.83,1.78,5.18,5.18,5.18
71.48,3.32,-1.85,3.32,-1.85,1.85,1.80,1.75,5.17,5.17,5.17
72.19,3.34,-1.81,3.34,-1.81,1.81,1.77,1.71,5.15,5.15,5.15
72.91,3.37,-1.77,3.37,-1.77,1.77,1.74,1.68,5.14,5.14,5.14
73.64,3.40,-1.73,3.40,-1.73,1.73,1.71,1.65,5.12,5.12,5.12
74.38,3.42,-1.69,3.42,-1.69,1.69,1.68,1.61,5.11,5.11,5.11
75.12,3.45,-1.65,3.45,-1.65,1.65,1.65,1.58,5.10,5.10,5.10
75.87,3.48,-1.60,3.48,-1.60,1.60,1.63,1.54,5.08,5.08,5.08
76.63,3.51,-1.56,3.51,-1.56,1.56,1.60,1.51,5.07,5.07,5.07
77.40,3.54,-1.52,3.54,-1.52,1.52,1.57,1.48,5.05,5.05,5.05
78.17,3.57,-1.47,3.57,-1.47,1.47,1.55,1.45,5.04,5.04,5.04
78.95,3.59,-1.43,3.59,-1.43,1.43,1.52,1.42,5.02,5.02,5.03
79.74,3.62,-1.39,3.62,-1.39,1.39,1.50,1.39,5.01,5.01,5.01
80.54,3.65,-1.34,3.65,-1.34,1.34,1.47,1.36,5.00,5.00,5.00
81.35,3.68,-1.30,3.68,-1.30,1.30,1.45,1.33,4.98,4.98,4.98
82.16,3.71,-1.25,3.71,-1.25,1.25,1.42,1.30,4.97,4.97,4.97
82.98,3.74,-1.21,3.74,-1.21,1.21,1.40,1.27,4.95,4.95,4.95
83.81,3.77,-1.17,3.77,-1.17,1.17,1.38,1.24,4.94,4.94,4.94
84.65,3.80,-1.13,3.80,-1.13,1.13,1.35,1.22,4.93,4.93,4.93
85.50,3.82,-1.09,3.82,-1.09,1.09,1.33,1.19,4.91,4.91,4.91
