frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.12,-2.52,7.12,-2.51,2.57,-0.24,0.39,9.70,9.70,9.64
20.20,7.14,-2.50,7.14,-2.50,2.51,-0.25,0.40,9.65,9.65,9.64
20.40,7.16,-2.48,7.16,-2.48,2.45,-0.25,0.41,9.61,9.61,9.64
20.61,7.20,-2.44,7.20,-2.43,2.39,-0.26,0.43,9.59,9.59,9.64
20.81,7.26,-2.37,7.26,-2.37,2.33,-0.26,0.44,9.59,9.59,9.63
21.02,7.33,-2.30,7.33,-2.30,2.27,-0.27,0.46,9.60,9.60,9.63
21.23,7.41,-2.21,7.41,-2.22,2.21,-0.27,0.47,9.62,9.62,9.63
21.44,7.49,-2.14,7.49,-2.14,2.15,-0.28,0.49,9.64,9.64,9.63
21.66,7.56,-2.07,7.56,-2.07,2.09,-0.28,0.51,9.64,9.64,9.62
21.87,7.62,-2.00,7.62,-2.01,2.02,-0.29,0.52,9.64,9.64,9.62
22.09,7.66,-1.95,7.66,-1.95,1.97,-0.30,0.54,9.63,9.63,9.62
22.31,7.70,-1.91,7.70,-1.91,1.92,-0.30,0.56,9.62,9.62,9.61
22.54,7.73,-1.88,7.73,-1.88,1.87,-0.31,0.58,9.60,9.60,9.61
22.76,7.77,-1.84,7.77,-1.84,1.83,-0.31,0.60,9.59,9.59,9.60
22.99,7.80,-1.79,7.80,-1.79,1.78,-0.32,0.62,9.59,9.59,9.60
23.22,7.84,-1.75,7.85,-1.75,1.74,-0.33,0.64,9.59,9.59,9.59
23.45,7.89,-1.70,7.89,-1.70,1.70,-0.33,0.66,9.58,9.58,9.58
23.69,7.93,-1.65,7.93,-1.65,1.65,-0.34,0.68,9.58,9.58,9.58
23.92,7.97,-1.60,7.97,-1.60,1.60,-0.34,0.70,9.57,9.57,9.57
24.16,8.00,-1.55,8.00,-1.55,1.55,-0.35,0.72,9.55,9.55,9.55
24.40,8.03,-1.51,8.03,-1.51,1.51,-0.36,0.74,9.53,9.53,9.53
24.65,8.05,-1.46,8.05,-1.46,1.46,-0.36,0.76,9.50,9.50,9.51
24.89,8.07,-1.42,8.07,-1.42,1.41,-0.37,0.78,9.48,9.48,9.48
25.14,8.08,-1.37,8.08,-1.37,1.37,-0.38,0.81,9.45,9.45,9.45
25.39,8.10,-1.33,8.10,-1.33,1.33,-0.39,0.83,9.43,9.43,9.42
25.65,8.12,-1.29,8.12,-1.29,1.30,-0.39,0.85,9.41,9.41,9.40
25.91,8.13,-1.25,8.13,-1.26,1.27,-0.40,0.87,9.40,9.40,9.39
26.16,8.15,-1.23,8.15,-1.23,1.25,-0.41,0.89,9.40,9.40,9.38
26.43,8.16,-1.22,8.16,-1.22,1.23,-0.42,0.91,9.39,9.39,9.38
26.69,8.18,-1.21,8.18,-1.21,1.21,-0.43,0.93,9.39,9.39,9.39
26.96,8.19,-1.20,8.19,-1.20,1.19,-0.43,0.95,9.38,9.38,9.39
27.23,8.20,-1.19,8.20,-1.19,1.17,-0.44,0.96,9.37,9.37,9.39
27.50,8.21,-1.16,8.21,-1.16,1.14,-0.45,0.98,9.35,9.35,9.37
27.77,8.22,-1.12,8.22,-1.12,1.11,-0.46,0.99,9.33,9.33,9.34
28.05,8.24,-1.07,8.24,-1.07,1.06,-0.47,1.01,9.30,9.30,9.31
