frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.82,-6.20,4.82,-6.20,6.04,-0.02,2.09,10.86,10.86,11.02
20.20,4.85,-6.17,4.85,-6.17,6.02,-0.02,2.15,10.87,10.87,11.02
20.40,4.88,-6.14,4.88,-6.14,6.00,-0.02,2.22,10.88,10.88,11.02
20.61,4.92,-6.09,4.93,-6.09,5.98,-0.02,2.28,10.90,10.90,11.02
20.81,4.97,-6.04,4.97,-6.04,5.95,-0.02,2.35,10.93,10.93,11.02
21.02,5.03,-5.99,5.03,-5.99,5.93,-0.02,2.42,10.96,10.96,11.01
21.23,5.08,-5.93,5.08,-5.93,5.90,-0.02,2.49,10.98,10.98,11.01
21.44,5.14,-5.87,5.14,-5.87,5.87,-0.02,2.56,11.01,11.01,11.01
21.66,5.19,-5.81,5.19,-5.81,5.82,-0.03,2.64,11.02,11.02,11.01
21.87,5.24,-5.76,5.24,-5.77,5.78,-0.03,2.72,11.02,11.02,11.00
22.09,5.28,-5.72,5.28,-5.72,5.74,-0.03,2.80,11.01,11.02,11.00
22.31,5.31,-5.69,5.31,-5.69,5.71,-0.03,2.88,11.01,11.01,11.00
22.54,5.32,-5.67,5.32,-5.67,5.68,-0.03,2.96,11.01,11.01,10.99
22.76,5.33,-5.65,5.33,-5.66,5.67,-0.03,3.05,11.00,11.00,10.99
22.99,5.32,-5.66,5.32,-5.66,5.67,-0.03,3.14,10.99,10.99,10.98
23.22,5.31,-5.66,5.31,-5.66,5.66,-0.03,3.23,10.98,10.98,10.97
23.45,5.30,-5.67,5.30,-5.67,5.66,-0.03,3.32,10.96,10.96,10.97
23.69,5.30,-5.66,5.30,-5.66,5.66,-0.03,3.42,10.95,10.95,10.96
23.92,5.30,-5.65,5.30,-5.65,5.64,-0.03,3.51,10.94,10.94,10.95
24.16,5.31,-5.63,5.31,-5.63,5.61,-0.03,3.61,10.92,10.92,10.94
24.40,5.33,-5.59,5.33,-5.59,5.57,-0.03,3.71,10.90,10.90,10.92
24.65,5.36,-5.53,5.36,-5.53,5.51,-0.03,3.81,10.87,10.87,10.89
24.89,5.40,-5.46,5.41,-5.46,5.45,-0.03,3.91,10.85,10.85,10.87
25.14,5.46,-5.38,5.46,-5.38,5.38,-0.03,4.02,10.84,10.84,10.84
25.39,5.52,-5.29,5.52,-5.29,5.30,-0.04,4.12,10.82,10.82,10.81
25.65,5.57,-5.21,5.57,-5.21,5.23,-0.04,4.22,10.81,10.81,10.79
25.91,5.63,-5.14,5.63,-5.14,5.17,-0.04,4.33,10.79,10.79,10.77
26.16,5.67,-5.09,5.67,-5.09,5.11,-0.04,4.43,10.78,10.78,10.76
26.43,5.72,-5.05,5.72,-5.05,5.05,-0.04,4.53,10.77,10.77,10.77
26.69,5.76,-5.01,5.76,-5.01,5.01,-0.04,4.63,10.77,10.77,10.77
26.96,5.80,-4.97,5.80,-4.97,4.96,-0.04,4.73,10.77,10.77,10.77
27.23,5.84,-4.93,5.83,-4.93,4.93,-0.04,4.83,10.76,10.76,10.77
27.50,5.86,-4.89,5.86,-4.89,4.89,-0.04,4.92,10.75,10.75,10.75
27.77,5.87,-4.85,5.87,-4.85,4.85,-0.04,5.01,10.72,10.72,10.72
28.05,5.88,-4.81,5.88,-4.81,4.81,-0.04,5.10,10.69,10.69,10.69
28.33,5.88,-4.77,5.88,-4.77,4.78,-0.04,5.18,10.66,10.66,10.65
28.62,5.88,-4.73,5.88,-4.73,4.74,-0.05,5.26,10.62,10.62,10.61
28.90,5.89,-4.69,5.89,-4.69,4.70,-0.05,5.32,10.58,10.58,10.58
29.19,5.89,-4.65,5.89,-4.65,4.65,-0.05,5.39,10.54,10.54,10.54
29.48,5.90,-4.61,5.90,-4.61,4.60,-0.05,5.44,10.50,10.50,10.51
29.78,5.92,-4.56,5.92,-4.56,4.54,-0.05,5.49,10.46,10.46,10.48
30.08,5.94,-4.50,5.95,-4.50,4.48,-0.05,5.53,10.42,10.43,10.45
30.38,5.99,-4.42,5.99,-4.42,4.41,-0.05,5.56,10.40,10.40,10.41
30.68,6.04,-4.34,6.03,-4.34,4.34,-0.05,5.58,10.38,10.38,10.37
30.99,6.09,-4.26,6.09,-4.26,4.27,-0.05,5.59,10.36,10.36,10.34
31.30,6.13,-4.18,6.13,-4.18,4.20,-0.05,5.59,10.34,10.34,10.32
31.61,6.18,-4.12,6.18,-4.12,4.14,-0.06,5.58,10.32,10.32,10.30
31.93,6.22,-4.07,6.22,-4.07,4.07,-0.06,5.56,10.29,10.29,10.29
32.24,6.25,-4.02,6.25,-4.02,4.01,-0.06,5.53,10.27,10.27,10.27
32.57,6.28,-3.97,6.28,-3.97,3.96,-0.06,5.49,10.24,10.24,10.25
32.89,6.32,-3.91,6.32,-3.91,3.90,-0.06,5.45,10.21,10.21,10.23
33.22,6.34,-3.85,6.34,-3.85,3.84,-0.06,5.39,10.18,10.18,10.19
33.55,6.36,-3.79,6.36,-3.79,3.78,-0.06,5.33,10.15,10.15,10.15
33.89,6.38,-3.72,6.38,-3.72,3.72,-0.06,5.26,10.10,10.10,10.10
34.23,6.39,-3.66,6.40,-3.66,3.66,-0.07,5.18,10.06,10.06,10.06
34.57,6.41,-3.61,6.41,-3.61,3.61,-0.07,5.10,10.02,10.02,10.02
34.92,6.43,-3.55,6.43,-3.55,3.56,-0.07,5.01,9.99,9.99,9.98
35.27,6.44,-3.51,6.44,-3.51,3.51,-0.07,4.91,9.96,9.96,9.95
35.62,6.45,-3.47,6.45,-3.47,3.48,-0.07,4.82,9.93,9.93,9.92
35.97,6.45,-3.44,6.45,-3.44,3.45,-0.07,4.72,9.90,9.90,9.89
36.33,6.43,-3.42,6.43,-3.42,3.43,-0.08,4.61,9.86,9.86,9.85
36.70,6.41,-3.41,6.41,-3.41,3.41,-0.08,4.51,9.82,9.82,9.82
37.06,6.38,-3.40,6.38,-3.40,3.40,-0.08,4.40,9.78,9.78,9.78
37.43,6.35,-3.39,6.35,-3.39,3.38,-0.08,4.29,9.74,9.74,9.74
37.81,6.33,-3.38,6.33,-3.38,3.37,-0.08,4.18,9.70,9.69,9.71
38.19,6.31,-3.36,6.31,-3.36,3.34,-0.08,4.07,9.65,9.65,9.67
38.57,6.30,-3.33,6.30,-3.33,3.32,-0.09,3.96,9.61,9.62,9.63
38.95,6.29,-3.29,6.29,-3.29,3.29,-0.09,3.85,9.58,9.58,9.58
39.34,6.29,-3.24,6.29,-3.25,3.26,-0.09,3.74,9.54,9.54,9.53
39.74,6.29,-3.20,6.29,-3.20,3.22,-0.09,3.63,9.51,9.51,9.49
40.14,6.29,-3.16,6.29,-3.16,3.18,-0.09,3.52,9.47,9.47,9.44
40.54,6.29,-3.12,6.29,-3.12,3.13,-0.10,3.42,9.42,9.42,9.41
40.94,6.30,-3.08,6.29,-3.08,3.08,-0.10,3.31,9.37,9.37,9.38
41.35,6.31,-3.03,6.31,-3.03,3.01,-0.10,3.21,9.32,9.32,9.34
41.76,6.33,-2.97,6.34,-2.97,2.92,-0.10,3.11,9.26,9.26,9.31
42.18,6.38,-2.87,6.38,-2.87,2.83,-0.11,3.01,9.21,9.21,9.25
42.60,6.44,-2.76,6.44,-2.76,2.73,-0.11,2.91,9.17,9.17,9.20
43.03,6.51,-2.63,6.51,-2.63,2.63,-0.11,2.81,9.13,9.14,9.14
