frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,14.06,3.13,14.06,3.13,-3.13,-3.02,-1.54,10.93,10.93,10.92
20.20,14.05,3.13,14.05,3.13,-3.13,-3.11,-1.58,10.92,10.92,10.92
20.40,14.05,3.13,14.05,3.13,-3.13,-3.20,-1.63,10.92,10.92,10.92
20.61,14.05,3.13,14.05,3.13,-3.14,-3.25,-1.68,10.92,10.92,10.92
20.81,14.05,3.13,14.05,3.13,-3.14,-3.29,-1.72,10.92,10.91,10.92
21.02,14.05,3.14,14.05,3.14,-3.14,-3.28,-1.77,10.91,10.92,10.92
21.23,14.05,3.14,14.05,3.14,-3.14,-3.28,-1.82,10.92,10.92,10.91
21.44,14.05,3.14,14.05,3.14,-3.14,-3.24,-1.88,10.91,10.91,10.91
21.66,14.05,3.14,14.05,3.14,-3.14,-3.20,-1.93,10.91,10.91,10.91
21.87,14.04,3.14,14.04,3.14,-3.14,-3.15,-1.99,10.91,10.91,10.91
22.09,14.04,3.13,14.04,3.13,-3.13,-3.11,-2.04,10.90,10.90,10.90
22.31,14.03,3.13,14.03,3.13,-3.13,-3.08,-2.10,10.90,10.90,10.90
22.54,14.02,3.12,14.02,3.12,-3.12,-3.04,-2.16,10.89,10.89,10.89
22.76,14.01,3.12,14.01,3.12,-3.12,-3.02,-2.22,10.89,10.89,10.89
22.99,14.00,3.12,14.00,3.12,-3.12,-3.00,-2.29,10.88,10.88,10.88
23.22,13.99,3.12,13.99,3.12,-3.12,-3.00,-2.35,10.88,10.88,10.88
23.45,13.99,3.12,13.99,3.12,-3.12,-2.99,-2.42,10.87,10.87,10.87
23.69,13.99,3.12,13.99,3.12,-3.12,-2.99,-2.48,10.86,10.86,10.86
23.92,13.98,3.13,13.98,3.13,-3.13,-2.99,-2.55,10.85,10.85,10.85
24.16,13.98,3.14,13.98,3.14,-3.14,-3.00,-2.62,10.83,10.83,10.84
24.40,13.97,3.15,13.97,3.15,-3.16,-3.01,-2.69,10.81,10.81,10.82
24.65,13.96,3.17,13.96,3.17,-3.17,-3.02,-2.77,10.79,10.79,10.80
24.89,13.95,3.18,13.95,3.19,-3.19,-3.04,-2.84,10.76,10.76,10.77
25.14,13.94,3.20,13.94,3.20,-3.20,-3.05,-2.91,10.74,10.74,10.74
25.39,13.93,3.22,13.93,3.22,-3.22,-3.07,-2.99,10.72,10.72,10.71
25.65,13.92,3.23,13.92,3.23,-3.22,-3.09,-3.06,10.70,10.70,10.69
25.91,13.91,3.24,13.91,3.24,-3.23,-3.11,-3.13,10.69,10.69,10.67
26.16,13.91,3.24,13.91,3.24,-3.23,-3.13,-3.21,10.68,10.68,10.67
26.43,13.90,3.23,13.90,3.23,-3.22,-3.15,-3.28,10.68,10.68,10.67
26.69,13.89,3.22,13.89,3.22,-3.22,-3.17,-3.36,10.67,10.67,10.67
26.96,13.88,3.21,13.88,3.21,-3.21,-3.19,-3.43,10.67,10.67,10.68
27.23,13.87,3.20,13.87,3.20,-3.21,-3.21,-3.50,10.66,10.66,10.67
27.50,13.86,3.20,13.86,3.21,-3.22,-3.23,-3.57,10.64,10.64,10.65
27.77,13.85,3.22,13.85,3.22,-3.23,-3.26,-3.64,10.62,10.62,10.63
28.05,13.83,3.24,13.83,3.24,-3.24,-3.28,-3.71,10.59,10.59,10.59
28.33,13.82,3.27,13.82,3.27,-3.26,-3.30,-3.77,10.56,10.56,10.55
28.62,13.81,3.29,13.81,3.29,-3.29,-3.32,-3.83,10.52,10.52,10.51
28.90,13.79,3.32,13.79,3.32,-3.31,-3.34,-3.89,10.48,10.48,10.48
29.19,13.78,3.34,13.78,3.34,-3.34,-3.36,-3.94,10.45,10.45,10.44
29.48,13.78,3.36,13.77,3.36,-3.36,-3.38,-3.99,10.41,10.41,10.41
29.78,13.76,3.38,13.76,3.38,-3.39,-3.40,-4.04,10.38,10.38,10.38
30.08,13.75,3.41,13.75,3.41,-3.41,-3.42,-4.08,10.34,10.34,10.35
30.38,13.74,3.43,13.74,3.43,-3.43,-3.44,-4.12,10.31,10.31,10.31
30.68,13.73,3.45,13.73,3.45,-3.45,-3.46,-4.15,10.28,10.28,10.27
30.99,13.72,3.47,13.72,3.47,-3.46,-3.48,-4.18,10.26,10.26,10.24
31.30,13.70,3.48,13.70,3.48,-3.47,-3.50,-4.20,10.23,10.23,10.22
31.61,13.69,3.49,13.69,3.48,-3.48,-3.51,-4.22,10.21,10.21,10.20
31.93,13.67,3.48,13.67,3.48,-3.49,-3.53,-4.23,10.19,10.19,10.19
32.24,13.66,3.49,13.66,3.49,-3.49,-3.55,-4.25,10.17,10.17,10.17
32.57,13.64,3.49,13.64,3.49,-3.50,-3.57,-4.25,10.14,10.14,10.16
32.89,13.63,3.50,13.63,3.50,-3.51,-3.58,-4.25,10.11,10.11,10.13
33.22,13.61,3.52,13.61,3.52,-3.53,-3.60,-4.25,10.08,10.08,10.09
33.55,13.59,3.54,13.59,3.54,-3.55,-3.62,-4.24,10.05,10.05,10.05
33.89,13.58,3.57,13.58,3.57,-3.56,-3.63,-4.23,10.01,10.01,10.01
34.23,13.56,3.59,13.56,3.59,-3.58,-3.65,-4.22,9.97,9.97,9.96
34.57,13.54,3.62,13.53,3.61,-3.60,-3.67,-4.20,9.93,9.93,9.92
34.92,13.51,3.63,13.51,3.63,-3.62,-3.68,-4.18,9.89,9.89,9.88
35.27,13.49,3.64,13.49,3.64,-3.64,-3.70,-4.16,9.85,9.85,9.85
35.62,13.47,3.65,13.47,3.65,-3.65,-3.72,-4.14,9.82,9.82,9.82
35.97,13.45,3.66,13.45,3.67,-3.67,-3.73,-4.12,9.79,9.79,9.79
36.33,13.44,3.68,13.44,3.68,-3.68,-3.75,-4.09,9.75,9.75,9.75
36.70,13.42,3.70,13.42,3.70,-3.70,-3.77,-4.07,9.72,9.72,9.72
37.06,13.40,3.72,13.40,3.72,-3.72,-3.78,-4.04,9.68,9.68,9.68
37.43,13.39,3.74,13.39,3.74,-3.75,-3.80,-4.02,9.64,9.64,9.65
37.81,13.38,3.77,13.38,3.77,-3.77,-3.82,-4.00,9.60,9.60,9.61
38.19,13.37,3.79,13.37,3.80,-3.80,-3.83,-3.97,9.56,9.56,9.57
38.57,13.36,3.83,13.36,3.83,-3.84,-3.85,-3.95,9.52,9.52,9.53
38.95,13.35,3.87,13.35,3.87,-3.87,-3.87,-3.93,9.48,9.48,9.48
39.34,13.34,3.91,13.34,3.91,-3.90,-3.88,-3.91,9.44,9.44,9.43
39.74,13.33,3.94,13.33,3.94,-3.92,-3.90,-3.90,9.40,9.40,9.39
40.14,13.31,3.96,13.31,3.96,-3.95,-3.92,-3.88,9.36,9.36,9.35
40.54,13.29,3.98,13.29,3.98,-3.97,-3.94,-3.87,9.32,9.32,9.31
40.94,13.27,3.99,13.27,3.99,-3.99,-3.95,-3.86,9.28,9.28,9.28
41.35,13.25,4.01,13.25,4.01,-4.02,-3.97,-3.85,9.23,9.23,9.25
41.76,13.23,4.02,13.23,4.03,-4.05,-3.99,-3.84,9.18,9.18,9.21
42.18,13.22,4.06,13.22,4.06,-4.08,-4.01,-3.84,9.13,9.13,9.16
42.60,13.20,4.10,13.20,4.10,-4.12,-4.03,-3.84,9.08,9.08,9.10
43.03,13.19,4.16,13.19,4.16,-4.15,-4.05,-3.85,9.04,9.04,9.04
43.46,13.18,4.21,13.18,4.20,-4.18,-4.07,-3.85,9.00,9.00,8.97
43.90,13.17,4.24,13.16,4.24,-4.21,-4.09,-3.86,8.96,8.96,8.92
44.33,13.14,4.26,13.14,4.26,-4.23,-4.11,-3.87,8.91,8.91,8.88
44.78,13.10,4.26,13.10,4.26,-4.24,-4.13,-3.89,8.86,8.86,8.85
45.23,13.06,4.25,13.06,4.25,-4.25,-4.15,-3.90,8.81,8.81,8.81
45.68,13.02,4.25,13.02,4.25,-4.26,-4.17,-3.92,8.75,8.75,8.77
46.13,12.97,4.26,12.97,4.26,-4.28,-4.19,-3.95,8.69,8.69,8.72
46.60,12.93,4.27,12.94,4.27,-4.30,-4.22,-3.97,8.64,8.64,8.66
47.06,12.91,4.30,12.91,4.30,-4.32,-4.24,-4.00,8.59,8.59,8.61
47.53,12.90,4.34,12.90,4.35,-4.36,-4.26,-4.04,8.54,8.55,8.56
48.01,12.90,4.40,12.90,4.40,-4.39,-4.28,-4.07,8.51,8.51,8.50
48.49,12.90,4.45,12.89,4.45,-4.43,-4.31,-4.11,8.46,8.46,8.45
48.97,12.88,4.49,12.87,4.49,-4.47,-4.33,-4.15,8.41,8.41,8.39
49.46,12.85,4.51,12.85,4.51,-4.50,-4.35,-4.19,8.35,8.35,8.33
49.96,12.81,4.53,12.81,4.53,-4.52,-4.38,-4.23,8.29,8.29,8.28
50.46,12.77,4.54,12.77,4.54,-4.54,-4.40,-4.28,8.23,8.23,8.23
