frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.36,-5.56,4.36,-5.56,5.56,-0.03,1.77,9.92,9.93,9.92
20.20,4.40,-5.52,4.40,-5.52,5.52,-0.04,1.82,9.92,9.92,9.92
20.40,4.43,-5.48,4.43,-5.49,5.49,-0.04,1.87,9.92,9.92,9.92
20.61,4.47,-5.45,4.47,-5.45,5.45,-0.04,1.93,9.91,9.91,9.92
20.81,4.50,-5.41,4.51,-5.41,5.40,-0.04,1.99,9.91,9.91,9.91
21.02,4.54,-5.37,4.54,-5.37,5.36,-0.04,2.05,9.90,9.90,9.91
21.23,4.58,-5.32,4.59,-5.32,5.32,-0.04,2.11,9.90,9.90,9.91
21.44,4.63,-5.28,4.63,-5.28,5.27,-0.04,2.17,9.90,9.90,9.91
21.66,4.68,-5.22,4.68,-5.22,5.22,-0.04,2.24,9.90,9.90,9.90
21.87,4.73,-5.17,4.73,-5.17,5.17,-0.04,2.31,9.90,9.90,9.90
22.09,4.78,-5.12,4.78,-5.12,5.12,-0.04,2.37,9.90,9.90,9.90
22.31,4.83,-5.07,4.83,-5.07,5.07,-0.04,2.45,9.90,9.90,9.89
22.54,4.87,-5.02,4.87,-5.02,5.03,-0.04,2.52,9.90,9.90,9.89
22.76,4.91,-4.97,4.91,-4.97,4.98,-0.05,2.59,9.89,9.89,9.88
22.99,4.95,-4.93,4.95,-4.93,4.94,-0.05,2.67,9.88,9.88,9.88
23.22,4.98,-4.89,4.98,-4.89,4.89,-0.05,2.75,9.88,9.88,9.87
23.45,5.01,-4.85,5.01,-4.85,4.85,-0.05,2.83,9.86,9.86,9.87
23.69,5.05,-4.81,5.05,-4.81,4.81,-0.05,2.91,9.85,9.85,9.86
23.92,5.08,-4.77,5.08,-4.77,4.76,-0.05,2.99,9.84,9.84,9.85
24.16,5.12,-4.72,5.12,-4.72,4.71,-0.05,3.07,9.82,9.82,9.83
24.40,5.15,-4.66,5.15,-4.66,4.65,-0.05,3.16,9.80,9.80,9.81
24.65,5.19,-4.60,5.19,-4.60,4.60,-0.05,3.25,9.79,9.79,9.79
24.89,5.22,-4.54,5.22,-4.54,4.54,-0.05,3.33,9.76,9.76,9.76
25.14,5.25,-4.48,5.25,-4.48,4.49,-0.06,3.42,9.74,9.74,9.73
25.39,5.28,-4.42,5.28,-4.43,4.44,-0.06,3.51,9.72,9.72,9.70
25.65,5.30,-4.38,5.30,-4.38,4.40,-0.06,3.60,9.70,9.70,9.68
25.91,5.32,-4.35,5.32,-4.35,4.36,-0.06,3.69,9.68,9.68,9.67
26.16,5.34,-4.32,5.34,-4.32,4.33,-0.06,3.77,9.67,9.67,9.66
26.43,5.36,-4.30,5.36,-4.30,4.30,-0.06,3.86,9.66,9.66,9.66
26.69,5.39,-4.28,5.39,-4.28,4.27,-0.06,3.95,9.66,9.66,9.67
26.96,5.42,-4.25,5.42,-4.25,4.23,-0.06,4.03,9.65,9.65,9.67
27.23,5.46,-4.21,5.46,-4.21,4.19,-0.07,4.11,9.65,9.65,9.67
27.50,5.49,-4.16,5.49,-4.16,4.15,-0.07,4.19,9.64,9.64,9.65
27.77,5.52,-4.10,5.52,-4.10,4.10,-0.07,4.27,9.62,9.62,9.62
28.05,5.55,-4.04,5.55,-4.04,4.05,-0.07,4.34,9.60,9.60,9.59
28.33,5.57,-3.98,5.57,-3.98,4.00,-0.07,4.41,9.56,9.56,9.55
28.62,5.58,-3.93,5.58,-3.93,3.94,-0.07,4.47,9.52,9.52,9.51
28.90,5.59,-3.89,5.59,-3.89,3.89,-0.08,4.52,9.48,9.48,9.47
29.19,5.60,-3.84,5.60,-3.84,3.84,-0.08,4.58,9.43,9.43,9.44
29.48,5.61,-3.80,5.61,-3.79,3.78,-0.08,4.62,9.40,9.40,9.41
29.78,5.64,-3.74,5.64,-3.74,3.73,-0.08,4.66,9.37,9.36,9.38
30.08,5.66,-3.68,5.66,-3.68,3.68,-0.08,4.68,9.34,9.34,9.34
30.38,5.69,-3.62,5.69,-3.62,3.62,-0.08,4.71,9.31,9.31,9.31
30.68,5.71,-3.56,5.71,-3.56,3.57,-0.09,4.72,9.28,9.28,9.27
30.99,5.73,-3.51,5.73,-3.51,3.52,-0.09,4.73,9.25,9.25,9.24
31.30,5.76,-3.46,5.76,-3.46,3.47,-0.09,4.72,9.23,9.23,9.22
31.61,5.78,-3.42,5.78,-3.42,3.42,-0.09,4.71,9.20,9.20,9.20
31.93,5.80,-3.38,5.80,-3.38,3.38,-0.09,4.69,9.18,9.18,9.18
32.24,5.83,-3.34,5.83,-3.34,3.34,-0.10,4.66,9.16,9.16,9.17
32.57,5.85,-3.30,5.85,-3.30,3.29,-0.10,4.63,9.14,9.14,9.15
32.89,5.87,-3.25,5.87,-3.25,3.24,-0.10,4.58,9.11,9.11,9.12
33.22,5.89,-3.20,5.89,-3.20,3.18,-0.10,4.53,9.08,9.08,9.09
33.55,5.91,-3.14,5.91,-3.13,3.13,-0.10,4.47,9.04,9.04,9.05
33.89,5.93,-3.07,5.93,-3.07,3.07,-0.11,4.41,9.00,9.00,9.00
34.23,5.95,-3.00,5.95,-3.00,3.02,-0.11,4.34,8.97,8.97,8.96
34.57,5.97,-2.94,5.97,-2.95,2.97,-0.11,4.26,8.94,8.94,8.92
34.92,5.98,-2.90,5.98,-2.90,2.92,-0.11,4.18,8.90,8.90,8.88
35.27,5.99,-2.86,5.98,-2.86,2.87,-0.12,4.09,8.85,8.85,8.85
35.62,5.99,-2.83,5.99,-2.83,2.82,-0.12,4.00,8.80,8.80,8.82
35.97,5.99,-2.80,5.99,-2.79,2.77,-0.12,3.91,8.76,8.76,8.79
36.33,6.01,-2.74,6.01,-2.74,2.72,-0.12,3.82,8.73,8.74,8.75
36.70,6.04,-2.67,6.04,-2.67,2.68,-0.13,3.72,8.72,8.72,8.71
37.06,6.08,-2.60,6.07,-2.60,2.63,-0.13,3.62,8.71,8.70,8.68
37.43,6.10,-2.54,6.09,-2.55,2.58,-0.13,3.52,8.68,8.67,8.64
37.81,6.10,-2.50,6.10,-2.51,2.52,-0.13,3.42,8.62,8.62,8.61
38.19,6.10,-2.47,6.10,-2.46,2.44,-0.14,3.31,8.54,8.55,8.57
38.57,6.11,-2.41,6.12,-2.40,2.35,-0.14,3.21,8.47,8.48,8.53
38.95,6.16,-2.32,6.16,-2.32,2.26,-0.14,3.11,8.42,8.42,8.48
39.34,6.22,-2.21,6.22,-2.21,2.16,-0.15,3.00,8.38,8.38,8.43
39.74,6.30,-2.08,6.31,-2.08,2.07,-0.15,2.90,8.37,8.38,8.38
40.14,6.39,-1.95,6.39,-1.95,1.99,-0.15,2.80,8.38,8.38,8.34
40.54,6.47,-1.84,6.46,-1.85,1.93,-0.16,2.70,8.40,8.39,8.31
40.94,6.48,-1.80,6.48,-1.80,1.90,-0.16,2.60,8.38,8.37,8.28
41.35,6.44,-1.80,6.44,-1.81,1.88,-0.16,2.50,8.32,8.32,8.24
41.76,6.35,-1.85,6.34,-1.86,1.87,-0.17,2.40,8.22,8.22,8.20
42.18,6.23,-1.93,6.23,-1.92,1.87,-0.17,2.31,8.10,8.10,8.15
42.60,6.12,-1.98,6.13,-1.96,1.86,-0.18,2.21,7.99,8.00,8.10
43.03,6.07,-1.96,6.09,-1.94,1.85,-0.18,2.12,7.92,7.94,8.03
43.46,6.10,-1.87,6.10,-1.87,1.81,-0.18,2.03,7.92,7.92,7.97
43.90,6.16,-1.76,6.16,-1.76,1.77,-0.19,1.94,7.93,7.92,7.92
44.33,6.23,-1.65,6.22,-1.66,1.70,-0.19,1.85,7.93,7.93,7.88
44.78,6.27,-1.57,6.27,-1.57,1.63,-0.20,1.76,7.91,7.90,7.84
45.23,6.30,-1.51,6.29,-1.51,1.56,-0.20,1.67,7.86,7.86,7.81
