frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.86,-11.67,-3.85,-11.67,6.00,5.89,2.81,2.14,2.15,7.81
20.20,-3.83,-11.64,-3.84,-11.65,6.00,5.95,2.90,2.17,2.16,7.81
20.40,-3.80,-11.61,-3.81,-11.62,6.00,6.01,2.98,2.20,2.19,7.81
20.61,-3.77,-11.58,-3.77,-11.58,6.00,6.05,3.06,2.23,2.23,7.81
20.81,-3.72,-11.53,-3.72,-11.53,6.00,6.09,3.15,2.28,2.28,7.81
21.02,-3.66,-11.46,-3.66,-11.46,6.00,6.11,3.24,2.34,2.34,7.80
21.23,-3.59,-11.39,-3.59,-11.39,6.00,6.14,3.33,2.41,2.41,7.80
21.44,-3.51,-11.31,-3.51,-11.31,6.00,6.14,3.43,2.49,2.49,7.80
21.66,-3.44,-11.23,-3.44,-11.23,6.00,6.15,3.52,2.56,2.56,7.80
21.87,-3.36,-11.16,-3.37,-11.16,6.00,6.14,3.62,2.64,2.63,7.79
22.09,-3.30,-11.09,-3.30,-11.09,6.00,6.13,3.73,2.70,2.70,7.79
22.31,-3.24,-11.03,-3.24,-11.03,6.00,6.11,3.83,2.76,2.76,7.79
22.54,-3.19,-10.97,-3.19,-10.97,6.00,6.09,3.94,2.81,2.81,7.78
22.76,-3.14,-10.92,-3.14,-10.92,6.00,6.07,4.05,2.86,2.86,7.78
22.99,-3.10,-10.87,-3.10,-10.87,6.00,6.05,4.17,2.90,2.90,7.77
23.22,-3.05,-10.81,-3.05,-10.81,6.00,6.03,4.29,2.95,2.95,7.77
23.45,-2.99,-10.75,-2.99,-10.75,6.00,6.00,4.40,3.01,3.01,7.76
23.69,-2.93,-10.68,-2.93,-10.68,6.00,5.98,4.53,3.07,3.07,7.75
23.92,-2.86,-10.61,-2.86,-10.60,6.00,5.96,4.65,3.14,3.14,7.74
24.16,-2.79,-10.52,-2.79,-10.52,6.00,5.94,4.78,3.21,3.21,7.73
24.40,-2.72,-10.42,-2.72,-10.42,6.00,5.92,4.91,3.28,3.28,7.71
24.65,-2.64,-10.32,-2.64,-10.32,6.00,5.91,5.04,3.36,3.36,7.68
24.89,-2.57,-10.22,-2.57,-10.22,6.00,5.89,5.17,3.43,3.43,7.66
25.14,-2.50,-10.13,-2.50,-10.13,6.00,5.88,5.31,3.50,3.50,7.63
25.39,-2.44,-10.04,-2.44,-10.04,6.00,5.87,5.44,3.56,3.56,7.60
25.65,-2.39,-9.96,-2.39,-9.96,6.00,5.86,5.58,3.61,3.61,7.58
25.91,-2.34,-9.90,-2.34,-9.90,6.00,5.86,5.72,3.66,3.66,7.56
26.16,-2.29,-9.85,-2.29,-9.85,6.00,5.85,5.85,3.71,3.71,7.56
26.43,-2.25,-9.81,-2.25,-9.81,6.00,5.85,5.99,3.75,3.75,7.56
26.69,-2.21,-9.77,-2.21,-9.77,6.00,5.85,6.13,3.79,3.79,7.56
26.96,-2.17,-9.73,-2.17,-9.73,6.00,5.86,6.26,3.83,3.83,7.57
27.23,-2.13,-9.69,-2.13,-9.69,6.00,5.86,6.39,3.87,3.87,7.56
27.50,-2.09,-9.63,-2.09,-9.63,6.00,5.87,6.52,3.91,3.91,7.54
27.77,-2.05,-9.57,-2.05,-9.57,6.00,5.87,6.65,3.95,3.95,7.52
28.05,-2.02,-9.50,-2.02,-9.50,6.00,5.88,6.77,3.98,3.98,7.48
28.33,-1.99,-9.43,-1.99,-9.43,6.00,5.89,6.88,4.01,4.01,7.44
28.62,-1.96,-9.36,-1.96,-9.36,6.00,5.90,6.99,4.04,4.04,7.40
28.90,-1.93,-9.30,-1.93,-9.30,6.00,5.91,7.09,4.07,4.07,7.37
29.19,-1.90,-9.24,-1.90,-9.24,6.00,5.93,7.19,4.10,4.10,7.33
29.48,-1.87,-9.18,-1.87,-9.17,6.00,5.94,7.27,4.13,4.13,7.30
29.78,-1.84,-9.11,-1.84,-9.11,6.00,5.95,7.34,4.16,4.16,7.27
30.08,-1.80,-9.04,-1.80,-9.04,6.00,5.97,7.41,4.20,4.20,7.24
30.38,-1.77,-8.97,-1.77,-8.97,6.00,5.98,7.46,4.23,4.23,7.20
30.68,-1.72,-8.89,-1.72,-8.89,6.00,6.00,7.50,4.28,4.28,7.16
30.99,-1.68,-8.81,-1.68,-8.81,6.00,6.01,7.54,4.32,4.32,7.13
31.30,-1.63,-8.74,-1.63,-8.74,6.00,6.02,7.55,4.37,4.37,7.11
31.61,-1.58,-8.67,-1.58,-8.67,6.00,6.04,7.56,4.42,4.42,7.09
31.93,-1.53,-8.61,-1.53,-8.61,6.00,6.05,7.56,4.47,4.47,7.08
32.24,-1.49,-8.55,-1.49,-8.55,6.00,6.06,7.54,4.51,4.51,7.06
32.57,-1.44,-8.49,-1.44,-8.49,6.00,6.08,7.51,4.56,4.56,7.04
32.89,-1.40,-8.42,-1.40,-8.42,6.00,6.09,7.48,4.60,4.60,7.02
33.22,-1.36,-8.34,-1.36,-8.34,6.00,6.10,7.43,4.64,4.64,6.98
33.55,-1.32,-8.26,-1.32,-8.26,6.00,6.11,7.38,4.68,4.68,6.94
33.89,-1.29,-8.18,-1.29,-8.18,6.00,6.12,7.31,4.71,4.71,6.89
34.23,-1.25,-8.10,-1.25,-8.10,6.00,6.13,7.24,4.75,4.75,6.85
34.57,-1.22,-8.03,-1.22,-8.03,6.00,6.14,7.16,4.78,4.78,6.81
34.92,-1.19,-7.96,-1.19,-7.96,6.00,6.14,7.08,4.81,4.81,6.77
35.27,-1.16,-7.91,-1.16,-7.91,6.00,6.15,6.99,4.84,4.84,6.74
35.62,-1.14,-7.85,-1.14,-7.85,6.00,6.15,6.90,4.86,4.86,6.71
35.97,-1.12,-7.80,-1.12,-7.80,6.00,6.16,6.80,4.88,4.88,6.68
36.33,-1.11,-7.75,-1.11,-7.75,6.00,6.16,6.70,4.89,4.89,6.64
36.70,-1.09,-7.70,-1.09,-7.70,6.00,6.16,6.60,4.91,4.91,6.61
37.06,-1.07,-7.64,-1.07,-7.64,6.00,6.16,6.50,4.93,4.93,6.57
37.43,-1.05,-7.58,-1.05,-7.58,6.00,6.16,6.40,4.95,4.95,6.53
37.81,-1.03,-7.53,-1.03,-7.53,6.00,6.15,6.30,4.97,4.97,6.50
38.19,-1.01,-7.47,-1.01,-7.47,6.00,6.15,6.20,4.99,4.99,6.46
38.57,-0.99,-7.41,-0.99,-7.41,6.00,6.14,6.10,5.01,5.01,6.42
38.95,-0.97,-7.34,-0.97,-7.34,6.00,6.13,6.00,5.03,5.03,6.37
39.34,-0.94,-7.26,-0.94,-7.26,6.00,6.12,5.91,5.06,5.06,6.32
39.74,-0.91,-7.18,-0.90,-7.18,6.00,6.11,5.82,5.09,5.10,6.28
40.14,-0.87,-7.10,-0.87,-7.10,6.00,6.09,5.73,5.13,5.13,6.24
40.54,-0.83,-7.03,-0.83,-7.03,6.00,6.08,5.64,5.17,5.17,6.20
40.94,-0.79,-6.96,-0.79,-6.96,6.00,6.06,5.56,5.21,5.21,6.17
41.35,-0.75,-6.89,-0.75,-6.89,6.00,6.04,5.48,5.25,5.25,6.13
41.76,-0.72,-6.82,-0.72,-6.81,6.00,6.02,5.40,5.28,5.28,6.10
42.18,-0.68,-6.73,-0.68,-6.73,6.00,6.00,5.33,5.32,5.32,6.05
42.60,-0.64,-6.63,-0.64,-6.63,6.00,5.97,5.26,5.36,5.36,5.99
43.03,-0.61,-6.53,-0.61,-6.53,6.00,5.95,5.19,5.39,5.39,5.93
43.46,-0.58,-6.44,-0.58,-6.44,6.00,5.92,5.13,5.42,5.42,5.86
43.90,-0.55,-6.36,-0.55,-6.37,6.01,5.89,5.08,5.45,5.45,5.81
44.33,-0.54,-6.30,-0.54,-6.31,6.01,5.86,5.02,5.47,5.47,5.77
44.78,-0.52,-6.26,-0.52,-6.25,6.01,5.82,4.97,5.49,5.49,5.74
45.23,-0.50,-6.21,-0.50,-6.20,6.01,5.79,4.93,5.51,5.51,5.70
45.68,-0.49,-6.14,-0.49,-6.14,6.00,5.75,4.88,5.51,5.51,5.66
46.13,-0.47,-6.07,-0.47,-6.07,5.98,5.71,4.85,5.51,5.51,5.60
46.60,-0.45,-6.00,-0.45,-6.00,5.95,5.67,4.81,5.50,5.50,5.55
47.06,-0.43,-5.93,-0.43,-5.93,5.91,5.63,4.78,5.48,5.48,5.50
47.53,-0.41,-5.86,-0.41,-5.86,5.87,5.59,4.75,5.45,5.45,5.45
48.01,-0.40,-5.79,-0.40,-5.79,5.81,5.55,4.73,5.41,5.41,5.39
48.49,-0.40,-5.73,-0.40,-5.73,5.75,5.50,4.71,5.35,5.35,5.33
48.97,-0.39,-5.67,-0.39,-5.67,5.68,5.45,4.69,5.29,5.29,5.28
49.46,-0.39,-5.61,-0.39,-5.61,5.61,5.40,4.67,5.23,5.23,5.22
49.96,-0.38,-5.55,-0.38,-5.54,5.54,5.35,4.66,5.16,5.17,5.17
50.46,-0.36,-5.47,-0.36,-5.48,5.47,5.30,4.65,5.11,5.11,5.12
50.96,-0.33,-5.40,-0.33,-5.40,5.39,5.25,4.64,5.06,5.06,5.07
51.47,-0.29,-5.32,-0.29,-5.32,5.30,5.19,4.63,5.00,5.01,5.03
51.99,-0.25,-5.23,-0.25,-5.23,5.20,5.14,4.63,4.96,4.96,4.98
52.51,-0.20,-5.12,-0.20,-5.12,5.11,5.08,4.62,4.91,4.91,4.92
53.03,-0.15,-5.01,-0.15,-5.01,5.01,5.02,4.62,4.86,4.87,4.86
53.56,-0.10,-4.89,-0.10,-4.90,4.92,4.96,4.62,4.82,4.82,4.79
54.10,-0.06,-4.80,-0.07,-4.80,4.83,4.90,4.61,4.77,4.77,4.73
54.64,-0.05,-4.72,-0.05,-4.73,4.75,4.84,4.61,4.71,4.70,4.68
55.18,-0.05,-4.67,-0.05,-4.67,4.68,4.78,4.61,4.63,4.63,4.62
55.74,-0.06,-4.62,-0.06,-4.62,4.61,4.71,4.61,4.54,4.55,4.56
56.29,-0.06,-4.57,-0.06,-4.57,4.54,4.65,4.60,4.48,4.48,4.51
56.86,-0.05,-4.50,-0.05,-4.50,4.48,4.58,4.59,4.43,4.43,4.45
57.42,-0.03,-4.42,-0.03,-4.42,4.42,4.52,4.58,4.39,4.39,4.40
58.00,-0.01,-4.34,-0.01,-4.34,4.35,4.45,4.57,4.35,4.35,4.34
58.58,0.01,-4.26,0.01,-4.27,4.29,4.38,4.56,4.30,4.30,4.27
59.16,0.02,-4.20,0.02,-4.21,4.22,4.31,4.54,4.24,4.24,4.22
59.76,0.03,-4.16,0.02,-4.16,4.16,4.24,4.52,4.18,4.18,4.19
60.35,0.03,-4.11,0.03,-4.10,4.09,4.17,4.49,4.12,4.12,4.14
60.96,0.03,-4.04,0.03,-4.04,4.03,4.10,4.46,4.05,4.05,4.07
61.57,0.03,-3.96,0.03,-3.97,3.96,4.03,4.42,3.99,3.99,3.99
62.18,0.03,-3.89,0.03,-3.89,3.89,3.96,4.38,3.92,3.92,3.92
62.80,0.04,-3.83,0.04,-3.82,3.82,3.89,4.34,3.86,3.86,3.87
63.43,0.06,-3.75,0.06,-3.75,3.74,3.82,4.29,3.80,3.80,3.80
64.07,0.07,-3.66,0.07,-3.67,3.67,3.74,4.24,3.74,3.74,3.74
