frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.86,1.15,10.86,1.15,-1.15,-0.84,-0.71,9.72,9.72,9.72
20.20,10.87,1.15,10.86,1.15,-1.15,-0.85,-0.73,9.72,9.72,9.72
20.40,10.87,1.15,10.87,1.15,-1.15,-0.87,-0.75,9.71,9.71,9.71
20.61,10.87,1.15,10.87,1.15,-1.16,-0.88,-0.77,9.71,9.71,9.71
20.81,10.87,1.16,10.87,1.16,-1.16,-0.90,-0.79,9.71,9.71,9.71
21.02,10.87,1.16,10.87,1.16,-1.16,-0.91,-0.81,9.71,9.71,9.71
21.23,10.87,1.17,10.87,1.17,-1.17,-0.93,-0.83,9.70,9.70,9.70
21.44,10.88,1.17,10.88,1.17,-1.17,-0.94,-0.86,9.70,9.70,9.70
21.66,10.88,1.18,10.88,1.18,-1.18,-0.96,-0.88,9.70,9.70,9.70
21.87,10.88,1.18,10.88,1.18,-1.18,-0.97,-0.91,9.70,9.70,9.70
22.09,10.88,1.19,10.88,1.19,-1.19,-0.99,-0.93,9.69,9.69,9.69
22.31,10.89,1.20,10.89,1.20,-1.20,-1.01,-0.96,9.69,9.69,9.69
22.54,10.89,1.20,10.89,1.20,-1.20,-1.02,-0.99,9.69,9.69,9.69
22.76,10.89,1.21,10.89,1.21,-1.21,-1.04,-1.01,9.68,9.68,9.68
22.99,10.89,1.22,10.89,1.22,-1.21,-1.06,-1.04,9.68,9.68,9.67
23.22,10.89,1.22,10.89,1.22,-1.22,-1.07,-1.07,9.67,9.67,9.67
23.45,10.89,1.23,10.89,1.23,-1.23,-1.09,-1.10,9.66,9.66,9.66
23.69,10.89,1.24,10.89,1.24,-1.24,-1.11,-1.13,9.65,9.65,9.65
23.92,10.89,1.25,10.89,1.25,-1.26,-1.13,-1.16,9.64,9.64,9.64
24.16,10.90,1.27,10.90,1.27,-1.27,-1.14,-1.19,9.62,9.62,9.63
24.40,10.90,1.28,10.90,1.28,-1.29,-1.16,-1.22,9.60,9.60,9.61
24.65,10.89,1.31,10.89,1.31,-1.31,-1.18,-1.26,9.58,9.58,9.59
24.89,10.89,1.33,10.89,1.33,-1.33,-1.20,-1.29,9.56,9.56,9.56
25.14,10.88,1.35,10.88,1.35,-1.35,-1.22,-1.32,9.53,9.53,9.53
25.39,10.88,1.38,10.88,1.37,-1.36,-1.24,-1.36,9.51,9.51,9.50
25.65,10.86,1.38,10.86,1.38,-1.37,-1.26,-1.39,9.49,9.49,9.48
25.91,10.85,1.39,10.85,1.39,-1.37,-1.27,-1.42,9.48,9.48,9.46
26.16,10.84,1.38,10.84,1.38,-1.37,-1.29,-1.46,9.47,9.47,9.46
26.43,10.83,1.37,10.83,1.37,-1.36,-1.31,-1.49,9.46,9.46,9.46
26.69,10.82,1.35,10.82,1.35,-1.36,-1.33,-1.52,9.46,9.46,9.47
26.96,10.81,1.34,10.81,1.34,-1.36,-1.35,-1.56,9.45,9.45,9.47
27.23,10.81,1.34,10.81,1.35,-1.36,-1.37,-1.59,9.44,9.44,9.46
27.50,10.80,1.36,10.80,1.36,-1.37,-1.39,-1.62,9.43,9.43,9.45
27.77,10.80,1.38,10.80,1.38,-1.39,-1.41,-1.66,9.41,9.41,9.42
28.05,10.80,1.42,10.80,1.42,-1.42,-1.44,-1.69,9.38,9.38,9.38
28.33,10.80,1.45,10.80,1.45,-1.45,-1.46,-1.72,9.35,9.35,9.34
28.62,10.80,1.49,10.79,1.49,-1.48,-1.48,-1.75,9.32,9.32,9.30
28.90,10.79,1.52,10.79,1.52,-1.51,-1.50,-1.77,9.28,9.28,9.27
29.19,10.79,1.55,10.79,1.55,-1.55,-1.52,-1.80,9.24,9.24,9.24
29.48,10.78,1.58,10.78,1.58,-1.58,-1.54,-1.83,9.20,9.20,9.21
29.78,10.78,1.60,10.78,1.60,-1.61,-1.56,-1.85,9.17,9.17,9.17
30.08,10.77,1.63,10.77,1.63,-1.64,-1.59,-1.87,9.13,9.13,9.14
30.38,10.76,1.66,10.76,1.66,-1.66,-1.61,-1.90,9.10,9.10,9.10
30.68,10.76,1.69,10.76,1.69,-1.68,-1.63,-1.92,9.07,9.07,9.07
30.99,10.75,1.71,10.75,1.71,-1.70,-1.65,-1.93,9.05,9.05,9.04
31.30,10.74,1.73,10.74,1.72,-1.71,-1.68,-1.95,9.02,9.02,9.01
31.61,10.73,1.73,10.73,1.73,-1.73,-1.70,-1.97,9.00,9.00,8.99
31.93,10.72,1.74,10.72,1.74,-1.74,-1.72,-1.98,8.98,8.98,8.98
32.24,10.71,1.74,10.71,1.74,-1.75,-1.75,-1.99,8.96,8.96,8.97
32.57,10.70,1.75,10.70,1.75,-1.76,-1.77,-2.00,8.93,8.93,8.95
32.89,10.69,1.77,10.69,1.77,-1.78,-1.79,-2.01,8.91,8.91,8.92
33.22,10.67,1.79,10.67,1.79,-1.80,-1.82,-2.02,8.88,8.88,8.88
33.55,10.66,1.82,10.66,1.82,-1.82,-1.84,-2.02,8.84,8.84,8.84
33.89,10.64,1.85,10.64,1.85,-1.84,-1.86,-2.03,8.80,8.80,8.80
34.23,10.63,1.88,10.63,1.88,-1.87,-1.89,-2.03,8.76,8.76,8.75
34.57,10.61,1.90,10.61,1.90,-1.89,-1.91,-2.04,8.72,8.72,8.71
34.92,10.60,1.92,10.60,1.92,-1.91,-1.94,-2.04,8.68,8.68,8.68
