frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.81,-1.24,3.81,-1.26,1.23,-0.03,0.15,5.04,5.04,5.05
20.20,3.88,-1.22,3.88,-1.21,1.20,-0.04,0.15,5.08,5.08,5.10
20.40,3.95,-1.20,3.95,-1.17,1.17,-0.04,0.16,5.12,5.12,5.15
20.61,4.02,-1.13,4.02,-1.13,1.15,-0.04,0.16,5.16,5.16,5.15
20.81,4.08,-1.07,4.08,-1.08,1.12,-0.04,0.17,5.20,5.20,5.15
21.02,4.14,-1.05,4.14,-1.05,1.09,-0.04,0.17,5.24,5.24,5.19
21.23,4.20,-1.05,4.20,-1.05,1.07,-0.04,0.18,5.27,5.27,5.26
21.44,4.26,-1.05,4.26,-1.04,1.04,-0.04,0.19,5.30,5.30,5.31
21.66,4.31,-1.04,4.31,-1.03,1.02,-0.04,0.19,5.33,5.33,5.35
21.87,4.36,-0.99,4.36,-1.01,1.00,-0.04,0.20,5.36,5.36,5.35
22.09,4.42,-0.99,4.42,-0.98,0.98,-0.04,0.21,5.40,5.40,5.41
22.31,4.48,-0.97,4.48,-0.96,0.95,-0.04,0.21,5.43,5.43,5.45
22.54,4.55,-0.91,4.55,-0.93,0.91,-0.04,0.22,5.47,5.47,5.46
22.76,4.63,-0.90,4.63,-0.88,0.87,-0.05,0.23,5.50,5.51,5.54
22.99,4.72,-0.83,4.72,-0.82,0.83,-0.05,0.23,5.55,5.55,5.55
23.22,4.81,-0.74,4.81,-0.77,0.78,-0.05,0.24,5.60,5.60,5.56
23.45,4.90,-0.73,4.90,-0.74,0.74,-0.05,0.25,5.64,5.64,5.63
23.69,4.99,-0.73,4.98,-0.70,0.71,-0.05,0.26,5.69,5.69,5.71
23.92,5.06,-0.69,5.06,-0.68,0.68,-0.05,0.26,5.74,5.74,5.75
24.16,5.13,-0.62,5.13,-0.65,0.66,-0.05,0.27,5.78,5.78,5.75
24.40,5.19,-0.63,5.19,-0.63,0.65,-0.05,0.28,5.83,5.83,5.82
24.65,5.24,-0.64,5.25,-0.63,0.64,-0.05,0.29,5.89,5.89,5.89
24.89,5.30,-0.65,5.30,-0.65,0.65,-0.06,0.29,5.95,5.95,5.95
25.14,5.36,-0.65,5.36,-0.66,0.66,-0.06,0.30,6.02,6.02,6.01
25.39,5.41,-0.67,5.41,-0.68,0.67,-0.06,0.31,6.09,6.08,6.08
25.65,5.46,-0.70,5.46,-0.70,0.69,-0.06,0.32,6.15,6.15,6.16
25.91,5.50,-0.72,5.50,-0.71,0.71,-0.06,0.33,6.21,6.21,6.23
26.16,5.54,-0.71,5.53,-0.72,0.72,-0.06,0.33,6.26,6.26,6.25
26.43,5.56,-0.70,5.56,-0.72,0.72,-0.06,0.34,6.28,6.28,6.26
26.69,5.58,-0.74,5.58,-0.73,0.71,-0.06,0.35,6.30,6.30,6.32
26.96,5.61,-0.74,5.61,-0.73,0.69,-0.07,0.35,6.30,6.31,6.35
27.23,5.65,-0.70,5.65,-0.70,0.67,-0.07,0.36,6.32,6.32,6.35
27.50,5.70,-0.65,5.70,-0.65,0.64,-0.07,0.37,6.34,6.34,6.35
27.77,5.76,-0.59,5.76,-0.59,0.61,-0.07,0.37,6.36,6.36,6.35
28.05,5.81,-0.54,5.81,-0.54,0.58,-0.07,0.38,6.39,6.39,6.35
28.33,5.84,-0.51,5.83,-0.52,0.57,-0.07,0.38,6.40,6.40,6.35
28.62,5.85,-0.50,5.84,-0.51,0.55,-0.08,0.39,6.40,6.39,6.35
28.90,5.83,-0.52,5.83,-0.52,0.54,-0.08,0.39,6.37,6.37,6.35
29.19,5.81,-0.54,5.81,-0.54,0.52,-0.08,0.39,6.34,6.33,6.35
29.48,5.79,-0.56,5.80,-0.55,0.50,-0.08,0.39,6.29,6.30,6.35
29.78,5.82,-0.53,5.82,-0.53,0.47,-0.08,0.39,6.29,6.29,6.35
30.08,5.87,-0.48,5.87,-0.48,0.42,-0.08,0.39,6.29,6.30,6.35
30.38,5.96,-0.39,5.96,-0.39,0.37,-0.09,0.39,6.33,6.33,6.35
30.68,6.07,-0.28,6.06,-0.29,0.31,-0.09,0.39,6.38,6.37,6.35
30.99,6.16,-0.19,6.15,-0.20,0.25,-0.09,0.39,6.41,6.40,6.35
31.30,6.22,-0.13,6.22,-0.13,0.19,-0.09,0.38,6.41,6.41,6.35
31.61,6.26,-0.09,6.25,-0.10,0.13,-0.09,0.38,6.39,6.38,6.35
31.93,6.26,-0.09,6.26,-0.09,0.08,-0.10,0.37,6.34,6.34,6.35
32.24,6.26,-0.09,6.26,-0.07,0.03,-0.10,0.37,6.30,6.30,6.35
32.57,6.26,-0.03,6.27,-0.03,-0.00,-0.10,0.36,6.26,6.26,6.30
32.89,6.28,0.03,6.28,0.02,-0.04,-0.10,0.35,6.25,6.25,6.25
33.22,6.31,0.06,6.31,0.07,-0.06,-0.11,0.34,6.25,6.25,6.25
33.55,6.35,0.10,6.35,0.11,-0.09,-0.11,0.33,6.26,6.26,6.25
33.89,6.40,0.15,6.40,0.14,-0.12,-0.11,0.32,6.28,6.27,6.25
34.23,6.44,0.18,6.44,0.16,-0.15,-0.11,0.31,6.29,6.29,6.26
34.57,6.48,0.15,6.48,0.17,-0.16,-0.12,0.29,6.32,6.31,6.32
34.92,6.51,0.16,6.52,0.17,-0.18,-0.12,0.28,6.34,6.34,6.35
35.27,6.55,0.19,6.55,0.17,-0.18,-0.12,0.26,6.37,6.37,6.36
35.62,6.59,0.16,6.59,0.18,-0.19,-0.12,0.25,6.40,6.40,6.43
35.97,6.63,0.18,6.63,0.18,-0.20,-0.13,0.23,6.43,6.44,6.45
36.33,6.68,0.21,6.68,0.19,-0.20,-0.13,0.22,6.48,6.48,6.47
