frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.58,4.08,11.58,4.09,-4.06,-4.00,-1.66,7.52,7.52,7.49
20.20,11.57,4.04,11.57,4.03,-4.01,-4.00,-1.71,7.55,7.55,7.53
20.40,11.56,3.99,11.56,3.98,-3.97,-4.00,-1.76,7.58,7.58,7.57
20.61,11.55,3.93,11.55,3.93,-3.94,-3.99,-1.81,7.61,7.61,7.62
20.81,11.55,3.88,11.55,3.88,-3.91,-3.98,-1.87,7.63,7.63,7.67
21.02,11.55,3.85,11.55,3.85,-3.89,-3.96,-1.92,7.65,7.65,7.70
21.23,11.54,3.83,11.54,3.84,-3.88,-3.94,-1.98,7.67,7.67,7.71
21.44,11.54,3.84,11.54,3.84,-3.86,-3.91,-2.04,7.67,7.67,7.69
21.66,11.53,3.87,11.53,3.87,-3.87,-3.89,-2.10,7.65,7.65,7.66
21.87,11.51,3.89,11.51,3.89,-3.88,-3.87,-2.16,7.63,7.63,7.62
22.09,11.50,3.92,11.50,3.92,-3.89,-3.86,-2.22,7.60,7.60,7.58
22.31,11.47,3.93,11.47,3.93,-3.90,-3.84,-2.29,7.58,7.58,7.55
22.54,11.45,3.92,11.45,3.92,-3.89,-3.83,-2.35,7.56,7.56,7.53
22.76,11.43,3.90,11.42,3.90,-3.88,-3.82,-2.42,7.54,7.54,7.52
22.99,11.40,3.87,11.40,3.87,-3.86,-3.80,-2.49,7.53,7.53,7.53
23.22,11.37,3.83,11.37,3.83,-3.84,-3.80,-2.56,7.53,7.53,7.54
23.45,11.34,3.80,11.34,3.80,-3.82,-3.79,-2.64,7.53,7.53,7.55
23.69,11.32,3.78,11.32,3.78,-3.80,-3.78,-2.71,7.53,7.53,7.55
23.92,11.31,3.77,11.31,3.77,-3.78,-3.77,-2.79,7.52,7.52,7.54
24.16,11.29,3.76,11.30,3.77,-3.78,-3.77,-2.86,7.52,7.52,7.53
24.40,11.29,3.77,11.29,3.77,-3.78,-3.76,-2.94,7.51,7.51,7.52
24.65,11.29,3.79,11.29,3.79,-3.79,-3.76,-3.02,7.50,7.50,7.51
24.89,11.29,3.80,11.29,3.80,-3.80,-3.75,-3.10,7.50,7.50,7.50
25.14,11.29,3.81,11.29,3.81,-3.80,-3.75,-3.18,7.49,7.49,7.48
25.39,11.29,3.82,11.29,3.81,-3.80,-3.74,-3.27,7.49,7.48,7.47
25.65,11.27,3.81,11.27,3.81,-3.79,-3.74,-3.35,7.47,7.47,7.46
25.91,11.24,3.79,11.24,3.79,-3.78,-3.73,-3.43,7.46,7.46,7.44
26.16,11.20,3.77,11.19,3.76,-3.75,-3.73,-3.51,7.45,7.45,7.43
26.43,11.14,3.73,11.14,3.72,-3.72,-3.72,-3.59,7.43,7.43,7.42
26.69,11.09,3.68,11.09,3.68,-3.68,-3.72,-3.67,7.41,7.41,7.41
26.96,11.04,3.63,11.04,3.63,-3.64,-3.71,-3.75,7.39,7.40,7.41
27.23,11.00,3.59,11.00,3.59,-3.61,-3.71,-3.83,7.38,7.39,7.41
27.50,10.97,3.57,10.97,3.57,-3.59,-3.70,-3.90,7.38,7.38,7.41
27.77,10.96,3.56,10.96,3.56,-3.57,-3.69,-3.98,7.39,7.39,7.40
28.05,10.95,3.56,10.95,3.56,-3.56,-3.69,-4.05,7.39,7.39,7.39
28.33,10.95,3.56,10.95,3.56,-3.56,-3.68,-4.11,7.39,7.39,7.38
28.62,10.94,3.57,10.94,3.57,-3.55,-3.67,-4.17,7.39,7.39,7.37
28.90,10.94,3.57,10.93,3.57,-3.55,-3.66,-4.23,7.38,7.38,7.37
29.19,10.92,3.56,10.92,3.56,-3.55,-3.66,-4.28,7.37,7.37,7.36
29.48,10.91,3.55,10.91,3.55,-3.55,-3.65,-4.33,7.35,7.35,7.35
29.78,10.89,3.54,10.89,3.54,-3.55,-3.64,-4.37,7.34,7.34,7.34
30.08,10.87,3.53,10.87,3.54,-3.54,-3.63,-4.41,7.32,7.32,7.33
30.38,10.85,3.53,10.85,3.53,-3.54,-3.62,-4.44,7.31,7.31,7.32
30.68,10.84,3.53,10.84,3.53,-3.54,-3.61,-4.46,7.30,7.30,7.30
30.99,10.82,3.54,10.82,3.54,-3.53,-3.60,-4.48,7.29,7.29,7.28
31.30,10.80,3.53,10.80,3.53,-3.53,-3.59,-4.49,7.27,7.27,7.27
31.61,10.79,3.53,10.79,3.53,-3.53,-3.58,-4.49,7.26,7.26,7.26
31.93,10.77,3.52,10.77,3.52,-3.52,-3.56,-4.49,7.24,7.24,7.24
32.24,10.74,3.51,10.74,3.52,-3.52,-3.55,-4.48,7.23,7.23,7.23
32.57,10.72,3.51,10.72,3.51,-3.51,-3.54,-4.46,7.21,7.21,7.21
32.89,10.69,3.50,10.69,3.50,-3.50,-3.53,-4.44,7.20,7.20,7.19
33.22,10.66,3.49,10.66,3.49,-3.48,-3.51,-4.41,7.18,7.18,7.17
33.55,10.63,3.47,10.63,3.47,-3.46,-3.50,-4.38,7.17,7.17,7.16
33.89,10.59,3.45,10.59,3.45,-3.44,-3.48,-4.34,7.15,7.15,7.14
34.23,10.55,3.42,10.55,3.42,-3.42,-3.47,-4.30,7.13,7.13,7.13
34.57,10.51,3.39,10.51,3.39,-3.40,-3.45,-4.26,7.12,7.12,7.12
34.92,10.47,3.36,10.47,3.37,-3.37,-3.44,-4.21,7.10,7.10,7.11
35.27,10.43,3.34,10.43,3.34,-3.35,-3.42,-4.15,7.09,7.09,7.09
35.62,10.40,3.32,10.40,3.32,-3.32,-3.41,-4.10,7.07,7.07,7.08
35.97,10.36,3.30,10.36,3.30,-3.30,-3.39,-4.04,7.06,7.06,7.06
36.33,10.33,3.28,10.33,3.28,-3.28,-3.37,-3.98,7.05,7.05,7.04
36.70,10.30,3.27,10.29,3.26,-3.26,-3.36,-3.92,7.03,7.03,7.03
37.06,10.26,3.24,10.26,3.24,-3.25,-3.34,-3.86,7.02,7.01,7.02
37.43,10.22,3.22,10.22,3.23,-3.23,-3.32,-3.79,7.00,7.00,7.00
37.81,10.19,3.21,10.19,3.21,-3.21,-3.30,-3.73,6.98,6.98,6.98
38.19,10.15,3.19,10.15,3.19,-3.19,-3.29,-3.67,6.96,6.96,6.96
38.57,10.12,3.18,10.12,3.18,-3.17,-3.27,-3.61,6.95,6.95,6.94
38.95,10.09,3.16,10.09,3.16,-3.16,-3.25,-3.54,6.93,6.93,6.93
39.34,10.06,3.14,10.06,3.14,-3.14,-3.23,-3.48,6.92,6.92,6.92
39.74,10.03,3.12,10.03,3.12,-3.13,-3.21,-3.42,6.90,6.90,6.91
40.14,10.00,3.11,10.00,3.11,-3.12,-3.19,-3.37,6.88,6.88,6.89
40.54,9.97,3.10,9.97,3.10,-3.10,-3.17,-3.31,6.86,6.86,6.87
40.94,9.93,3.09,9.93,3.09,-3.09,-3.15,-3.25,6.84,6.84,6.84
41.35,9.90,3.09,9.90,3.09,-3.08,-3.13,-3.20,6.82,6.82,6.82
41.76,9.87,3.08,9.87,3.08,-3.07,-3.11,-3.15,6.80,6.80,6.79
42.18,9.84,3.07,9.84,3.07,-3.06,-3.09,-3.10,6.78,6.78,6.77
42.60,9.80,3.05,9.80,3.05,-3.04,-3.07,-3.05,6.75,6.75,6.74
43.03,9.76,3.03,9.76,3.03,-3.03,-3.05,-3.01,6.73,6.73,6.72
43.46,9.72,3.01,9.72,3.01,-3.01,-3.03,-2.97,6.70,6.71,6.71
43.90,9.68,2.99,9.68,2.99,-2.99,-3.01,-2.93,6.68,6.68,6.69
44.33,9.64,2.96,9.64,2.97,-2.98,-2.99,-2.89,6.66,6.66,6.67
44.78,9.60,2.95,9.60,2.95,-2.96,-2.97,-2.85,6.64,6.64,6.65
45.23,9.56,2.95,9.56,2.95,-2.94,-2.95,-2.82,6.62,6.62,6.62
45.68,9.53,2.95,9.53,2.94,-2.93,-2.92,-2.79,6.59,6.59,6.58
46.13,9.49,2.94,9.49,2.94,-2.93,-2.90,-2.76,6.57,6.57,6.55
46.60,9.46,2.92,9.46,2.92,-2.93,-2.88,-2.73,6.53,6.53,6.53
