frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.95,-1.64,5.95,-1.63,1.66,1.58,0.63,7.60,7.61,7.59
20.20,5.95,-1.67,5.95,-1.68,1.70,1.59,0.65,7.65,7.65,7.62
20.40,5.95,-1.71,5.95,-1.73,1.73,1.60,0.67,7.68,7.68,7.66
20.61,5.95,-1.77,5.95,-1.77,1.76,1.61,0.69,7.71,7.71,7.72
20.81,5.95,-1.81,5.95,-1.81,1.78,1.63,0.71,7.73,7.73,7.76
21.02,5.96,-1.84,5.96,-1.83,1.79,1.64,0.73,7.75,7.75,7.79
21.23,5.97,-1.84,5.97,-1.83,1.79,1.64,0.76,7.76,7.76,7.81
21.44,5.98,-1.81,5.98,-1.81,1.79,1.65,0.78,7.76,7.76,7.79
21.66,5.99,-1.76,5.99,-1.77,1.76,1.66,0.80,7.75,7.74,7.75
21.87,6.00,-1.72,6.00,-1.72,1.73,1.67,0.83,7.72,7.72,7.71
22.09,6.01,-1.67,6.01,-1.67,1.69,1.67,0.85,7.70,7.70,7.67
22.31,6.01,-1.63,6.01,-1.63,1.66,1.67,0.88,7.67,7.67,7.64
22.54,6.02,-1.60,6.02,-1.60,1.63,1.68,0.90,7.65,7.65,7.62
22.76,6.03,-1.59,6.03,-1.59,1.61,1.68,0.93,7.63,7.63,7.62
22.99,6.03,-1.59,6.03,-1.59,1.59,1.68,0.95,7.63,7.63,7.62
23.22,6.04,-1.59,6.04,-1.59,1.58,1.67,0.98,7.62,7.62,7.63
23.45,6.05,-1.59,6.05,-1.59,1.57,1.67,1.01,7.62,7.62,7.64
23.69,6.06,-1.58,6.06,-1.58,1.57,1.67,1.04,7.63,7.63,7.64
23.92,6.07,-1.57,6.07,-1.57,1.56,1.66,1.07,7.63,7.63,7.63
24.16,6.07,-1.55,6.07,-1.55,1.55,1.65,1.10,7.62,7.62,7.62
24.40,6.08,-1.53,6.08,-1.53,1.54,1.65,1.13,7.62,7.62,7.61
24.65,6.08,-1.52,6.08,-1.52,1.53,1.64,1.16,7.61,7.61,7.60
24.89,6.08,-1.51,6.08,-1.51,1.51,1.63,1.19,7.59,7.59,7.59
25.14,6.08,-1.50,6.08,-1.50,1.50,1.62,1.22,7.58,7.58,7.58
25.39,6.07,-1.49,6.07,-1.49,1.49,1.60,1.25,7.56,7.56,7.57
25.65,6.07,-1.49,6.07,-1.49,1.48,1.59,1.29,7.55,7.55,7.55
25.91,6.06,-1.48,6.06,-1.48,1.48,1.58,1.32,7.54,7.54,7.54
26.16,6.05,-1.47,6.05,-1.47,1.47,1.56,1.35,7.52,7.53,7.52
26.43,6.05,-1.46,6.05,-1.46,1.47,1.55,1.38,7.52,7.52,7.51
26.69,6.05,-1.46,6.05,-1.46,1.46,1.53,1.41,7.51,7.51,7.51
26.96,6.04,-1.46,6.04,-1.46,1.46,1.52,1.44,7.50,7.50,7.50
27.23,6.04,-1.46,6.04,-1.46,1.46,1.50,1.47,7.50,7.50,7.50
27.50,6.04,-1.46,6.04,-1.46,1.46,1.49,1.50,7.50,7.49,7.50
27.77,6.03,-1.46,6.03,-1.46,1.46,1.47,1.53,7.49,7.49,7.50
28.05,6.03,-1.46,6.03,-1.46,1.45,1.46,1.55,7.48,7.48,7.49
28.33,6.03,-1.45,6.03,-1.45,1.45,1.44,1.58,7.48,7.48,7.48
28.62,6.02,-1.44,6.02,-1.44,1.45,1.42,1.60,7.47,7.47,7.47
28.90,6.02,-1.44,6.02,-1.44,1.44,1.41,1.62,7.46,7.46,7.46
29.19,6.02,-1.43,6.02,-1.43,1.43,1.39,1.64,7.45,7.45,7.45
29.48,6.02,-1.43,6.02,-1.43,1.42,1.38,1.66,7.44,7.44,7.45
29.78,6.02,-1.42,6.02,-1.42,1.41,1.36,1.68,7.43,7.43,7.44
30.08,6.02,-1.41,6.02,-1.41,1.40,1.35,1.69,7.42,7.42,7.43
30.38,6.02,-1.39,6.02,-1.39,1.39,1.33,1.70,7.41,7.41,7.41
30.68,6.02,-1.37,6.02,-1.37,1.37,1.32,1.71,7.40,7.40,7.39
30.99,6.02,-1.35,6.02,-1.35,1.36,1.30,1.72,7.38,7.38,7.38
31.30,6.02,-1.34,6.02,-1.34,1.34,1.29,1.72,7.37,7.37,7.36
31.61,6.02,-1.33,6.02,-1.33,1.33,1.27,1.73,7.35,7.35,7.35
31.93,6.02,-1.31,6.02,-1.31,1.31,1.26,1.73,7.34,7.34,7.34
32.24,6.02,-1.30,6.02,-1.30,1.30,1.25,1.72,7.32,7.32,7.32
32.57,6.02,-1.29,6.02,-1.29,1.28,1.24,1.72,7.30,7.30,7.31
32.89,6.01,-1.27,6.01,-1.27,1.27,1.22,1.71,7.29,7.29,7.29
33.22,6.01,-1.26,6.01,-1.26,1.26,1.21,1.70,7.27,7.27,7.27
33.55,6.00,-1.25,6.00,-1.25,1.25,1.20,1.69,7.26,7.26,7.25
33.89,5.99,-1.24,5.99,-1.24,1.25,1.19,1.68,7.24,7.24,7.24
34.23,5.98,-1.24,5.98,-1.24,1.24,1.18,1.67,7.23,7.23,7.22
34.57,5.97,-1.24,5.97,-1.24,1.24,1.17,1.65,7.21,7.21,7.21
34.92,5.96,-1.24,5.96,-1.24,1.24,1.16,1.64,7.20,7.20,7.20
35.27,5.95,-1.24,5.95,-1.24,1.24,1.15,1.62,7.18,7.18,7.19
35.62,5.93,-1.24,5.93,-1.24,1.24,1.14,1.60,7.17,7.17,7.17
35.97,5.92,-1.23,5.92,-1.23,1.23,1.13,1.58,7.15,7.15,7.15
36.33,5.91,-1.23,5.91,-1.23,1.23,1.12,1.56,7.14,7.14,7.14
36.70,5.89,-1.23,5.89,-1.23,1.23,1.11,1.54,7.12,7.12,7.12
37.06,5.88,-1.23,5.88,-1.23,1.23,1.11,1.52,7.11,7.11,7.11
37.43,5.87,-1.23,5.87,-1.22,1.22,1.10,1.49,7.09,7.09,7.09
37.81,5.86,-1.22,5.86,-1.22,1.22,1.09,1.47,7.07,7.07,7.07
38.19,5.84,-1.21,5.84,-1.21,1.21,1.09,1.45,7.06,7.06,7.05
38.57,5.83,-1.20,5.83,-1.21,1.21,1.08,1.43,7.04,7.04,7.04
38.95,5.82,-1.20,5.82,-1.20,1.21,1.07,1.41,7.03,7.03,7.02
39.34,5.81,-1.20,5.81,-1.20,1.20,1.07,1.39,7.01,7.01,7.01
39.74,5.80,-1.20,5.80,-1.20,1.19,1.06,1.37,7.00,7.00,7.00
40.14,5.79,-1.19,5.79,-1.19,1.18,1.06,1.35,6.98,6.98,6.99
40.54,5.78,-1.18,5.78,-1.18,1.17,1.05,1.33,6.96,6.96,6.96
40.94,5.77,-1.16,5.77,-1.16,1.16,1.05,1.31,6.94,6.94,6.94
