frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.73,1.12,10.73,1.12,-1.10,-0.01,-0.16,9.63,9.63,9.62
20.20,10.74,1.08,10.74,1.08,-1.07,-0.01,-0.17,9.67,9.67,9.66
20.40,10.75,1.04,10.75,1.04,-1.04,-0.01,-0.17,9.71,9.71,9.71
20.61,10.75,1.00,10.75,1.00,-1.01,-0.01,-0.18,9.74,9.74,9.75
20.81,10.76,0.97,10.76,0.97,-0.99,-0.01,-0.19,9.77,9.77,9.79
21.02,10.76,0.94,10.76,0.94,-0.96,-0.01,-0.19,9.81,9.81,9.82
21.23,10.77,0.92,10.77,0.92,-0.93,-0.01,-0.20,9.84,9.84,9.85
21.44,10.78,0.90,10.78,0.90,-0.90,-0.01,-0.20,9.87,9.87,9.88
21.66,10.78,0.88,10.78,0.88,-0.88,-0.01,-0.21,9.90,9.90,9.90
21.87,10.79,0.87,10.79,0.87,-0.86,-0.01,-0.22,9.92,9.92,9.92
22.09,10.79,0.85,10.79,0.85,-0.84,-0.01,-0.22,9.95,9.95,9.94
22.31,10.79,0.82,10.79,0.82,-0.81,-0.01,-0.23,9.99,9.99,9.97
22.54,10.80,0.79,10.80,0.79,-0.77,-0.01,-0.24,10.02,10.02,10.01
22.76,10.80,0.75,10.80,0.75,-0.74,-0.01,-0.24,10.06,10.06,10.05
22.99,10.80,0.70,10.80,0.70,-0.70,-0.01,-0.25,10.10,10.10,10.10
23.22,10.81,0.66,10.81,0.66,-0.67,-0.02,-0.26,10.14,10.14,10.15
23.45,10.81,0.62,10.81,0.62,-0.64,-0.02,-0.27,10.17,10.17,10.19
23.69,10.82,0.59,10.82,0.59,-0.61,-0.02,-0.27,10.20,10.20,10.22
23.92,10.82,0.58,10.82,0.58,-0.60,-0.02,-0.28,10.22,10.22,10.24
24.16,10.83,0.58,10.83,0.58,-0.59,-0.02,-0.29,10.24,10.24,10.25
24.40,10.84,0.58,10.84,0.58,-0.58,-0.02,-0.30,10.26,10.26,10.26
24.65,10.85,0.59,10.85,0.59,-0.57,-0.02,-0.30,10.27,10.27,10.26
24.89,10.86,0.59,10.86,0.58,-0.56,-0.02,-0.31,10.29,10.29,10.27
25.14,10.87,0.57,10.87,0.57,-0.55,-0.02,-0.32,10.32,10.32,10.30
25.39,10.88,0.55,10.88,0.54,-0.53,-0.02,-0.33,10.35,10.35,10.33
25.65,10.89,0.50,10.89,0.51,-0.50,-0.02,-0.34,10.38,10.38,10.38
25.91,10.89,0.46,10.90,0.47,-0.48,-0.02,-0.35,10.42,10.42,10.43
26.16,10.90,0.43,10.90,0.43,-0.45,-0.02,-0.35,10.46,10.46,10.48
26.43,10.90,0.40,10.90,0.40,-0.41,-0.02,-0.36,10.49,10.49,10.51
26.69,10.89,0.38,10.90,0.38,-0.38,-0.02,-0.37,10.51,10.51,10.52
26.96,10.88,0.36,10.88,0.36,-0.35,-0.02,-0.38,10.53,10.53,10.52
27.23,10.86,0.34,10.86,0.34,-0.32,-0.02,-0.38,10.54,10.54,10.52
27.50,10.83,0.31,10.83,0.31,-0.29,-0.02,-0.39,10.54,10.54,10.51
27.77,10.80,0.27,10.80,0.27,-0.26,-0.02,-0.40,10.54,10.54,10.52
28.05,10.77,0.23,10.78,0.23,-0.24,-0.02,-0.40,10.54,10.54,10.54
28.33,10.77,0.20,10.77,0.20,-0.22,-0.02,-0.41,10.55,10.55,10.57
28.62,10.78,0.18,10.78,0.18,-0.22,-0.02,-0.41,10.56,10.56,10.60
28.90,10.80,0.18,10.80,0.19,-0.22,-0.02,-0.42,10.58,10.58,10.62
29.19,10.84,0.21,10.84,0.21,-0.23,-0.02,-0.42,10.61,10.61,10.64
29.48,10.89,0.25,10.89,0.25,-0.24,-0.02,-0.43,10.65,10.65,10.64
29.78,10.93,0.28,10.93,0.28,-0.26,-0.03,-0.43,10.68,10.68,10.65
30.08,10.97,0.31,10.97,0.31,-0.27,-0.03,-0.43,10.70,10.70,10.66
30.38,10.99,0.31,10.98,0.31,-0.28,-0.03,-0.43,10.71,10.71,10.67
30.68,10.98,0.29,10.98,0.29,-0.28,-0.03,-0.43,10.71,10.71,10.69
30.99,10.97,0.26,10.97,0.26,-0.27,-0.03,-0.43,10.70,10.70,10.71
31.30,10.95,0.23,10.95,0.23,-0.25,-0.03,-0.43,10.69,10.70,10.72
31.61,10.93,0.21,10.93,0.21,-0.23,-0.03,-0.43,10.70,10.70,10.72
31.93,10.92,0.19,10.92,0.20,-0.21,-0.03,-0.43,10.71,10.71,10.72
32.24,10.92,0.19,10.92,0.19,-0.19,-0.03,-0.43,10.73,10.73,10.73
32.57,10.92,0.18,10.92,0.18,-0.17,-0.03,-0.42,10.75,10.75,10.74
32.89,10.93,0.17,10.93,0.17,-0.16,-0.03,-0.42,10.77,10.77,10.76
33.22,10.93,0.15,10.93,0.15,-0.14,-0.03,-0.41,10.79,10.79,10.78
33.55,10.92,0.13,10.92,0.13,-0.12,-0.03,-0.41,10.81,10.80,10.80
33.89,10.91,0.10,10.91,0.10,-0.10,-0.03,-0.40,10.81,10.81,10.81
34.23,10.89,0.07,10.89,0.07,-0.07,-0.03,-0.39,10.82,10.82,10.83
34.57,10.88,0.04,10.88,0.04,-0.06,-0.03,-0.39,10.82,10.82,10.84
34.92,10.87,0.03,10.87,0.03,-0.04,-0.04,-0.38,10.83,10.83,10.84
35.27,10.87,0.02,10.87,0.02,-0.03,-0.04,-0.37,10.84,10.84,10.85
35.62,10.88,0.02,10.88,0.02,-0.02,-0.04,-0.36,10.85,10.85,10.86
35.97,10.88,0.02,10.88,0.02,-0.02,-0.04,-0.35,10.86,10.86,10.86
36.33,10.89,0.03,10.89,0.02,-0.02,-0.04,-0.34,10.87,10.87,10.87
36.70,10.90,0.03,10.90,0.03,-0.02,-0.04,-0.33,10.87,10.87,10.87
37.06,10.90,0.03,10.90,0.03,-0.03,-0.04,-0.32,10.88,10.87,10.87
37.43,10.90,0.03,10.90,0.03,-0.03,-0.04,-0.31,10.88,10.87,10.87
37.81,10.90,0.03,10.90,0.03,-0.03,-0.04,-0.30,10.87,10.87,10.87
38.19,10.90,0.03,10.90,0.03,-0.03,-0.04,-0.29,10.87,10.87,10.87
38.57,10.89,0.02,10.89,0.02,-0.02,-0.04,-0.28,10.86,10.86,10.87
38.95,10.88,0.02,10.88,0.02,-0.02,-0.04,-0.27,10.86,10.86,10.87
39.34,10.87,0.01,10.88,0.01,-0.02,-0.05,-0.26,10.86,10.86,10.87
39.74,10.87,0.01,10.87,0.01,-0.01,-0.05,-0.24,10.86,10.86,10.86
40.14,10.87,0.01,10.87,0.01,-0.01,-0.05,-0.23,10.86,10.86,10.86
40.54,10.87,0.01,10.87,0.01,-0.00,-0.05,-0.22,10.87,10.87,10.86
40.94,10.87,0.01,10.87,0.00,0.00,-0.05,-0.21,10.87,10.87,10.87
41.35,10.87,-0.01,10.87,-0.01,0.01,-0.05,-0.20,10.88,10.88,10.87
41.76,10.86,-0.02,10.86,-0.02,0.01,-0.05,-0.19,10.88,10.88,10.88
42.18,10.85,-0.03,10.85,-0.03,0.02,-0.05,-0.18,10.87,10.87,10.88
42.60,10.85,-0.03,10.85,-0.03,0.03,-0.05,-0.17,10.87,10.87,10.88
43.03,10.84,-0.03,10.84,-0.03,0.03,-0.06,-0.16,10.87,10.87,10.87
43.46,10.83,-0.03,10.83,-0.03,0.04,-0.06,-0.15,10.87,10.87,10.86
43.90,10.82,-0.03,10.82,-0.03,0.04,-0.06,-0.13,10.86,10.86,10.85
44.33,10.81,-0.04,10.81,-0.04,0.05,-0.06,-0.12,10.86,10.86,10.85
44.78,10.80,-0.05,10.80,-0.05,0.05,-0.06,-0.11,10.85,10.85,10.85
45.23,10.79,-0.06,10.79,-0.06,0.05,-0.06,-0.10,10.85,10.85,10.85
45.68,10.79,-0.06,10.79,-0.06,0.06,-0.06,-0.09,10.84,10.84,10.85
46.13,10.78,-0.06,10.78,-0.06,0.06,-0.06,-0.08,10.84,10.84,10.84
46.60,10.77,-0.06,10.77,-0.06,0.06,-0.07,-0.07,10.84,10.84,10.84
47.06,10.77,-0.06,10.77,-0.06,0.06,-0.07,-0.06,10.83,10.83,10.83
47.53,10.76,-0.06,10.76,-0.06,0.06,-0.07,-0.05,10.82,10.82,10.83
48.01,10.76,-0.06,10.76,-0.06,0.05,-0.07,-0.04,10.81,10.81,10.82
48.49,10.76,-0.05,10.76,-0.05,0.05,-0.07,-0.03,10.81,10.81,10.81
48.97,10.77,-0.04,10.77,-0.04,0.04,-0.07,-0.02,10.81,10.81,10.81
49.46,10.77,-0.03,10.77,-0.03,0.04,-0.08,-0.01,10.81,10.81,10.80
49.96,10.77,-0.03,10.76,-0.03,0.04,-0.08,-0.00,10.80,10.80,10.79
50.46,10.75,-0.03,10.76,-0.03,0.04,-0.08,0.00,10.79,10.79,10.78
50.96,10.74,-0.04,10.74,-0.04,0.04,-0.08,0.01,10.78,10.78,10.78
51.47,10.72,-0.05,10.72,-0.05,0.05,-0.08,0.02,10.77,10.77,10.77
51.99,10.70,-0.07,10.70,-0.06,0.06,-0.08,0.03,10.76,10.76,10.76
