frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.80,-3.96,3.81,-3.96,3.98,3.73,1.84,7.79,7.79,7.76
20.20,3.83,-3.98,3.82,-3.99,4.00,3.83,1.89,7.82,7.82,7.81
20.40,3.84,-4.01,3.84,-4.01,4.01,3.93,1.95,7.86,7.85,7.85
20.61,3.86,-4.03,3.86,-4.03,4.02,4.02,2.00,7.88,7.88,7.90
20.81,3.88,-4.06,3.88,-4.06,4.03,4.12,2.06,7.91,7.91,7.94
21.02,3.90,-4.07,3.90,-4.07,4.04,4.18,2.12,7.94,7.94,7.97
21.23,3.93,-4.07,3.93,-4.07,4.04,4.24,2.18,7.97,7.97,8.00
21.44,3.96,-4.06,3.96,-4.06,4.04,4.26,2.25,8.01,8.01,8.02
21.66,4.01,-4.04,4.00,-4.04,4.03,4.28,2.31,8.04,8.04,8.04
21.87,4.05,-4.02,4.05,-4.02,4.02,4.27,2.38,8.07,8.07,8.07
22.09,4.09,-4.00,4.09,-4.00,4.02,4.26,2.45,8.10,8.11,8.09
22.31,4.13,-3.99,4.13,-3.99,4.01,4.24,2.52,8.14,8.14,8.12
22.54,4.16,-4.00,4.16,-4.00,4.02,4.23,2.59,8.18,8.18,8.15
22.76,4.18,-4.02,4.18,-4.02,4.04,4.23,2.67,8.22,8.22,8.20
22.99,4.20,-4.05,4.19,-4.05,4.06,4.24,2.74,8.26,8.25,8.25
23.22,4.20,-4.09,4.20,-4.09,4.08,4.25,2.82,8.29,8.29,8.30
23.45,4.21,-4.13,4.21,-4.12,4.10,4.26,2.90,8.31,8.31,8.34
23.69,4.22,-4.15,4.22,-4.15,4.12,4.26,2.98,8.34,8.34,8.37
23.92,4.24,-4.15,4.24,-4.15,4.12,4.26,3.06,8.36,8.36,8.39
24.16,4.26,-4.15,4.26,-4.14,4.13,4.24,3.15,8.38,8.38,8.40
24.40,4.28,-4.13,4.28,-4.12,4.12,4.22,3.23,8.40,8.40,8.40
24.65,4.30,-4.10,4.30,-4.10,4.12,4.20,3.32,8.42,8.42,8.41
24.89,4.33,-4.09,4.33,-4.09,4.12,4.17,3.41,8.45,8.45,8.42
25.14,4.34,-4.10,4.34,-4.10,4.13,4.15,3.50,8.48,8.48,8.44
25.39,4.36,-4.12,4.36,-4.12,4.15,4.12,3.59,8.51,8.51,8.48
25.65,4.37,-4.16,4.37,-4.16,4.17,4.09,3.68,8.54,8.54,8.53
25.91,4.38,-4.20,4.38,-4.20,4.19,4.07,3.77,8.57,8.57,8.58
26.16,4.38,-4.24,4.38,-4.24,4.22,4.05,3.86,8.60,8.60,8.62
26.43,4.39,-4.27,4.39,-4.26,4.23,4.03,3.95,8.62,8.62,8.65
26.69,4.40,-4.27,4.40,-4.27,4.25,4.01,4.04,8.64,8.64,8.67
26.96,4.41,-4.26,4.41,-4.26,4.25,4.00,4.12,8.66,8.66,8.67
27.23,4.42,-4.24,4.42,-4.24,4.25,3.99,4.21,8.67,8.67,8.66
27.50,4.44,-4.22,4.44,-4.22,4.24,3.97,4.29,8.68,8.68,8.66
27.77,4.46,-4.21,4.46,-4.21,4.23,3.97,4.37,8.69,8.69,8.67
28.05,4.49,-4.20,4.49,-4.20,4.21,3.96,4.45,8.70,8.70,8.69
28.33,4.53,-4.19,4.53,-4.19,4.19,3.96,4.53,8.71,8.71,8.72
28.62,4.56,-4.18,4.56,-4.18,4.16,3.96,4.60,8.73,8.73,8.74
28.90,4.61,-4.16,4.61,-4.16,4.14,3.96,4.66,8.75,8.75,8.77
29.19,4.65,-4.13,4.65,-4.13,4.11,3.96,4.73,8.77,8.77,8.78
29.48,4.70,-4.09,4.70,-4.09,4.09,3.96,4.78,8.79,8.79,8.79
29.78,4.74,-4.05,4.74,-4.05,4.06,3.97,4.84,8.81,8.81,8.80
30.08,4.78,-4.02,4.78,-4.03,4.05,3.97,4.88,8.83,8.83,8.81
30.38,4.81,-4.01,4.81,-4.02,4.04,3.98,4.92,8.85,8.84,8.82
30.68,4.82,-4.02,4.82,-4.02,4.04,3.98,4.95,8.86,8.85,8.84
30.99,4.81,-4.04,4.81,-4.04,4.05,3.99,4.98,8.86,8.86,8.85
31.30,4.80,-4.06,4.80,-4.06,4.06,4.00,4.99,8.86,8.86,8.86
31.61,4.78,-4.09,4.78,-4.09,4.08,4.00,5.01,8.86,8.86,8.87
31.93,4.76,-4.11,4.76,-4.11,4.10,4.01,5.01,8.86,8.86,8.87
32.24,4.75,-4.13,4.75,-4.13,4.11,4.02,5.01,8.86,8.86,8.88
32.57,4.75,-4.14,4.75,-4.14,4.12,4.03,5.01,8.87,8.87,8.89
32.89,4.76,-4.14,4.77,-4.14,4.13,4.04,5.00,8.90,8.90,8.90
33.22,4.79,-4.14,4.79,-4.14,4.14,4.04,4.98,8.92,8.92,8.92
33.55,4.81,-4.13,4.81,-4.13,4.14,4.05,4.95,8.95,8.95,8.94
33.89,4.83,-4.13,4.82,-4.14,4.15,4.06,4.92,8.98,8.98,8.96
34.23,4.83,-4.14,4.83,-4.15,4.16,4.07,4.89,8.99,8.99,8.97
34.57,4.82,-4.16,4.82,-4.16,4.18,4.08,4.85,9.00,8.99,8.98
34.92,4.80,-4.19,4.80,-4.19,4.19,4.08,4.82,8.99,8.99,8.99
35.27,4.78,-4.21,4.79,-4.21,4.20,4.09,4.77,8.98,8.98,9.00
35.62,4.77,-4.23,4.78,-4.23,4.21,4.10,4.73,8.98,8.98,9.00
35.97,4.77,-4.23,4.78,-4.23,4.21,4.10,4.68,8.99,8.99,9.01
36.33,4.79,-4.22,4.79,-4.22,4.22,4.11,4.63,9.00,9.00,9.01
36.70,4.80,-4.21,4.80,-4.21,4.22,4.12,4.58,9.02,9.02,9.02
37.06,4.82,-4.20,4.81,-4.20,4.22,4.12,4.53,9.03,9.03,9.02
37.43,4.82,-4.20,4.82,-4.20,4.22,4.13,4.48,9.04,9.04,9.02
37.81,4.81,-4.21,4.81,-4.21,4.22,4.13,4.43,9.03,9.03,9.02
38.19,4.80,-4.22,4.80,-4.22,4.22,4.14,4.38,9.02,9.02,9.01
38.57,4.78,-4.23,4.78,-4.23,4.23,4.14,4.33,9.01,9.01,9.01
38.95,4.77,-4.24,4.77,-4.24,4.23,4.15,4.29,9.00,9.00,9.01
39.34,4.77,-4.25,4.77,-4.25,4.23,4.15,4.24,9.00,9.00,9.01
39.74,4.77,-4.24,4.77,-4.24,4.23,4.15,4.20,8.99,8.99,9.01
40.14,4.78,-4.23,4.78,-4.23,4.21,4.15,4.16,8.99,9.00,9.01
40.54,4.80,-4.20,4.81,-4.20,4.19,4.16,4.12,9.00,9.00,9.01
40.94,4.84,-4.17,4.84,-4.17,4.17,4.16,4.08,9.01,9.01,9.01
41.35,4.88,-4.15,4.88,-4.15,4.15,4.16,4.05,9.03,9.03,9.02
41.76,4.91,-4.12,4.91,-4.12,4.13,4.16,4.01,9.04,9.04,9.03
42.18,4.93,-4.10,4.93,-4.10,4.12,4.16,3.98,9.04,9.04,9.03
42.60,4.94,-4.09,4.93,-4.09,4.10,4.16,3.96,9.04,9.04,9.03
43.03,4.93,-4.09,4.93,-4.09,4.10,4.15,3.93,9.02,9.02,9.02
43.46,4.91,-4.09,4.91,-4.09,4.09,4.15,3.91,9.01,9.01,9.01
43.90,4.90,-4.10,4.90,-4.10,4.09,4.15,3.90,8.99,8.99,9.00
44.33,4.90,-4.10,4.90,-4.10,4.09,4.15,3.88,8.99,8.99,9.00
44.78,4.90,-4.10,4.90,-4.10,4.09,4.14,3.87,8.99,8.99,9.00
45.23,4.90,-4.10,4.90,-4.09,4.09,4.14,3.86,8.99,8.99,9.00
45.68,4.91,-4.08,4.91,-4.08,4.09,4.14,3.85,9.00,9.00,8.99
46.13,4.92,-4.07,4.91,-4.07,4.09,4.13,3.85,9.00,9.00,8.99
46.60,4.91,-4.07,4.91,-4.07,4.09,4.13,3.85,9.00,9.00,8.98
47.06,4.90,-4.08,4.90,-4.08,4.09,4.12,3.85,8.99,8.99,8.98
47.53,4.88,-4.09,4.88,-4.09,4.09,4.11,3.86,8.98,8.97,8.97
48.01,4.86,-4.11,4.86,-4.11,4.10,4.11,3.87,8.96,8.96,8.97
48.49,4.84,-4.12,4.84,-4.12,4.10,4.10,3.88,8.94,8.95,8.96
48.97,4.83,-4.12,4.83,-4.12,4.11,4.09,3.89,8.94,8.95,8.96
49.46,4.83,-4.12,4.83,-4.12,4.12,4.08,3.91,8.95,8.95,8.95
49.96,4.83,-4.11,4.82,-4.11,4.12,4.07,3.93,8.95,8.95,8.94
50.46,4.81,-4.12,4.81,-4.12,4.13,4.07,3.94,8.94,8.94,8.93
50.96,4.79,-4.13,4.80,-4.13,4.13,4.06,3.97,8.93,8.93,8.92
51.47,4.78,-4.14,4.78,-4.14,4.13,4.05,3.99,8.91,8.91,8.92
51.99,4.77,-4.14,4.77,-4.14,4.14,4.04,4.01,8.90,8.91,8.91
52.51,4.76,-4.14,4.76,-4.14,4.14,4.03,4.04,8.90,8.90,8.90
53.03,4.75,-4.13,4.75,-4.14,4.14,4.02,4.06,8.89,8.89,8.88
53.56,4.73,-4.14,4.73,-4.14,4.14,4.01,4.09,8.87,8.87,8.87
54.10,4.71,-4.14,4.71,-4.14,4.13,4.00,4.11,8.84,8.85,8.85
54.64,4.70,-4.14,4.70,-4.14,4.13,3.98,4.14,8.82,8.83,8.84
55.18,4.70,-4.13,4.70,-4.13,4.12,3.97,4.16,8.82,8.82,8.82
55.74,4.71,-4.11,4.70,-4.11,4.12,3.96,4.19,8.82,8.82,8.81
56.29,4.71,-4.09,4.71,-4.09,4.11,3.95,4.21,8.82,8.82,8.80
56.86,4.70,-4.08,4.70,-4.09,4.10,3.94,4.23,8.80,8.79,8.78
57.42,4.68,-4.08,4.68,-4.09,4.08,3.93,4.25,8.76,8.76,8.77
58.00,4.66,-4.09,4.67,-4.08,4.06,3.91,4.27,8.71,8.72,8.75
58.58,4.67,-4.06,4.67,-4.06,4.04,3.90,4.28,8.70,8.70,8.73
59.16,4.68,-4.03,4.68,-4.03,4.02,3.89,4.29,8.70,8.70,8.71
59.76,4.71,-3.98,4.71,-3.99,4.00,3.88,4.30,8.71,8.71,8.69
60.35,4.72,-3.95,4.72,-3.95,3.99,3.87,4.30,8.71,8.71,8.67
60.96,4.72,-3.94,4.71,-3.94,3.97,3.85,4.30,8.69,8.68,8.65
61.57,4.69,-3.95,4.68,-3.95,3.96,3.84,4.30,8.64,8.64,8.63
