frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.31,-3.79,6.31,-3.79,3.81,0.00,1.34,10.11,10.11,10.10
20.20,6.36,-3.78,6.36,-3.78,3.79,0.00,1.38,10.15,10.15,10.14
20.40,6.41,-3.77,6.41,-3.78,3.77,0.00,1.43,10.19,10.19,10.19
20.61,6.47,-3.77,6.47,-3.76,3.76,0.00,1.47,10.22,10.22,10.23
20.81,6.52,-3.75,6.52,-3.75,3.74,0.00,1.51,10.26,10.26,10.27
21.02,6.57,-3.74,6.57,-3.74,3.72,0.00,1.56,10.29,10.29,10.30
21.23,6.62,-3.71,6.62,-3.71,3.70,0.00,1.60,10.32,10.32,10.33
21.44,6.67,-3.69,6.67,-3.69,3.68,0.00,1.65,10.35,10.35,10.36
21.66,6.72,-3.66,6.72,-3.66,3.66,0.00,1.70,10.38,10.38,10.38
21.87,6.77,-3.63,6.77,-3.63,3.63,0.00,1.75,10.40,10.40,10.40
22.09,6.82,-3.60,6.82,-3.60,3.61,0.00,1.80,10.43,10.43,10.42
22.31,6.87,-3.58,6.87,-3.58,3.59,0.00,1.86,10.47,10.47,10.45
22.54,6.92,-3.57,6.92,-3.57,3.58,0.00,1.91,10.50,10.50,10.49
22.76,6.97,-3.56,6.97,-3.56,3.57,0.00,1.97,10.54,10.54,10.53
22.99,7.02,-3.56,7.02,-3.56,3.56,0.00,2.03,10.58,10.58,10.58
23.22,7.07,-3.56,7.07,-3.56,3.55,0.00,2.08,10.62,10.62,10.63
23.45,7.12,-3.55,7.12,-3.55,3.54,0.00,2.14,10.66,10.65,10.67
23.69,7.17,-3.54,7.17,-3.53,3.52,0.00,2.21,10.68,10.68,10.70
23.92,7.22,-3.51,7.22,-3.51,3.49,0.00,2.27,10.71,10.71,10.72
24.16,7.26,-3.47,7.26,-3.47,3.46,0.00,2.33,10.72,10.72,10.74
24.40,7.31,-3.43,7.31,-3.43,3.43,0.00,2.40,10.74,10.74,10.74
24.65,7.36,-3.38,7.36,-3.38,3.40,0.00,2.46,10.76,10.76,10.74
24.89,7.41,-3.35,7.41,-3.35,3.37,0.00,2.53,10.78,10.78,10.75
25.14,7.45,-3.32,7.45,-3.32,3.35,0.00,2.59,10.80,10.80,10.78
25.39,7.50,-3.31,7.50,-3.32,3.34,0.00,2.66,10.83,10.83,10.81
25.65,7.54,-3.32,7.54,-3.32,3.32,0.00,2.73,10.87,10.87,10.86
25.91,7.59,-3.32,7.59,-3.32,3.31,0.00,2.79,10.90,10.90,10.91
26.16,7.63,-3.33,7.63,-3.32,3.30,0.00,2.86,10.93,10.93,10.96
26.43,7.67,-3.31,7.67,-3.31,3.28,-0.00,2.93,10.96,10.96,10.99
26.69,7.72,-3.28,7.72,-3.28,3.26,-0.00,2.99,10.98,10.98,11.00
26.96,7.76,-3.24,7.76,-3.24,3.24,-0.00,3.06,11.00,11.00,11.00
27.23,7.80,-3.20,7.80,-3.20,3.21,-0.00,3.12,11.01,11.01,11.00
27.50,7.84,-3.15,7.84,-3.16,3.18,-0.00,3.18,11.02,11.02,11.00
27.77,7.88,-3.12,7.88,-3.12,3.14,-0.00,3.24,11.03,11.03,11.00
28.05,7.92,-3.10,7.92,-3.10,3.12,-0.00,3.29,11.04,11.04,11.02
