frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.92,1.65,6.92,1.65,-1.66,0.25,-0.11,5.27,5.26,5.28
20.20,6.92,1.61,6.92,1.62,-1.62,0.26,-0.11,5.30,5.30,5.30
20.40,6.91,1.58,6.91,1.58,-1.58,0.26,-0.12,5.33,5.33,5.33
20.61,6.90,1.55,6.90,1.54,-1.53,0.27,-0.12,5.37,5.36,5.35
20.81,6.88,1.50,6.88,1.50,-1.49,0.27,-0.13,5.39,5.39,5.38
21.02,6.86,1.45,6.86,1.45,-1.44,0.28,-0.13,5.42,5.42,5.41
21.23,6.84,1.40,6.84,1.40,-1.40,0.28,-0.14,5.44,5.44,5.44
21.44,6.82,1.35,6.82,1.35,-1.35,0.29,-0.14,5.47,5.47,5.47
21.66,6.80,1.30,6.80,1.30,-1.30,0.29,-0.15,5.50,5.50,5.50
21.87,6.77,1.24,6.77,1.24,-1.24,0.30,-0.16,5.53,5.53,5.53
22.09,6.75,1.19,6.75,1.19,-1.19,0.31,-0.16,5.56,5.56,5.55
22.31,6.72,1.14,6.72,1.14,-1.14,0.31,-0.17,5.58,5.58,5.58
22.54,6.69,1.09,6.69,1.09,-1.09,0.32,-0.18,5.61,5.61,5.61
22.76,6.67,1.04,6.67,1.04,-1.04,0.33,-0.18,5.63,5.63,5.63
22.99,6.64,0.99,6.64,0.99,-0.99,0.33,-0.19,5.65,5.65,5.65
23.22,6.62,0.94,6.62,0.94,-0.94,0.34,-0.20,5.68,5.68,5.68
23.45,6.60,0.90,6.60,0.90,-0.90,0.35,-0.21,5.70,5.70,5.70
23.69,6.58,0.86,6.58,0.86,-0.86,0.35,-0.21,5.72,5.72,5.72
23.92,6.57,0.83,6.57,0.83,-0.83,0.36,-0.22,5.74,5.74,5.74
24.16,6.56,0.80,6.56,0.81,-0.81,0.37,-0.23,5.75,5.75,5.76
24.40,6.57,0.79,6.57,0.79,-0.79,0.37,-0.24,5.77,5.77,5.78
24.65,6.57,0.77,6.57,0.77,-0.78,0.38,-0.25,5.79,5.79,5.80
24.89,6.59,0.77,6.59,0.77,-0.78,0.39,-0.25,5.81,5.81,5.82
25.14,6.60,0.77,6.60,0.77,-0.77,0.40,-0.26,5.83,5.83,5.84
25.39,6.62,0.77,6.62,0.77,-0.77,0.41,-0.27,5.85,5.85,5.86
25.65,6.64,0.77,6.64,0.77,-0.77,0.41,-0.28,5.88,5.88,5.87
25.91,6.65,0.76,6.65,0.76,-0.75,0.42,-0.28,5.90,5.90,5.89
26.16,6.66,0.75,6.65,0.75,-0.73,0.43,-0.29,5.92,5.92,5.91
26.43,6.64,0.72,6.64,0.72,-0.70,0.44,-0.29,5.94,5.94,5.92
26.69,6.61,0.67,6.61,0.67,-0.66,0.45,-0.30,5.95,5.96,5.94
26.96,6.57,0.62,6.57,0.61,-0.60,0.46,-0.30,5.97,5.97,5.96
27.23,6.52,0.55,6.52,0.54,-0.54,0.47,-0.31,5.98,5.98,5.97
27.50,6.46,0.47,6.46,0.47,-0.47,0.48,-0.31,5.99,5.99,5.99
27.77,6.40,0.39,6.40,0.39,-0.40,0.49,-0.31,6.00,6.00,6.01
28.05,6.34,0.32,6.34,0.32,-0.33,0.50,-0.32,6.01,6.01,6.02
28.33,6.29,0.25,6.29,0.25,-0.26,0.51,-0.32,6.03,6.03,6.04
28.62,6.24,0.19,6.24,0.19,-0.19,0.52,-0.32,6.04,6.04,6.05
