frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.97,1.72,8.97,1.72,-1.73,0.21,-0.10,7.23,7.24,7.25
20.20,8.90,1.62,8.89,1.62,-1.62,0.22,-0.11,7.28,7.28,7.27
20.40,8.83,1.53,8.82,1.52,-1.51,0.22,-0.11,7.31,7.31,7.30
20.61,8.76,1.43,8.76,1.43,-1.42,0.23,-0.12,7.34,7.34,7.33
20.81,8.70,1.34,8.70,1.34,-1.33,0.23,-0.12,7.36,7.36,7.36
21.02,8.65,1.26,8.65,1.26,-1.26,0.24,-0.13,7.39,7.38,7.39
21.23,8.60,1.19,8.61,1.19,-1.20,0.24,-0.14,7.41,7.41,7.41
21.44,8.58,1.14,8.58,1.14,-1.15,0.25,-0.14,7.43,7.43,7.44
21.66,8.57,1.10,8.57,1.10,-1.11,0.25,-0.15,7.47,7.46,7.47
21.87,8.57,1.07,8.57,1.07,-1.08,0.26,-0.15,7.49,7.49,7.50
22.09,8.58,1.05,8.58,1.05,-1.06,0.26,-0.16,7.52,7.52,7.53
22.31,8.60,1.05,8.60,1.05,-1.06,0.27,-0.17,7.55,7.55,7.55
22.54,8.63,1.05,8.63,1.05,-1.06,0.28,-0.17,7.57,7.58,7.58
22.76,8.66,1.06,8.67,1.06,-1.06,0.28,-0.18,7.60,7.60,7.60
22.99,8.70,1.07,8.70,1.07,-1.07,0.29,-0.19,7.63,7.63,7.63
23.22,8.72,1.08,8.72,1.07,-1.07,0.29,-0.19,7.66,7.66,7.65
23.45,8.74,1.07,8.74,1.07,-1.06,0.30,-0.20,7.68,7.68,7.67
23.69,8.75,1.06,8.75,1.06,-1.04,0.31,-0.21,7.70,7.70,7.69
23.92,8.74,1.03,8.74,1.03,-1.01,0.31,-0.22,7.73,7.73,7.71
24.16,8.72,0.98,8.72,0.98,-0.97,0.32,-0.22,7.75,7.75,7.73
24.40,8.68,0.92,8.68,0.92,-0.91,0.33,-0.23,7.76,7.76,7.75
24.65,8.63,0.85,8.63,0.85,-0.85,0.33,-0.24,7.78,7.78,7.77
24.89,8.57,0.77,8.57,0.77,-0.77,0.34,-0.25,7.79,7.79,7.79
25.14,8.50,0.69,8.50,0.69,-0.69,0.35,-0.25,7.81,7.81,7.81
25.39,8.43,0.60,8.43,0.60,-0.61,0.35,-0.26,7.82,7.82,7.83
25.65,8.37,0.52,8.37,0.52,-0.53,0.36,-0.27,7.84,7.84,7.85
25.91,8.30,0.44,8.30,0.44,-0.45,0.37,-0.27,7.86,7.86,7.87
26.16,8.24,0.36,8.25,0.36,-0.37,0.38,-0.28,7.87,7.87,7.88
26.43,8.19,0.30,8.19,0.30,-0.30,0.39,-0.29,7.89,7.89,7.90
26.69,8.15,0.23,8.15,0.23,-0.24,0.39,-0.29,7.91,7.91,7.91
26.96,8.11,0.18,8.11,0.18,-0.18,0.40,-0.30,7.93,7.93,7.93
27.23,8.07,0.12,8.07,0.12,-0.12,0.41,-0.30,7.95,7.95,7.95
27.50,8.03,0.06,8.03,0.06,-0.06,0.42,-0.30,7.97,7.97,7.97
27.77,7.99,0.01,7.99,0.01,0.00,0.43,-0.30,7.99,7.99,7.98
28.05,7.95,-0.05,7.95,-0.05,0.06,0.44,-0.31,8.01,8.01,8.00
28.33,7.90,-0.11,7.90,-0.11,0.12,0.45,-0.31,8.02,8.02,8.01
28.62,7.85,-0.17,7.85,-0.17,0.17,0.46,-0.31,8.02,8.02,8.02
28.90,7.81,-0.22,7.81,-0.22,0.21,0.47,-0.30,8.03,8.03,8.03
29.19,7.78,-0.26,7.78,-0.26,0.25,0.48,-0.30,8.03,8.03,8.04
29.48,7.76,-0.30,7.76,-0.29,0.27,0.49,-0.29,8.03,8.03,8.05
29.78,7.75,-0.31,7.75,-0.31,0.29,0.50,-0.29,8.04,8.04,8.06
30.08,7.76,-0.31,7.76,-0.31,0.30,0.51,-0.28,8.06,8.06,8.07
30.38,7.78,-0.30,7.78,-0.30,0.30,0.52,-0.27,8.07,8.08,8.08
30.68,7.80,-0.29,7.80,-0.29,0.29,0.53,-0.26,8.10,8.09,8.09
30.99,7.82,-0.28,7.82,-0.28,0.30,0.55,-0.24,8.11,8.11,8.10
31.30,7.82,-0.28,7.82,-0.28,0.30,0.56,-0.23,8.12,8.12,8.10
31.61,7.82,-0.30,7.81,-0.30,0.32,0.57,-0.21,8.13,8.13,8.11
31.93,7.79,-0.33,7.79,-0.33,0.34,0.58,-0.19,8.14,8.13,8.12
32.24,7.76,-0.37,7.76,-0.37,0.38,0.60,-0.17,8.13,8.13,8.13
32.57,7.72,-0.42,7.72,-0.42,0.42,0.61,-0.15,8.13,8.13,8.13
32.89,7.67,-0.47,7.67,-0.47,0.46,0.62,-0.13,8.13,8.13,8.14
33.22,7.63,-0.52,7.63,-0.52,0.51,0.64,-0.10,8.14,8.14,8.15
33.55,7.58,-0.57,7.58,-0.57,0.56,0.65,-0.07,8.14,8.14,8.15
33.89,7.54,-0.61,7.54,-0.61,0.61,0.67,-0.04,8.15,8.15,8.16
34.23,7.51,-0.65,7.51,-0.65,0.65,0.68,-0.01,8.16,8.16,8.16
34.57,7.47,-0.69,7.47,-0.69,0.70,0.70,0.02,8.17,8.17,8.17
34.92,7.44,-0.73,7.44,-0.73,0.73,0.71,0.05,8.18,8.18,8.17
35.27,7.41,-0.77,7.41,-0.77,0.77,0.73,0.09,8.18,8.18,8.18
35.62,7.38,-0.80,7.38,-0.80,0.80,0.75,0.12,8.18,8.18,8.18
35.97,7.36,-0.83,7.36,-0.83,0.82,0.76,0.16,8.18,8.18,8.19
36.33,7.34,-0.85,7.34,-0.85,0.85,0.78,0.20,8.18,8.18,8.19
36.70,7.32,-0.87,7.32,-0.87,0.86,0.80,0.24,8.19,8.19,8.19
37.06,7.31,-0.88,7.31,-0.88,0.88,0.82,0.28,8.19,8.19,8.20
37.43,7.31,-0.89,7.31,-0.89,0.89,0.84,0.33,8.20,8.20,8.20
37.81,7.30,-0.90,7.30,-0.90,0.90,0.86,0.37,8.20,8.21,8.20
38.19,7.29,-0.91,7.29,-0.91,0.92,0.88,0.41,8.21,8.21,8.20
38.57,7.28,-0.92,7.28,-0.92,0.94,0.90,0.46,8.21,8.21,8.20
38.95,7.25,-0.95,7.25,-0.95,0.96,0.92,0.51,8.21,8.21,8.20
39.34,7.22,-0.98,7.22,-0.98,0.98,0.94,0.55,8.20,8.20,8.20
39.74,7.18,-1.01,7.18,-1.01,1.01,0.97,0.60,8.19,8.19,8.19
40.14,7.14,-1.04,7.14,-1.04,1.04,0.99,0.65,8.18,8.18,8.19
40.54,7.11,-1.08,7.11,-1.07,1.07,1.01,0.70,8.17,8.18,8.18
40.94,7.08,-1.10,7.08,-1.10,1.10,1.04,0.75,8.18,8.18,8.18
41.35,7.05,-1.13,7.05,-1.13,1.13,1.07,0.80,8.18,8.18,8.18
41.76,7.02,-1.16,7.01,-1.16,1.16,1.09,0.86,8.18,8.18,8.17
42.18,6.98,-1.19,6.98,-1.19,1.20,1.12,0.91,8.17,8.17,8.17
42.60,6.93,-1.23,6.93,-1.23,1.23,1.15,0.96,8.17,8.17,8.16
43.03,6.89,-1.27,6.89,-1.27,1.27,1.18,1.02,8.16,8.16,8.16
43.46,6.84,-1.31,6.84,-1.31,1.32,1.21,1.08,8.15,8.15,8.15
43.90,6.78,-1.36,6.78,-1.36,1.37,1.24,1.13,8.15,8.15,8.14
44.33,6.72,-1.42,6.72,-1.42,1.42,1.27,1.19,8.14,8.14,8.14
44.78,6.66,-1.47,6.66,-1.47,1.47,1.30,1.25,8.12,8.13,8.12
45.23,6.59,-1.52,6.60,-1.52,1.52,1.33,1.31,8.11,8.11,8.11
45.68,6.54,-1.57,6.54,-1.57,1.57,1.37,1.37,8.11,8.11,8.11
46.13,6.48,-1.63,6.48,-1.63,1.62,1.40,1.43,8.10,8.10,8.11
46.60,6.43,-1.67,6.43,-1.67,1.67,1.44,1.49,8.10,8.10,8.11
47.06,6.38,-1.71,6.38,-1.71,1.71,1.47,1.56,8.10,8.10,8.10
47.53,6.34,-1.74,6.34,-1.75,1.76,1.51,1.62,8.10,8.10,8.08
48.01,6.30,-1.79,6.30,-1.79,1.80,1.55,1.68,8.09,8.09,8.08
48.49,6.26,-1.84,6.26,-1.84,1.83,1.59,1.75,8.09,8.09,8.09
48.97,6.22,-1.88,6.22,-1.88,1.86,1.63,1.82,8.08,8.08,8.10
49.46,6.18,-1.92,6.18,-1.91,1.89,1.67,1.88,8.07,8.07,8.10
49.96,6.14,-1.92,6.14,-1.92,1.91,1.71,1.95,8.06,8.06,8.07
50.46,6.10,-1.92,6.10,-1.93,1.94,1.75,2.01,8.05,8.05,8.03
50.96,6.06,-1.94,6.06,-1.94,1.97,1.79,2.08,8.03,8.03,8.00
51.47,6.02,-1.97,6.02,-1.98,1.99,1.83,2.15,8.01,8.01,7.99
51.99,5.97,-2.02,5.97,-2.01,2.02,1.87,2.21,7.99,7.99,7.99
52.51,5.93,-2.06,5.93,-2.05,2.04,1.91,2.28,7.97,7.97,7.98
53.03,5.88,-2.09,5.88,-2.09,2.07,1.95,2.34,7.95,7.95,7.97
53.56,5.84,-2.12,5.84,-2.12,2.10,1.99,2.41,7.94,7.94,7.95
54.10,5.79,-2.14,5.80,-2.14,2.14,2.03,2.47,7.93,7.93,7.93
54.64,5.75,-2.16,5.75,-2.16,2.17,2.07,2.53,7.92,7.92,7.91
55.18,5.71,-2.18,5.71,-2.19,2.20,2.11,2.59,7.91,7.91,7.90
55.74,5.66,-2.22,5.66,-2.22,2.24,2.15,2.65,7.90,7.90,7.89
56.29,5.61,-2.27,5.61,-2.27,2.27,2.18,2.71,7.88,7.88,7.88
56.86,5.55,-2.31,5.56,-2.31,2.31,2.22,2.76,7.87,7.87,7.87
57.42,5.50,-2.36,5.50,-2.36,2.35,2.25,2.81,7.85,7.85,7.86
58.00,5.44,-2.40,5.45,-2.40,2.40,2.28,2.86,7.84,7.84,7.85
58.58,5.39,-2.44,5.39,-2.44,2.44,2.31,2.90,7.83,7.83,7.83
59.16,5.34,-2.48,5.34,-2.48,2.48,2.34,2.95,7.82,7.82,7.82
59.76,5.29,-2.51,5.29,-2.51,2.51,2.37,2.98,7.80,7.80,7.80
60.35,5.24,-2.55,5.24,-2.55,2.55,2.39,3.02,7.79,7.79,7.79
60.96,5.19,-2.58,5.19,-2.58,2.58,2.42,3.05,7.77,7.77,7.78
61.57,5.14,-2.61,5.14,-2.61,2.60,2.44,3.07,7.75,7.75,7.75
62.18,5.09,-2.62,5.09,-2.63,2.63,2.46,3.09,7.72,7.72,7.72
62.80,5.04,-2.65,5.04,-2.65,2.66,2.49,3.11,7.70,7.70,7.69
63.43,4.99,-2.68,4.99,-2.68,2.68,2.51,3.12,7.67,7.67,7.67
64.07,4.94,-2.70,4.94,-2.70,2.70,2.53,3.13,7.65,7.65,7.65
64.71,4.90,-2.73,4.90,-2.73,2.73,2.55,3.14,7.62,7.62,7.62
65.35,4.85,-2.75,4.85,-2.75,2.75,2.58,3.14,7.60,7.60,7.60
66.01,4.80,-2.78,4.80,-2.78,2.78,2.60,3.14,7.57,7.57,7.57
66.67,4.75,-2.80,4.75,-2.80,2.80,2.62,3.13,7.55,7.55,7.55
67.33,4.70,-2.82,4.70,-2.82,2.82,2.64,3.12,7.52,7.52,7.52
68.01,4.65,-2.84,4.65,-2.84,2.85,2.67,3.11,7.49,7.49,7.49
68.69,4.60,-2.87,4.60,-2.87,2.87,2.69,3.09,7.46,7.47,7.47
69.37,4.55,-2.89,4.55,-2.89,2.89,2.72,3.08,7.44,7.44,7.44
70.07,4.50,-2.91,4.50,-2.91,2.91,2.74,3.06,7.41,7.41,7.41
70.77,4.45,-2.93,4.45,-2.93,2.93,2.77,3.04,7.38,7.38,7.38
71.48,4.40,-2.95,4.40,-2.95,2.95,2.79,3.02,7.36,7.36,7.35
72.19,4.35,-2.97,4.35,-2.97,2.97,2.82,2.99,7.32,7.32,7.33
72.91,4.30,-2.99,4.30,-2.99,2.99,2.84,2.97,7.29,7.29,7.30
73.64,4.26,-3.01,4.26,-3.01,3.01,2.87,2.94,7.26,7.26,7.27
74.38,4.21,-3.03,4.21,-3.03,3.03,2.90,2.92,7.24,7.24,7.23
75.12,4.16,-3.04,4.16,-3.04,3.04,2.93,2.89,7.21,7.21,7.20
75.87,4.11,-3.06,4.11,-3.06,3.06,2.96,2.87,7.18,7.18,7.17
76.63,4.06,-3.08,4.06,-3.08,3.08,2.99,2.84,7.14,7.14,7.14
