frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.99,3.13,10.99,3.13,-3.13,-1.97,-1.09,7.87,7.87,7.86
20.20,10.99,3.10,10.99,3.10,-3.10,-1.97,-1.12,7.89,7.89,7.89
20.40,10.99,3.07,10.99,3.07,-3.08,-1.97,-1.16,7.91,7.91,7.92
20.61,10.99,3.05,10.99,3.05,-3.05,-1.98,-1.19,7.93,7.93,7.94
20.81,10.98,3.03,10.98,3.03,-3.03,-1.98,-1.23,7.95,7.95,7.95
21.02,10.98,3.01,10.98,3.01,-3.01,-1.98,-1.26,7.97,7.97,7.97
21.23,10.97,3.00,10.97,2.99,-2.99,-1.99,-1.30,7.99,7.99,7.98
21.44,10.97,2.97,10.97,2.97,-2.97,-1.99,-1.34,8.00,8.00,7.99
21.66,10.96,2.95,10.96,2.95,-2.95,-1.99,-1.38,8.02,8.02,8.01
21.87,10.96,2.93,10.96,2.93,-2.93,-1.99,-1.42,8.03,8.03,8.03
22.09,10.95,2.90,10.95,2.90,-2.91,-2.00,-1.46,8.05,8.05,8.05
22.31,10.95,2.88,10.95,2.88,-2.89,-2.00,-1.51,8.06,8.06,8.07
22.54,10.94,2.87,10.94,2.87,-2.88,-2.00,-1.55,8.06,8.06,8.08
22.76,10.94,2.86,10.94,2.86,-2.87,-2.01,-1.60,8.07,8.07,8.08
22.99,10.93,2.86,10.93,2.86,-2.86,-2.01,-1.65,8.07,8.07,8.08
23.22,10.93,2.86,10.93,2.86,-2.86,-2.01,-1.69,8.07,8.07,8.07
23.45,10.92,2.86,10.92,2.86,-2.85,-2.01,-1.74,8.07,8.07,8.06
23.69,10.92,2.85,10.91,2.85,-2.84,-2.02,-1.79,8.08,8.08,8.06
23.92,10.91,2.84,10.91,2.84,-2.83,-2.02,-1.84,8.08,8.08,8.07
24.16,10.90,2.82,10.90,2.82,-2.81,-2.02,-1.89,8.09,8.09,8.08
24.40,10.90,2.79,10.90,2.79,-2.79,-2.02,-1.95,8.11,8.11,8.10
24.65,10.89,2.76,10.89,2.76,-2.77,-2.03,-2.00,8.12,8.12,8.13
24.89,10.88,2.74,10.88,2.74,-2.75,-2.03,-2.05,8.13,8.13,8.14
25.14,10.88,2.72,10.88,2.72,-2.73,-2.03,-2.11,8.14,8.14,8.16
25.39,10.87,2.71,10.87,2.71,-2.72,-2.03,-2.16,8.15,8.15,8.16
25.65,10.86,2.70,10.86,2.70,-2.71,-2.03,-2.22,8.15,8.15,8.16
25.91,10.85,2.70,10.85,2.70,-2.69,-2.04,-2.27,8.16,8.16,8.15
26.16,10.84,2.69,10.84,2.69,-2.68,-2.04,-2.32,8.16,8.16,8.15
26.43,10.84,2.68,10.83,2.68,-2.67,-2.04,-2.38,8.17,8.17,8.15
26.69,10.83,2.66,10.83,2.66,-2.65,-2.04,-2.43,8.17,8.17,8.16
26.96,10.82,2.64,10.82,2.64,-2.63,-2.04,-2.48,8.18,8.18,8.18
27.23,10.81,2.61,10.81,2.61,-2.61,-2.04,-2.53,8.19,8.19,8.20
27.50,10.79,2.58,10.79,2.58,-2.59,-2.05,-2.58,8.21,8.21,8.21
27.77,10.78,2.56,10.78,2.56,-2.57,-2.05,-2.63,8.22,8.22,8.23
28.05,10.77,2.54,10.77,2.54,-2.54,-2.05,-2.67,8.23,8.23,8.24
28.33,10.76,2.52,10.76,2.52,-2.52,-2.05,-2.71,8.24,8.24,8.24
28.62,10.75,2.50,10.75,2.50,-2.50,-2.05,-2.75,8.25,8.25,8.24
28.90,10.73,2.49,10.73,2.49,-2.48,-2.05,-2.79,8.25,8.25,8.25
29.19,10.72,2.47,10.72,2.47,-2.46,-2.05,-2.82,8.26,8.26,8.25
29.48,10.71,2.44,10.71,2.44,-2.44,-2.06,-2.85,8.27,8.27,8.26
29.78,10.69,2.42,10.69,2.42,-2.42,-2.06,-2.88,8.27,8.27,8.27
30.08,10.68,2.39,10.68,2.39,-2.40,-2.06,-2.90,8.28,8.28,8.28
30.38,10.66,2.37,10.66,2.37,-2.37,-2.06,-2.92,8.29,8.29,8.29
30.68,10.65,2.35,10.65,2.35,-2.35,-2.06,-2.93,8.29,8.29,8.30
30.99,10.63,2.33,10.63,2.33,-2.33,-2.06,-2.94,8.29,8.30,8.30
31.30,10.61,2.32,10.61,2.32,-2.32,-2.06,-2.94,8.30,8.30,8.30
31.61,10.60,2.30,10.60,2.30,-2.30,-2.06,-2.94,8.30,8.30,8.30
31.93,10.58,2.28,10.58,2.28,-2.28,-2.06,-2.94,8.30,8.30,8.30
32.24,10.56,2.26,10.56,2.26,-2.26,-2.06,-2.93,8.30,8.30,8.30
32.57,10.55,2.24,10.55,2.24,-2.24,-2.06,-2.92,8.30,8.30,8.30
32.89,10.53,2.22,10.53,2.22,-2.22,-2.06,-2.90,8.31,8.30,8.31
33.22,10.51,2.20,10.51,2.20,-2.21,-2.06,-2.88,8.31,8.31,8.31
33.55,10.49,2.19,10.49,2.19,-2.19,-2.06,-2.86,8.30,8.30,8.31
33.89,10.47,2.17,10.47,2.17,-2.17,-2.06,-2.83,8.30,8.30,8.30
34.23,10.45,2.16,10.45,2.16,-2.16,-2.07,-2.80,8.30,8.30,8.30
34.57,10.43,2.14,10.43,2.14,-2.14,-2.07,-2.76,8.29,8.29,8.29
34.92,10.41,2.13,10.41,2.13,-2.13,-2.07,-2.73,8.28,8.28,8.29
35.27,10.39,2.11,10.39,2.11,-2.12,-2.07,-2.69,8.27,8.28,8.28
35.62,10.37,2.10,10.37,2.10,-2.11,-2.07,-2.65,8.27,8.27,8.27
35.97,10.35,2.10,10.35,2.10,-2.09,-2.07,-2.60,8.26,8.26,8.25
36.33,10.33,2.09,10.33,2.09,-2.08,-2.07,-2.56,8.24,8.24,8.24
36.70,10.30,2.07,10.30,2.07,-2.07,-2.07,-2.52,8.23,8.23,8.23
37.06,10.28,2.06,10.28,2.06,-2.06,-2.07,-2.47,8.22,8.22,8.22
37.43,10.26,2.04,10.26,2.04,-2.04,-2.07,-2.42,8.21,8.21,8.22
37.81,10.23,2.02,10.23,2.03,-2.03,-2.06,-2.38,8.20,8.20,8.21
38.19,10.21,2.01,10.21,2.01,-2.01,-2.06,-2.33,8.20,8.20,8.20
38.57,10.18,1.99,10.18,1.99,-1.99,-2.06,-2.28,8.19,8.19,8.19
38.95,10.16,1.98,10.16,1.98,-1.97,-2.06,-2.24,8.18,8.18,8.18
39.34,10.13,1.96,10.13,1.96,-1.95,-2.06,-2.19,8.18,8.18,8.18
39.74,10.11,1.93,10.11,1.93,-1.93,-2.06,-2.15,8.18,8.18,8.17
40.14,10.08,1.91,10.08,1.91,-1.91,-2.06,-2.10,8.17,8.17,8.17
40.54,10.05,1.88,10.05,1.88,-1.88,-2.06,-2.06,8.17,8.17,8.17
40.94,10.02,1.86,10.02,1.86,-1.86,-2.06,-2.01,8.16,8.16,8.16
41.35,10.00,1.84,10.00,1.84,-1.84,-2.06,-1.97,8.16,8.16,8.16
41.76,9.97,1.82,9.97,1.82,-1.82,-2.06,-1.93,8.15,8.15,8.15
42.18,9.94,1.80,9.94,1.80,-1.81,-2.06,-1.89,8.14,8.14,8.14
42.60,9.91,1.79,9.91,1.79,-1.79,-2.06,-1.85,8.12,8.12,8.12
43.03,9.88,1.78,9.88,1.78,-1.78,-2.06,-1.81,8.10,8.10,8.10
43.46,9.85,1.77,9.85,1.77,-1.77,-2.06,-1.78,8.08,8.08,8.08
43.90,9.83,1.76,9.83,1.76,-1.76,-2.05,-1.74,8.07,8.07,8.06
44.33,9.80,1.75,9.80,1.75,-1.75,-2.05,-1.71,8.05,8.05,8.05
44.78,9.76,1.74,9.76,1.74,-1.74,-2.05,-1.68,8.03,8.03,8.03
45.23,9.73,1.73,9.73,1.73,-1.73,-2.05,-1.65,8.00,8.00,8.00
45.68,9.70,1.72,9.70,1.72,-1.72,-2.05,-1.62,7.98,7.98,7.99
46.13,9.67,1.70,9.67,1.70,-1.71,-2.05,-1.59,7.97,7.97,7.97
46.60,9.64,1.68,9.64,1.69,-1.69,-2.05,-1.56,7.95,7.95,7.96
47.06,9.61,1.68,9.61,1.68,-1.67,-2.04,-1.54,7.94,7.94,7.93
47.53,9.58,1.67,9.57,1.67,-1.65,-2.04,-1.51,7.93,7.93,7.90
48.01,9.54,1.65,9.54,1.64,-1.63,-2.04,-1.49,7.91,7.91,7.89
48.49,9.51,1.61,9.51,1.61,-1.62,-2.04,-1.47,7.89,7.89,7.90
48.97,9.47,1.57,9.47,1.57,-1.61,-2.04,-1.45,7.87,7.87,7.91
49.46,9.44,1.54,9.44,1.56,-1.60,-2.04,-1.43,7.84,7.84,7.90
49.96,9.41,1.57,9.41,1.57,-1.59,-2.03,-1.41,7.82,7.82,7.84
50.46,9.37,1.61,9.37,1.60,-1.58,-2.03,-1.39,7.79,7.79,7.76
50.96,9.34,1.63,9.34,1.61,-1.57,-2.03,-1.37,7.77,7.77,7.71
51.47,9.30,1.60,9.30,1.59,-1.56,-2.03,-1.36,7.74,7.74,7.70
51.99,9.27,1.55,9.27,1.56,-1.56,-2.03,-1.34,7.71,7.71,7.72
52.51,9.23,1.52,9.23,1.53,-1.55,-2.02,-1.33,7.68,7.68,7.71
53.03,9.19,1.51,9.19,1.51,-1.53,-2.02,-1.32,7.66,7.66,7.68
53.56,9.16,1.51,9.16,1.51,-1.52,-2.02,-1.31,7.64,7.64,7.65
54.10,9.12,1.50,9.12,1.50,-1.50,-2.02,-1.29,7.62,7.62,7.62
54.64,9.08,1.49,9.08,1.49,-1.48,-2.01,-1.28,7.60,7.60,7.60
55.18,9.04,1.48,9.04,1.48,-1.47,-2.01,-1.27,7.57,7.57,7.57
55.74,9.01,1.47,9.01,1.46,-1.46,-2.01,-1.26,7.54,7.54,7.54
56.29,8.97,1.45,8.97,1.45,-1.45,-2.01,-1.26,7.52,7.52,7.52
56.86,8.93,1.43,8.93,1.43,-1.44,-2.00,-1.25,7.49,7.49,7.50
57.42,8.89,1.42,8.89,1.42,-1.42,-2.00,-1.24,7.47,7.47,7.47
58.00,8.85,1.42,8.85,1.41,-1.41,-2.00,-1.23,7.44,7.44,7.43
58.58,8.81,1.40,8.81,1.40,-1.40,-1.99,-1.22,7.42,7.42,7.41
59.16,8.77,1.38,8.77,1.38,-1.39,-1.99,-1.22,7.39,7.39,7.39
59.76,8.73,1.36,8.73,1.37,-1.38,-1.99,-1.21,7.36,7.36,7.38
60.35,8.69,1.36,8.69,1.36,-1.37,-1.99,-1.20,7.33,7.33,7.34
60.96,8.65,1.37,8.65,1.36,-1.36,-1.98,-1.20,7.29,7.29,7.28
61.57,8.61,1.37,8.61,1.36,-1.35,-1.98,-1.19,7.26,7.26,7.24
62.18,8.57,1.34,8.57,1.35,-1.35,-1.98,-1.18,7.22,7.22,7.23
