frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.87,3.45,10.87,3.45,-3.45,-3.40,-1.54,7.43,7.43,7.42
20.20,10.90,3.45,10.90,3.45,-3.45,-3.40,-1.58,7.45,7.45,7.45
20.40,10.93,3.45,10.93,3.45,-3.46,-3.40,-1.63,7.47,7.47,7.48
20.61,10.96,3.45,10.96,3.46,-3.46,-3.42,-1.68,7.50,7.50,7.50
20.81,10.98,3.46,10.98,3.46,-3.46,-3.44,-1.73,7.52,7.52,7.52
21.02,11.00,3.47,11.00,3.47,-3.47,-3.47,-1.78,7.53,7.53,7.53
21.23,11.02,3.48,11.02,3.48,-3.47,-3.49,-1.83,7.55,7.55,7.54
21.44,11.04,3.48,11.04,3.48,-3.48,-3.50,-1.88,7.57,7.57,7.56
21.66,11.06,3.48,11.06,3.48,-3.48,-3.52,-1.94,7.58,7.58,7.58
21.87,11.08,3.48,11.08,3.48,-3.48,-3.52,-2.00,7.60,7.60,7.59
22.09,11.09,3.48,11.09,3.48,-3.48,-3.53,-2.05,7.61,7.61,7.61
22.31,11.11,3.48,11.11,3.48,-3.49,-3.53,-2.11,7.62,7.62,7.63
22.54,11.12,3.49,11.12,3.49,-3.50,-3.53,-2.17,7.63,7.63,7.64
22.76,11.14,3.50,11.14,3.50,-3.51,-3.52,-2.24,7.63,7.63,7.64
22.99,11.16,3.52,11.16,3.52,-3.53,-3.52,-2.30,7.63,7.63,7.64
23.22,11.17,3.54,11.17,3.54,-3.54,-3.52,-2.37,7.63,7.63,7.63
23.45,11.19,3.56,11.19,3.56,-3.55,-3.52,-2.44,7.63,7.63,7.63
23.69,11.20,3.58,11.20,3.58,-3.56,-3.51,-2.51,7.64,7.64,7.63
23.92,11.22,3.59,11.22,3.58,-3.57,-3.51,-2.58,7.65,7.65,7.63
24.16,11.23,3.58,11.23,3.58,-3.57,-3.51,-2.65,7.66,7.66,7.64
24.40,11.24,3.57,11.24,3.57,-3.57,-3.51,-2.72,7.67,7.67,7.66
24.65,11.24,3.55,11.24,3.55,-3.56,-3.51,-2.79,7.68,7.68,7.69
24.89,11.24,3.54,11.24,3.54,-3.55,-3.50,-2.87,7.70,7.70,7.71
25.14,11.25,3.53,11.25,3.53,-3.54,-3.50,-2.94,7.70,7.70,7.72
25.39,11.24,3.52,11.24,3.52,-3.53,-3.50,-3.02,7.71,7.71,7.73
25.65,11.24,3.52,11.24,3.52,-3.53,-3.50,-3.10,7.72,7.72,7.72
25.91,11.24,3.53,11.24,3.53,-3.52,-3.50,-3.17,7.72,7.72,7.72
26.16,11.24,3.53,11.24,3.53,-3.52,-3.50,-3.25,7.72,7.72,7.71
26.43,11.24,3.53,11.24,3.53,-3.52,-3.50,-3.32,7.73,7.73,7.71
26.69,11.25,3.52,11.25,3.52,-3.51,-3.50,-3.40,7.73,7.73,7.73
26.96,11.25,3.51,11.25,3.51,-3.51,-3.50,-3.47,7.74,7.74,7.74
27.23,11.26,3.50,11.26,3.50,-3.50,-3.50,-3.54,7.75,7.75,7.76
27.50,11.26,3.49,11.26,3.49,-3.50,-3.50,-3.61,7.77,7.77,7.78
27.77,11.27,3.48,11.27,3.48,-3.49,-3.50,-3.68,7.78,7.78,7.79
28.05,11.28,3.48,11.28,3.48,-3.49,-3.50,-3.74,7.79,7.79,7.80
28.33,11.28,3.48,11.28,3.48,-3.48,-3.50,-3.80,7.80,7.80,7.80
28.62,11.29,3.48,11.29,3.48,-3.48,-3.50,-3.86,7.81,7.81,7.81
28.90,11.29,3.48,11.29,3.48,-3.47,-3.50,-3.92,7.82,7.82,7.81
29.19,11.29,3.47,11.29,3.47,-3.46,-3.50,-3.97,7.82,7.82,7.82
29.48,11.29,3.46,11.29,3.46,-3.46,-3.50,-4.01,7.83,7.83,7.83
29.78,11.29,3.45,11.29,3.45,-3.45,-3.50,-4.05,7.83,7.83,7.84
30.08,11.28,3.44,11.28,3.44,-3.44,-3.50,-4.09,7.84,7.84,7.85
30.38,11.28,3.43,11.28,3.43,-3.44,-3.50,-4.12,7.85,7.85,7.85
30.68,11.28,3.43,11.28,3.43,-3.43,-3.50,-4.14,7.85,7.85,7.86
30.99,11.28,3.43,11.28,3.43,-3.43,-3.49,-4.16,7.86,7.86,7.86
31.30,11.29,3.43,11.29,3.43,-3.42,-3.49,-4.17,7.86,7.86,7.86
31.61,11.29,3.43,11.29,3.43,-3.42,-3.49,-4.18,7.86,7.86,7.86
31.93,11.29,3.43,11.29,3.42,-3.42,-3.49,-4.18,7.87,7.87,7.86
32.24,11.28,3.42,11.28,3.42,-3.42,-3.49,-4.18,7.87,7.87,7.86
32.57,11.28,3.42,11.28,3.42,-3.42,-3.48,-4.17,7.87,7.87,7.87
32.89,11.28,3.41,11.28,3.41,-3.42,-3.48,-4.15,7.87,7.87,7.87
33.22,11.28,3.41,11.28,3.41,-3.42,-3.48,-4.13,7.87,7.87,7.87
33.55,11.28,3.41,11.28,3.41,-3.42,-3.47,-4.11,7.87,7.87,7.87
33.89,11.28,3.42,11.28,3.42,-3.42,-3.47,-4.08,7.86,7.86,7.87
34.23,11.28,3.42,11.28,3.42,-3.42,-3.46,-4.05,7.86,7.86,7.86
34.57,11.28,3.43,11.28,3.43,-3.42,-3.46,-4.01,7.86,7.86,7.86
34.92,11.28,3.43,11.28,3.43,-3.43,-3.45,-3.97,7.85,7.85,7.85
35.27,11.28,3.43,11.27,3.43,-3.43,-3.45,-3.93,7.84,7.84,7.84
35.62,11.27,3.44,11.27,3.44,-3.44,-3.44,-3.88,7.83,7.83,7.83
35.97,11.26,3.44,11.26,3.44,-3.44,-3.44,-3.84,7.82,7.82,7.82
36.33,11.25,3.45,11.25,3.45,-3.45,-3.43,-3.79,7.80,7.80,7.80
36.70,11.24,3.45,11.25,3.45,-3.45,-3.43,-3.74,7.79,7.79,7.79
37.06,11.24,3.45,11.24,3.45,-3.45,-3.42,-3.69,7.78,7.78,7.78
37.43,11.23,3.45,11.23,3.46,-3.46,-3.41,-3.64,7.78,7.78,7.78
37.81,11.23,3.46,11.23,3.46,-3.46,-3.41,-3.59,7.77,7.77,7.77
38.19,11.22,3.46,11.22,3.46,-3.46,-3.40,-3.54,7.76,7.76,7.76
38.57,11.21,3.46,11.21,3.46,-3.45,-3.39,-3.49,7.76,7.75,7.75
38.95,11.20,3.45,11.20,3.45,-3.45,-3.38,-3.44,7.75,7.75,7.74
39.34,11.18,3.44,11.18,3.44,-3.44,-3.37,-3.40,7.74,7.74,7.74
39.74,11.17,3.43,11.17,3.43,-3.43,-3.37,-3.35,7.74,7.74,7.74
40.14,11.15,3.42,11.15,3.42,-3.42,-3.36,-3.31,7.74,7.74,7.73
40.54,11.14,3.40,11.14,3.40,-3.40,-3.35,-3.26,7.73,7.73,7.73
40.94,11.12,3.39,11.12,3.39,-3.39,-3.34,-3.22,7.73,7.73,7.73
41.35,11.10,3.38,11.10,3.38,-3.38,-3.33,-3.19,7.72,7.72,7.72
41.76,11.08,3.37,11.08,3.37,-3.38,-3.32,-3.15,7.71,7.71,7.72
42.18,11.07,3.36,11.07,3.36,-3.37,-3.31,-3.11,7.70,7.70,7.70
42.60,11.05,3.36,11.05,3.37,-3.37,-3.30,-3.08,7.68,7.68,7.69
43.03,11.03,3.37,11.03,3.37,-3.37,-3.29,-3.05,7.67,7.67,7.66
43.46,11.01,3.37,11.01,3.37,-3.36,-3.28,-3.02,7.65,7.65,7.64
43.90,10.99,3.37,10.99,3.37,-3.36,-3.27,-3.00,7.63,7.63,7.62
44.33,10.97,3.36,10.97,3.36,-3.36,-3.26,-2.97,7.61,7.61,7.61
44.78,10.94,3.35,10.94,3.35,-3.35,-3.25,-2.95,7.59,7.59,7.59
45.23,10.91,3.34,10.91,3.34,-3.34,-3.23,-2.93,7.57,7.57,7.57
45.68,10.88,3.33,10.88,3.33,-3.33,-3.22,-2.92,7.54,7.54,7.55
46.13,10.84,3.31,10.84,3.31,-3.32,-3.21,-2.90,7.53,7.53,7.53
46.60,10.81,3.29,10.81,3.30,-3.30,-3.20,-2.89,7.51,7.51,7.52
47.06,10.78,3.28,10.78,3.29,-3.27,-3.18,-2.88,7.50,7.50,7.49
47.53,10.74,3.28,10.74,3.27,-3.25,-3.17,-2.87,7.49,7.49,7.47
48.01,10.71,3.26,10.71,3.25,-3.23,-3.16,-2.86,7.48,7.48,7.45
48.49,10.67,3.21,10.67,3.21,-3.22,-3.15,-2.86,7.46,7.46,7.46
48.97,10.64,3.16,10.64,3.17,-3.20,-3.13,-2.86,7.43,7.43,7.47
49.46,10.60,3.13,10.60,3.15,-3.19,-3.12,-2.86,7.41,7.41,7.47
49.96,10.56,3.15,10.56,3.16,-3.17,-3.10,-2.86,7.38,7.38,7.40
50.46,10.52,3.19,10.52,3.18,-3.16,-3.09,-2.86,7.36,7.36,7.33
50.96,10.47,3.20,10.47,3.19,-3.14,-3.08,-2.87,7.33,7.33,7.27
51.47,10.43,3.16,10.43,3.16,-3.13,-3.06,-2.87,7.30,7.30,7.27
51.99,10.38,3.10,10.38,3.11,-3.11,-3.05,-2.88,7.27,7.27,7.28
52.51,10.34,3.07,10.34,3.07,-3.09,-3.03,-2.89,7.24,7.24,7.27
53.03,10.29,3.05,10.29,3.05,-3.07,-3.02,-2.90,7.22,7.22,7.24
53.56,10.25,3.04,10.25,3.03,-3.05,-3.00,-2.90,7.20,7.20,7.21
54.10,10.20,3.02,10.20,3.02,-3.02,-2.99,-2.91,7.18,7.18,7.18
54.64,10.16,3.00,10.16,3.00,-2.99,-2.97,-2.92,7.16,7.16,7.16
55.18,10.11,2.98,10.11,2.98,-2.97,-2.96,-2.93,7.14,7.14,7.13
55.74,10.06,2.96,10.06,2.96,-2.95,-2.94,-2.94,7.11,7.11,7.10
56.29,10.01,2.94,10.01,2.93,-2.93,-2.93,-2.95,7.08,7.08,7.08
56.86,9.96,2.90,9.96,2.91,-2.91,-2.91,-2.95,7.06,7.06,7.07
57.42,9.91,2.88,9.91,2.88,-2.88,-2.90,-2.96,7.03,7.03,7.03
58.00,9.86,2.87,9.86,2.86,-2.86,-2.88,-2.96,7.00,7.00,6.99
58.58,9.81,2.84,9.81,2.83,-2.83,-2.87,-2.96,6.98,6.98,6.97
59.16,9.76,2.81,9.76,2.80,-2.81,-2.85,-2.97,6.95,6.95,6.95
59.76,9.71,2.77,9.71,2.78,-2.79,-2.84,-2.96,6.92,6.92,6.94
60.35,9.66,2.76,9.66,2.77,-2.77,-2.82,-2.96,6.89,6.89,6.90
60.96,9.61,2.77,9.61,2.76,-2.75,-2.80,-2.96,6.86,6.86,6.84
61.57,9.56,2.75,9.56,2.75,-2.74,-2.79,-2.95,6.82,6.82,6.81
62.18,9.51,2.72,9.51,2.72,-2.72,-2.77,-2.94,6.79,6.79,6.79
62.80,9.46,2.70,9.46,2.70,-2.71,-2.76,-2.93,6.75,6.75,6.76
63.43,9.41,2.68,9.41,2.68,-2.69,-2.74,-2.91,6.72,6.72,6.72
64.07,9.35,2.67,9.35,2.67,-2.67,-2.73,-2.89,6.69,6.69,6.69
64.71,9.30,2.66,9.30,2.66,-2.65,-2.71,-2.88,6.66,6.66,6.64
65.35,9.25,2.65,9.25,2.64,-2.63,-2.69,-2.85,6.63,6.63,6.61
66.01,9.20,2.62,9.20,2.61,-2.61,-2.68,-2.83,6.59,6.59,6.58
66.67,9.15,2.56,9.15,2.58,-2.59,-2.66,-2.80,6.56,6.56,6.59
