frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.92,-1.55,6.92,-1.55,1.54,1.47,0.62,8.46,8.46,8.47
20.20,6.92,-1.55,6.92,-1.55,1.55,1.49,0.64,8.46,8.47,8.47
20.40,6.91,-1.55,6.91,-1.55,1.56,1.51,0.66,8.46,8.47,8.46
20.61,6.90,-1.56,6.90,-1.56,1.57,1.53,0.68,8.47,8.46,8.46
20.81,6.88,-1.57,6.88,-1.57,1.57,1.55,0.70,8.46,8.46,8.45
21.02,6.86,-1.58,6.86,-1.58,1.58,1.57,0.72,8.45,8.45,8.44
21.23,6.84,-1.60,6.84,-1.60,1.59,1.59,0.75,8.43,8.43,8.44
21.44,6.82,-1.61,6.82,-1.61,1.60,1.60,0.77,8.42,8.42,8.43
21.66,6.80,-1.62,6.80,-1.62,1.62,1.62,0.79,8.41,8.41,8.41
21.87,6.77,-1.63,6.77,-1.63,1.63,1.63,0.82,8.40,8.40,8.40
22.09,6.75,-1.64,6.75,-1.64,1.65,1.65,0.84,8.39,8.39,8.39
22.31,6.72,-1.66,6.72,-1.66,1.66,1.66,0.87,8.38,8.38,8.37
22.54,6.69,-1.67,6.69,-1.67,1.67,1.67,0.89,8.36,8.36,8.36
22.76,6.67,-1.68,6.67,-1.68,1.68,1.68,0.92,8.35,8.35,8.34
22.99,6.64,-1.69,6.64,-1.69,1.69,1.68,0.95,8.33,8.33,8.33
23.22,6.62,-1.70,6.62,-1.70,1.70,1.69,0.97,8.31,8.31,8.31
23.45,6.60,-1.70,6.60,-1.70,1.70,1.70,1.00,8.30,8.30,8.30
23.69,6.58,-1.70,6.58,-1.70,1.70,1.70,1.03,8.28,8.28,8.28
23.92,6.57,-1.69,6.57,-1.69,1.69,1.70,1.06,8.26,8.26,8.26
24.16,6.56,-1.67,6.56,-1.67,1.67,1.70,1.09,8.23,8.23,8.24
24.40,6.57,-1.65,6.57,-1.65,1.64,1.70,1.12,8.21,8.21,8.22
24.65,6.57,-1.62,6.57,-1.62,1.61,1.70,1.15,8.18,8.18,8.19
24.89,6.59,-1.58,6.59,-1.58,1.57,1.69,1.18,8.16,8.16,8.17
