frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.81,-5.30,3.81,-5.30,5.28,5.07,1.73,9.09,9.09,9.11
20.20,3.88,-5.25,3.88,-5.25,5.25,5.14,1.78,9.13,9.13,9.13
20.40,3.95,-5.21,3.95,-5.21,5.21,5.20,1.83,9.16,9.16,9.15
20.61,4.02,-5.16,4.02,-5.16,5.17,5.20,1.89,9.19,9.19,9.18
20.81,4.08,-5.12,4.08,-5.12,5.13,5.20,1.94,9.22,9.22,9.20
21.02,4.14,-5.08,4.14,-5.08,5.10,5.15,2.00,9.24,9.24,9.22
21.23,4.20,-5.04,4.20,-5.04,5.06,5.10,2.06,9.26,9.26,9.25
21.44,4.26,-5.01,4.26,-5.01,5.02,5.02,2.12,9.28,9.27,9.27
21.66,4.31,-4.98,4.31,-4.98,4.98,4.95,2.18,9.29,9.29,9.29
21.87,4.36,-4.95,4.36,-4.95,4.95,4.88,2.25,9.31,9.31,9.31
22.09,4.42,-4.91,4.42,-4.91,4.90,4.80,2.31,9.32,9.32,9.33
22.31,4.48,-4.87,4.48,-4.87,4.86,4.74,2.38,9.34,9.34,9.35
22.54,4.55,-4.82,4.55,-4.82,4.81,4.68,2.45,9.36,9.36,9.37
22.76,4.63,-4.76,4.63,-4.76,4.75,4.62,2.52,9.38,9.38,9.39
22.99,4.72,-4.69,4.72,-4.69,4.69,4.57,2.59,9.41,9.41,9.41
23.22,4.81,-4.62,4.81,-4.62,4.62,4.53,2.67,9.43,9.43,9.43
23.45,4.90,-4.55,4.90,-4.55,4.56,4.49,2.74,9.46,9.46,9.45
23.69,4.99,-4.48,4.98,-4.48,4.49,4.45,2.82,9.48,9.48,9.47
23.92,5.06,-4.42,5.06,-4.42,4.43,4.41,2.90,9.49,9.49,9.48
24.16,5.13,-4.37,5.13,-4.37,4.38,4.38,2.98,9.51,9.51,9.50
