frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.73,-1.16,6.73,-1.16,1.14,1.18,0.75,7.87,7.87,7.89
20.20,6.73,-1.18,6.73,-1.18,1.18,1.20,0.77,7.91,7.91,7.91
20.40,6.72,-1.21,6.72,-1.21,1.22,1.21,0.80,7.94,7.94,7.93
20.61,6.72,-1.24,6.72,-1.24,1.25,1.22,0.82,7.97,7.97,7.96
20.81,6.71,-1.27,6.71,-1.27,1.29,1.23,0.84,7.99,7.99,7.98
21.02,6.70,-1.30,6.70,-1.30,1.31,1.24,0.87,8.01,8.01,8.00
21.23,6.69,-1.34,6.69,-1.34,1.34,1.25,0.89,8.03,8.03,8.02
21.44,6.68,-1.36,6.68,-1.36,1.36,1.26,0.92,8.05,8.05,8.05
21.66,6.68,-1.39,6.68,-1.39,1.39,1.27,0.95,8.07,8.07,8.07
21.87,6.68,-1.41,6.68,-1.41,1.41,1.28,0.98,8.09,8.09,8.09
22.09,6.68,-1.43,6.68,-1.43,1.42,1.29,1.00,8.11,8.11,8.11
22.31,6.70,-1.44,6.70,-1.44,1.43,1.31,1.03,8.13,8.13,8.13
22.54,6.71,-1.44,6.71,-1.44,1.43,1.32,1.06,8.15,8.15,8.15
22.76,6.74,-1.43,6.74,-1.43,1.43,1.33,1.09,8.17,8.17,8.17
22.99,6.76,-1.43,6.76,-1.42,1.42,1.34,1.13,8.19,8.19,8.19
23.22,6.80,-1.41,6.80,-1.41,1.41,1.35,1.16,8.21,8.21,8.21
23.45,6.83,-1.40,6.83,-1.40,1.40,1.36,1.19,8.23,8.23,8.23
23.69,6.86,-1.38,6.86,-1.38,1.38,1.37,1.22,8.25,8.25,8.24
23.92,6.89,-1.37,6.89,-1.37,1.37,1.38,1.26,8.27,8.27,8.26
24.16,6.92,-1.36,6.92,-1.36,1.36,1.39,1.29,8.28,8.28,8.28
24.40,6.95,-1.35,6.95,-1.35,1.35,1.39,1.33,8.30,8.30,8.30
24.65,6.96,-1.35,6.96,-1.35,1.35,1.40,1.37,8.32,8.32,8.31
24.89,6.98,-1.35,6.98,-1.35,1.35,1.41,1.40,8.33,8.33,8.33
25.14,6.99,-1.35,6.99,-1.35,1.35,1.42,1.44,8.34,8.34,8.34
25.39,7.00,-1.36,7.00,-1.36,1.36,1.43,1.48,8.36,8.36,8.36
25.65,7.01,-1.36,7.01,-1.36,1.36,1.44,1.51,8.37,8.37,8.37
25.91,7.02,-1.37,7.02,-1.37,1.36,1.45,1.55,8.38,8.38,8.39
26.16,7.02,-1.38,7.02,-1.37,1.37,1.46,1.59,8.39,8.39,8.40
26.43,7.03,-1.38,7.03,-1.38,1.37,1.46,1.62,8.41,8.41,8.41
26.69,7.04,-1.38,7.04,-1.38,1.38,1.47,1.66,8.42,8.42,8.42
26.96,7.05,-1.38,7.05,-1.38,1.38,1.48,1.69,8.43,8.43,8.43
27.23,7.05,-1.38,7.05,-1.38,1.39,1.49,1.73,8.44,8.44,8.44
27.50,7.05,-1.39,7.05,-1.39,1.40,1.49,1.76,8.45,8.45,8.45
27.77,7.05,-1.40,7.05,-1.40,1.41,1.50,1.80,8.46,8.46,8.45
28.05,7.04,-1.42,7.04,-1.42,1.42,1.51,1.83,8.46,8.46,8.46
28.33,7.03,-1.44,7.03,-1.44,1.44,1.52,1.86,8.47,8.47,8.47
28.62,7.02,-1.46,7.02,-1.46,1.46,1.52,1.89,8.48,8.48,8.48
28.90,7.00,-1.49,7.00,-1.49,1.48,1.53,1.91,8.49,8.49,8.49
29.19,6.99,-1.51,6.99,-1.51,1.51,1.54,1.94,8.50,8.50,8.50
29.48,6.97,-1.54,6.97,-1.54,1.54,1.54,1.96,8.51,8.51,8.51
29.78,6.96,-1.56,6.96,-1.56,1.56,1.55,1.98,8.52,8.52,8.52
30.08,6.94,-1.59,6.94,-1.59,1.59,1.55,2.00,8.53,8.53,8.53
30.38,6.93,-1.61,6.93,-1.61,1.61,1.56,2.02,8.54,8.54,8.54
30.68,6.92,-1.63,6.92,-1.63,1.63,1.56,2.03,8.55,8.55,8.55
30.99,6.91,-1.65,6.91,-1.65,1.65,1.57,2.04,8.55,8.55,8.55
31.30,6.89,-1.66,6.89,-1.66,1.66,1.57,2.05,8.56,8.56,8.56
31.61,6.88,-1.68,6.88,-1.68,1.68,1.58,2.06,8.56,8.56,8.56
31.93,6.88,-1.69,6.88,-1.69,1.68,1.58,2.06,8.56,8.56,8.57
32.24,6.88,-1.69,6.88,-1.69,1.69,1.59,2.06,8.57,8.57,8.57
32.57,6.88,-1.70,6.88,-1.70,1.69,1.59,2.06,8.57,8.57,8.57
32.89,6.88,-1.69,6.88,-1.69,1.69,1.60,2.06,8.57,8.57,8.57
33.22,6.89,-1.69,6.89,-1.69,1.69,1.60,2.05,8.58,8.58,8.58
