frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.31,-4.49,6.31,-4.49,4.49,4.10,1.59,10.80,10.80,10.80
20.20,6.36,-4.46,6.36,-4.46,4.46,4.09,1.63,10.82,10.82,10.82
20.40,6.41,-4.43,6.41,-4.43,4.43,4.09,1.68,10.85,10.85,10.84
20.61,6.47,-4.40,6.47,-4.40,4.40,4.09,1.73,10.87,10.87,10.87
20.81,6.52,-4.37,6.52,-4.37,4.37,4.09,1.78,10.89,10.89,10.89
21.02,6.57,-4.34,6.57,-4.34,4.35,4.08,1.84,10.91,10.91,10.91
21.23,6.62,-4.32,6.62,-4.32,4.32,4.08,1.89,10.94,10.94,10.94
21.44,6.67,-4.29,6.67,-4.29,4.29,4.07,1.95,10.96,10.96,10.96
21.66,6.72,-4.26,6.72,-4.26,4.26,4.07,2.01,10.98,10.98,10.98
21.87,6.77,-4.23,6.77,-4.23,4.23,4.06,2.07,11.00,11.00,11.00
22.09,6.82,-4.20,6.82,-4.20,4.20,4.05,2.13,11.02,11.02,11.02
22.31,6.87,-4.17,6.87,-4.17,4.17,4.04,2.19,11.04,11.04,11.04
22.54,6.92,-4.14,6.92,-4.14,4.14,4.03,2.25,11.06,11.06,11.06
22.76,6.97,-4.11,6.97,-4.11,4.11,4.02,2.32,11.08,11.08,11.08
22.99,7.02,-4.08,7.02,-4.08,4.08,4.01,2.39,11.10,11.10,11.10
23.22,7.07,-4.05,7.07,-4.05,4.05,3.99,2.46,11.12,11.12,11.12
23.45,7.12,-4.02,7.12,-4.02,4.02,3.98,2.53,11.14,11.14,11.14
23.69,7.17,-3.99,7.17,-3.99,3.99,3.96,2.60,11.16,11.16,11.16
23.92,7.22,-3.96,7.22,-3.96,3.96,3.95,2.67,11.17,11.17,11.17
24.16,7.26,-3.93,7.26,-3.93,3.93,3.93,2.75,11.19,11.19,11.19
24.40,7.31,-3.90,7.31,-3.90,3.90,3.92,2.82,11.21,11.21,11.21
24.65,7.36,-3.86,7.36,-3.86,3.86,3.90,2.90,11.22,11.22,11.22
24.89,7.41,-3.83,7.41,-3.83,3.83,3.88,2.98,11.24,11.24,11.24
25.14,7.45,-3.80,7.45,-3.80,3.80,3.86,3.06,11.25,11.25,11.25
25.39,7.50,-3.77,7.50,-3.77,3.77,3.84,3.14,11.27,11.27,11.27
25.65,7.54,-3.74,7.54,-3.74,3.74,3.82,3.21,11.28,11.28,11.28
25.91,7.59,-3.71,7.59,-3.71,3.71,3.80,3.29,11.30,11.30,11.30
26.16,7.63,-3.68,7.63,-3.68,3.68,3.78,3.37,11.31,11.31,11.31
26.43,7.67,-3.65,7.67,-3.65,3.65,3.76,3.45,11.32,11.32,11.32
26.69,7.72,-3.62,7.72,-3.62,3.61,3.73,3.53,11.33,11.33,11.33
26.96,7.76,-3.58,7.76,-3.58,3.58,3.71,3.60,11.34,11.34,11.34
27.23,7.80,-3.55,7.80,-3.55,3.55,3.68,3.67,11.35,11.35,11.35
27.50,7.84,-3.52,7.84,-3.52,3.52,3.66,3.75,11.36,11.36,11.36
27.77,7.88,-3.48,7.88,-3.48,3.48,3.63,3.81,11.36,11.36,11.36
28.05,7.92,-3.45,7.92,-3.45,3.45,3.61,3.88,11.37,11.37,11.37
28.33,7.96,-3.42,7.96,-3.42,3.42,3.58,3.94,11.38,11.38,11.38
28.62,8.00,-3.39,8.00,-3.39,3.39,3.56,4.00,11.39,11.39,11.39
28.90,8.04,-3.36,8.04,-3.36,3.36,3.53,4.05,11.40,11.40,11.40
29.19,8.08,-3.33,8.08,-3.33,3.33,3.50,4.10,11.41,11.41,11.41
29.48,8.11,-3.31,8.11,-3.31,3.31,3.47,4.14,11.42,11.42,11.42
29.78,8.15,-3.28,8.15,-3.28,3.28,3.45,4.18,11.43,11.43,11.43
30.08,8.19,-3.26,8.19,-3.26,3.25,3.42,4.21,11.44,11.44,11.44
30.38,8.22,-3.23,8.22,-3.23,3.23,3.39,4.23,11.45,11.45,11.45
30.68,8.26,-3.20,8.26,-3.20,3.20,3.36,4.25,11.46,11.46,11.46
30.99,8.29,-3.17,8.29,-3.17,3.17,3.33,4.26,11.46,11.46,11.46
31.30,8.33,-3.14,8.33,-3.14,3.14,3.30,4.27,11.47,11.47,11.47
31.61,8.36,-3.11,8.36,-3.11,3.11,3.27,4.27,11.47,11.47,11.47
31.93,8.40,-3.08,8.40,-3.08,3.08,3.24,4.26,11.48,11.48,11.48
