frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.73,-5.06,6.73,-5.05,5.04,4.67,1.94,11.77,11.77,11.78
20.20,6.73,-5.04,6.73,-5.04,5.03,4.67,2.00,11.76,11.76,11.77
20.40,6.72,-5.02,6.72,-5.02,5.03,4.67,2.06,11.75,11.75,11.75
20.61,6.72,-5.01,6.72,-5.01,5.02,4.67,2.12,11.73,11.73,11.73
20.81,6.71,-5.00,6.71,-5.00,5.01,4.67,2.18,11.72,11.72,11.71
21.02,6.70,-4.99,6.70,-4.99,5.00,4.67,2.24,11.70,11.70,11.69
21.23,6.69,-4.98,6.69,-4.98,4.99,4.67,2.31,11.68,11.68,11.67
21.44,6.68,-4.97,6.68,-4.97,4.97,4.66,2.38,11.66,11.66,11.65
21.66,6.68,-4.96,6.68,-4.96,4.97,4.66,2.45,11.65,11.64,11.64
21.87,6.68,-4.96,6.68,-4.96,4.95,4.66,2.52,11.63,11.63,11.63
22.09,6.68,-4.94,6.68,-4.94,4.94,4.66,2.59,11.63,11.63,11.63
22.31,6.70,-4.93,6.70,-4.93,4.92,4.65,2.67,11.62,11.62,11.62
22.54,6.71,-4.91,6.71,-4.91,4.90,4.65,2.75,11.61,11.61,11.62
22.76,6.74,-4.88,6.74,-4.88,4.87,4.64,2.83,11.61,11.61,11.61
22.99,6.76,-4.84,6.76,-4.84,4.84,4.64,2.91,11.60,11.60,11.61
23.22,6.80,-4.80,6.80,-4.80,4.80,4.63,2.99,11.59,11.59,11.60
23.45,6.83,-4.76,6.83,-4.76,4.76,4.63,3.07,11.59,11.59,11.59
23.69,6.86,-4.71,6.86,-4.71,4.71,4.62,3.16,11.58,11.58,11.57
23.92,6.89,-4.67,6.89,-4.67,4.67,4.61,3.25,11.57,11.57,11.56
24.16,6.92,-4.63,6.92,-4.63,4.64,4.61,3.34,11.56,11.56,11.55
24.40,6.95,-4.60,6.95,-4.60,4.61,4.60,3.43,11.55,11.55,11.54
24.65,6.96,-4.57,6.96,-4.57,4.58,4.59,3.52,11.54,11.54,11.54
24.89,6.98,-4.55,6.98,-4.55,4.56,4.58,3.62,11.54,11.54,11.53
25.14,6.99,-4.53,6.99,-4.53,4.54,4.57,3.71,11.53,11.53,11.53
25.39,7.00,-4.52,7.00,-4.52,4.52,4.57,3.81,11.52,11.52,11.52
25.65,7.01,-4.51,7.01,-4.51,4.50,4.56,3.90,11.51,11.51,11.52
