frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.65,-1.87,11.68,-1.84,1.87,-0.03,0.46,13.53,13.56,13.52
20.20,11.51,-1.99,11.49,-2.02,2.07,-0.03,0.47,13.58,13.56,13.51
20.40,11.34,-2.15,11.30,-2.18,2.23,-0.03,0.49,13.57,13.54,13.49
20.61,11.13,-2.33,11.13,-2.34,2.36,-0.03,0.50,13.49,13.49,13.47
20.81,10.93,-2.52,10.93,-2.51,2.46,-0.03,0.52,13.39,13.39,13.45
21.02,10.78,-2.64,10.78,-2.65,2.52,-0.03,0.54,13.30,13.30,13.43
21.23,10.69,-2.72,10.71,-2.70,2.55,-0.03,0.55,13.24,13.26,13.41
21.44,10.72,-2.67,10.73,-2.66,2.55,-0.03,0.57,13.27,13.28,13.39
21.66,10.85,-2.53,10.84,-2.54,2.47,-0.03,0.59,13.32,13.31,13.38
21.87,11.00,-2.38,11.00,-2.37,2.36,-0.03,0.61,13.36,13.36,13.37
22.09,11.18,-2.19,11.18,-2.19,2.24,-0.04,0.63,13.41,13.42,13.37
22.31,11.34,-2.02,11.34,-2.03,2.12,-0.04,0.65,13.46,13.45,13.36
22.54,11.46,-1.90,11.45,-1.91,2.02,-0.04,0.67,13.47,13.47,13.36
22.76,11.51,-1.85,11.50,-1.85,1.96,-0.04,0.69,13.47,13.46,13.35
22.99,11.49,-1.85,11.48,-1.86,1.93,-0.04,0.71,13.43,13.42,13.35
23.22,11.42,-1.92,11.42,-1.92,1.94,-0.04,0.74,13.36,13.36,13.34
23.45,11.33,-1.99,11.34,-1.99,1.96,-0.04,0.76,13.29,13.29,13.33
23.69,11.26,-2.05,11.26,-2.05,1.98,-0.04,0.78,13.24,13.24,13.31
23.92,11.22,-2.08,11.22,-2.08,1.98,-0.05,0.81,13.20,13.21,13.30
24.16,11.23,-2.06,11.24,-2.05,1.97,-0.05,0.83,13.20,13.21,13.29
24.40,11.29,-1.99,11.30,-1.99,1.95,-0.05,0.85,13.24,13.24,13.28
24.65,11.38,-1.89,11.38,-1.90,1.91,-0.05,0.88,13.29,13.29,13.28
24.89,11.47,-1.80,11.46,-1.81,1.86,-0.05,0.90,13.33,13.33,13.27
25.14,11.52,-1.74,11.52,-1.74,1.82,-0.05,0.93,13.35,13.35,13.27
25.39,11.56,-1.71,11.54,-1.72,1.79,-0.05,0.95,13.35,13.34,13.26
25.65,11.53,-1.73,11.53,-1.73,1.77,-0.06,0.97,13.30,13.30,13.26
25.91,11.49,-1.76,11.49,-1.76,1.75,-0.06,1.00,13.24,13.24,13.25
26.16,11.44,-1.79,11.45,-1.78,1.73,-0.06,1.02,13.17,13.18,13.23
26.43,11.43,-1.78,11.44,-1.77,1.69,-0.06,1.04,13.13,13.14,13.22
26.69,11.47,-1.72,11.47,-1.72,1.65,-0.06,1.06,13.12,13.12,13.19
26.96,11.53,-1.64,11.54,-1.63,1.59,-0.06,1.08,13.13,13.13,13.17
27.23,11.63,-1.52,11.63,-1.52,1.53,-0.07,1.10,13.15,13.15,13.14
27.50,11.71,-1.40,11.71,-1.41,1.46,-0.07,1.12,13.18,13.17,13.12
27.77,11.77,-1.32,11.77,-1.33,1.40,-0.07,1.14,13.17,13.17,13.09
28.05,11.80,-1.27,11.79,-1.28,1.36,-0.07,1.15,13.15,13.14,13.07
28.33,11.77,-1.27,11.77,-1.27,1.32,-0.08,1.16,13.09,13.09,13.05
28.62,11.75,-1.28,11.75,-1.28,1.29,-0.08,1.18,13.03,13.03,13.03
28.90,11.71,-1.30,11.72,-1.29,1.25,-0.08,1.18,12.96,12.97,13.01
29.19,11.72,-1.27,11.72,-1.27,1.20,-0.08,1.19,12.91,12.91,12.99
29.48,11.75,-1.21,11.76,-1.20,1.12,-0.09,1.19,12.86,12.88,12.96
29.78,11.85,-1.08,11.85,-1.08,1.01,-0.09,1.19,12.86,12.86,12.93
30.08,11.97,-0.93,11.98,-0.92,0.88,-0.09,1.19,12.86,12.86,12.90
30.38,12.13,-0.74,12.13,-0.74,0.74,-0.10,1.19,12.87,12.87,12.87
30.68,12.28,-0.56,12.28,-0.57,0.60,-0.10,1.18,12.88,12.88,12.84
30.99,12.41,-0.41,12.41,-0.41,0.47,-0.10,1.17,12.88,12.88,12.82
31.30,12.50,-0.30,12.50,-0.30,0.37,-0.11,1.15,12.87,12.87,12.80
31.61,12.54,-0.24,12.54,-0.24,0.31,-0.11,1.14,12.85,12.85,12.78
31.93,12.55,-0.23,12.54,-0.23,0.28,-0.11,1.11,12.82,12.82,12.77
32.24,12.51,-0.26,12.51,-0.26,0.28,-0.12,1.09,12.78,12.79,12.76
32.57,12.45,-0.31,12.45,-0.31,0.30,-0.12,1.06,12.75,12.75,12.76
32.89,12.38,-0.37,12.38,-0.36,0.33,-0.13,1.03,12.71,12.71,12.75
33.22,12.32,-0.41,12.32,-0.41,0.37,-0.13,1.00,12.69,12.69,12.73
33.55,12.27,-0.44,12.28,-0.44,0.39,-0.14,0.96,12.66,12.67,12.72
33.89,12.26,-0.44,12.26,-0.43,0.40,-0.14,0.92,12.66,12.66,12.69
34.23,12.26,-0.41,12.26,-0.41,0.40,-0.15,0.88,12.66,12.65,12.67
34.57,12.27,-0.37,12.27,-0.37,0.38,-0.15,0.84,12.65,12.65,12.64
34.92,12.28,-0.33,12.28,-0.33,0.36,-0.16,0.79,12.64,12.64,12.61
35.27,12.29,-0.29,12.29,-0.29,0.32,-0.17,0.74,12.61,12.61,12.59
35.62,12.30,-0.26,12.30,-0.26,0.28,-0.17,0.69,12.58,12.57,12.56
35.97,12.30,-0.24,12.31,-0.24,0.22,-0.18,0.64,12.53,12.53,12.54
36.33,12.32,-0.20,12.32,-0.20,0.17,-0.19,0.58,12.49,12.49,12.52
36.70,12.36,-0.15,12.36,-0.14,0.11,-0.20,0.53,12.46,12.47,12.50
37.06,12.41,-0.07,12.41,-0.07,0.05,-0.20,0.47,12.46,12.46,12.48
37.43,12.48,0.02,12.48,0.02,-0.01,-0.21,0.41,12.47,12.47,12.46
37.81,12.53,0.10,12.54,0.10,-0.06,-0.22,0.35,12.47,12.47,12.44
38.19,12.58,0.17,12.57,0.16,-0.11,-0.23,0.29,12.47,12.46,12.41
38.57,12.58,0.19,12.58,0.19,-0.15,-0.24,0.23,12.44,12.43,12.39
38.95,12.56,0.20,12.56,0.20,-0.18,-0.25,0.16,12.38,12.38,12.36
39.34,12.53,0.19,12.53,0.19,-0.20,-0.26,0.10,12.32,12.33,12.34
39.74,12.50,0.19,12.51,0.20,-0.23,-0.27,0.03,12.28,12.28,12.31
40.14,12.50,0.22,12.50,0.22,-0.25,-0.28,-0.03,12.25,12.25,12.28
40.54,12.51,0.26,12.51,0.26,-0.28,-0.30,-0.10,12.23,12.23,12.25
40.94,12.53,0.31,12.53,0.31,-0.32,-0.31,-0.17,12.21,12.21,12.22
41.35,12.56,0.37,12.56,0.37,-0.38,-0.32,-0.24,12.19,12.18,12.19
41.76,12.59,0.43,12.59,0.43,-0.43,-0.34,-0.31,12.16,12.16,12.16
42.18,12.63,0.50,12.63,0.50,-0.49,-0.35,-0.38,12.14,12.14,12.13
42.60,12.67,0.57,12.67,0.57,-0.55,-0.37,-0.45,12.12,12.12,12.10
43.03,12.70,0.63,12.70,0.63,-0.59,-0.39,-0.52,12.11,12.10,12.07
43.46,12.71,0.67,12.71,0.67,-0.64,-0.41,-0.59,12.07,12.07,12.04
43.90,12.71,0.70,12.70,0.69,-0.68,-0.43,-0.66,12.02,12.02,12.01
44.33,12.69,0.71,12.69,0.71,-0.73,-0.45,-0.74,11.96,11.96,11.98
44.78,12.68,0.74,12.69,0.74,-0.78,-0.47,-0.81,11.91,11.91,11.95
45.23,12.70,0.79,12.70,0.79,-0.83,-0.49,-0.89,11.87,11.87,11.91
45.68,12.74,0.86,12.74,0.87,-0.90,-0.52,-0.96,11.84,11.85,11.88
46.13,12.79,0.96,12.79,0.95,-0.96,-0.54,-1.04,11.83,11.83,11.84
46.60,12.85,1.05,12.85,1.05,-1.03,-0.57,-1.11,11.82,11.81,11.80
47.06,12.89,1.13,12.89,1.13,-1.10,-0.60,-1.19,11.79,11.79,11.76
47.53,12.91,1.19,12.91,1.19,-1.15,-0.63,-1.26,11.76,11.75,11.72
48.01,12.91,1.23,12.91,1.23,-1.20,-0.67,-1.34,11.71,11.71,11.68
48.49,12.89,1.25,12.89,1.25,-1.23,-0.70,-1.42,11.66,11.66,11.64
48.97,12.85,1.25,12.85,1.25,-1.24,-0.74,-1.49,11.61,11.61,11.60
49.46,12.81,1.25,12.81,1.25,-1.25,-0.78,-1.57,11.56,11.56,11.56
49.96,12.77,1.25,12.77,1.25,-1.26,-0.82,-1.65,11.51,11.51,11.52
50.46,12.74,1.25,12.74,1.25,-1.27,-0.86,-1.72,11.47,11.47,11.49
50.96,12.73,1.27,12.73,1.27,-1.29,-0.91,-1.80,11.44,11.44,11.46
51.47,12.73,1.30,12.73,1.30,-1.33,-0.96,-1.88,11.40,11.40,11.43
