frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.94,-2.84,12.94,-2.84,2.84,-0.01,1.13,15.79,15.79,15.78
20.20,12.94,-2.82,12.94,-2.82,2.82,-0.01,1.17,15.77,15.77,15.77
20.40,12.94,-2.80,12.94,-2.80,2.80,-0.01,1.20,15.74,15.74,15.75
20.61,12.95,-2.78,12.95,-2.78,2.78,-0.01,1.24,15.72,15.72,15.73
20.81,12.95,-2.76,12.95,-2.76,2.76,-0.01,1.28,15.71,15.71,15.71
21.02,12.95,-2.74,12.95,-2.74,2.74,-0.01,1.32,15.69,15.69,15.69
21.23,12.95,-2.72,12.95,-2.72,2.72,-0.01,1.36,15.67,15.67,15.67
21.44,12.95,-2.70,12.95,-2.70,2.71,-0.01,1.40,15.66,15.66,15.65
21.66,12.96,-2.69,12.96,-2.69,2.69,-0.01,1.44,15.65,15.65,15.64
21.87,12.96,-2.67,12.96,-2.68,2.68,-0.01,1.48,15.64,15.64,15.64
22.09,12.97,-2.66,12.97,-2.66,2.66,-0.01,1.53,15.63,15.63,15.63
22.31,12.97,-2.65,12.97,-2.65,2.65,-0.01,1.57,15.62,15.62,15.63
22.54,12.98,-2.64,12.98,-2.64,2.64,-0.01,1.62,15.62,15.62,15.62
22.76,12.99,-2.63,12.99,-2.63,2.63,-0.01,1.67,15.61,15.61,15.62
22.99,12.99,-2.62,12.99,-2.62,2.61,-0.01,1.72,15.61,15.61,15.61
23.22,13.00,-2.60,13.00,-2.60,2.60,-0.01,1.77,15.60,15.60,15.60
23.45,13.00,-2.59,13.00,-2.59,2.59,-0.02,1.82,15.59,15.59,15.59
23.69,13.00,-2.57,13.00,-2.57,2.58,-0.02,1.87,15.58,15.58,15.58
23.92,13.00,-2.56,13.00,-2.56,2.56,-0.02,1.93,15.57,15.57,15.56
24.16,13.00,-2.55,13.00,-2.55,2.55,-0.02,1.98,15.56,15.56,15.55
24.40,13.00,-2.54,13.00,-2.54,2.54,-0.02,2.04,15.55,15.55,15.54
24.65,13.00,-2.53,13.00,-2.53,2.54,-0.02,2.09,15.54,15.54,15.54
24.89,13.00,-2.53,13.00,-2.53,2.53,-0.02,2.15,15.53,15.53,15.53
25.14,13.01,-2.52,13.01,-2.52,2.52,-0.02,2.21,15.53,15.53,15.53
25.39,13.01,-2.52,13.01,-2.52,2.51,-0.02,2.26,15.52,15.52,15.52
25.65,13.01,-2.51,13.01,-2.51,2.51,-0.02,2.32,15.51,15.51,15.52
25.91,13.01,-2.50,13.01,-2.50,2.49,-0.02,2.38,15.50,15.50,15.51
26.16,13.01,-2.48,13.01,-2.48,2.48,-0.02,2.43,15.49,15.49,15.50
26.43,13.01,-2.47,13.01,-2.46,2.46,-0.02,2.49,15.47,15.47,15.48
26.69,13.01,-2.44,13.01,-2.44,2.44,-0.02,2.54,15.45,15.45,15.46
26.96,13.02,-2.41,13.02,-2.41,2.41,-0.02,2.60,15.43,15.43,15.43
27.23,13.02,-2.39,13.02,-2.39,2.39,-0.02,2.65,15.41,15.41,15.40
27.50,13.02,-2.36,13.02,-2.36,2.37,-0.02,2.70,15.38,15.38,15.38
27.77,13.02,-2.34,13.02,-2.34,2.34,-0.02,2.75,15.36,15.36,15.35
28.05,13.01,-2.31,13.01,-2.32,2.32,-0.02,2.80,15.34,15.34,15.33
28.33,13.01,-2.30,13.01,-2.30,2.30,-0.02,2.84,15.31,15.31,15.31
28.62,13.01,-2.28,13.01,-2.28,2.28,-0.02,2.88,15.29,15.29,15.29
28.90,13.00,-2.27,13.00,-2.27,2.26,-0.02,2.91,15.26,15.26,15.27
29.19,13.00,-2.25,13.00,-2.25,2.24,-0.02,2.95,15.24,15.24,15.25
29.48,13.00,-2.22,13.00,-2.22,2.21,-0.02,2.97,15.21,15.21,15.22
