frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.55,0.87,8.55,0.87,-0.89,0.04,-0.16,7.66,7.66,7.68
20.20,8.56,0.83,8.56,0.83,-0.83,0.04,-0.17,7.73,7.73,7.73
20.40,8.57,0.78,8.57,0.78,-0.77,0.04,-0.18,7.79,7.79,7.78
20.61,8.57,0.74,8.57,0.74,-0.72,0.04,-0.18,7.85,7.85,7.83
20.81,8.58,0.69,8.58,0.69,-0.68,0.04,-0.19,7.90,7.90,7.89
21.02,8.59,0.65,8.59,0.65,-0.64,0.04,-0.19,7.95,7.95,7.94
21.23,8.59,0.60,8.59,0.60,-0.60,0.04,-0.20,7.99,7.99,7.99
21.44,8.60,0.56,8.60,0.56,-0.56,0.04,-0.21,8.03,8.03,8.03
21.66,8.60,0.53,8.60,0.53,-0.53,0.04,-0.21,8.07,8.07,8.07
21.87,8.60,0.50,8.60,0.50,-0.50,0.05,-0.22,8.10,8.10,8.11
22.09,8.61,0.48,8.61,0.48,-0.48,0.05,-0.23,8.13,8.13,8.13
22.31,8.61,0.46,8.61,0.46,-0.47,0.05,-0.23,8.14,8.14,8.15
22.54,8.61,0.45,8.61,0.45,-0.46,0.05,-0.24,8.16,8.16,8.16
22.76,8.61,0.45,8.61,0.45,-0.45,0.05,-0.25,8.17,8.17,8.16
22.99,8.62,0.45,8.62,0.45,-0.45,0.05,-0.26,8.17,8.17,8.17
23.22,8.62,0.45,8.62,0.45,-0.45,0.05,-0.26,8.17,8.17,8.16
23.45,8.62,0.46,8.62,0.46,-0.45,0.05,-0.27,8.17,8.17,8.16
23.69,8.62,0.46,8.62,0.46,-0.45,0.05,-0.28,8.16,8.16,8.16
23.92,8.62,0.46,8.62,0.46,-0.46,0.05,-0.29,8.15,8.15,8.16
24.16,8.62,0.47,8.62,0.47,-0.47,0.06,-0.30,8.14,8.14,8.15
24.40,8.62,0.48,8.62,0.48,-0.49,0.06,-0.30,8.13,8.13,8.14
24.65,8.61,0.50,8.61,0.50,-0.51,0.06,-0.31,8.11,8.11,8.12
24.89,8.61,0.52,8.61,0.52,-0.53,0.06,-0.32,8.09,8.09,8.09
25.14,8.61,0.54,8.61,0.55,-0.55,0.06,-0.33,8.06,8.06,8.06
25.39,8.61,0.57,8.61,0.57,-0.57,0.06,-0.34,8.04,8.04,8.03
25.65,8.60,0.59,8.60,0.59,-0.58,0.06,-0.35,8.02,8.02,8.01
25.91,8.60,0.61,8.60,0.61,-0.60,0.06,-0.36,8.00,8.00,7.99
26.16,8.59,0.62,8.59,0.61,-0.61,0.06,-0.37,7.99,7.99,7.98
26.43,8.59,0.62,8.59,0.62,-0.61,0.07,-0.37,7.98,7.98,7.97
26.69,8.58,0.61,8.58,0.61,-0.62,0.07,-0.38,7.97,7.97,7.97
26.96,8.58,0.60,8.58,0.60,-0.61,0.07,-0.39,7.96,7.96,7.98
27.23,8.57,0.60,8.57,0.60,-0.61,0.07,-0.40,7.96,7.96,7.97
27.50,8.57,0.60,8.57,0.60,-0.60,0.07,-0.41,7.96,7.96,7.97
27.77,8.56,0.59,8.56,0.59,-0.59,0.07,-0.41,7.97,7.97,7.97
28.05,8.55,0.59,8.55,0.58,-0.58,0.07,-0.42,7.98,7.98,7.97
28.33,8.54,0.57,8.54,0.57,-0.55,0.08,-0.43,7.99,7.99,7.98
28.62,8.53,0.54,8.53,0.54,-0.52,0.08,-0.43,8.01,8.01,7.99
28.90,8.53,0.50,8.53,0.50,-0.49,0.08,-0.44,8.04,8.04,8.03
29.19,8.52,0.45,8.52,0.45,-0.44,0.08,-0.44,8.07,8.07,8.07
29.48,8.51,0.40,8.51,0.40,-0.40,0.08,-0.45,8.10,8.10,8.11
29.78,8.50,0.35,8.50,0.35,-0.36,0.08,-0.45,8.14,8.14,8.15
30.08,8.49,0.30,8.49,0.30,-0.32,0.09,-0.45,8.17,8.17,8.18
30.38,8.47,0.27,8.47,0.27,-0.28,0.09,-0.46,8.19,8.19,8.21
30.68,8.46,0.24,8.46,0.24,-0.25,0.09,-0.46,8.21,8.21,8.22
30.99,8.45,0.23,8.45,0.23,-0.23,0.09,-0.46,8.23,8.23,8.22
31.30,8.44,0.21,8.44,0.21,-0.20,0.09,-0.46,8.24,8.24,8.23
31.61,8.42,0.19,8.42,0.19,-0.17,0.10,-0.46,8.25,8.25,8.23
31.93,8.41,0.17,8.41,0.17,-0.15,0.10,-0.45,8.26,8.26,8.24
32.24,8.40,0.14,8.40,0.14,-0.12,0.10,-0.45,8.27,8.27,8.26
32.57,8.38,0.11,8.38,0.11,-0.10,0.10,-0.45,8.28,8.28,8.28
32.89,8.37,0.08,8.37,0.08,-0.09,0.10,-0.44,8.28,8.28,8.29
33.22,8.35,0.06,8.35,0.06,-0.08,0.11,-0.44,8.27,8.27,8.29
33.55,8.33,0.05,8.33,0.05,-0.08,0.11,-0.43,8.25,8.25,8.28
33.89,8.32,0.07,8.32,0.07,-0.09,0.11,-0.43,8.22,8.22,8.25
34.23,8.30,0.10,8.30,0.10,-0.12,0.11,-0.42,8.18,8.18,8.20
34.57,8.28,0.14,8.28,0.14,-0.14,0.12,-0.41,8.13,8.13,8.14
34.92,8.26,0.19,8.26,0.19,-0.17,0.12,-0.41,8.09,8.09,8.07
35.27,8.24,0.22,8.24,0.22,-0.20,0.12,-0.40,8.04,8.04,8.02
35.62,8.22,0.25,8.22,0.25,-0.22,0.12,-0.39,8.00,8.00,7.97
35.97,8.20,0.26,8.20,0.25,-0.23,0.13,-0.38,7.96,7.96,7.94
36.33,8.18,0.25,8.18,0.25,-0.23,0.13,-0.37,7.94,7.94,7.93
36.70,8.15,0.23,8.15,0.23,-0.23,0.13,-0.36,7.92,7.92,7.92
37.06,8.13,0.21,8.13,0.21,-0.22,0.13,-0.35,7.91,7.91,7.92
37.43,8.10,0.19,8.10,0.19,-0.20,0.14,-0.34,7.90,7.90,7.92
37.81,8.08,0.18,8.08,0.18,-0.19,0.14,-0.33,7.89,7.89,7.90
38.19,8.05,0.17,8.05,0.17,-0.19,0.14,-0.32,7.87,7.87,7.89
38.57,8.03,0.17,8.03,0.17,-0.19,0.14,-0.31,7.84,7.84,7.85
38.95,8.00,0.18,8.00,0.18,-0.19,0.15,-0.30,7.81,7.81,7.82
39.34,7.97,0.20,7.97,0.20,-0.20,0.15,-0.29,7.78,7.78,7.77
39.74,7.94,0.21,7.94,0.21,-0.20,0.15,-0.28,7.74,7.74,7.73
40.14,7.91,0.21,7.91,0.21,-0.20,0.16,-0.27,7.72,7.72,7.70
40.54,7.89,0.21,7.89,0.21,-0.19,0.16,-0.26,7.69,7.69,7.68
40.94,7.86,0.19,7.86,0.19,-0.18,0.16,-0.25,7.68,7.68,7.67
41.35,7.82,0.16,7.82,0.16,-0.15,0.17,-0.25,7.67,7.67,7.66
41.76,7.79,0.13,7.79,0.13,-0.12,0.17,-0.24,7.67,7.67,7.67
42.18,7.76,0.09,7.76,0.09,-0.09,0.18,-0.23,7.67,7.67,7.67
42.60,7.73,0.05,7.73,0.05,-0.06,0.18,-0.22,7.67,7.67,7.68
43.03,7.70,0.02,7.70,0.02,-0.03,0.18,-0.21,7.67,7.67,7.68
43.46,7.66,-0.00,7.66,-0.00,-0.01,0.19,-0.20,7.66,7.65,7.67
43.90,7.63,-0.02,7.63,-0.02,0.01,0.19,-0.19,7.64,7.64,7.65
44.33,7.59,-0.02,7.60,-0.02,0.01,0.19,-0.19,7.61,7.61,7.62
44.78,7.56,-0.02,7.56,-0.02,0.01,0.20,-0.18,7.57,7.57,7.58
45.23,7.53,-0.01,7.53,-0.01,0.01,0.20,-0.17,7.53,7.53,7.54
45.68,7.49,0.00,7.49,0.00,-0.00,0.21,-0.16,7.49,7.49,7.49
46.13,7.45,0.02,7.45,0.02,-0.01,0.21,-0.16,7.44,7.44,7.44
46.60,7.42,0.03,7.42,0.03,-0.02,0.22,-0.15,7.39,7.40,7.39
47.06,7.38,0.03,7.38,0.03,-0.03,0.22,-0.14,7.35,7.35,7.35
47.53,7.34,0.04,7.34,0.04,-0.03,0.23,-0.14,7.31,7.31,7.30
48.01,7.30,0.04,7.30,0.04,-0.03,0.23,-0.13,7.27,7.27,7.27
48.49,7.26,0.03,7.26,0.03,-0.03,0.24,-0.12,7.23,7.23,7.23
48.97,7.22,0.02,7.22,0.02,-0.02,0.24,-0.12,7.21,7.21,7.20
49.46,7.18,0.01,7.18,0.01,-0.00,0.25,-0.11,7.18,7.18,7.18
49.96,7.14,-0.01,7.14,-0.01,0.02,0.25,-0.10,7.16,7.16,7.15
50.46,7.10,-0.04,7.10,-0.04,0.04,0.26,-0.10,7.14,7.14,7.14
50.96,7.06,-0.06,7.06,-0.06,0.06,0.26,-0.09,7.12,7.12,7.12
51.47,7.02,-0.09,7.02,-0.09,0.09,0.27,-0.09,7.11,7.11,7.11
51.99,6.98,-0.12,6.98,-0.12,0.11,0.27,-0.08,7.09,7.09,7.09
52.51,6.93,-0.14,6.93,-0.14,0.14,0.28,-0.07,7.07,7.07,7.07
