frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.41,-1.53,6.41,-1.53,1.52,1.50,0.81,7.93,7.93,7.94
20.20,6.41,-1.58,6.41,-1.58,1.58,1.55,0.83,7.99,7.99,7.99
20.40,6.42,-1.63,6.42,-1.63,1.63,1.60,0.86,8.05,8.05,8.04
20.61,6.42,-1.67,6.42,-1.67,1.68,1.65,0.88,8.10,8.10,8.09
20.81,6.43,-1.72,6.43,-1.72,1.73,1.70,0.91,8.15,8.15,8.15
21.02,6.44,-1.76,6.44,-1.76,1.77,1.76,0.94,8.20,8.20,8.20
21.23,6.45,-1.80,6.45,-1.80,1.80,1.81,0.96,8.25,8.25,8.25
21.44,6.46,-1.84,6.46,-1.84,1.84,1.85,0.99,8.29,8.29,8.29
21.66,6.46,-1.87,6.46,-1.87,1.87,1.89,1.02,8.33,8.33,8.33
21.87,6.47,-1.90,6.47,-1.90,1.90,1.92,1.05,8.37,8.37,8.37
22.09,6.47,-1.92,6.47,-1.92,1.92,1.95,1.09,8.39,8.39,8.39
22.31,6.47,-1.94,6.47,-1.94,1.94,1.96,1.12,8.41,8.41,8.41
22.54,6.47,-1.95,6.47,-1.95,1.95,1.97,1.15,8.42,8.42,8.42
22.76,6.47,-1.96,6.47,-1.95,1.95,1.96,1.18,8.42,8.42,8.42
22.99,6.47,-1.95,6.47,-1.95,1.95,1.96,1.22,8.42,8.42,8.43
23.22,6.48,-1.95,6.48,-1.95,1.95,1.94,1.25,8.42,8.42,8.42
23.45,6.48,-1.94,6.48,-1.94,1.94,1.92,1.29,8.42,8.42,8.42
23.69,6.50,-1.92,6.50,-1.92,1.93,1.90,1.33,8.42,8.42,8.42
23.92,6.51,-1.91,6.51,-1.91,1.91,1.87,1.37,8.42,8.42,8.42
24.16,6.52,-1.89,6.52,-1.89,1.89,1.85,1.40,8.41,8.41,8.41
24.40,6.53,-1.87,6.53,-1.87,1.86,1.82,1.44,8.39,8.39,8.40
24.65,6.54,-1.84,6.54,-1.84,1.83,1.80,1.48,8.37,8.37,8.38
24.89,6.54,-1.81,6.54,-1.81,1.80,1.78,1.52,8.35,8.35,8.35
25.14,6.55,-1.78,6.55,-1.78,1.77,1.77,1.56,8.32,8.32,8.32
25.39,6.55,-1.74,6.55,-1.74,1.74,1.75,1.60,8.30,8.30,8.29
25.65,6.56,-1.71,6.56,-1.71,1.72,1.74,1.64,8.28,8.28,8.27
25.91,6.57,-1.68,6.57,-1.68,1.69,1.73,1.68,8.26,8.26,8.25
26.16,6.58,-1.66,6.58,-1.66,1.67,1.72,1.72,8.25,8.25,8.24
