frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.36,-1.86,6.36,-1.86,1.86,1.55,1.10,8.22,8.22,8.23
20.20,6.35,-1.92,6.35,-1.92,1.92,1.65,1.14,8.28,8.28,8.27
20.40,6.35,-1.98,6.35,-1.98,1.98,1.74,1.17,8.33,8.33,8.33
20.61,6.34,-2.04,6.34,-2.04,2.04,1.84,1.20,8.38,8.38,8.38
20.81,6.34,-2.09,6.34,-2.09,2.09,1.95,1.24,8.43,8.43,8.43
21.02,6.35,-2.14,6.35,-2.14,2.14,2.08,1.27,8.48,8.48,8.48
21.23,6.35,-2.18,6.35,-2.18,2.18,2.20,1.31,8.53,8.53,8.53
21.44,6.36,-2.22,6.36,-2.22,2.22,2.33,1.35,8.58,8.58,8.58
21.66,6.36,-2.25,6.36,-2.26,2.25,2.45,1.39,8.61,8.62,8.62
21.87,6.37,-2.28,6.37,-2.28,2.28,2.54,1.43,8.65,8.65,8.65
22.09,6.37,-2.31,6.37,-2.31,2.30,2.64,1.47,8.67,8.67,8.68
22.31,6.37,-2.32,6.37,-2.33,2.32,2.67,1.51,8.69,8.69,8.69
22.54,6.36,-2.34,6.36,-2.34,2.34,2.71,1.56,8.70,8.70,8.70
22.76,6.35,-2.35,6.35,-2.35,2.36,2.68,1.60,8.71,8.71,8.71
22.99,6.34,-2.36,6.34,-2.37,2.37,2.65,1.65,8.72,8.71,8.71
23.22,6.33,-2.38,6.33,-2.38,2.38,2.58,1.69,8.71,8.71,8.71
23.45,6.32,-2.39,6.32,-2.39,2.39,2.51,1.74,8.71,8.71,8.71
23.69,6.30,-2.40,6.30,-2.40,2.40,2.43,1.79,8.70,8.70,8.70
23.92,6.29,-2.41,6.29,-2.41,2.40,2.35,1.84,8.69,8.69,8.70
24.16,6.28,-2.41,6.28,-2.41,2.40,2.29,1.89,8.68,8.68,8.69
24.40,6.28,-2.40,6.28,-2.40,2.39,2.22,1.94,8.67,8.67,8.68
24.65,6.28,-2.38,6.28,-2.38,2.37,2.18,2.00,8.65,8.65,8.66
24.89,6.28,-2.36,6.28,-2.36,2.35,2.13,2.05,8.63,8.63,8.64
25.14,6.28,-2.33,6.28,-2.33,2.33,2.11,2.10,8.61,8.61,8.61
25.39,6.28,-2.30,6.28,-2.30,2.31,2.08,2.16,8.59,8.59,8.58
25.65,6.28,-2.27,6.28,-2.27,2.29,2.07,2.21,8.57,8.57,8.55
25.91,6.28,-2.26,6.28,-2.26,2.27,2.07,2.26,8.55,8.55,8.53
26.16,6.27,-2.25,6.27,-2.25,2.27,2.07,2.32,8.54,8.54,8.52
26.43,6.26,-2.26,6.26,-2.26,2.26,2.08,2.37,8.52,8.52,8.52
26.69,6.25,-2.27,6.25,-2.27,2.26,2.11,2.42,8.51,8.51,8.52
26.96,6.24,-2.28,6.24,-2.28,2.27,2.13,2.48,8.51,8.51,8.52
27.23,6.23,-2.29,6.23,-2.29,2.27,2.16,2.53,8.50,8.50,8.52
27.50,6.22,-2.29,6.22,-2.29,2.28,2.20,2.58,8.50,8.50,8.51
27.77,6.21,-2.30,6.21,-2.30,2.29,2.25,2.63,8.50,8.51,8.51
28.05,6.21,-2.30,6.21,-2.30,2.31,2.29,2.67,8.52,8.52,8.51
28.33,6.20,-2.32,6.20,-2.32,2.33,2.35,2.72,8.54,8.54,8.52
28.62,6.20,-2.34,6.20,-2.34,2.36,2.41,2.76,8.56,8.56,8.54
28.90,6.19,-2.38,6.19,-2.38,2.40,2.47,2.80,8.59,8.59,8.57
29.19,6.17,-2.44,6.17,-2.44,2.45,2.54,2.84,8.62,8.62,8.61
29.48,6.16,-2.50,6.16,-2.50,2.50,2.61,2.88,8.65,8.65,8.66
29.78,6.14,-2.56,6.14,-2.56,2.54,2.67,2.91,8.68,8.68,8.69
30.08,6.11,-2.61,6.12,-2.61,2.59,2.72,2.94,8.70,8.70,8.73
30.38,6.10,-2.65,6.10,-2.65,2.63,2.78,2.96,8.72,8.72,8.75
30.68,6.08,-2.68,6.09,-2.68,2.66,2.81,2.98,8.74,8.74,8.76
30.99,6.08,-2.69,6.08,-2.69,2.69,2.84,3.00,8.76,8.76,8.77
31.30,6.07,-2.70,6.07,-2.70,2.71,2.85,3.02,8.79,8.79,8.77
31.61,6.06,-2.71,6.06,-2.71,2.74,2.86,3.03,8.80,8.80,8.78
31.93,6.05,-2.74,6.05,-2.74,2.77,2.85,3.04,8.82,8.82,8.79
32.24,6.02,-2.78,6.02,-2.78,2.80,2.84,3.04,8.82,8.82,8.80
32.57,6.00,-2.82,6.00,-2.82,2.83,2.83,3.04,8.83,8.83,8.82
32.89,5.96,-2.87,5.96,-2.87,2.86,2.81,3.04,8.82,8.82,8.83
33.22,5.93,-2.91,5.93,-2.90,2.88,2.80,3.03,8.81,8.81,8.83
33.55,5.90,-2.93,5.90,-2.92,2.89,2.78,3.02,8.79,8.79,8.83
33.89,5.87,-2.92,5.87,-2.92,2.90,2.77,3.01,8.77,8.77,8.79
34.23,5.84,-2.90,5.84,-2.90,2.89,2.76,3.00,8.73,8.73,8.74
34.57,5.81,-2.87,5.81,-2.87,2.87,2.76,2.99,8.68,8.68,8.68
34.92,5.78,-2.83,5.78,-2.83,2.84,2.75,2.97,8.62,8.62,8.62
35.27,5.76,-2.80,5.76,-2.80,2.81,2.75,2.95,8.57,8.57,8.56
35.62,5.74,-2.77,5.74,-2.77,2.79,2.76,2.93,8.53,8.53,8.51
35.97,5.73,-2.75,5.73,-2.76,2.77,2.76,2.91,8.50,8.50,8.48
36.33,5.72,-2.75,5.72,-2.75,2.77,2.77,2.89,8.49,8.49,8.47
36.70,5.71,-2.75,5.71,-2.75,2.77,2.78,2.86,8.48,8.48,8.47
37.06,5.70,-2.76,5.70,-2.77,2.77,2.79,2.84,8.47,8.47,8.46
37.43,5.67,-2.79,5.67,-2.79,2.78,2.80,2.82,8.46,8.45,8.46
37.81,5.64,-2.81,5.64,-2.81,2.79,2.81,2.80,8.43,8.43,8.45
38.19,5.61,-2.82,5.61,-2.82,2.79,2.82,2.78,8.40,8.40,8.43
38.57,5.58,-2.82,5.58,-2.82,2.79,2.83,2.76,8.37,8.37,8.40
38.95,5.56,-2.80,5.56,-2.80,2.78,2.84,2.74,8.34,8.34,8.36
39.34,5.54,-2.77,5.54,-2.77,2.78,2.85,2.72,8.32,8.32,8.32
39.74,5.53,-2.75,5.53,-2.75,2.77,2.86,2.70,8.30,8.30,8.28
40.14,5.50,-2.74,5.50,-2.74,2.77,2.87,2.68,8.27,8.27,8.24
40.54,5.48,-2.74,5.47,-2.75,2.77,2.88,2.67,8.25,8.25,8.22
40.94,5.44,-2.77,5.44,-2.77,2.78,2.88,2.66,8.22,8.22,8.21
41.35,5.41,-2.80,5.41,-2.80,2.80,2.89,2.65,8.21,8.21,8.21
41.76,5.37,-2.84,5.38,-2.83,2.83,2.89,2.64,8.20,8.20,8.21
42.18,5.35,-2.87,5.35,-2.87,2.85,2.90,2.63,8.20,8.20,8.22
42.60,5.33,-2.89,5.33,-2.89,2.88,2.90,2.62,8.21,8.21,8.22
43.03,5.31,-2.91,5.31,-2.91,2.90,2.90,2.62,8.21,8.21,8.22
43.46,5.29,-2.92,5.29,-2.92,2.91,2.90,2.62,8.21,8.21,8.21
43.90,5.27,-2.92,5.27,-2.92,2.92,2.90,2.62,8.19,8.19,8.19
44.33,5.24,-2.93,5.24,-2.93,2.92,2.90,2.62,8.16,8.16,8.16
44.78,5.20,-2.92,5.20,-2.92,2.92,2.90,2.62,8.12,8.12,8.12
