frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.86,-11.36,-3.85,-11.36,6.00,6.92,2.66,2.14,2.15,7.50
20.20,-3.83,-11.39,-3.84,-11.39,6.00,6.95,2.73,2.17,2.16,7.55
20.40,-3.80,-11.41,-3.81,-11.41,6.00,6.99,2.81,2.20,2.19,7.60
20.61,-3.77,-11.43,-3.77,-11.42,6.00,6.89,2.89,2.23,2.23,7.66
20.81,-3.72,-11.43,-3.72,-11.43,6.00,6.79,2.97,2.28,2.28,7.71
21.02,-3.66,-11.42,-3.66,-11.42,6.00,6.62,3.06,2.34,2.34,7.76
21.23,-3.59,-11.40,-3.59,-11.40,6.00,6.46,3.14,2.41,2.41,7.81
21.44,-3.51,-11.37,-3.51,-11.37,6.00,6.30,3.24,2.49,2.49,7.86
21.66,-3.44,-11.33,-3.44,-11.33,6.00,6.14,3.33,2.56,2.56,7.90
21.87,-3.36,-11.29,-3.37,-11.29,6.00,6.02,3.42,2.64,2.63,7.93
22.09,-3.30,-11.25,-3.30,-11.25,6.00,5.89,3.52,2.70,2.70,7.95
22.31,-3.24,-11.21,-3.24,-11.21,6.00,5.81,3.62,2.76,2.76,7.97
22.54,-3.19,-11.17,-3.19,-11.17,6.00,5.72,3.72,2.81,2.81,7.98
22.76,-3.14,-11.13,-3.14,-11.13,6.00,5.66,3.83,2.86,2.86,7.99
22.99,-3.10,-11.09,-3.10,-11.09,6.00,5.61,3.93,2.90,2.90,7.99
23.22,-3.05,-11.04,-3.05,-11.04,6.00,5.58,4.04,2.95,2.95,7.99
23.45,-2.99,-10.98,-2.99,-10.98,6.00,5.55,4.16,3.01,3.01,7.98
23.69,-2.93,-10.91,-2.93,-10.91,6.00,5.54,4.27,3.07,3.07,7.98
23.92,-2.86,-10.84,-2.86,-10.84,6.00,5.52,4.39,3.14,3.14,7.98
24.16,-2.79,-10.76,-2.79,-10.76,6.00,5.53,4.51,3.21,3.21,7.97
24.40,-2.72,-10.67,-2.72,-10.67,6.00,5.53,4.63,3.28,3.28,7.96
24.65,-2.64,-10.58,-2.64,-10.58,6.00,5.54,4.75,3.36,3.36,7.94
24.89,-2.57,-10.48,-2.57,-10.48,6.00,5.55,4.88,3.43,3.43,7.92
25.14,-2.50,-10.39,-2.50,-10.39,6.00,5.57,5.01,3.50,3.50,7.89
25.39,-2.44,-10.30,-2.44,-10.30,6.00,5.59,5.13,3.56,3.56,7.86
25.65,-2.39,-10.22,-2.39,-10.22,6.00,5.62,5.26,3.61,3.61,7.83
25.91,-2.34,-10.15,-2.34,-10.15,6.00,5.64,5.39,3.66,3.66,7.81
26.16,-2.29,-10.09,-2.29,-10.09,6.00,5.67,5.52,3.71,3.71,7.80
26.43,-2.25,-10.05,-2.25,-10.05,6.00,5.69,5.65,3.75,3.75,7.80
26.69,-2.21,-10.01,-2.21,-10.01,6.00,5.72,5.78,3.79,3.79,7.80
26.96,-2.17,-9.97,-2.17,-9.96,6.00,5.75,5.90,3.83,3.83,7.80
27.23,-2.13,-9.93,-2.13,-9.92,6.00,5.79,6.03,3.87,3.87,7.80
27.50,-2.09,-9.88,-2.09,-9.88,6.00,5.82,6.15,3.91,3.91,7.79
27.77,-2.05,-9.84,-2.05,-9.84,6.00,5.85,6.27,3.95,3.95,7.79
28.05,-2.02,-9.81,-2.02,-9.81,6.00,5.88,6.38,3.98,3.98,7.79
28.33,-1.99,-9.79,-1.99,-9.79,6.00,5.91,6.49,4.01,4.01,7.80
28.62,-1.96,-9.78,-1.96,-9.78,6.00,5.94,6.60,4.04,4.04,7.82
28.90,-1.93,-9.78,-1.93,-9.78,6.00,5.98,6.69,4.07,4.07,7.85
29.19,-1.90,-9.79,-1.90,-9.79,6.00,6.01,6.79,4.10,4.10,7.89
29.48,-1.87,-9.81,-1.87,-9.80,6.00,6.04,6.87,4.13,4.13,7.93
29.78,-1.84,-9.81,-1.84,-9.81,6.00,6.07,6.95,4.16,4.16,7.97
30.08,-1.80,-9.81,-1.80,-9.81,6.00,6.10,7.01,4.20,4.20,8.01
30.38,-1.77,-9.80,-1.77,-9.79,6.00,6.13,7.07,4.23,4.23,8.03
30.68,-1.72,-9.77,-1.72,-9.76,6.00,6.15,7.12,4.28,4.28,8.04
30.99,-1.68,-9.72,-1.68,-9.72,6.00,6.18,7.16,4.32,4.32,8.05
31.30,-1.63,-9.68,-1.63,-9.68,6.00,6.21,7.18,4.37,4.37,8.05
31.61,-1.58,-9.64,-1.58,-9.64,6.00,6.23,7.21,4.42,4.42,8.05
31.93,-1.53,-9.60,-1.53,-9.60,6.00,6.25,7.21,4.47,4.47,8.06
32.24,-1.49,-9.57,-1.49,-9.57,6.00,6.28,7.21,4.51,4.51,8.08
32.57,-1.44,-9.54,-1.44,-9.54,6.00,6.30,7.20,4.56,4.56,8.10
32.89,-1.40,-9.51,-1.40,-9.51,6.00,6.32,7.18,4.60,4.60,8.11
33.22,-1.36,-9.47,-1.36,-9.47,6.00,6.34,7.16,4.64,4.64,8.11
33.55,-1.32,-9.43,-1.32,-9.42,6.00,6.36,7.12,4.68,4.68,8.10
33.89,-1.29,-9.36,-1.29,-9.35,6.00,6.37,7.08,4.71,4.71,8.07
34.23,-1.25,-9.27,-1.25,-9.27,6.00,6.39,7.03,4.75,4.75,8.02
34.57,-1.22,-9.18,-1.22,-9.18,6.00,6.40,6.98,4.78,4.78,7.96
34.92,-1.19,-9.08,-1.19,-9.09,6.00,6.41,6.92,4.81,4.81,7.89
35.27,-1.16,-9.00,-1.16,-9.00,6.00,6.42,6.86,4.84,4.84,7.84
35.62,-1.14,-8.93,-1.14,-8.94,6.00,6.43,6.79,4.86,4.86,7.79
35.97,-1.12,-8.89,-1.12,-8.89,6.00,6.44,6.73,4.88,4.88,7.76
36.33,-1.11,-8.86,-1.11,-8.86,6.00,6.45,6.66,4.89,4.89,7.75
36.70,-1.09,-8.83,-1.09,-8.83,6.00,6.46,6.59,4.91,4.91,7.74
37.06,-1.07,-8.81,-1.07,-8.81,6.00,6.46,6.52,4.93,4.93,7.74
37.43,-1.05,-8.79,-1.05,-8.79,6.00,6.46,6.45,4.95,4.95,7.74
37.81,-1.03,-8.75,-1.03,-8.76,6.00,6.46,6.38,4.97,4.97,7.72
38.19,-1.01,-8.72,-1.01,-8.72,6.00,6.46,6.31,4.99,4.99,7.71
38.57,-0.99,-8.67,-0.99,-8.67,6.00,6.46,6.24,5.01,5.01,7.68
38.95,-0.97,-8.61,-0.97,-8.61,6.00,6.46,6.18,5.03,5.03,7.64
39.34,-0.94,-8.54,-0.94,-8.54,6.00,6.46,6.12,5.06,5.06,7.60
39.74,-0.91,-8.46,-0.90,-8.46,6.00,6.45,6.06,5.09,5.10,7.56
40.14,-0.87,-8.39,-0.87,-8.39,6.00,6.44,6.00,5.13,5.13,7.52
40.54,-0.83,-8.33,-0.83,-8.33,6.00,6.44,5.95,5.17,5.17,7.50
40.94,-0.79,-8.28,-0.79,-8.28,6.00,6.43,5.90,5.21,5.21,7.49
41.35,-0.75,-8.24,-0.75,-8.24,6.00,6.42,5.85,5.25,5.25,7.48
41.76,-0.72,-8.21,-0.72,-8.21,6.00,6.41,5.81,5.28,5.28,7.49
42.18,-0.68,-8.18,-0.68,-8.18,6.00,6.39,5.77,5.32,5.32,7.50
42.60,-0.64,-8.14,-0.64,-8.14,6.00,6.38,5.74,5.36,5.36,7.50
43.03,-0.61,-8.11,-0.61,-8.11,6.00,6.37,5.71,5.39,5.39,7.50
43.46,-0.58,-8.07,-0.58,-8.07,6.00,6.35,5.68,5.42,5.42,7.49
43.90,-0.55,-8.02,-0.55,-8.02,6.00,6.34,5.66,5.45,5.45,7.47
44.33,-0.54,-7.98,-0.54,-7.98,6.00,6.32,5.64,5.46,5.46,7.44
44.78,-0.52,-7.92,-0.52,-7.92,6.00,6.30,5.63,5.48,5.48,7.40
45.23,-0.50,-7.86,-0.50,-7.86,6.00,6.29,5.62,5.50,5.50,7.36
45.68,-0.49,-7.79,-0.49,-7.79,6.00,6.27,5.62,5.51,5.51,7.31
46.13,-0.47,-7.73,-0.47,-7.73,6.00,6.25,5.62,5.53,5.53,7.26
46.60,-0.45,-7.66,-0.45,-7.66,6.00,6.23,5.62,5.55,5.55,7.21
47.06,-0.43,-7.60,-0.43,-7.60,6.00,6.21,5.63,5.57,5.57,7.17
47.53,-0.41,-7.54,-0.41,-7.54,6.00,6.19,5.64,5.59,5.59,7.13
48.01,-0.40,-7.49,-0.40,-7.49,6.00,6.17,5.66,5.60,5.60,7.09
48.49,-0.40,-7.45,-0.40,-7.45,6.00,6.14,5.68,5.60,5.60,7.05
