frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.55,2.21,12.55,2.21,-2.23,-2.08,-0.99,10.32,10.32,10.34
20.20,12.55,2.20,12.55,2.20,-2.20,-2.14,-1.02,10.35,10.35,10.34
20.40,12.55,2.20,12.55,2.19,-2.18,-2.19,-1.05,10.37,10.37,10.34
20.61,12.55,2.20,12.55,2.18,-2.16,-2.23,-1.08,10.39,10.39,10.35
20.81,12.56,2.14,12.56,2.16,-2.15,-2.27,-1.11,10.41,10.41,10.42
21.02,12.57,2.13,12.57,2.14,-2.14,-2.29,-1.15,10.43,10.43,10.44
21.23,12.59,2.14,12.59,2.12,-2.14,-2.31,-1.18,10.45,10.45,10.45
21.44,12.62,2.12,12.62,2.12,-2.14,-2.32,-1.22,10.48,10.48,10.51
21.66,12.66,2.12,12.66,2.13,-2.15,-2.32,-1.25,10.51,10.51,10.54
21.87,12.70,2.16,12.70,2.16,-2.17,-2.31,-1.29,10.54,10.54,10.54
22.09,12.75,2.20,12.75,2.21,-2.19,-2.31,-1.33,10.56,10.56,10.54
22.31,12.80,2.25,12.79,2.24,-2.22,-2.29,-1.37,10.57,10.57,10.54
22.54,12.84,2.28,12.84,2.25,-2.25,-2.28,-1.40,10.58,10.58,10.56
22.76,12.87,2.24,12.87,2.28,-2.28,-2.27,-1.45,10.59,10.59,10.63
22.99,12.89,2.29,12.89,2.30,-2.30,-2.26,-1.49,10.59,10.59,10.60
23.22,12.90,2.35,12.90,2.33,-2.31,-2.25,-1.53,10.58,10.58,10.54
23.45,12.90,2.35,12.90,2.35,-2.32,-2.24,-1.57,10.58,10.58,10.54
23.69,12.89,2.34,12.89,2.35,-2.33,-2.24,-1.62,10.56,10.56,10.54
23.92,12.87,2.33,12.87,2.32,-2.33,-2.23,-1.66,10.54,10.54,10.54
24.16,12.86,2.31,12.86,2.31,-2.34,-2.23,-1.71,10.51,10.51,10.54
24.40,12.85,2.30,12.85,2.32,-2.35,-2.23,-1.76,10.49,10.49,10.54
24.65,12.84,2.33,12.84,2.34,-2.36,-2.23,-1.81,10.48,10.48,10.51
24.89,12.84,2.39,12.84,2.37,-2.36,-2.24,-1.85,10.47,10.47,10.45
25.14,12.84,2.40,12.84,2.40,-2.37,-2.24,-1.90,10.47,10.47,10.44
25.39,12.85,2.40,12.85,2.41,-2.37,-2.24,-1.95,10.48,10.48,10.44
25.65,12.86,2.40,12.86,2.39,-2.38,-2.25,-2.00,10.48,10.48,10.46
25.91,12.87,2.35,12.87,2.37,-2.37,-2.25,-2.05,10.50,10.50,10.52
26.16,12.88,2.34,12.88,2.35,-2.36,-2.26,-2.10,10.52,10.52,10.54
26.43,12.89,2.34,12.89,2.34,-2.35,-2.26,-2.15,10.54,10.54,10.54
26.69,12.88,2.34,12.88,2.33,-2.33,-2.27,-2.19,10.55,10.55,10.54
26.96,12.87,2.33,12.87,2.32,-2.31,-2.27,-2.24,10.56,10.56,10.54
27.23,12.85,2.31,12.85,2.30,-2.30,-2.27,-2.29,10.55,10.55,10.54
27.50,12.82,2.28,12.83,2.27,-2.29,-2.28,-2.33,10.53,10.53,10.54
27.77,12.80,2.25,12.80,2.26,-2.28,-2.28,-2.37,10.51,10.52,10.54
28.05,12.77,2.24,12.78,2.26,-2.28,-2.29,-2.42,10.50,10.50,10.53
28.33,12.75,2.29,12.75,2.27,-2.27,-2.29,-2.45,10.48,10.48,10.46
28.62,12.74,2.29,12.74,2.28,-2.27,-2.29,-2.49,10.47,10.47,10.44
28.90,12.72,2.28,12.72,2.28,-2.26,-2.29,-2.53,10.46,10.46,10.44
29.19,12.71,2.26,12.71,2.26,-2.25,-2.29,-2.56,10.45,10.45,10.44
29.48,12.69,2.25,12.69,2.25,-2.24,-2.29,-2.59,10.45,10.45,10.44
29.78,12.68,2.23,12.68,2.23,-2.23,-2.29,-2.61,10.44,10.44,10.44
30.08,12.67,2.22,12.67,2.22,-2.23,-2.29,-2.64,10.44,10.44,10.44
30.38,12.66,2.22,12.66,2.22,-2.23,-2.28,-2.66,10.43,10.44,10.44
30.68,12.66,2.21,12.66,2.21,-2.23,-2.28,-2.67,10.43,10.43,10.44
30.99,12.66,2.22,12.66,2.22,-2.24,-2.27,-2.68,10.42,10.42,10.44
31.30,12.67,2.22,12.67,2.24,-2.26,-2.27,-2.69,10.41,10.41,10.44
31.61,12.67,2.28,12.67,2.28,-2.28,-2.26,-2.70,10.40,10.39,10.39
31.93,12.67,2.33,12.67,2.31,-2.30,-2.26,-2.70,10.38,10.38,10.34
32.24,12.67,2.32,12.67,2.33,-2.31,-2.25,-2.70,10.36,10.36,10.34
32.57,12.66,2.32,12.66,2.32,-2.32,-2.24,-2.69,10.34,10.34,10.34
32.89,12.65,2.31,12.65,2.31,-2.31,-2.23,-2.68,10.34,10.34,10.34
33.22,12.64,2.29,12.64,2.30,-2.28,-2.23,-2.67,10.35,10.35,10.34
33.55,12.62,2.27,12.62,2.26,-2.23,-2.22,-2.65,10.38,10.38,10.34
33.89,12.59,2.21,12.59,2.20,-2.17,-2.21,-2.64,10.43,10.43,10.38
34.23,12.56,2.11,12.56,2.12,-2.09,-2.20,-2.62,10.48,10.47,10.45
34.57,12.53,2.01,12.53,2.01,-2.00,-2.19,-2.59,10.53,10.53,10.52
34.92,12.50,1.91,12.50,1.90,-1.92,-2.18,-2.57,10.58,10.58,10.59
35.27,12.47,1.81,12.47,1.81,-1.84,-2.17,-2.54,10.63,10.63,10.66
35.62,12.45,1.72,12.45,1.74,-1.78,-2.15,-2.52,10.68,10.68,10.73
35.97,12.44,1.69,12.44,1.69,-1.73,-2.14,-2.49,10.71,10.71,10.74
36.33,12.43,1.69,12.43,1.68,-1.71,-2.13,-2.46,10.72,10.72,10.74
36.70,12.43,1.68,12.43,1.70,-1.71,-2.12,-2.43,10.72,10.72,10.74
37.06,12.42,1.73,12.42,1.74,-1.72,-2.11,-2.39,10.70,10.70,10.69
37.43,12.42,1.79,12.42,1.79,-1.75,-2.10,-2.36,10.66,10.66,10.62
37.81,12.41,1.85,12.41,1.83,-1.79,-2.09,-2.33,10.62,10.62,10.56
38.19,12.40,1.85,12.40,1.86,-1.83,-2.07,-2.30,10.56,10.56,10.54
38.57,12.39,1.87,12.39,1.88,-1.88,-2.06,-2.27,10.50,10.50,10.52
38.95,12.38,1.93,12.38,1.93,-1.94,-2.05,-2.24,10.44,10.44,10.45
39.34,12.37,2.00,12.37,1.99,-2.01,-2.04,-2.21,10.36,10.36,10.38
39.74,12.38,2.07,12.38,2.07,-2.10,-2.03,-2.18,10.27,10.28,10.30
40.14,12.40,2.16,12.40,2.16,-2.21,-2.02,-2.15,10.19,10.19,10.24
40.54,12.43,2.26,12.43,2.28,-2.32,-2.01,-2.12,10.11,10.11,10.17
40.94,12.47,2.41,12.47,2.41,-2.43,-2.00,-2.10,10.04,10.04,10.06
41.35,12.51,2.57,12.51,2.55,-2.53,-1.99,-2.07,9.98,9.98,9.94
41.76,12.54,2.67,12.53,2.68,-2.60,-1.98,-2.05,9.93,9.93,9.87
42.18,12.53,2.73,12.53,2.73,-2.64,-1.97,-2.03,9.89,9.89,9.80
42.60,12.52,2.75,12.51,2.72,-2.66,-1.96,-2.01,9.86,9.86,9.76
43.03,12.47,2.64,12.47,2.66,-2.65,-1.95,-1.99,9.82,9.82,9.83
43.46,12.41,2.56,12.41,2.56,-2.61,-1.94,-1.97,9.80,9.80,9.84
43.90,12.34,2.47,12.35,2.46,-2.54,-1.93,-1.95,9.80,9.81,9.87
44.33,12.29,2.35,12.30,2.38,-2.45,-1.93,-1.94,9.84,9.85,9.94
44.78,12.24,2.30,12.25,2.31,-2.32,-1.92,-1.92,9.92,9.92,9.94
45.23,12.18,2.24,12.18,2.23,-2.16,-1.91,-1.91,10.02,10.02,9.94
45.68,12.06,2.12,12.06,2.11,-1.97,-1.91,-1.90,10.10,10.09,9.94
46.13,11.87,1.93,11.84,1.90,-1.75,-1.90,-1.89,10.12,10.09,9.94
46.60,11.54,1.60,11.52,1.57,-1.55,-1.89,-1.89,9.99,9.97,9.94
47.06,11.19,1.24,11.19,1.21,-1.38,-1.89,-1.88,9.82,9.81,9.95
47.53,10.87,0.85,10.93,0.92,-1.25,-1.88,-1.87,9.62,9.68,10.02
48.01,10.81,0.77,10.84,0.80,-1.17,-1.88,-1.87,9.64,9.66,10.04
48.49,10.92,0.87,10.93,0.88,-1.15,-1.87,-1.87,9.76,9.78,10.04
48.97,11.17,1.12,11.16,1.11,-1.19,-1.87,-1.87,9.98,9.97,10.04
49.46,11.43,1.39,11.40,1.36,-1.27,-1.87,-1.87,10.17,10.14,10.04
49.96,11.62,1.58,11.60,1.56,-1.37,-1.86,-1.87,10.25,10.23,10.04
50.46,11.72,1.67,11.73,1.68,-1.49,-1.86,-1.87,10.23,10.23,10.04
50.96,11.78,1.73,11.77,1.72,-1.61,-1.86,-1.88,10.16,10.16,10.04
51.47,11.78,1.74,11.78,1.73,-1.72,-1.86,-1.88,10.06,10.06,10.04
51.99,11.76,1.71,11.76,1.73,-1.80,-1.85,-1.88,9.96,9.97,10.04
52.51,11.73,1.75,11.74,1.75,-1.85,-1.85,-1.89,9.88,9.88,9.98
53.03,11.71,1.80,11.72,1.81,-1.91,-1.85,-1.90,9.80,9.81,9.91
53.56,11.73,1.90,11.73,1.92,-1.97,-1.85,-1.90,9.76,9.76,9.83
54.10,11.75,2.05,11.75,2.04,-2.04,-1.85,-1.91,9.71,9.71,9.70
54.64,11.77,2.17,11.77,2.16,-2.09,-1.85,-1.92,9.68,9.67,9.60
55.18,11.77,2.24,11.77,2.24,-2.14,-1.85,-1.93,9.63,9.62,9.53
55.74,11.74,2.27,11.74,2.26,-2.18,-1.85,-1.93,9.56,9.56,9.47
56.29,11.69,2.24,11.69,2.24,-2.20,-1.85,-1.94,9.49,9.49,9.44
56.86,11.62,2.18,11.62,2.18,-2.21,-1.86,-1.95,9.41,9.41,9.44
57.42,11.56,2.11,11.56,2.12,-2.21,-1.86,-1.95,9.35,9.34,9.44
58.00,11.49,2.10,11.49,2.12,-2.20,-1.86,-1.96,9.29,9.29,9.39
58.58,11.44,2.14,11.43,2.15,-2.18,-1.86,-1.97,9.25,9.25,9.30
59.16,11.39,2.24,11.39,2.19,-2.17,-1.87,-1.97,9.23,9.23,9.15
59.76,11.36,2.22,11.36,2.22,-2.15,-1.87,-1.97,9.21,9.21,9.14
60.35,11.34,2.20,11.34,2.21,-2.15,-1.87,-1.98,9.19,9.19,9.14
60.96,11.32,2.18,11.32,2.15,-2.15,-1.87,-1.98,9.18,9.18,9.14
61.57,11.31,2.10,11.31,2.11,-2.14,-1.88,-1.98,9.17,9.17,9.22
62.18,11.30,2.06,11.30,2.07,-2.13,-1.88,-1.98,9.17,9.17,9.24
62.80,11.29,2.05,11.29,2.07,-2.11,-1.89,-1.98,9.18,9.17,9.23
63.43,11.27,2.10,11.27,2.08,-2.09,-1.89,-1.98,9.18,9.18,9.17
64.07,11.25,2.10,11.24,2.09,-2.06,-1.89,-1.97,9.19,9.18,9.14
64.71,11.21,2.07,11.21,2.08,-2.03,-1.90,-1.97,9.19,9.19,9.14
65.35,11.18,2.03,11.18,2.04,-1.99,-1.90,-1.96,9.19,9.19,9.14
66.01,11.14,1.99,11.14,1.98,-1.95,-1.91,-1.96,9.19,9.19,9.14
66.67,11.09,1.93,11.09,1.91,-1.91,-1.91,-1.95,9.18,9.18,9.16
67.33,11.04,1.81,11.04,1.82,-1.86,-1.92,-1.94,9.18,9.18,9.24
68.01,10.99,1.75,10.99,1.76,-1.82,-1.93,-1.93,9.17,9.18,9.24
68.69,10.95,1.73,10.95,1.74,-1.78,-1.93,-1.92,9.17,9.17,9.22
69.37,10.91,1.76,10.91,1.76,-1.76,-1.94,-1.91,9.15,9.15,9.15
70.07,10.87,1.79,10.87,1.77,-1.75,-1.94,-1.90,9.12,9.12,9.08
70.77,10.83,1.79,10.83,1.77,-1.75,-1.95,-1.89,9.08,9.08,9.04
71.48,10.79,1.74,10.79,1.77,-1.77,-1.96,-1.88,9.01,9.01,9.04
72.19,10.74,1.77,10.74,1.76,-1.80,-1.96,-1.87,8.94,8.94,8.98
72.91,10.69,1.79,10.69,1.79,-1.82,-1.97,-1.86,8.87,8.87,8.90
73.64,10.63,1.81,10.63,1.84,-1.83,-1.97,-1.85,8.81,8.81,8.82
74.38,10.58,1.89,10.58,1.86,-1.82,-1.98,-1.84,8.75,8.75,8.68
75.12,10.52,1.88,10.52,1.87,-1.82,-1.99,-1.83,8.71,8.71,8.64
75.87,10.48,1.83,10.48,1.84,-1.80,-1.99,-1.82,8.68,8.68,8.64
76.63,10.43,1.79,10.43,1.79,-1.78,-2.00,-1.82,8.66,8.66,8.64
