frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.42,1.21,10.42,1.21,-1.25,-1.11,-0.39,9.17,9.17,9.21
20.20,10.43,1.21,10.43,1.22,-1.22,-1.11,-0.41,9.21,9.21,9.21
20.40,10.43,1.22,10.43,1.21,-1.19,-1.12,-0.42,9.24,9.24,9.21
20.61,10.43,1.22,10.43,1.19,-1.16,-1.12,-0.43,9.27,9.27,9.21
20.81,10.43,1.15,10.43,1.17,-1.14,-1.12,-0.44,9.29,9.29,9.28
21.02,10.43,1.12,10.43,1.13,-1.12,-1.12,-0.46,9.31,9.31,9.31
21.23,10.43,1.11,10.43,1.09,-1.09,-1.11,-0.47,9.33,9.33,9.32
21.44,10.43,1.05,10.43,1.06,-1.07,-1.11,-0.48,9.36,9.36,9.37
21.66,10.43,1.01,10.43,1.03,-1.04,-1.11,-0.50,9.38,9.38,9.41
21.87,10.43,1.02,10.43,1.01,-1.02,-1.11,-0.51,9.41,9.41,9.41
22.09,10.43,1.02,10.43,1.02,-1.00,-1.11,-0.53,9.43,9.43,9.41
22.31,10.43,1.02,10.43,1.01,-0.99,-1.10,-0.55,9.44,9.44,9.41
22.54,10.43,1.01,10.43,0.98,-0.99,-1.10,-0.56,9.44,9.44,9.42
22.76,10.43,0.93,10.43,0.97,-0.99,-1.10,-0.58,9.44,9.44,9.50
22.99,10.43,0.97,10.43,0.98,-0.99,-1.09,-0.60,9.44,9.44,9.46
23.22,10.44,1.02,10.44,1.00,-1.00,-1.09,-0.61,9.44,9.44,9.41
23.45,10.44,1.02,10.44,1.03,-1.00,-1.08,-0.63,9.44,9.44,9.41
23.69,10.44,1.02,10.44,1.03,-1.01,-1.08,-0.65,9.43,9.43,9.41
23.92,10.44,1.02,10.44,1.02,-1.03,-1.07,-0.67,9.41,9.41,9.41
24.16,10.43,1.02,10.43,1.02,-1.04,-1.07,-0.69,9.39,9.39,9.41
24.40,10.43,1.02,10.43,1.03,-1.06,-1.06,-0.71,9.37,9.37,9.41
24.65,10.43,1.05,10.42,1.06,-1.07,-1.06,-0.73,9.36,9.36,9.38
24.89,10.42,1.11,10.42,1.08,-1.07,-1.05,-0.74,9.35,9.35,9.31
25.14,10.41,1.10,10.41,1.11,-1.06,-1.04,-0.76,9.35,9.35,9.31
25.39,10.40,1.09,10.40,1.09,-1.06,-1.04,-0.78,9.35,9.35,9.31
25.65,10.40,1.07,10.40,1.05,-1.04,-1.03,-0.80,9.35,9.35,9.32
25.91,10.39,1.00,10.39,1.01,-1.03,-1.02,-0.82,9.36,9.36,9.39
26.16,10.38,0.97,10.38,0.98,-1.01,-1.01,-0.84,9.38,9.38,9.41
26.43,10.38,0.97,10.38,0.96,-0.98,-1.01,-0.86,9.40,9.40,9.41
26.69,10.37,0.96,10.37,0.96,-0.96,-1.00,-0.88,9.41,9.41,9.41
26.96,10.37,0.96,10.37,0.96,-0.95,-0.99,-0.90,9.42,9.42,9.41
27.23,10.36,0.95,10.36,0.95,-0.94,-0.98,-0.92,9.42,9.42,9.41
27.50,10.35,0.94,10.35,0.93,-0.95,-0.97,-0.94,9.41,9.41,9.41
27.77,10.34,0.93,10.34,0.94,-0.95,-0.96,-0.95,9.39,9.39,9.41
28.05,10.33,0.93,10.33,0.95,-0.96,-0.95,-0.97,9.37,9.37,9.40
28.33,10.32,0.99,10.32,0.97,-0.96,-0.94,-0.98,9.35,9.35,9.33
28.62,10.31,0.99,10.31,0.99,-0.97,-0.93,-1.00,9.34,9.34,9.31
28.90,10.29,0.98,10.29,0.99,-0.97,-0.92,-1.01,9.32,9.32,9.31
29.19,10.28,0.97,10.28,0.97,-0.97,-0.91,-1.02,9.32,9.32,9.31
29.48,10.27,0.96,10.27,0.96,-0.96,-0.90,-1.03,9.31,9.31,9.31
29.78,10.26,0.95,10.26,0.95,-0.95,-0.89,-1.04,9.32,9.32,9.31
30.08,10.25,0.94,10.25,0.94,-0.94,-0.88,-1.05,9.32,9.32,9.31
30.38,10.24,0.93,10.24,0.93,-0.93,-0.87,-1.06,9.31,9.31,9.31
30.68,10.22,0.91,10.22,0.91,-0.92,-0.86,-1.06,9.30,9.30,9.31
30.99,10.21,0.90,10.21,0.89,-0.92,-0.85,-1.06,9.29,9.29,9.31
31.30,10.19,0.88,10.19,0.90,-0.92,-0.84,-1.06,9.27,9.27,9.31
31.61,10.18,0.92,10.18,0.92,-0.93,-0.83,-1.06,9.26,9.26,9.26
31.93,10.17,0.96,10.17,0.94,-0.93,-0.82,-1.06,9.24,9.24,9.21
32.24,10.16,0.95,10.16,0.95,-0.94,-0.81,-1.06,9.22,9.22,9.21
32.57,10.15,0.94,10.15,0.94,-0.94,-0.80,-1.05,9.21,9.21,9.21
32.89,10.13,0.92,10.13,0.92,-0.93,-0.79,-1.05,9.21,9.21,9.21
33.22,10.12,0.91,10.12,0.91,-0.90,-0.78,-1.04,9.22,9.22,9.21
33.55,10.10,0.89,10.10,0.88,-0.86,-0.77,-1.03,9.24,9.24,9.21
33.89,10.09,0.84,10.09,0.83,-0.80,-0.76,-1.02,9.28,9.28,9.25
34.23,10.07,0.75,10.07,0.76,-0.73,-0.75,-1.01,9.34,9.34,9.32
34.57,10.06,0.67,10.06,0.67,-0.66,-0.74,-0.99,9.40,9.40,9.39
34.92,10.04,0.58,10.04,0.58,-0.58,-0.73,-0.98,9.46,9.46,9.46
35.27,10.02,0.49,10.02,0.49,-0.51,-0.72,-0.97,9.51,9.51,9.53
35.62,10.00,0.40,10.00,0.42,-0.45,-0.71,-0.95,9.55,9.55,9.60
35.97,9.98,0.37,9.98,0.36,-0.41,-0.70,-0.93,9.57,9.57,9.61
36.33,9.96,0.35,9.96,0.34,-0.38,-0.69,-0.92,9.58,9.59,9.61
36.70,9.95,0.34,9.95,0.35,-0.37,-0.68,-0.90,9.58,9.58,9.61
37.06,9.94,0.38,9.94,0.38,-0.37,-0.67,-0.88,9.57,9.56,9.56
37.43,9.92,0.43,9.92,0.42,-0.39,-0.66,-0.87,9.53,9.53,9.49
37.81,9.89,0.47,9.89,0.45,-0.41,-0.65,-0.85,9.48,9.48,9.43
