frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.92,-1.68,7.90,-1.70,1.85,-0.05,0.15,9.77,9.74,9.61
20.20,7.98,-1.62,8.00,-1.60,1.60,-0.05,0.15,9.59,9.61,9.61
20.40,8.12,-1.49,8.15,-1.46,1.38,-0.05,0.16,9.50,9.53,9.61
20.61,8.33,-1.28,8.34,-1.29,1.17,-0.05,0.16,9.50,9.51,9.61
20.81,8.60,-1.08,8.59,-1.07,0.98,-0.05,0.17,9.58,9.57,9.68
21.02,8.86,-0.84,8.86,-0.83,0.81,-0.05,0.17,9.67,9.67,9.71
21.23,9.11,-0.60,9.10,-0.63,0.65,-0.05,0.18,9.76,9.76,9.71
21.44,9.31,-0.46,9.30,-0.46,0.51,-0.06,0.19,9.82,9.82,9.77
21.66,9.46,-0.35,9.46,-0.33,0.37,-0.06,0.19,9.83,9.83,9.81
21.87,9.58,-0.22,9.58,-0.23,0.26,-0.06,0.20,9.84,9.83,9.81
22.09,9.66,-0.15,9.66,-0.15,0.17,-0.06,0.21,9.83,9.83,9.81
22.31,9.71,-0.09,9.71,-0.10,0.11,-0.06,0.21,9.82,9.82,9.81
22.54,9.75,-0.07,9.75,-0.09,0.06,-0.06,0.22,9.81,9.81,9.82
22.76,9.78,-0.11,9.78,-0.07,0.02,-0.06,0.23,9.80,9.81,9.89
22.99,9.81,-0.05,9.81,-0.04,-0.00,-0.07,0.23,9.81,9.81,9.86
23.22,9.83,0.03,9.83,0.00,-0.02,-0.07,0.24,9.81,9.81,9.81
23.45,9.84,0.04,9.85,0.04,-0.02,-0.07,0.25,9.82,9.82,9.81
23.69,9.84,0.04,9.84,0.04,-0.01,-0.07,0.26,9.83,9.83,9.81
23.92,9.82,0.01,9.81,0.00,0.02,-0.07,0.26,9.83,9.83,9.81
24.16,9.76,-0.05,9.75,-0.06,0.07,-0.07,0.27,9.83,9.83,9.81
24.40,9.66,-0.15,9.65,-0.14,0.16,-0.08,0.28,9.82,9.82,9.81
24.65,9.52,-0.25,9.52,-0.24,0.29,-0.08,0.29,9.81,9.81,9.77
24.89,9.36,-0.35,9.35,-0.37,0.43,-0.08,0.30,9.79,9.79,9.71
25.14,9.18,-0.53,9.17,-0.53,0.59,-0.08,0.30,9.76,9.76,9.71
25.39,8.99,-0.72,9.00,-0.71,0.73,-0.08,0.31,9.72,9.72,9.71
25.65,8.86,-0.86,8.85,-0.88,0.83,-0.09,0.32,9.69,9.69,9.72
25.91,8.77,-1.01,8.77,-1.00,0.89,-0.09,0.33,9.66,9.66,9.78
26.16,8.75,-1.05,8.77,-1.03,0.90,-0.09,0.33,9.65,9.67,9.81
26.43,8.84,-0.97,8.85,-0.96,0.85,-0.09,0.34,9.69,9.69,9.81
26.69,9.01,-0.80,9.00,-0.81,0.74,-0.10,0.35,9.75,9.74,9.81
26.96,9.21,-0.60,9.21,-0.60,0.59,-0.10,0.35,9.80,9.80,9.81
27.23,9.43,-0.38,9.43,-0.38,0.42,-0.10,0.36,9.85,9.84,9.81
27.50,9.63,-0.17,9.63,-0.19,0.24,-0.10,0.37,9.87,9.86,9.81
27.77,9.78,-0.02,9.78,-0.02,0.08,-0.11,0.37,9.86,9.86,9.81
28.05,9.88,0.09,9.87,0.10,-0.03,-0.11,0.37,9.85,9.84,9.79
28.33,9.90,0.17,9.90,0.16,-0.09,-0.11,0.38,9.81,9.81,9.72
28.62,9.87,0.16,9.87,0.15,-0.08,-0.12,0.38,9.79,9.79,9.71
28.90,9.78,0.08,9.78,0.08,-0.02,-0.12,0.38,9.77,9.76,9.71
29.19,9.66,-0.05,9.66,-0.04,0.09,-0.12,0.38,9.75,9.75,9.71
29.48,9.52,-0.19,9.52,-0.19,0.21,-0.13,0.38,9.73,9.73,9.71
29.78,9.37,-0.34,9.37,-0.34,0.33,-0.13,0.38,9.70,9.70,9.71
30.08,9.23,-0.47,9.23,-0.48,0.42,-0.13,0.38,9.65,9.65,9.71
30.38,9.13,-0.57,9.14,-0.57,0.45,-0.14,0.37,9.58,9.59,9.71
30.68,9.11,-0.59,9.13,-0.58,0.41,-0.14,0.37,9.52,9.54,9.71
30.99,9.22,-0.49,9.22,-0.49,0.31,-0.14,0.36,9.52,9.53,9.71
31.30,9.40,-0.30,9.41,-0.27,0.16,-0.15,0.35,9.56,9.57,9.71
31.61,9.65,-0.01,9.65,-0.00,-0.01,-0.15,0.34,9.64,9.64,9.65
31.93,9.91,0.30,9.89,0.27,-0.16,-0.16,0.33,9.75,9.73,9.61
32.24,10.07,0.46,10.07,0.47,-0.27,-0.16,0.32,9.80,9.80,9.61
32.57,10.16,0.55,10.13,0.53,-0.31,-0.17,0.31,9.85,9.82,9.61
32.89,10.08,0.48,10.07,0.46,-0.29,-0.17,0.30,9.79,9.78,9.61
33.22,9.89,0.29,9.89,0.29,-0.20,-0.18,0.28,9.69,9.68,9.61
33.55,9.65,0.04,9.65,0.04,-0.07,-0.18,0.27,9.58,9.58,9.61
33.89,9.42,-0.23,9.44,-0.21,0.09,-0.19,0.25,9.51,9.53,9.64
34.23,9.30,-0.42,9.31,-0.40,0.25,-0.19,0.23,9.55,9.56,9.71
34.57,9.26,-0.52,9.28,-0.50,0.39,-0.20,0.21,9.65,9.67,9.78
34.92,9.34,-0.51,9.33,-0.52,0.49,-0.20,0.19,9.83,9.82,9.85
35.27,9.43,-0.49,9.42,-0.50,0.52,-0.21,0.17,9.96,9.94,9.92
35.62,9.52,-0.47,9.51,-0.47,0.49,-0.22,0.14,10.01,10.00,9.99
35.97,9.58,-0.42,9.59,-0.42,0.41,-0.22,0.12,9.99,10.00,10.01
36.33,9.66,-0.34,9.67,-0.35,0.29,-0.23,0.10,9.95,9.96,10.01
36.70,9.77,-0.23,9.78,-0.21,0.15,-0.24,0.07,9.93,9.94,10.01
37.06,9.92,-0.04,9.92,-0.02,0.01,-0.25,0.05,9.93,9.93,9.95
37.43,10.08,0.20,10.07,0.18,-0.14,-0.25,0.02,9.95,9.94,9.88
37.81,10.20,0.38,10.20,0.36,-0.28,-0.26,-0.01,9.92,9.93,9.82
38.19,10.31,0.50,10.29,0.49,-0.42,-0.27,-0.03,9.89,9.87,9.81
38.57,10.33,0.55,10.33,0.57,-0.55,-0.28,-0.06,9.78,9.78,9.78
38.95,10.34,0.63,10.35,0.63,-0.67,-0.29,-0.09,9.67,9.68,9.71
39.34,10.35,0.71,10.35,0.71,-0.77,-0.30,-0.12,9.58,9.58,9.64
39.74,10.37,0.80,10.37,0.80,-0.85,-0.31,-0.15,9.51,9.52,9.57
40.14,10.39,0.89,10.39,0.89,-0.91,-0.32,-0.18,9.48,9.48,9.50
40.54,10.40,0.97,10.39,0.97,-0.95,-0.33,-0.21,9.45,9.44,9.43
40.94,10.35,1.03,10.35,1.03,-0.97,-0.34,-0.24,9.38,9.38,9.32
41.35,10.26,1.06,10.25,1.04,-0.96,-0.35,-0.27,9.30,9.29,9.20
