frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.85,1.08,10.85,1.09,-1.11,0.04,-0.43,9.74,9.75,9.77
20.20,10.87,1.10,10.87,1.10,-1.10,0.04,-0.45,9.77,9.77,9.77
20.40,10.88,1.11,10.88,1.10,-1.09,0.04,-0.46,9.79,9.79,9.77
20.61,10.90,1.12,10.90,1.10,-1.08,0.04,-0.48,9.82,9.82,9.77
20.81,10.91,1.07,10.91,1.09,-1.07,0.04,-0.49,9.84,9.84,9.84
21.02,10.92,1.05,10.92,1.06,-1.06,0.05,-0.51,9.86,9.86,9.87
21.23,10.94,1.06,10.94,1.04,-1.05,0.05,-0.52,9.89,9.89,9.88
21.44,10.95,1.02,10.95,1.02,-1.04,0.05,-0.54,9.91,9.91,9.93
21.66,10.97,1.00,10.97,1.01,-1.02,0.05,-0.56,9.94,9.94,9.97
21.87,10.98,1.01,10.98,1.01,-1.01,0.05,-0.57,9.97,9.97,9.97
22.09,10.99,1.02,10.99,1.02,-1.00,0.05,-0.59,9.99,9.99,9.97
22.31,10.99,1.02,10.99,1.01,-0.99,0.05,-0.61,10.00,10.00,9.97
22.54,10.99,1.01,10.99,0.99,-0.99,0.05,-0.63,10.00,10.00,9.98
22.76,10.99,0.93,10.99,0.97,-0.99,0.05,-0.65,10.00,10.00,10.06
22.99,10.98,0.96,10.98,0.96,-0.98,0.05,-0.67,10.00,10.00,10.02
23.22,10.96,0.99,10.96,0.97,-0.96,0.06,-0.69,10.00,10.00,9.97
23.45,10.95,0.97,10.95,0.97,-0.95,0.06,-0.71,10.00,10.00,9.97
23.69,10.92,0.95,10.92,0.96,-0.94,0.06,-0.73,9.98,9.98,9.97
23.92,10.90,0.93,10.90,0.92,-0.93,0.06,-0.75,9.97,9.97,9.97
24.16,10.87,0.90,10.87,0.90,-0.92,0.06,-0.77,9.95,9.95,9.97
24.40,10.84,0.87,10.84,0.89,-0.91,0.06,-0.80,9.93,9.93,9.97
24.65,10.81,0.88,10.81,0.89,-0.90,0.06,-0.82,9.91,9.92,9.93
24.89,10.78,0.91,10.78,0.89,-0.87,0.06,-0.84,9.91,9.91,9.87
25.14,10.75,0.88,10.75,0.89,-0.84,0.07,-0.86,9.91,9.91,9.87
25.39,10.72,0.85,10.72,0.85,-0.81,0.07,-0.89,9.91,9.91,9.87
25.65,10.69,0.80,10.69,0.79,-0.78,0.07,-0.91,9.91,9.91,9.88
25.91,10.66,0.71,10.66,0.72,-0.74,0.07,-0.93,9.92,9.92,9.95
26.16,10.63,0.65,10.63,0.66,-0.69,0.07,-0.95,9.94,9.94,9.97
26.43,10.60,0.63,10.60,0.62,-0.64,0.07,-0.97,9.95,9.95,9.97
26.69,10.57,0.60,10.57,0.60,-0.60,0.07,-0.99,9.97,9.97,9.97
26.96,10.55,0.58,10.55,0.58,-0.57,0.08,-1.01,9.98,9.98,9.97
27.23,10.52,0.55,10.52,0.55,-0.55,0.08,-1.03,9.98,9.98,9.97
27.50,10.50,0.53,10.50,0.52,-0.53,0.08,-1.05,9.97,9.97,9.97
27.77,10.48,0.51,10.48,0.51,-0.53,0.08,-1.07,9.95,9.95,9.97
28.05,10.45,0.49,10.45,0.51,-0.52,0.08,-1.09,9.93,9.93,9.96
28.33,10.43,0.54,10.43,0.52,-0.51,0.08,-1.10,9.91,9.91,9.89
28.62,10.41,0.53,10.41,0.53,-0.51,0.09,-1.12,9.90,9.90,9.87
28.90,10.38,0.51,10.38,0.52,-0.50,0.09,-1.13,9.88,9.88,9.87
29.19,10.37,0.50,10.37,0.50,-0.49,0.09,-1.14,9.87,9.87,9.87
29.48,10.35,0.48,10.35,0.48,-0.48,0.09,-1.15,9.87,9.87,9.87
29.78,10.34,0.47,10.34,0.47,-0.47,0.09,-1.15,9.87,9.87,9.87
30.08,10.33,0.46,10.33,0.46,-0.46,0.10,-1.16,9.87,9.87,9.87
30.38,10.32,0.45,10.32,0.45,-0.45,0.10,-1.16,9.87,9.87,9.87
30.68,10.31,0.44,10.31,0.43,-0.44,0.10,-1.16,9.86,9.86,9.87
30.99,10.29,0.42,10.29,0.42,-0.44,0.10,-1.16,9.85,9.85,9.87
31.30,10.28,0.41,10.28,0.43,-0.45,0.10,-1.15,9.83,9.83,9.87
31.61,10.27,0.45,10.27,0.45,-0.45,0.11,-1.15,9.82,9.82,9.82
31.93,10.25,0.48,10.25,0.46,-0.46,0.11,-1.14,9.80,9.80,9.77
32.24,10.24,0.47,10.24,0.47,-0.46,0.11,-1.13,9.78,9.78,9.77
32.57,10.23,0.46,10.23,0.46,-0.46,0.11,-1.11,9.77,9.77,9.77
32.89,10.21,0.44,10.21,0.44,-0.44,0.12,-1.10,9.77,9.77,9.77
33.22,10.19,0.42,10.19,0.43,-0.42,0.12,-1.08,9.78,9.78,9.77
33.55,10.18,0.40,10.18,0.40,-0.38,0.12,-1.06,9.80,9.80,9.77
33.89,10.16,0.35,10.16,0.35,-0.32,0.12,-1.04,9.84,9.84,9.81
34.23,10.15,0.27,10.15,0.28,-0.26,0.13,-1.01,9.89,9.89,9.88
34.57,10.14,0.20,10.15,0.20,-0.20,0.13,-0.99,9.95,9.95,9.95
34.92,10.14,0.13,10.14,0.12,-0.13,0.13,-0.96,10.02,10.02,10.01
35.27,10.15,0.06,10.14,0.06,-0.07,0.14,-0.93,10.08,10.08,10.08
35.62,10.14,-0.01,10.14,0.00,-0.02,0.14,-0.90,10.13,10.12,10.15
35.97,10.13,-0.04,10.13,-0.04,0.02,0.14,-0.87,10.15,10.15,10.17
