frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.77,-3.91,5.77,-3.91,3.89,4.40,1.92,9.66,9.66,9.69
20.20,5.77,-3.86,5.77,-3.86,3.87,4.38,1.97,9.64,9.64,9.64
20.40,5.77,-3.81,5.77,-3.83,3.85,4.37,2.03,9.63,9.63,9.59
20.61,5.77,-3.81,5.77,-3.81,3.84,4.25,2.09,9.61,9.61,9.59
20.81,5.77,-3.81,5.77,-3.81,3.82,4.14,2.15,9.59,9.59,9.59
21.02,5.77,-3.81,5.77,-3.82,3.81,4.01,2.21,9.58,9.58,9.59
21.23,5.77,-3.82,5.77,-3.82,3.79,3.87,2.27,9.56,9.57,9.59
21.44,5.77,-3.82,5.77,-3.81,3.78,3.77,2.34,9.55,9.55,9.59
21.66,5.77,-3.80,5.77,-3.78,3.77,3.66,2.40,9.54,9.54,9.57
21.87,5.77,-3.73,5.77,-3.75,3.76,3.59,2.47,9.52,9.52,9.50
22.09,5.76,-3.72,5.76,-3.73,3.74,3.53,2.54,9.51,9.51,9.49
22.31,5.76,-3.73,5.76,-3.72,3.73,3.50,2.62,9.49,9.49,9.49
22.54,5.76,-3.73,5.76,-3.73,3.73,3.47,2.69,9.49,9.49,9.49
22.76,5.75,-3.74,5.75,-3.73,3.74,3.47,2.77,9.49,9.49,9.49
22.99,5.75,-3.74,5.75,-3.74,3.75,3.48,2.85,9.50,9.50,9.49
23.22,5.74,-3.75,5.74,-3.77,3.78,3.51,2.93,9.52,9.52,9.49
23.45,5.74,-3.84,5.74,-3.81,3.81,3.54,3.01,9.55,9.55,9.57
23.69,5.73,-3.86,5.73,-3.86,3.85,3.58,3.09,9.58,9.58,9.59
23.92,5.72,-3.90,5.72,-3.91,3.89,3.63,3.18,9.62,9.62,9.62
24.16,5.72,-3.96,5.72,-3.94,3.94,3.69,3.26,9.66,9.66,9.68
24.40,5.71,-3.98,5.71,-3.98,3.99,3.75,3.35,9.70,9.70,9.69
24.65,5.70,-4.02,5.70,-4.04,4.05,3.82,3.44,9.75,9.75,9.73
24.89,5.69,-4.09,5.69,-4.09,4.10,3.89,3.53,9.80,9.80,9.79
25.14,5.69,-4.16,5.69,-4.15,4.16,3.95,3.62,9.84,9.84,9.85
25.39,5.68,-4.21,5.68,-4.21,4.21,4.02,3.72,9.88,9.88,9.89
25.65,5.67,-4.23,5.67,-4.26,4.25,4.09,3.81,9.92,9.92,9.90
25.91,5.66,-4.31,5.66,-4.30,4.28,4.16,3.90,9.94,9.94,9.96
26.16,5.65,-4.34,5.65,-4.33,4.30,4.21,4.00,9.95,9.95,9.99
26.43,5.64,-4.35,5.64,-4.33,4.31,4.27,4.09,9.94,9.94,9.98
26.69,5.62,-4.29,5.62,-4.31,4.30,4.32,4.18,9.93,9.93,9.92
26.96,5.61,-4.28,5.61,-4.28,4.29,4.36,4.27,9.90,9.90,9.89
27.23,5.60,-4.28,5.60,-4.25,4.26,4.40,4.36,9.87,9.87,9.88
27.50,5.59,-4.20,5.59,-4.23,4.24,4.43,4.45,9.83,9.83,9.79
27.77,5.57,-4.21,5.57,-4.21,4.21,4.45,4.53,9.79,9.79,9.79
28.05,5.56,-4.22,5.56,-4.19,4.19,4.46,4.62,9.75,9.75,9.78
28.33,5.55,-4.16,5.55,-4.18,4.18,4.47,4.69,9.72,9.72,9.71
28.62,5.53,-4.16,5.53,-4.17,4.17,4.47,4.77,9.70,9.70,9.69
28.90,5.51,-4.17,5.51,-4.17,4.18,4.46,4.84,9.69,9.69,9.69
29.19,5.50,-4.19,5.50,-4.19,4.20,4.45,4.91,9.70,9.70,9.69
29.48,5.48,-4.21,5.48,-4.20,4.22,4.44,4.97,9.70,9.70,9.69
29.78,5.46,-4.23,5.46,-4.23,4.25,4.42,5.03,9.71,9.71,9.69
30.08,5.44,-4.26,5.44,-4.28,4.28,4.40,5.08,9.72,9.72,9.70
30.38,5.42,-4.34,5.42,-4.33,4.31,4.38,5.13,9.73,9.73,9.76
30.68,5.40,-4.39,5.40,-4.37,4.33,4.36,5.16,9.74,9.74,9.79
30.99,5.38,-4.39,5.38,-4.38,4.35,4.34,5.20,9.74,9.74,9.77
