frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.00,-5.29,5.00,-5.29,5.26,5.01,2.34,10.27,10.26,10.30
20.20,5.05,-5.20,5.05,-5.20,5.20,5.05,2.41,10.25,10.25,10.25
20.40,5.09,-5.11,5.09,-5.13,5.15,5.10,2.48,10.23,10.24,10.20
20.61,5.13,-5.07,5.12,-5.07,5.10,5.11,2.55,10.22,10.22,10.20
20.81,5.16,-5.04,5.16,-5.03,5.05,5.13,2.62,10.21,10.21,10.20
21.02,5.18,-5.01,5.19,-5.01,5.01,5.10,2.70,10.19,10.20,10.20
21.23,5.21,-4.99,5.21,-5.00,4.97,5.07,2.77,10.18,10.18,10.20
21.44,5.22,-4.97,5.22,-4.97,4.94,5.01,2.85,10.16,10.16,10.20
21.66,5.23,-4.94,5.23,-4.93,4.91,4.95,2.94,10.15,10.15,10.18
21.87,5.24,-4.86,5.24,-4.88,4.89,4.90,3.02,10.13,10.13,10.11
22.09,5.25,-4.85,5.25,-4.85,4.86,4.86,3.11,10.11,10.11,10.10
22.31,5.26,-4.84,5.26,-4.83,4.85,4.85,3.20,10.10,10.10,10.10
22.54,5.26,-4.84,5.26,-4.83,4.84,4.84,3.29,10.10,10.10,10.10
22.76,5.26,-4.83,5.26,-4.83,4.84,4.85,3.38,10.10,10.10,10.10
22.99,5.27,-4.83,5.27,-4.84,4.85,4.87,3.48,10.11,10.11,10.10
23.22,5.27,-4.84,5.27,-4.86,4.87,4.89,3.58,10.13,10.13,10.10
23.45,5.27,-4.92,5.27,-4.89,4.89,4.91,3.68,10.16,10.16,10.18
23.69,5.26,-4.93,5.26,-4.94,4.92,4.93,3.78,10.19,10.19,10.20
23.92,5.26,-4.96,5.26,-4.98,4.96,4.95,3.88,10.22,10.22,10.23
24.16,5.27,-5.02,5.27,-5.00,5.00,4.97,3.99,10.26,10.26,10.29
24.40,5.27,-5.03,5.27,-5.03,5.04,4.99,4.10,10.31,10.31,10.30
24.65,5.27,-5.06,5.27,-5.07,5.09,5.01,4.21,10.36,10.36,10.33
24.89,5.28,-5.12,5.28,-5.12,5.13,5.02,4.32,10.41,10.41,10.40
25.14,5.28,-5.18,5.28,-5.16,5.18,5.03,4.43,10.46,10.46,10.46
