frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.46,0.05,10.46,0.06,-0.09,0.08,0.48,10.38,10.37,10.41
20.20,10.45,0.09,10.45,0.09,-0.09,0.04,0.50,10.36,10.36,10.36
20.40,10.43,0.12,10.44,0.11,-0.09,0.01,0.51,10.35,10.35,10.31
20.61,10.42,0.11,10.42,0.11,-0.09,-0.02,0.52,10.34,10.34,10.31
20.81,10.41,0.10,10.41,0.10,-0.08,-0.06,0.54,10.33,10.33,10.31
21.02,10.39,0.08,10.39,0.08,-0.07,-0.08,0.55,10.32,10.32,10.31
21.23,10.37,0.06,10.37,0.05,-0.06,-0.11,0.57,10.30,10.30,10.31
21.44,10.34,0.03,10.34,0.03,-0.05,-0.12,0.59,10.29,10.28,10.31
21.66,10.30,0.00,10.30,0.02,-0.03,-0.13,0.60,10.27,10.27,10.29
21.87,10.26,0.04,10.26,0.01,-0.01,-0.12,0.62,10.25,10.25,10.22
22.09,10.21,0.00,10.21,-0.00,0.01,-0.11,0.63,10.22,10.22,10.21
22.31,10.18,-0.04,10.18,-0.03,0.03,-0.08,0.65,10.21,10.21,10.21
22.54,10.15,-0.07,10.15,-0.06,0.05,-0.05,0.67,10.20,10.20,10.21
22.76,10.12,-0.09,10.12,-0.08,0.08,-0.00,0.69,10.20,10.20,10.21
22.99,10.11,-0.10,10.11,-0.11,0.11,0.05,0.71,10.22,10.22,10.21
23.22,10.10,-0.12,10.10,-0.14,0.15,0.10,0.73,10.25,10.25,10.22
23.45,10.09,-0.21,10.09,-0.18,0.19,0.16,0.75,10.28,10.28,10.30
23.69,10.07,-0.24,10.07,-0.24,0.24,0.23,0.77,10.32,10.32,10.31
23.92,10.05,-0.29,10.05,-0.30,0.30,0.29,0.79,10.36,10.35,10.34
24.16,10.02,-0.38,10.02,-0.36,0.37,0.35,0.81,10.39,10.39,10.40
24.40,9.99,-0.42,9.99,-0.43,0.44,0.41,0.83,10.43,10.43,10.41
24.65,9.95,-0.49,9.96,-0.51,0.51,0.47,0.85,10.46,10.46,10.45
24.89,9.92,-0.59,9.93,-0.58,0.58,0.53,0.87,10.51,10.51,10.51
25.14,9.90,-0.67,9.90,-0.66,0.65,0.58,0.89,10.55,10.55,10.57
25.39,9.88,-0.73,9.88,-0.72,0.72,0.63,0.92,10.60,10.60,10.61
25.65,9.87,-0.75,9.87,-0.78,0.77,0.68,0.94,10.64,10.64,10.62
25.91,9.85,-0.84,9.85,-0.83,0.83,0.73,0.96,10.68,10.68,10.69
26.16,9.83,-0.88,9.82,-0.87,0.87,0.77,0.99,10.70,10.69,10.71
26.43,9.79,-0.92,9.79,-0.90,0.90,0.82,1.01,10.69,10.69,10.70
26.69,9.74,-0.90,9.74,-0.92,0.92,0.86,1.03,10.66,10.66,10.64
26.96,9.69,-0.93,9.68,-0.93,0.93,0.89,1.05,10.62,10.62,10.61
27.23,9.63,-0.97,9.64,-0.93,0.93,0.93,1.08,10.57,10.57,10.60
27.50,9.60,-0.91,9.60,-0.94,0.92,0.97,1.10,10.52,10.52,10.51
27.77,9.58,-0.93,9.58,-0.93,0.90,1.00,1.12,10.48,10.48,10.51
28.05,9.58,-0.92,9.58,-0.89,0.88,1.04,1.14,10.46,10.46,10.50
28.33,9.58,-0.84,9.58,-0.86,0.86,1.07,1.17,10.44,10.44,10.43
28.62,9.59,-0.82,9.59,-0.83,0.84,1.10,1.19,10.44,10.44,10.41
28.90,9.60,-0.82,9.59,-0.81,0.84,1.13,1.21,10.44,10.44,10.41
29.19,9.58,-0.83,9.58,-0.83,0.86,1.16,1.23,10.44,10.44,10.41
29.48,9.56,-0.85,9.56,-0.85,0.89,1.19,1.25,10.45,10.44,10.41
29.78,9.52,-0.89,9.52,-0.90,0.93,1.22,1.27,10.45,10.45,10.41
30.08,9.47,-0.96,9.47,-0.97,0.98,1.24,1.28,10.45,10.45,10.43
30.38,9.42,-1.07,9.42,-1.06,1.03,1.27,1.30,10.45,10.45,10.49
30.68,9.37,-1.15,9.37,-1.13,1.08,1.30,1.32,10.45,10.45,10.51
30.99,9.32,-1.17,9.32,-1.16,1.13,1.32,1.33,10.45,10.45,10.49
31.30,9.28,-1.15,9.28,-1.17,1.15,1.35,1.35,10.43,10.43,10.43
31.61,9.25,-1.16,9.25,-1.18,1.17,1.37,1.36,10.42,10.42,10.41
31.93,9.22,-1.19,9.23,-1.18,1.17,1.40,1.37,10.40,10.40,10.41
32.24,9.21,-1.20,9.21,-1.18,1.17,1.43,1.38,10.38,10.38,10.41
32.57,9.19,-1.16,9.19,-1.17,1.17,1.45,1.40,10.37,10.37,10.36
32.89,9.18,-1.13,9.18,-1.15,1.18,1.48,1.41,10.36,10.35,10.31
33.22,9.15,-1.16,9.15,-1.16,1.19,1.50,1.42,10.35,10.34,10.31
33.55,9.12,-1.20,9.11,-1.19,1.22,1.52,1.43,10.34,10.33,10.31
33.89,9.07,-1.25,9.07,-1.25,1.25,1.55,1.43,10.32,10.32,10.31
34.23,9.01,-1.30,9.01,-1.30,1.29,1.57,1.44,10.30,10.30,10.31
34.57,8.96,-1.36,8.96,-1.36,1.33,1.60,1.45,10.29,10.29,10.31
34.92,8.90,-1.41,8.91,-1.41,1.38,1.62,1.46,10.29,10.29,10.31
35.27,8.86,-1.45,8.86,-1.45,1.43,1.65,1.47,10.30,10.30,10.31
35.62,8.83,-1.48,8.83,-1.48,1.49,1.67,1.48,10.32,10.32,10.31
35.97,8.80,-1.51,8.80,-1.52,1.54,1.69,1.48,10.34,10.34,10.31
36.33,8.78,-1.56,8.78,-1.57,1.59,1.72,1.49,10.37,10.37,10.33
36.70,8.75,-1.65,8.75,-1.63,1.64,1.74,1.50,10.39,10.39,10.39
37.06,8.71,-1.70,8.71,-1.69,1.69,1.77,1.51,10.41,10.40,10.41
37.43,8.67,-1.74,8.67,-1.75,1.74,1.79,1.52,10.41,10.41,10.41
37.81,8.62,-1.79,8.62,-1.80,1.78,1.81,1.53,10.40,10.40,10.41
38.19,8.57,-1.84,8.57,-1.83,1.81,1.84,1.54,10.38,10.38,10.41
38.57,8.53,-1.86,8.53,-1.84,1.83,1.86,1.55,10.35,10.36,10.38
38.95,8.49,-1.82,8.49,-1.85,1.83,1.88,1.57,10.33,10.33,10.32
39.34,8.47,-1.85,8.47,-1.83,1.83,1.91,1.58,10.29,10.29,10.31
39.74,8.44,-1.83,8.44,-1.82,1.82,1.93,1.60,10.26,10.26,10.27
40.14,8.41,-1.80,8.41,-1.82,1.82,1.95,1.61,10.23,10.23,10.21
40.54,8.38,-1.83,8.38,-1.80,1.83,1.98,1.63,10.21,10.21,10.21
40.94,8.35,-1.82,8.35,-1.81,1.84,2.00,1.65,10.19,10.19,10.17
41.35,8.31,-1.81,8.31,-1.85,1.88,2.03,1.66,10.19,10.19,10.12
41.76,8.27,-1.92,8.27,-1.89,1.93,2.05,1.69,10.20,10.20,10.19
42.18,8.23,-1.98,8.23,-1.97,1.99,2.07,1.71,10.22,10.22,10.21
42.60,8.19,-2.04,8.19,-2.06,2.05,2.10,1.73,10.24,10.24,10.23
43.03,8.14,-2.16,8.14,-2.14,2.11,2.12,1.75,10.26,10.26,10.30
43.46,8.10,-2.21,8.10,-2.22,2.17,2.14,1.78,10.27,10.27,10.31
43.90,8.05,-2.26,8.05,-2.27,2.23,2.17,1.81,10.28,10.28,10.31
44.33,8.00,-2.31,8.00,-2.29,2.28,2.19,1.83,10.27,10.27,10.31
44.78,7.95,-2.30,7.95,-2.31,2.32,2.21,1.86,10.27,10.27,10.25
45.23,7.90,-2.31,7.90,-2.32,2.35,2.24,1.90,10.26,10.26,10.21
45.68,7.86,-2.35,7.86,-2.35,2.38,2.26,1.93,10.24,10.24,10.21
46.13,7.81,-2.40,7.81,-2.39,2.41,2.28,1.96,10.22,10.22,10.21
46.60,7.77,-2.44,7.77,-2.45,2.43,2.31,2.00,10.20,10.20,10.21
47.06,7.73,-2.48,7.73,-2.49,2.46,2.33,2.03,10.18,10.18,10.21
47.53,7.68,-2.53,7.69,-2.51,2.48,2.35,2.07,10.17,10.17,10.21
48.01,7.65,-2.52,7.65,-2.52,2.51,2.38,2.11,10.16,10.16,10.17
48.49,7.61,-2.50,7.61,-2.52,2.54,2.40,2.15,10.15,10.15,10.11
48.97,7.58,-2.53,7.58,-2.53,2.57,2.42,2.19,10.14,10.14,10.11
49.46,7.54,-2.57,7.54,-2.56,2.59,2.45,2.23,10.13,10.13,10.11
49.96,7.50,-2.61,7.50,-2.61,2.62,2.47,2.28,10.12,10.12,10.11
50.46,7.46,-2.65,7.46,-2.66,2.65,2.49,2.32,10.11,10.11,10.11
50.96,7.42,-2.70,7.42,-2.68,2.68,2.52,2.36,10.09,10.09,10.11
51.47,7.37,-2.72,7.37,-2.71,2.69,2.54,2.41,10.06,10.06,10.09
51.99,7.32,-2.70,7.32,-2.73,2.70,2.56,2.45,10.02,10.02,10.01
52.51,7.27,-2.75,7.27,-2.73,2.69,2.58,2.50,9.96,9.96,10.01
53.03,7.21,-2.73,7.21,-2.70,2.68,2.61,2.54,9.89,9.89,9.95
53.56,7.16,-2.65,7.16,-2.67,2.67,2.63,2.59,9.82,9.82,9.80
54.10,7.11,-2.63,7.11,-2.63,2.65,2.65,2.63,9.76,9.76,9.74
54.64,7.06,-2.61,7.06,-2.60,2.65,2.67,2.68,9.71,9.71,9.67
55.18,7.01,-2.60,7.01,-2.62,2.66,2.70,2.72,9.67,9.67,9.61
55.74,6.96,-2.65,6.96,-2.65,2.67,2.72,2.76,9.63,9.63,9.61
56.29,6.91,-2.70,6.91,-2.70,2.70,2.74,2.80,9.61,9.61,9.61
56.86,6.86,-2.75,6.86,-2.75,2.74,2.76,2.84,9.60,9.60,9.61
57.42,6.82,-2.80,6.82,-2.80,2.78,2.78,2.88,9.60,9.60,9.61
58.00,6.78,-2.84,6.78,-2.84,2.82,2.81,2.92,9.60,9.60,9.61
58.58,6.74,-2.87,6.74,-2.87,2.85,2.83,2.95,9.59,9.59,9.61
59.16,6.70,-2.91,6.70,-2.89,2.87,2.85,2.98,9.57,9.57,9.61
59.76,6.66,-2.89,6.66,-2.90,2.87,2.87,3.01,9.53,9.53,9.55
60.35,6.61,-2.88,6.61,-2.88,2.87,2.89,3.04,9.48,9.48,9.48
60.96,6.55,-2.87,6.55,-2.86,2.87,2.91,3.06,9.42,9.42,9.42
61.57,6.49,-2.85,6.49,-2.85,2.87,2.93,3.08,9.36,9.36,9.34
62.18,6.42,-2.85,6.42,-2.85,2.88,2.95,3.10,9.30,9.30,9.27
62.80,6.36,-2.85,6.36,-2.87,2.90,2.98,3.12,9.25,9.25,9.21
63.43,6.29,-2.92,6.29,-2.91,2.93,3.00,3.13,9.22,9.22,9.21
64.07,6.23,-2.98,6.23,-2.97,2.97,3.02,3.14,9.20,9.20,9.21
64.71,6.18,-3.04,6.18,-3.03,3.02,3.04,3.15,9.20,9.20,9.21
65.35,6.13,-3.08,6.13,-3.08,3.09,3.06,3.15,9.21,9.22,9.21
66.01,6.08,-3.13,6.08,-3.14,3.15,3.08,3.15,9.24,9.24,9.21
66.67,6.04,-3.19,6.04,-3.21,3.22,3.10,3.15,9.26,9.26,9.23
67.33,6.00,-3.30,6.00,-3.29,3.27,3.12,3.15,9.28,9.28,9.30
68.01,5.96,-3.35,5.96,-3.34,3.32,3.14,3.15,9.28,9.27,9.31
68.69,5.91,-3.38,5.91,-3.37,3.35,3.15,3.14,9.25,9.26,9.28
69.37,5.86,-3.36,5.86,-3.39,3.36,3.17,3.13,9.22,9.22,9.21
70.07,5.81,-3.40,5.81,-3.38,3.36,3.19,3.12,9.17,9.17,9.21
70.77,5.76,-3.39,5.76,-3.36,3.35,3.21,3.11,9.10,9.10,9.14
71.48,5.71,-3.31,5.71,-3.33,3.32,3.23,3.10,9.03,9.03,9.02
72.19,5.66,-3.28,5.66,-3.29,3.30,3.25,3.09,8.96,8.96,8.94
