frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.68,-5.04,3.67,-5.03,5.01,4.68,2.14,8.69,8.68,8.71
20.20,3.69,-4.97,3.69,-4.97,4.97,4.70,2.20,8.66,8.66,8.66
20.40,3.71,-4.90,3.71,-4.92,4.94,4.71,2.26,8.65,8.65,8.61
20.61,3.73,-4.88,3.73,-4.88,4.90,4.72,2.33,8.63,8.63,8.61
20.81,3.75,-4.87,3.75,-4.86,4.87,4.73,2.39,8.62,8.62,8.61
21.02,3.76,-4.85,3.76,-4.85,4.85,4.74,2.46,8.61,8.61,8.61
21.23,3.77,-4.84,3.77,-4.84,4.82,4.76,2.53,8.59,8.59,8.61
21.44,3.78,-4.83,3.78,-4.82,4.80,4.77,2.61,8.58,8.58,8.61
21.66,3.79,-4.81,3.79,-4.79,4.78,4.78,2.68,8.56,8.56,8.59
21.87,3.79,-4.73,3.79,-4.75,4.76,4.79,2.76,8.55,8.55,8.52
22.09,3.79,-4.72,3.79,-4.73,4.74,4.80,2.84,8.53,8.53,8.51
22.31,3.79,-4.73,3.79,-4.72,4.73,4.82,2.93,8.51,8.52,8.51
22.54,3.79,-4.73,3.79,-4.72,4.72,4.83,3.01,8.51,8.51,8.51
22.76,3.79,-4.72,3.79,-4.72,4.72,4.84,3.10,8.51,8.51,8.51
22.99,3.79,-4.72,3.80,-4.72,4.72,4.86,3.18,8.52,8.52,8.51
23.22,3.81,-4.71,3.81,-4.73,4.74,4.87,3.27,8.54,8.54,8.52
23.45,3.82,-4.78,3.82,-4.75,4.75,4.89,3.37,8.57,8.57,8.60
23.69,3.83,-4.78,3.83,-4.78,4.77,4.91,3.46,8.60,8.60,8.61
23.92,3.84,-4.80,3.84,-4.81,4.80,4.93,3.56,8.64,8.64,8.64
24.16,3.85,-4.85,3.85,-4.83,4.83,4.95,3.66,8.69,8.69,8.70
24.40,3.86,-4.85,3.86,-4.86,4.87,4.97,3.76,8.73,8.73,8.71
24.65,3.86,-4.89,3.86,-4.90,4.92,5.00,3.86,8.78,8.78,8.75
24.89,3.86,-4.95,3.86,-4.95,4.97,5.03,3.96,8.83,8.83,8.81
25.14,3.85,-5.02,3.85,-5.01,5.02,5.05,4.06,8.87,8.87,8.87
25.39,3.84,-5.07,3.84,-5.07,5.07,5.08,4.17,8.91,8.91,8.91
25.65,3.83,-5.09,3.83,-5.11,5.10,5.10,4.27,8.93,8.93,8.92
25.91,3.83,-5.16,3.83,-5.16,5.12,5.11,4.38,8.95,8.95,8.99
26.16,3.83,-5.18,3.83,-5.17,5.13,5.10,4.48,8.96,8.96,9.01
26.43,3.84,-5.17,3.84,-5.15,5.12,5.09,4.58,8.96,8.96,9.00
26.69,3.86,-5.08,3.86,-5.11,5.09,5.05,4.69,8.94,8.94,8.94
26.96,3.88,-5.03,3.88,-5.04,5.05,5.00,4.79,8.92,8.92,8.91
27.23,3.90,-5.00,3.90,-4.97,4.99,4.95,4.89,8.89,8.89,8.90
27.50,3.92,-4.89,3.92,-4.92,4.94,4.89,4.99,8.86,8.86,8.81
27.77,3.94,-4.87,3.94,-4.87,4.88,4.85,5.08,8.82,8.82,8.81
28.05,3.95,-4.85,3.95,-4.82,4.84,4.81,5.17,8.78,8.78,8.80
28.33,3.95,-4.77,3.95,-4.79,4.80,4.79,5.26,8.75,8.75,8.73
28.62,3.96,-4.75,3.96,-4.76,4.77,4.78,5.34,8.73,8.73,8.71
28.90,3.96,-4.75,3.96,-4.74,4.75,4.77,5.41,8.71,8.71,8.71
29.19,3.97,-4.75,3.97,-4.74,4.75,4.77,5.49,8.71,8.71,8.71
29.48,3.97,-4.74,3.97,-4.73,4.74,4.77,5.55,8.72,8.72,8.71
29.78,3.99,-4.72,3.99,-4.73,4.74,4.78,5.61,8.73,8.73,8.71
30.08,4.00,-4.72,4.00,-4.74,4.74,4.78,5.66,8.74,8.74,8.73
30.38,4.02,-4.77,4.02,-4.76,4.74,4.78,5.70,8.76,8.76,8.79
30.68,4.03,-4.78,4.03,-4.76,4.73,4.78,5.73,8.76,8.76,8.81
30.99,4.04,-4.75,4.04,-4.74,4.72,4.78,5.76,8.77,8.77,8.79
31.30,4.05,-4.68,4.05,-4.70,4.71,4.78,5.78,8.76,8.76,8.73
31.61,4.05,-4.66,4.05,-4.67,4.69,4.78,5.79,8.74,8.74,8.71
31.93,4.05,-4.66,4.05,-4.66,4.66,4.77,5.79,8.71,8.71,8.71
32.24,4.05,-4.66,4.05,-4.64,4.63,4.77,5.79,8.68,8.68,8.71
32.57,4.04,-4.61,4.04,-4.62,4.61,4.77,5.77,8.65,8.65,8.66
32.89,4.04,-4.57,4.04,-4.59,4.58,4.76,5.75,8.62,8.63,8.61
33.22,4.05,-4.57,4.05,-4.56,4.57,4.76,5.72,8.61,8.61,8.61
33.55,4.05,-4.56,4.06,-4.55,4.56,4.75,5.69,8.61,8.61,8.61
33.89,4.07,-4.55,4.06,-4.55,4.55,4.74,5.65,8.62,8.62,8.61
34.23,4.07,-4.54,4.07,-4.55,4.56,4.74,5.60,8.63,8.62,8.61
34.57,4.06,-4.55,4.05,-4.56,4.57,4.73,5.55,8.63,8.63,8.61
34.92,4.03,-4.58,4.03,-4.58,4.60,4.72,5.49,8.63,8.62,8.61
35.27,3.99,-4.62,3.99,-4.62,4.63,4.71,5.44,8.62,8.61,8.61
35.62,3.95,-4.66,3.95,-4.66,4.66,4.70,5.37,8.61,8.61,8.61
35.97,3.92,-4.69,3.93,-4.69,4.68,4.70,5.31,8.60,8.61,8.61
36.33,3.92,-4.71,3.93,-4.72,4.70,4.69,5.24,8.63,8.63,8.63
36.70,3.94,-4.75,3.94,-4.74,4.72,4.68,5.18,8.66,8.66,8.69
37.06,3.97,-4.74,3.97,-4.73,4.72,4.67,5.11,8.69,8.69,8.71
37.43,4.00,-4.71,4.00,-4.72,4.71,4.65,5.04,8.72,8.71,8.71
37.81,4.02,-4.69,4.02,-4.69,4.69,4.64,4.97,8.72,8.72,8.71
38.19,4.04,-4.67,4.04,-4.66,4.66,4.63,4.90,8.70,8.70,8.71
38.57,4.05,-4.64,4.05,-4.63,4.62,4.62,4.84,8.67,8.67,8.68
38.95,4.05,-4.57,4.05,-4.59,4.58,4.61,4.77,8.63,8.63,8.62
39.34,4.06,-4.55,4.06,-4.54,4.53,4.60,4.71,8.60,8.60,8.61
39.74,4.07,-4.50,4.07,-4.49,4.49,4.58,4.65,8.56,8.56,8.57
40.14,4.08,-4.43,4.08,-4.46,4.45,4.57,4.59,8.53,8.53,8.51
40.54,4.08,-4.43,4.08,-4.41,4.43,4.56,4.53,8.51,8.51,8.51
40.94,4.07,-4.40,4.07,-4.39,4.42,4.54,4.48,8.49,8.49,8.47
41.35,4.07,-4.35,4.07,-4.39,4.42,4.53,4.42,8.49,8.49,8.42
41.76,4.07,-4.42,4.07,-4.40,4.43,4.51,4.38,8.50,8.50,8.49
42.18,4.07,-4.44,4.07,-4.43,4.45,4.50,4.33,8.52,8.52,8.51
42.60,4.07,-4.46,4.07,-4.48,4.47,4.48,4.29,8.54,8.54,8.53
43.03,4.08,-4.52,4.08,-4.51,4.48,4.47,4.25,8.56,8.56,8.60
43.46,4.08,-4.53,4.08,-4.53,4.49,4.45,4.21,8.57,8.57,8.61
43.90,4.08,-4.53,4.08,-4.54,4.50,4.44,4.18,8.58,8.58,8.61
44.33,4.08,-4.53,4.08,-4.51,4.49,4.42,4.15,8.58,8.58,8.61
44.78,4.09,-4.46,4.09,-4.47,4.49,4.40,4.12,8.57,8.57,8.55
45.23,4.09,-4.42,4.09,-4.44,4.47,4.39,4.09,8.56,8.56,8.51
45.68,4.09,-4.42,4.09,-4.42,4.46,4.37,4.07,8.54,8.54,8.51
46.13,4.09,-4.43,4.09,-4.42,4.44,4.35,4.06,8.52,8.52,8.51
46.60,4.08,-4.43,4.08,-4.43,4.42,4.33,4.04,8.50,8.50,8.51
47.06,4.08,-4.43,4.08,-4.44,4.41,4.31,4.03,8.48,8.48,8.51
47.53,4.07,-4.44,4.07,-4.42,4.40,4.30,4.02,8.47,8.47,8.51
48.01,4.07,-4.40,4.07,-4.39,4.39,4.28,4.01,8.46,8.46,8.47
48.49,4.07,-4.34,4.07,-4.37,4.38,4.26,4.01,8.45,8.45,8.41
48.97,4.06,-4.35,4.06,-4.35,4.38,4.24,4.01,8.44,8.44,8.41
49.46,4.06,-4.35,4.06,-4.35,4.37,4.22,4.01,8.43,8.43,8.41
49.96,4.06,-4.35,4.06,-4.36,4.36,4.20,4.02,8.42,8.42,8.41
50.46,4.06,-4.36,4.06,-4.36,4.35,4.18,4.02,8.41,8.41,8.41
50.96,4.05,-4.36,4.05,-4.35,4.34,4.16,4.03,8.39,8.39,8.41
51.47,4.05,-4.34,4.05,-4.33,4.31,4.14,4.04,8.36,8.36,8.39
51.99,4.05,-4.27,4.05,-4.30,4.27,4.12,4.05,8.32,8.32,8.31
52.51,4.04,-4.27,4.04,-4.25,4.22,4.10,4.06,8.26,8.26,8.31
53.03,4.04,-4.20,4.04,-4.18,4.16,4.07,4.07,8.20,8.20,8.25
53.56,4.04,-4.07,4.04,-4.10,4.09,4.05,4.09,8.13,8.13,8.10
54.10,4.03,-4.00,4.03,-4.00,4.03,4.03,4.10,8.06,8.06,8.04
54.64,4.03,-3.94,4.03,-3.93,3.97,4.01,4.11,8.00,8.01,7.97
55.18,4.03,-3.88,4.03,-3.89,3.93,3.98,4.12,7.96,7.96,7.91
55.74,4.04,-3.88,4.04,-3.87,3.90,3.96,4.14,7.93,7.93,7.91
56.29,4.04,-3.87,4.04,-3.87,3.88,3.94,4.15,7.92,7.92,7.91
56.86,4.04,-3.87,4.04,-3.87,3.87,3.91,4.16,7.91,7.91,7.91
57.42,4.04,-3.87,4.04,-3.87,3.87,3.89,4.16,7.91,7.91,7.91
58.00,4.04,-3.87,4.04,-3.88,3.87,3.87,4.17,7.91,7.91,7.91
58.58,4.03,-3.88,4.03,-3.88,3.86,3.84,4.17,7.89,7.89,7.91
59.16,4.03,-3.88,4.03,-3.86,3.83,3.82,4.17,7.86,7.86,7.91
59.76,4.03,-3.82,4.03,-3.82,3.79,3.79,4.17,7.82,7.82,7.85
60.35,4.02,-3.76,4.02,-3.76,3.74,3.77,4.16,7.77,7.77,7.78
60.96,4.02,-3.70,4.02,-3.69,3.69,3.74,4.15,7.71,7.71,7.72
61.57,4.01,-3.63,4.01,-3.62,3.64,3.72,4.13,7.66,7.66,7.64
62.18,4.01,-3.56,4.01,-3.56,3.59,3.69,4.12,7.60,7.60,7.57
62.80,4.00,-3.51,4.00,-3.52,3.55,3.67,4.10,7.55,7.55,7.51
63.43,4.00,-3.51,4.00,-3.51,3.53,3.64,4.07,7.52,7.52,7.51
64.07,3.99,-3.52,3.99,-3.51,3.51,3.61,4.04,7.51,7.51,7.51
64.71,3.99,-3.52,3.99,-3.52,3.52,3.59,4.01,7.51,7.51,7.51
65.35,3.99,-3.53,3.99,-3.52,3.54,3.56,3.97,7.52,7.52,7.51
66.01,3.98,-3.53,3.98,-3.54,3.56,3.53,3.93,7.54,7.54,7.51
66.67,3.98,-3.55,3.98,-3.57,3.58,3.51,3.89,7.56,7.56,7.53
67.33,3.98,-3.63,3.98,-3.61,3.59,3.48,3.84,7.57,7.57,7.60
68.01,3.97,-3.64,3.97,-3.62,3.60,3.45,3.79,7.57,7.57,7.61
68.69,3.97,-3.62,3.97,-3.62,3.59,3.43,3.74,7.55,7.55,7.58
