frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.06,-3.32,7.06,-3.31,3.29,3.62,1.15,10.35,10.35,10.38
20.20,7.09,-3.24,7.09,-3.24,3.24,3.59,1.19,10.33,10.33,10.33
20.40,7.12,-3.16,7.12,-3.18,3.20,3.57,1.22,10.31,10.31,10.28
20.61,7.15,-3.13,7.15,-3.13,3.15,3.49,1.26,10.30,10.30,10.28
20.81,7.18,-3.10,7.18,-3.09,3.10,3.41,1.30,10.28,10.28,10.28
21.02,7.21,-3.07,7.21,-3.07,3.06,3.31,1.34,10.27,10.27,10.28
21.23,7.24,-3.04,7.24,-3.05,3.02,3.21,1.37,10.25,10.25,10.28
21.44,7.27,-3.01,7.27,-3.00,2.97,3.12,1.42,10.24,10.24,10.28
21.66,7.29,-2.96,7.29,-2.95,2.93,3.04,1.46,10.23,10.23,10.26
21.87,7.32,-2.87,7.32,-2.89,2.89,2.97,1.50,10.21,10.21,10.19
22.09,7.35,-2.83,7.35,-2.84,2.85,2.90,1.55,10.20,10.20,10.18
22.31,7.37,-2.81,7.37,-2.80,2.81,2.85,1.59,10.18,10.18,10.18
22.54,7.40,-2.78,7.40,-2.78,2.78,2.79,1.64,10.18,10.18,10.18
22.76,7.42,-2.76,7.42,-2.75,2.76,2.75,1.69,10.18,10.18,10.18
22.99,7.44,-2.73,7.44,-2.74,2.75,2.72,1.74,10.19,10.19,10.18
23.22,7.47,-2.71,7.47,-2.74,2.74,2.69,1.79,10.21,10.21,10.18
23.45,7.49,-2.77,7.49,-2.74,2.75,2.66,1.84,10.24,10.24,10.26
23.69,7.51,-2.76,7.51,-2.77,2.76,2.64,1.89,10.27,10.27,10.28
23.92,7.54,-2.77,7.54,-2.78,2.77,2.62,1.94,10.31,10.31,10.31
24.16,7.56,-2.81,7.56,-2.79,2.79,2.60,2.00,10.35,10.35,10.37
24.40,7.58,-2.80,7.58,-2.81,2.81,2.59,2.05,10.39,10.39,10.38
24.65,7.60,-2.82,7.60,-2.83,2.84,2.57,2.11,10.44,10.44,10.41
24.89,7.62,-2.86,7.62,-2.86,2.87,2.56,2.17,10.49,10.49,10.47
25.14,7.64,-2.90,7.64,-2.89,2.89,2.55,2.22,10.53,10.53,10.54
25.39,7.66,-2.92,7.66,-2.91,2.91,2.54,2.28,10.57,10.57,10.58
