frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.76,0.48,7.76,0.48,-0.45,-0.88,-0.76,7.31,7.30,7.28
20.20,7.78,0.50,7.78,0.50,-0.51,-0.89,-0.79,7.27,7.27,7.28
20.40,7.80,0.53,7.81,0.54,-0.56,-0.90,-0.81,7.25,7.25,7.28
20.61,7.83,0.56,7.83,0.58,-0.60,-0.92,-0.83,7.23,7.23,7.28
20.81,7.86,0.66,7.86,0.64,-0.65,-0.93,-0.86,7.21,7.21,7.21
21.02,7.89,0.72,7.89,0.70,-0.69,-0.95,-0.88,7.20,7.20,7.18
21.23,7.93,0.75,7.93,0.75,-0.73,-0.96,-0.91,7.19,7.19,7.18
21.44,7.96,0.78,7.96,0.78,-0.77,-0.97,-0.94,7.19,7.19,7.18
21.66,7.99,0.81,7.99,0.81,-0.81,-0.99,-0.96,7.18,7.18,7.18
21.87,8.02,0.84,8.02,0.84,-0.84,-1.00,-0.99,7.18,7.18,7.18
22.09,8.05,0.87,8.05,0.87,-0.87,-1.02,-1.02,7.18,7.18,7.18
22.31,8.08,0.90,8.08,0.90,-0.90,-1.03,-1.05,7.18,7.18,7.18
22.54,8.11,0.93,8.11,0.93,-0.93,-1.04,-1.08,7.17,7.17,7.18
22.76,8.13,0.96,8.13,0.95,-0.97,-1.06,-1.12,7.16,7.16,7.18
22.99,8.16,0.98,8.16,0.99,-1.01,-1.07,-1.15,7.15,7.15,7.18
23.22,8.19,1.02,8.19,1.04,-1.06,-1.09,-1.18,7.13,7.13,7.17
23.45,8.22,1.13,8.22,1.11,-1.10,-1.10,-1.22,7.12,7.12,7.09
23.69,8.25,1.17,8.25,1.16,-1.14,-1.12,-1.25,7.11,7.11,7.08
23.92,8.28,1.20,8.28,1.21,-1.18,-1.13,-1.29,7.10,7.10,7.08
24.16,8.31,1.23,8.31,1.23,-1.22,-1.15,-1.32,7.09,7.09,7.08
24.40,8.34,1.26,8.34,1.26,-1.26,-1.16,-1.36,7.08,7.08,7.08
24.65,8.36,1.29,8.36,1.29,-1.29,-1.17,-1.40,7.07,7.07,7.08
24.89,8.39,1.31,8.39,1.31,-1.32,-1.19,-1.43,7.07,7.07,7.08
25.14,8.41,1.34,8.41,1.33,-1.35,-1.20,-1.47,7.06,7.06,7.08
25.39,8.44,1.36,8.44,1.36,-1.39,-1.22,-1.51,7.05,7.05,7.08
25.65,8.46,1.39,8.46,1.41,-1.42,-1.23,-1.55,7.04,7.04,7.06
25.91,8.47,1.47,8.47,1.46,-1.45,-1.25,-1.58,7.02,7.02,7.00
26.16,8.49,1.51,8.49,1.50,-1.48,-1.26,-1.62,7.01,7.01,6.98
26.43,8.50,1.52,8.50,1.53,-1.50,-1.28,-1.66,7.00,7.00,6.98
26.69,8.50,1.53,8.50,1.53,-1.52,-1.29,-1.70,6.99,6.99,6.98
26.96,8.51,1.53,8.51,1.53,-1.53,-1.31,-1.73,6.98,6.98,6.98
27.23,8.50,1.53,8.50,1.53,-1.53,-1.32,-1.77,6.97,6.97,6.98
27.50,8.50,1.52,8.50,1.52,-1.52,-1.34,-1.80,6.97,6.97,6.98
27.77,8.49,1.51,8.49,1.51,-1.52,-1.35,-1.84,6.97,6.97,6.98
28.05,8.48,1.51,8.48,1.51,-1.51,-1.36,-1.87,6.97,6.97,6.98
28.33,8.48,1.51,8.48,1.51,-1.51,-1.38,-1.90,6.97,6.97,6.98
28.62,8.48,1.51,8.48,1.51,-1.52,-1.39,-1.93,6.97,6.97,6.98
28.90,8.49,1.51,8.49,1.51,-1.53,-1.41,-1.95,6.97,6.97,6.98
29.19,8.50,1.53,8.50,1.53,-1.54,-1.42,-1.98,6.97,6.97,6.98
29.48,8.52,1.54,8.52,1.54,-1.55,-1.43,-2.00,6.97,6.97,6.98
29.78,8.53,1.56,8.53,1.56,-1.55,-1.45,-2.02,6.98,6.98,6.98
30.08,8.55,1.58,8.55,1.58,-1.56,-1.46,-2.03,6.99,6.99,6.98
30.38,8.57,1.59,8.57,1.57,-1.55,-1.47,-2.05,7.01,7.01,6.98
30.68,8.58,1.56,8.58,1.56,-1.54,-1.49,-2.06,7.04,7.04,7.02
30.99,8.60,1.52,8.60,1.54,-1.53,-1.50,-2.07,7.06,7.07,7.08
31.30,8.61,1.53,8.61,1.51,-1.52,-1.51,-2.08,7.09,7.09,7.08
31.61,8.62,1.49,8.62,1.49,-1.50,-1.52,-2.08,7.12,7.12,7.13
31.93,8.63,1.45,8.63,1.47,-1.48,-1.54,-2.08,7.14,7.14,7.18
32.24,8.64,1.46,8.64,1.46,-1.47,-1.55,-2.08,7.17,7.17,7.18
32.57,8.65,1.47,8.65,1.46,-1.47,-1.56,-2.07,7.18,7.18,7.18
32.89,8.66,1.48,8.66,1.48,-1.47,-1.57,-2.07,7.19,7.19,7.18
