frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.85,-2.98,2.85,-2.98,2.99,2.40,1.04,5.84,5.84,5.83
20.20,2.88,-2.95,2.88,-2.95,2.94,2.40,1.07,5.82,5.83,5.83
20.40,2.91,-2.92,2.91,-2.91,2.90,2.41,1.10,5.81,5.81,5.83
20.61,2.94,-2.89,2.93,-2.87,2.86,2.41,1.14,5.80,5.80,5.83
20.81,2.96,-2.80,2.96,-2.82,2.83,2.42,1.17,5.78,5.78,5.76
21.02,2.97,-2.76,2.97,-2.77,2.79,2.42,1.20,5.77,5.77,5.73
21.23,2.99,-2.75,2.99,-2.74,2.76,2.43,1.24,5.75,5.75,5.73
21.44,3.00,-2.73,3.00,-2.73,2.74,2.43,1.28,5.73,5.73,5.73
21.66,3.01,-2.72,3.01,-2.72,2.72,2.44,1.31,5.73,5.73,5.73
21.87,3.03,-2.70,3.03,-2.70,2.70,2.44,1.35,5.72,5.72,5.73
22.09,3.04,-2.69,3.04,-2.69,2.68,2.45,1.39,5.73,5.73,5.73
22.31,3.06,-2.67,3.06,-2.67,2.67,2.45,1.43,5.73,5.73,5.73
22.54,3.08,-2.65,3.08,-2.65,2.64,2.46,1.47,5.73,5.73,5.73
22.76,3.10,-2.63,3.10,-2.63,2.62,2.46,1.52,5.72,5.72,5.73
22.99,3.12,-2.61,3.12,-2.61,2.59,2.47,1.56,5.71,5.71,5.73
23.22,3.14,-2.59,3.14,-2.56,2.56,2.47,1.61,5.69,5.69,5.72
23.45,3.15,-2.50,3.15,-2.52,2.53,2.47,1.65,5.68,5.68,5.65
23.69,3.15,-2.48,3.15,-2.48,2.51,2.48,1.70,5.66,5.66,5.63
23.92,3.16,-2.47,3.16,-2.46,2.49,2.48,1.75,5.65,5.65,5.63
24.16,3.17,-2.46,3.17,-2.46,2.47,2.48,1.80,5.64,5.64,5.63
24.40,3.17,-2.46,3.17,-2.46,2.46,2.49,1.84,5.63,5.63,5.63
24.65,3.18,-2.45,3.18,-2.45,2.45,2.49,1.89,5.63,5.63,5.63
24.89,3.18,-2.45,3.18,-2.45,2.44,2.49,1.94,5.62,5.62,5.63
25.14,3.19,-2.44,3.19,-2.44,2.42,2.49,2.00,5.61,5.61,5.63
25.39,3.20,-2.43,3.20,-2.43,2.41,2.50,2.05,5.60,5.60,5.63
25.65,3.21,-2.41,3.21,-2.39,2.39,2.50,2.10,5.59,5.59,5.62
25.91,3.21,-2.34,3.21,-2.36,2.36,2.50,2.15,5.57,5.57,5.55
26.16,3.22,-2.31,3.22,-2.32,2.34,2.50,2.20,5.56,5.56,5.53
26.43,3.23,-2.30,3.23,-2.30,2.32,2.50,2.25,5.55,5.55,5.53
26.69,3.23,-2.30,3.23,-2.29,2.30,2.50,2.30,5.53,5.53,5.53
26.96,3.24,-2.29,3.24,-2.29,2.29,2.50,2.35,5.53,5.53,5.53
27.23,3.25,-2.28,3.25,-2.28,2.28,2.50,2.40,5.53,5.53,5.53
27.50,3.25,-2.28,3.25,-2.28,2.27,2.51,2.45,5.53,5.53,5.53
27.77,3.26,-2.28,3.26,-2.28,2.28,2.51,2.49,5.53,5.53,5.53
28.05,3.26,-2.27,3.26,-2.27,2.28,2.51,2.54,5.53,5.53,5.53
28.33,3.26,-2.28,3.26,-2.28,2.28,2.51,2.58,5.53,5.53,5.53
