frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,19.43,8.64,19.42,8.63,-8.61,-8.34,-3.93,10.81,10.81,10.79
20.20,19.44,8.65,19.44,8.65,-8.66,-8.49,-4.04,10.78,10.78,10.79
20.40,19.45,8.67,19.46,8.68,-8.70,-8.64,-4.15,10.76,10.76,10.79
20.61,19.47,8.69,19.47,8.71,-8.73,-8.75,-4.26,10.74,10.74,10.78
20.81,19.49,8.77,19.49,8.76,-8.76,-8.86,-4.37,10.73,10.73,10.72
21.02,19.50,8.82,19.50,8.80,-8.79,-8.93,-4.50,10.72,10.72,10.69
21.23,19.51,8.83,19.51,8.83,-8.81,-8.99,-4.62,10.71,10.71,10.69
21.44,19.52,8.83,19.52,8.84,-8.82,-9.01,-4.74,10.70,10.70,10.69
21.66,19.52,8.84,19.52,8.84,-8.83,-9.02,-4.87,10.69,10.69,10.69
21.87,19.52,8.84,19.52,8.84,-8.84,-8.99,-5.00,10.69,10.69,10.69
22.09,19.52,8.84,19.52,8.84,-8.84,-8.96,-5.14,10.69,10.69,10.69
22.31,19.52,8.83,19.52,8.84,-8.84,-8.92,-5.28,10.68,10.69,10.69
22.54,19.52,8.83,19.52,8.83,-8.84,-8.88,-5.42,10.68,10.68,10.69
22.76,19.52,8.83,19.52,8.82,-8.85,-8.86,-5.57,10.67,10.67,10.69
22.99,19.52,8.83,19.52,8.83,-8.86,-8.84,-5.72,10.66,10.66,10.69
23.22,19.51,8.83,19.51,8.86,-8.87,-8.85,-5.88,10.65,10.65,10.68
23.45,19.51,8.90,19.51,8.88,-8.88,-8.86,-6.04,10.63,10.63,10.60
23.69,19.50,8.91,19.50,8.90,-8.88,-8.87,-6.20,10.62,10.62,10.59
23.92,19.49,8.90,19.49,8.91,-8.88,-8.89,-6.36,10.61,10.61,10.59
24.16,19.48,8.89,19.48,8.89,-8.88,-8.90,-6.53,10.60,10.60,10.59
24.40,19.46,8.87,19.46,8.87,-8.87,-8.90,-6.70,10.59,10.59,10.59
24.65,19.44,8.86,19.44,8.86,-8.86,-8.90,-6.88,10.59,10.59,10.59
24.89,19.42,8.84,19.42,8.83,-8.84,-8.89,-7.06,10.58,10.58,10.59
