frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.57,-3.57,3.57,-3.58,3.59,3.40,0.93,7.16,7.16,7.14
20.20,3.62,-3.52,3.62,-3.53,3.53,3.37,0.95,7.15,7.15,7.14
20.40,3.66,-3.48,3.66,-3.47,3.47,3.34,0.98,7.13,7.13,7.14
20.61,3.70,-3.44,3.69,-3.42,3.41,3.32,1.01,7.11,7.11,7.14
20.81,3.72,-3.35,3.72,-3.36,3.36,3.29,1.04,7.08,7.08,7.07
21.02,3.75,-3.29,3.75,-3.31,3.30,3.26,1.07,7.05,7.05,7.04
21.23,3.78,-3.26,3.78,-3.26,3.25,3.23,1.10,7.03,7.03,7.04
21.44,3.82,-3.22,3.82,-3.22,3.20,3.21,1.14,7.02,7.02,7.04
21.66,3.88,-3.16,3.88,-3.17,3.14,3.18,1.17,7.02,7.02,7.04
21.87,3.94,-3.11,3.94,-3.10,3.09,3.15,1.21,7.03,7.03,7.04
22.09,4.00,-3.04,4.00,-3.04,3.04,3.12,1.24,7.04,7.04,7.04
22.31,4.06,-2.99,4.05,-2.99,3.00,3.09,1.28,7.06,7.06,7.04
22.54,4.10,-2.94,4.10,-2.95,2.97,3.06,1.32,7.07,7.07,7.04
22.76,4.12,-2.93,4.11,-2.93,2.96,3.03,1.35,7.07,7.07,7.04
22.99,4.11,-2.93,4.10,-2.94,2.96,3.00,1.39,7.06,7.06,7.04
23.22,4.06,-2.97,4.06,-2.95,2.97,2.97,1.43,7.03,7.03,7.03
23.45,4.01,-2.95,4.01,-2.97,2.98,2.93,1.48,6.99,6.99,6.96
23.69,3.96,-2.98,3.95,-3.00,3.00,2.90,1.52,6.95,6.95,6.94
23.92,3.91,-3.03,3.92,-3.02,3.00,2.87,1.56,6.91,6.91,6.94
24.16,3.90,-3.04,3.91,-3.03,2.98,2.84,1.60,6.89,6.89,6.94
24.40,3.94,-3.01,3.94,-3.00,2.94,2.81,1.65,6.88,6.88,6.94
24.65,4.01,-2.93,4.01,-2.93,2.88,2.77,1.69,6.89,6.89,6.94
24.89,4.11,-2.83,4.11,-2.83,2.81,2.74,1.74,6.92,6.92,6.94
25.14,4.22,-2.72,4.22,-2.72,2.72,2.71,1.78,6.94,6.94,6.94
25.39,4.33,-2.61,4.33,-2.61,2.63,2.67,1.83,6.97,6.96,6.94
