frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.04,2.09,8.04,2.09,-2.05,-2.03,-1.26,5.99,5.99,5.95
20.20,8.07,2.12,8.07,2.12,-2.12,-2.10,-1.30,5.95,5.95,5.95
20.40,8.10,2.15,8.10,2.16,-2.18,-2.16,-1.34,5.92,5.92,5.95
20.61,8.14,2.20,8.14,2.22,-2.25,-2.23,-1.38,5.89,5.89,5.94
20.81,8.19,2.32,8.19,2.30,-2.32,-2.30,-1.42,5.87,5.87,5.88
21.02,8.25,2.40,8.25,2.39,-2.39,-2.38,-1.46,5.86,5.86,5.85
21.23,8.31,2.46,8.31,2.47,-2.46,-2.45,-1.51,5.85,5.85,5.85
21.44,8.38,2.53,8.38,2.53,-2.53,-2.53,-1.55,5.85,5.85,5.85
21.66,8.45,2.60,8.45,2.60,-2.60,-2.60,-1.60,5.85,5.84,5.85
21.87,8.52,2.68,8.52,2.68,-2.68,-2.67,-1.65,5.85,5.85,5.85
22.09,8.60,2.75,8.60,2.75,-2.75,-2.75,-1.70,5.85,5.85,5.85
22.31,8.67,2.82,8.67,2.82,-2.82,-2.82,-1.75,5.85,5.85,5.85
22.54,8.74,2.89,8.74,2.89,-2.89,-2.89,-1.80,5.84,5.84,5.85
22.76,8.80,2.96,8.80,2.95,-2.97,-2.95,-1.85,5.83,5.83,5.85
22.99,8.86,3.01,8.86,3.02,-3.04,-3.02,-1.91,5.82,5.82,5.85
23.22,8.91,3.07,8.91,3.09,-3.10,-3.07,-1.96,5.81,5.81,5.84
23.45,8.95,3.18,8.95,3.16,-3.16,-3.12,-2.02,5.79,5.79,5.76
23.69,8.97,3.23,8.97,3.22,-3.20,-3.16,-2.08,5.78,5.78,5.75
23.92,8.99,3.25,8.99,3.25,-3.22,-3.20,-2.14,5.77,5.77,5.75
24.16,9.00,3.25,9.00,3.25,-3.23,-3.22,-2.20,5.77,5.76,5.75
24.40,8.99,3.24,8.99,3.24,-3.23,-3.23,-2.26,5.76,5.76,5.75
24.65,8.96,3.22,8.96,3.22,-3.21,-3.23,-2.32,5.76,5.75,5.75
24.89,8.93,3.18,8.92,3.18,-3.18,-3.22,-2.38,5.74,5.74,5.75
25.14,8.88,3.13,8.88,3.12,-3.15,-3.19,-2.45,5.73,5.73,5.75
25.39,8.82,3.07,8.82,3.08,-3.11,-3.16,-2.51,5.71,5.71,5.75
25.65,8.76,3.03,8.76,3.05,-3.07,-3.11,-2.57,5.69,5.69,5.73
25.91,8.71,3.04,8.71,3.02,-3.03,-3.06,-2.63,5.68,5.68,5.67
