frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.43,1.86,7.43,1.86,-1.84,-1.68,-0.86,5.59,5.59,5.57
20.20,7.43,1.87,7.43,1.86,-1.87,-1.73,-0.89,5.56,5.56,5.57
20.40,7.44,1.87,7.44,1.88,-1.89,-1.77,-0.92,5.54,5.54,5.57
20.61,7.44,1.87,7.44,1.90,-1.92,-1.82,-0.94,5.52,5.52,5.56
20.81,7.44,1.95,7.44,1.93,-1.94,-1.86,-0.97,5.51,5.51,5.50
21.02,7.45,1.98,7.45,1.97,-1.95,-1.90,-1.00,5.49,5.49,5.47
21.23,7.45,1.98,7.45,1.99,-1.97,-1.94,-1.03,5.48,5.48,5.47
21.44,7.45,1.99,7.45,1.99,-1.98,-1.98,-1.06,5.47,5.47,5.47
21.66,7.46,1.99,7.46,1.99,-1.99,-2.02,-1.10,5.47,5.47,5.47
21.87,7.46,1.99,7.46,1.99,-1.99,-2.06,-1.13,5.47,5.47,5.47
22.09,7.46,2.00,7.46,2.00,-1.99,-2.09,-1.16,5.47,5.47,5.47
22.31,7.46,2.00,7.46,2.00,-2.00,-2.12,-1.20,5.47,5.47,5.47
22.54,7.46,2.00,7.46,2.00,-2.00,-2.15,-1.24,5.46,5.46,5.47
22.76,7.46,2.00,7.46,1.99,-2.01,-2.16,-1.27,5.45,5.45,5.47
22.99,7.46,2.00,7.46,2.00,-2.02,-2.18,-1.31,5.44,5.44,5.47
23.22,7.46,2.00,7.46,2.03,-2.04,-2.19,-1.35,5.42,5.43,5.46
23.45,7.46,2.08,7.46,2.06,-2.05,-2.20,-1.39,5.41,5.41,5.38
23.69,7.46,2.09,7.46,2.09,-2.06,-2.20,-1.43,5.40,5.40,5.37
23.92,7.46,2.09,7.46,2.10,-2.07,-2.20,-1.47,5.38,5.38,5.37
24.16,7.45,2.09,7.45,2.09,-2.08,-2.20,-1.51,5.38,5.38,5.37
24.40,7.45,2.08,7.45,2.08,-2.08,-2.19,-1.56,5.37,5.37,5.37
24.65,7.45,2.08,7.45,2.08,-2.08,-2.18,-1.60,5.36,5.36,5.37
24.89,7.44,2.07,7.44,2.07,-2.08,-2.17,-1.64,5.36,5.36,5.37
25.14,7.43,2.07,7.43,2.06,-2.08,-2.15,-1.69,5.35,5.35,5.37
25.39,7.43,2.06,7.43,2.07,-2.09,-2.13,-1.73,5.34,5.34,5.37
25.65,7.42,2.06,7.42,2.08,-2.09,-2.11,-1.77,5.33,5.33,5.35
25.91,7.41,2.12,7.41,2.11,-2.10,-2.09,-1.82,5.31,5.31,5.29
26.16,7.40,2.14,7.40,2.13,-2.11,-2.07,-1.86,5.30,5.30,5.27
26.43,7.39,2.13,7.39,2.13,-2.11,-2.05,-1.90,5.28,5.28,5.27
26.69,7.38,2.12,7.38,2.12,-2.11,-2.03,-1.94,5.27,5.27,5.27
26.96,7.37,2.11,7.37,2.11,-2.11,-2.01,-1.98,5.26,5.26,5.27
27.23,7.36,2.09,7.36,2.09,-2.10,-1.99,-2.02,5.26,5.26,5.27
27.50,7.35,2.08,7.35,2.08,-2.09,-1.97,-2.06,5.26,5.26,5.27
27.77,7.34,2.07,7.34,2.07,-2.07,-1.95,-2.10,5.26,5.26,5.27
28.05,7.32,2.06,7.32,2.06,-2.06,-1.93,-2.14,5.27,5.27,5.27
