frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.98,5.86,10.98,5.86,-5.84,0.01,-2.26,5.14,5.14,5.12
20.20,11.01,5.83,11.01,5.82,-5.82,0.01,-2.33,5.18,5.18,5.17
20.40,11.03,5.78,11.03,5.79,-5.81,0.01,-2.40,5.23,5.23,5.26
20.61,11.06,5.74,11.06,5.77,-5.79,0.01,-2.47,5.28,5.28,5.32
20.81,11.09,5.77,11.09,5.75,-5.76,0.01,-2.54,5.33,5.33,5.32
21.02,11.12,5.76,11.12,5.75,-5.74,0.01,-2.61,5.38,5.38,5.36
21.23,11.15,5.72,11.15,5.73,-5.71,0.01,-2.69,5.44,5.44,5.43
21.44,11.18,5.69,11.18,5.70,-5.68,0.01,-2.77,5.50,5.50,5.48
21.66,11.20,5.66,11.20,5.65,-5.64,0.01,-2.85,5.56,5.56,5.54
21.87,11.22,5.61,11.22,5.61,-5.60,0.01,-2.93,5.62,5.62,5.61
22.09,11.24,5.55,11.24,5.54,-5.56,0.01,-3.01,5.68,5.68,5.69
22.31,11.25,5.49,11.25,5.49,-5.51,0.01,-3.10,5.74,5.74,5.76
22.54,11.26,5.43,11.26,5.45,-5.46,0.01,-3.19,5.80,5.80,5.82
22.76,11.26,5.44,11.26,5.42,-5.41,0.01,-3.28,5.85,5.85,5.82
22.99,11.26,5.39,11.26,5.38,-5.36,0.01,-3.38,5.90,5.90,5.87
23.22,11.26,5.33,11.26,5.32,-5.32,0.01,-3.48,5.93,5.93,5.93
23.45,11.25,5.25,11.25,5.26,-5.29,0.01,-3.57,5.97,5.97,6.01
23.69,11.25,5.22,11.25,5.23,-5.25,0.01,-3.68,5.99,5.99,6.02
23.92,11.24,5.22,11.24,5.22,-5.23,0.01,-3.78,6.02,6.02,6.02
24.16,11.24,5.22,11.24,5.22,-5.20,0.01,-3.88,6.03,6.04,6.02
24.40,11.24,5.22,11.24,5.20,-5.19,0.01,-3.99,6.05,6.05,6.02
24.65,11.24,5.18,11.24,5.17,-5.18,0.01,-4.10,6.06,6.07,6.06
24.89,11.25,5.13,11.25,5.15,-5.17,0.01,-4.20,6.08,6.08,6.12
25.14,11.26,5.14,11.26,5.15,-5.16,0.01,-4.32,6.11,6.11,6.12
25.39,11.28,5.16,11.28,5.15,-5.14,0.01,-4.43,6.14,6.14,6.12
25.65,11.30,5.17,11.30,5.15,-5.12,0.01,-4.54,6.18,6.18,6.13
25.91,11.32,5.12,11.32,5.12,-5.10,0.01,-4.65,6.22,6.22,6.20
26.16,11.34,5.08,11.34,5.08,-5.08,0.02,-4.76,6.26,6.26,6.26
26.43,11.36,5.04,11.36,5.05,-5.06,0.02,-4.87,6.30,6.30,6.32
26.69,11.37,5.05,11.37,5.03,-5.04,0.02,-4.98,6.33,6.33,6.32
26.96,11.38,5.02,11.38,5.00,-5.02,0.02,-5.09,6.36,6.36,6.36
27.23,11.38,4.96,11.38,4.98,-5.00,0.02,-5.19,6.38,6.38,6.42
27.50,11.39,4.97,11.39,4.97,-4.99,0.02,-5.29,6.40,6.40,6.42
27.77,11.39,4.97,11.39,4.97,-4.98,0.02,-5.39,6.42,6.42,6.42
28.05,11.40,4.98,11.40,4.98,-4.97,0.02,-5.49,6.43,6.43,6.42
28.33,11.41,4.99,11.41,4.97,-4.96,0.02,-5.58,6.45,6.45,6.42
28.62,11.42,4.94,11.42,4.95,-4.94,0.02,-5.66,6.48,6.48,6.48
28.90,11.43,4.91,11.43,4.93,-4.92,0.02,-5.74,6.51,6.51,6.52
29.19,11.44,4.92,11.44,4.89,-4.89,0.02,-5.81,6.55,6.55,6.52
29.48,11.45,4.86,11.45,4.85,-4.84,0.02,-5.87,6.61,6.61,6.59
29.78,11.46,4.79,11.46,4.80,-4.79,0.02,-5.93,6.67,6.67,6.67
30.08,11.46,4.73,11.46,4.73,-4.72,0.02,-5.97,6.74,6.74,6.74
30.38,11.47,4.67,11.47,4.67,-4.66,0.02,-6.01,6.81,6.81,6.80
30.68,11.47,4.60,11.47,4.59,-4.60,0.02,-6.04,6.87,6.87,6.87
30.99,11.46,4.52,11.46,4.52,-4.54,0.02,-6.06,6.92,6.92,6.94
31.30,11.46,4.45,11.46,4.46,-4.50,0.02,-6.07,6.96,6.96,7.00
31.61,11.44,4.42,11.44,4.42,-4.45,0.02,-6.07,6.99,6.99,7.02
31.93,11.43,4.41,11.43,4.41,-4.42,0.02,-6.05,7.01,7.01,7.02
32.24,11.42,4.40,11.42,4.40,-4.39,0.02,-6.04,7.03,7.03,7.02
32.57,11.41,4.39,11.41,4.38,-4.36,0.02,-6.00,7.05,7.05,7.02
32.89,11.40,4.36,11.40,4.34,-4.33,0.02,-5.97,7.07,7.07,7.05
33.22,11.40,4.27,11.40,4.31,-4.30,0.02,-5.92,7.10,7.10,7.12
33.55,11.39,4.27,11.39,4.26,-4.25,0.02,-5.87,7.14,7.14,7.12
33.89,11.38,4.22,11.38,4.21,-4.19,0.03,-5.80,7.19,7.19,7.16
34.23,11.37,4.15,11.37,4.15,-4.12,0.03,-5.74,7.25,7.25,7.23
34.57,11.36,4.07,11.36,4.07,-4.06,0.03,-5.66,7.31,7.31,7.30
34.92,11.35,3.99,11.35,3.98,-3.99,0.03,-5.58,7.36,7.36,7.37
35.27,11.35,3.91,11.35,3.91,-3.94,0.03,-5.50,7.41,7.41,7.44
35.62,11.34,3.84,11.34,3.85,-3.89,0.03,-5.41,7.45,7.45,7.51
35.97,11.34,3.82,11.34,3.82,-3.85,0.03,-5.32,7.49,7.49,7.52
36.33,11.34,3.82,11.34,3.81,-3.83,0.03,-5.22,7.51,7.51,7.52
36.70,11.34,3.82,11.34,3.81,-3.81,0.03,-5.13,7.53,7.53,7.52
37.06,11.34,3.81,11.33,3.81,-3.80,0.03,-5.03,7.54,7.54,7.52
37.43,11.33,3.81,11.33,3.81,-3.78,0.03,-4.93,7.55,7.55,7.52
37.81,11.32,3.79,11.32,3.80,-3.76,0.03,-4.84,7.55,7.55,7.52
38.19,11.30,3.78,11.30,3.77,-3.74,0.03,-4.74,7.56,7.56,7.52
38.57,11.28,3.73,11.28,3.72,-3.71,0.03,-4.64,7.57,7.57,7.55
38.95,11.26,3.65,11.26,3.67,-3.68,0.03,-4.54,7.58,7.58,7.61
39.34,11.24,3.62,11.24,3.62,-3.66,0.03,-4.45,7.58,7.59,7.62
39.74,11.23,3.60,11.23,3.60,-3.63,0.03,-4.35,7.59,7.59,7.62
40.14,11.21,3.59,11.22,3.59,-3.61,0.04,-4.26,7.60,7.60,7.62
40.54,11.21,3.58,11.21,3.58,-3.60,0.04,-4.17,7.61,7.61,7.62
40.94,11.20,3.57,11.20,3.58,-3.57,0.04,-4.08,7.62,7.62,7.62
41.35,11.19,3.56,11.19,3.57,-3.54,0.04,-3.99,7.65,7.65,7.62
41.76,11.17,3.55,11.17,3.54,-3.49,0.04,-3.91,7.68,7.68,7.62
42.18,11.15,3.49,11.15,3.49,-3.43,0.04,-3.83,7.73,7.73,7.67
42.60,11.14,3.40,11.14,3.40,-3.35,0.04,-3.75,7.79,7.79,7.74
43.03,11.12,3.30,11.11,3.28,-3.27,0.04,-3.67,7.84,7.84,7.81
43.46,11.09,3.15,11.09,3.17,-3.20,0.04,-3.60,7.89,7.89,7.94
43.90,11.07,3.05,11.07,3.08,-3.15,0.04,-3.53,7.93,7.93,8.02
44.33,11.06,3.04,11.06,3.02,-3.11,0.04,-3.46,7.95,7.95,8.02
44.78,11.05,3.03,11.05,3.03,-3.09,0.04,-3.40,7.96,7.96,8.02
45.23,11.04,3.05,11.04,3.06,-3.08,0.05,-3.33,7.97,7.96,7.99
45.68,11.03,3.11,11.03,3.11,-3.07,0.05,-3.27,7.96,7.96,7.93
46.13,11.01,3.16,11.01,3.15,-3.07,0.05,-3.21,7.94,7.94,7.85
46.60,10.99,3.17,10.99,3.16,-3.07,0.05,-3.16,7.91,7.91,7.82
47.06,10.96,3.13,10.96,3.11,-3.07,0.05,-3.11,7.89,7.89,7.83
47.53,10.92,3.02,10.92,3.03,-3.05,0.05,-3.06,7.87,7.87,7.90
48.01,10.88,2.96,10.88,2.98,-3.03,0.05,-3.01,7.85,7.85,7.92
48.49,10.84,2.93,10.84,2.95,-3.00,0.05,-2.96,7.84,7.84,7.91
48.97,10.81,2.97,10.81,2.95,-2.98,0.05,-2.92,7.83,7.83,7.84
49.46,10.78,2.96,10.79,2.96,-2.95,0.05,-2.88,7.83,7.83,7.82
49.96,10.77,2.95,10.77,2.96,-2.94,0.06,-2.84,7.84,7.84,7.82
50.46,10.77,2.95,10.77,2.95,-2.92,0.06,-2.80,7.85,7.85,7.82
50.96,10.76,2.94,10.76,2.94,-2.91,0.06,-2.77,7.85,7.85,7.82
51.47,10.74,2.92,10.74,2.91,-2.90,0.06,-2.73,7.84,7.84,7.82
51.99,10.70,2.88,10.70,2.88,-2.88,0.06,-2.70,7.82,7.82,7.82
52.51,10.66,2.84,10.66,2.85,-2.86,0.06,-2.67,7.80,7.80,7.82
53.03,10.61,2.83,10.62,2.83,-2.85,0.06,-2.64,7.76,7.77,7.79
53.56,10.58,2.85,10.58,2.83,-2.85,0.06,-2.61,7.73,7.73,7.72
54.10,10.54,2.82,10.54,2.83,-2.84,0.07,-2.58,7.69,7.69,7.72
54.64,10.50,2.82,10.50,2.84,-2.85,0.07,-2.55,7.65,7.65,7.68
55.18,10.46,2.85,10.46,2.85,-2.85,0.07,-2.53,7.61,7.61,7.61
55.74,10.43,2.89,10.43,2.88,-2.86,0.07,-2.50,7.57,7.57,7.54
56.29,10.41,2.88,10.41,2.88,-2.86,0.07,-2.48,7.55,7.55,7.52
