frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.22,3.16,10.22,3.16,-3.13,-3.06,-1.16,7.09,7.09,7.06
20.20,10.23,3.12,10.23,3.10,-3.11,-3.07,-1.19,7.12,7.12,7.11
20.40,10.25,3.05,10.25,3.06,-3.08,-3.08,-1.22,7.17,7.16,7.20
20.61,10.27,3.00,10.27,3.03,-3.06,-3.06,-1.26,7.21,7.21,7.26
20.81,10.29,3.03,10.29,3.01,-3.03,-3.05,-1.30,7.26,7.26,7.26
21.02,10.32,3.02,10.32,3.01,-3.00,-3.02,-1.34,7.32,7.32,7.30
21.23,10.35,2.98,10.35,2.99,-2.97,-2.99,-1.38,7.38,7.38,7.37
21.44,10.39,2.96,10.39,2.96,-2.94,-2.95,-1.42,7.44,7.44,7.42
21.66,10.42,2.94,10.42,2.93,-2.91,-2.91,-1.46,7.50,7.50,7.48
21.87,10.45,2.89,10.44,2.89,-2.88,-2.88,-1.50,7.56,7.56,7.55
22.09,10.47,2.84,10.47,2.84,-2.85,-2.84,-1.55,7.62,7.62,7.63
22.31,10.49,2.79,10.49,2.79,-2.81,-2.81,-1.59,7.68,7.68,7.70
22.54,10.51,2.74,10.51,2.76,-2.77,-2.79,-1.64,7.74,7.74,7.76
22.76,10.52,2.76,10.52,2.75,-2.74,-2.76,-1.69,7.79,7.79,7.76
22.99,10.55,2.74,10.55,2.73,-2.72,-2.74,-1.74,7.83,7.83,7.81
23.22,10.57,2.70,10.57,2.70,-2.70,-2.72,-1.79,7.87,7.87,7.87
23.45,10.60,2.66,10.60,2.68,-2.70,-2.70,-1.84,7.90,7.90,7.95
23.69,10.64,2.67,10.64,2.68,-2.70,-2.69,-1.89,7.93,7.93,7.96
23.92,10.67,2.71,10.67,2.70,-2.71,-2.67,-1.94,7.96,7.96,7.96
24.16,10.70,2.74,10.70,2.74,-2.72,-2.66,-2.00,7.98,7.98,7.96
24.40,10.74,2.78,10.74,2.76,-2.74,-2.65,-2.05,8.00,8.00,7.96
24.65,10.77,2.77,10.77,2.77,-2.76,-2.64,-2.11,8.01,8.01,8.00
24.89,10.81,2.75,10.81,2.77,-2.78,-2.63,-2.16,8.03,8.03,8.06
25.14,10.84,2.78,10.84,2.79,-2.79,-2.62,-2.22,8.05,8.05,8.06
25.39,10.88,2.82,10.88,2.81,-2.80,-2.61,-2.28,8.08,8.08,8.06
25.65,10.92,2.84,10.92,2.83,-2.80,-2.61,-2.34,8.12,8.12,8.07
25.91,10.95,2.81,10.95,2.81,-2.80,-2.60,-2.39,8.16,8.16,8.14
26.16,10.99,2.78,10.99,2.79,-2.79,-2.59,-2.45,8.20,8.20,8.20
26.43,11.02,2.76,11.02,2.78,-2.79,-2.59,-2.51,8.23,8.23,8.26
26.69,11.06,2.79,11.06,2.78,-2.79,-2.58,-2.56,8.27,8.27,8.26
26.96,11.09,2.79,11.09,2.77,-2.79,-2.58,-2.62,8.30,8.30,8.30
27.23,11.12,2.76,11.12,2.78,-2.80,-2.57,-2.67,8.32,8.32,8.36
27.50,11.15,2.79,11.15,2.79,-2.80,-2.57,-2.72,8.35,8.35,8.36
27.77,11.18,2.81,11.18,2.81,-2.82,-2.56,-2.77,8.36,8.36,8.36
28.05,11.20,2.84,11.20,2.84,-2.83,-2.56,-2.82,8.38,8.38,8.36
28.33,11.23,2.86,11.23,2.84,-2.83,-2.55,-2.87,8.39,8.39,8.36
28.62,11.25,2.83,11.25,2.84,-2.83,-2.55,-2.91,8.42,8.42,8.42
28.90,11.27,2.81,11.27,2.83,-2.82,-2.54,-2.95,8.45,8.45,8.46
29.19,11.29,2.83,11.29,2.81,-2.80,-2.54,-2.99,8.49,8.49,8.46
29.48,11.31,2.78,11.31,2.78,-2.76,-2.53,-3.02,8.55,8.55,8.53
29.78,11.33,2.72,11.33,2.73,-2.72,-2.53,-3.05,8.61,8.61,8.61
30.08,11.35,2.67,11.35,2.67,-2.67,-2.52,-3.08,8.68,8.68,8.68
