frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,13.11,1.39,13.11,1.36,-1.34,0.05,-0.18,11.77,11.77,11.72
20.20,13.10,1.35,13.10,1.39,-1.38,0.05,-0.19,11.72,11.72,11.75
20.40,13.10,1.38,13.10,1.40,-1.41,0.05,-0.19,11.69,11.69,11.72
20.61,13.09,1.44,13.09,1.41,-1.43,0.04,-0.20,11.66,11.66,11.65
20.81,13.08,1.43,13.08,1.43,-1.44,0.04,-0.21,11.64,11.64,11.65
21.02,13.07,1.42,13.07,1.42,-1.44,0.03,-0.22,11.63,11.63,11.65
21.23,13.05,1.40,13.05,1.40,-1.43,0.02,-0.22,11.63,11.63,11.65
21.44,13.04,1.39,13.04,1.40,-1.40,0.01,-0.23,11.64,11.64,11.65
21.66,13.03,1.38,13.03,1.38,-1.37,0.01,-0.24,11.65,11.65,11.65
21.87,13.02,1.37,13.02,1.35,-1.33,-0.01,-0.25,11.68,11.68,11.65
22.09,13.00,1.29,13.00,1.29,-1.28,-0.02,-0.26,11.73,11.73,11.72
22.31,12.99,1.20,12.99,1.21,-1.21,-0.03,-0.27,11.79,11.78,11.79
22.54,12.98,1.11,12.98,1.12,-1.12,-0.05,-0.28,11.86,11.86,11.86
22.76,12.96,1.02,12.96,1.02,-1.02,-0.07,-0.28,11.94,11.94,11.94
22.99,12.94,0.90,12.94,0.89,-0.89,-0.09,-0.29,12.05,12.05,12.05
23.22,12.92,0.76,12.92,0.76,-0.74,-0.12,-0.30,12.18,12.18,12.16
23.45,12.90,0.58,12.90,0.61,-0.57,-0.15,-0.31,12.33,12.33,12.32
23.69,12.88,0.47,12.88,0.45,-0.38,-0.18,-0.32,12.50,12.50,12.41
23.92,12.86,0.29,12.86,0.25,-0.18,-0.22,-0.33,12.69,12.69,12.58
24.16,12.84,0.03,12.84,0.05,0.01,-0.27,-0.35,12.85,12.85,12.81
24.40,12.82,-0.17,12.82,-0.15,0.15,-0.32,-0.36,12.97,12.97,12.99
24.65,12.80,-0.29,12.80,-0.30,0.22,-0.39,-0.37,13.02,13.02,13.09
24.89,12.78,-0.37,12.78,-0.39,0.20,-0.46,-0.38,12.98,12.98,13.15
25.14,12.76,-0.39,12.76,-0.37,0.11,-0.54,-0.39,12.87,12.87,13.15
25.39,12.74,-0.25,12.74,-0.16,-0.04,-0.62,-0.40,12.70,12.70,12.99
25.65,12.73,0.17,12.73,0.19,-0.23,-0.72,-0.41,12.50,12.50,12.55
