frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.57,-2.87,7.58,-2.89,3.03,1.34,1.36,10.61,10.61,10.44
20.20,7.60,-2.88,7.59,-2.86,2.89,1.43,1.40,10.48,10.47,10.48
20.40,7.62,-2.83,7.61,-2.81,2.76,1.52,1.44,10.38,10.37,10.44
20.61,7.64,-2.74,7.65,-2.75,2.65,1.63,1.48,10.29,10.30,10.38
20.81,7.71,-2.67,7.71,-2.67,2.56,1.75,1.53,10.27,10.27,10.38
21.02,7.78,-2.59,7.78,-2.59,2.49,1.89,1.57,10.28,10.28,10.38
21.23,7.88,-2.50,7.88,-2.50,2.44,2.04,1.62,10.32,10.32,10.38
21.44,7.97,-2.41,7.97,-2.40,2.40,2.21,1.66,10.37,10.37,10.38
21.66,8.05,-2.32,8.06,-2.32,2.35,2.39,1.71,10.41,10.41,10.38
21.87,8.12,-2.25,8.12,-2.28,2.34,2.60,1.76,10.46,10.45,10.38
22.09,8.15,-2.29,8.15,-2.29,2.35,2.81,1.81,10.50,10.50,10.44
22.31,8.15,-2.37,8.15,-2.36,2.41,3.03,1.87,10.55,10.55,10.52
22.54,8.12,-2.47,8.11,-2.47,2.49,3.25,1.92,10.61,10.61,10.59
22.76,8.06,-2.60,8.06,-2.61,2.61,3.43,1.98,10.67,10.67,10.66
22.99,8.00,-2.77,8.01,-2.77,2.75,3.61,2.03,10.75,10.76,10.77
23.22,7.96,-2.93,7.96,-2.93,2.92,3.68,2.09,10.88,10.88,10.89
23.45,7.94,-3.11,7.94,-3.08,3.10,3.75,2.15,11.03,11.04,11.04
23.69,7.95,-3.19,7.95,-3.21,3.26,3.70,2.21,11.21,11.21,11.14
23.92,7.99,-3.31,7.99,-3.34,3.38,3.64,2.27,11.37,11.37,11.30
24.16,8.06,-3.48,8.06,-3.46,3.46,3.49,2.34,11.51,11.52,11.54
24.40,8.13,-3.58,8.13,-3.56,3.48,3.35,2.40,11.61,11.61,11.71
24.65,8.21,-3.61,8.21,-3.63,3.43,3.18,2.46,11.64,11.64,11.81
24.89,8.27,-3.61,8.27,-3.63,3.31,3.02,2.53,11.58,11.58,11.88
25.14,8.31,-3.57,8.31,-3.55,3.14,2.87,2.60,11.45,11.45,11.88
25.39,8.34,-3.38,8.34,-3.29,2.93,2.73,2.66,11.28,11.27,11.72
25.65,8.35,-2.93,8.35,-2.91,2.71,2.62,2.73,11.06,11.07,11.28
25.91,8.36,-2.41,8.36,-2.49,2.50,2.51,2.80,10.86,10.86,10.77
26.16,8.36,-2.13,8.36,-2.16,2.31,2.44,2.86,10.67,10.67,10.49
26.43,8.35,-2.02,8.35,-2.02,2.18,2.37,2.93,10.54,10.53,10.38
26.69,8.34,-2.04,8.34,-2.03,2.12,2.32,2.99,10.45,10.45,10.38
26.96,8.32,-2.10,8.32,-2.09,2.10,2.28,3.06,10.42,10.42,10.42
27.23,8.29,-2.19,8.29,-2.16,2.12,2.27,3.12,10.41,10.41,10.48
27.50,8.26,-2.22,8.26,-2.23,2.17,2.25,3.18,10.43,10.43,10.48
27.77,8.24,-2.29,8.24,-2.30,2.23,2.26,3.24,10.47,10.47,10.53
28.05,8.23,-2.36,8.24,-2.35,2.30,2.27,3.30,10.53,10.54,10.59
28.33,8.26,-2.40,8.26,-2.37,2.35,2.30,3.36,10.61,10.61,10.66
28.62,8.29,-2.38,8.30,-2.39,2.39,2.33,3.41,10.69,10.69,10.68
28.90,8.35,-2.38,8.35,-2.42,2.43,2.37,3.46,10.77,10.78,10.73
