frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.89,-8.02,2.89,-8.04,6.00,8.36,2.68,8.89,8.89,10.91
20.20,2.95,-8.00,2.95,-7.96,6.00,8.28,2.76,8.95,8.95,10.94
20.40,3.00,-7.91,3.00,-7.89,6.00,8.19,2.84,9.00,9.00,10.91
20.61,3.05,-7.79,3.05,-7.82,6.00,7.93,2.92,9.05,9.05,10.84
20.81,3.11,-7.74,3.11,-7.74,6.00,7.66,3.00,9.11,9.11,10.84
21.02,3.16,-7.69,3.16,-7.68,6.00,7.36,3.09,9.16,9.16,10.84
21.23,3.21,-7.64,3.21,-7.64,6.00,7.05,3.17,9.21,9.21,10.84
21.44,3.25,-7.59,3.25,-7.58,6.00,6.79,3.27,9.25,9.25,10.84
21.66,3.30,-7.54,3.30,-7.54,6.00,6.52,3.36,9.30,9.30,10.84
21.87,3.35,-7.50,3.35,-7.51,6.00,6.31,3.45,9.35,9.35,10.84
22.09,3.39,-7.52,3.39,-7.51,6.00,6.11,3.55,9.39,9.39,10.91
22.31,3.44,-7.54,3.44,-7.54,6.00,5.96,3.65,9.44,9.44,10.98
22.54,3.48,-7.58,3.48,-7.57,6.00,5.81,3.76,9.48,9.48,11.06
22.76,3.52,-7.61,3.52,-7.61,6.00,5.71,3.86,9.52,9.52,11.13
22.99,3.57,-7.67,3.57,-7.68,6.00,5.60,3.97,9.57,9.57,11.24
23.22,3.61,-7.75,3.61,-7.75,6.00,5.53,4.08,9.61,9.61,11.36
23.45,3.65,-7.86,3.65,-7.83,6.00,5.46,4.20,9.65,9.65,11.51
23.69,3.69,-7.91,3.69,-7.93,6.00,5.42,4.31,9.69,9.69,11.61
23.92,3.73,-8.03,3.73,-8.07,6.00,5.37,4.43,9.73,9.73,11.77
24.16,3.77,-8.23,3.77,-8.21,6.00,5.35,4.55,9.77,9.77,12.01
24.40,3.81,-8.37,3.81,-8.35,6.00,5.32,4.67,9.81,9.81,12.18
24.65,3.85,-8.43,3.85,-8.44,6.00,5.31,4.80,9.85,9.85,12.28
