frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.97,-1.93,8.97,-1.95,1.97,1.50,1.49,10.94,10.94,10.89
20.20,8.90,-2.03,8.89,-2.00,2.01,1.55,1.53,10.91,10.90,10.93
20.40,8.83,-2.07,8.82,-2.05,2.05,1.60,1.58,10.87,10.87,10.89
20.61,8.76,-2.07,8.76,-2.10,2.08,1.66,1.62,10.84,10.84,10.83
20.81,8.70,-2.13,8.70,-2.13,2.12,1.71,1.67,10.82,10.82,10.83
21.02,8.65,-2.18,8.65,-2.18,2.15,1.78,1.72,10.80,10.80,10.83
21.23,8.60,-2.22,8.61,-2.22,2.19,1.85,1.77,10.80,10.80,10.83
21.44,8.58,-2.25,8.58,-2.24,2.23,1.94,1.82,10.81,10.81,10.83
21.66,8.57,-2.26,8.57,-2.26,2.26,2.02,1.87,10.83,10.82,10.83
21.87,8.57,-2.26,8.57,-2.28,2.28,2.12,1.92,10.85,10.85,10.83
22.09,8.58,-2.31,8.58,-2.31,2.32,2.22,1.98,10.90,10.90,10.89
22.31,8.60,-2.36,8.60,-2.35,2.35,2.35,2.03,10.95,10.95,10.97
22.54,8.63,-2.41,8.63,-2.40,2.39,2.47,2.09,11.03,11.03,11.04
22.76,8.66,-2.45,8.67,-2.46,2.45,2.61,2.15,11.12,11.12,11.12
22.99,8.70,-2.53,8.70,-2.53,2.53,2.76,2.21,11.23,11.23,11.22
23.22,8.72,-2.62,8.72,-2.62,2.64,2.91,2.27,11.37,11.36,11.34
23.45,8.74,-2.75,8.74,-2.72,2.78,3.06,2.34,11.52,11.52,11.50
23.69,8.75,-2.84,8.75,-2.86,2.96,3.19,2.40,11.70,11.70,11.59
23.92,8.74,-3.01,8.74,-3.05,3.14,3.31,2.47,11.88,11.88,11.75
24.16,8.72,-3.27,8.72,-3.25,3.32,3.38,2.53,12.03,12.03,11.99
24.40,8.68,-3.49,8.68,-3.47,3.46,3.44,2.60,12.14,12.14,12.16
24.65,8.63,-3.64,8.63,-3.66,3.54,3.42,2.67,12.17,12.17,12.27
24.89,8.57,-3.76,8.57,-3.79,3.56,3.41,2.74,12.12,12.12,12.33
25.14,8.50,-3.83,8.50,-3.81,3.50,3.35,2.81,12.00,12.00,12.33
25.39,8.43,-3.74,8.43,-3.65,3.40,3.28,2.88,11.83,11.83,12.17
25.65,8.37,-3.36,8.37,-3.35,3.26,3.21,2.96,11.62,11.62,11.73
