frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.86,-0.87,10.86,-0.89,0.93,0.22,0.64,11.79,11.79,11.73
20.20,10.87,-0.90,10.86,-0.87,0.88,0.23,0.66,11.74,11.74,11.77
20.40,10.87,-0.87,10.87,-0.85,0.83,0.24,0.68,11.70,11.70,11.73
20.61,10.87,-0.80,10.87,-0.83,0.80,0.24,0.70,11.67,11.67,11.67
20.81,10.87,-0.80,10.87,-0.80,0.78,0.25,0.72,11.65,11.65,11.67
21.02,10.87,-0.80,10.87,-0.79,0.77,0.26,0.74,11.64,11.64,11.67
21.23,10.87,-0.79,10.87,-0.79,0.77,0.27,0.77,11.64,11.64,11.67
21.44,10.88,-0.79,10.88,-0.78,0.78,0.27,0.79,11.66,11.66,11.67
21.66,10.88,-0.79,10.88,-0.78,0.79,0.28,0.81,11.67,11.67,11.67
21.87,10.88,-0.79,10.88,-0.80,0.82,0.29,0.83,11.70,11.70,11.67
22.09,10.88,-0.85,10.88,-0.85,0.86,0.30,0.86,11.74,11.74,11.73
22.31,10.89,-0.92,10.89,-0.91,0.91,0.31,0.88,11.80,11.80,11.80
22.54,10.89,-0.99,10.89,-0.99,0.98,0.32,0.91,11.87,11.87,11.88
22.76,10.89,-1.07,10.89,-1.07,1.07,0.34,0.93,11.96,11.96,11.95
22.99,10.89,-1.17,10.89,-1.18,1.18,0.35,0.96,12.07,12.07,12.06
23.22,10.89,-1.29,10.89,-1.29,1.31,0.36,0.99,12.20,12.20,12.18
23.45,10.89,-1.44,10.89,-1.41,1.47,0.38,1.02,12.37,12.37,12.33
23.69,10.89,-1.54,10.89,-1.56,1.65,0.39,1.04,12.54,12.54,12.43
23.92,10.89,-1.70,10.89,-1.73,1.81,0.41,1.07,12.71,12.71,12.59
24.16,10.90,-1.93,10.90,-1.91,1.94,0.42,1.10,12.84,12.84,12.83
24.40,10.90,-2.11,10.90,-2.09,2.03,0.44,1.13,12.93,12.93,13.00
24.65,10.89,-2.21,10.89,-2.23,2.05,0.46,1.16,12.95,12.95,13.10
24.89,10.89,-2.28,10.89,-2.30,2.00,0.48,1.19,12.89,12.89,13.17
25.14,10.88,-2.28,10.88,-2.26,1.89,0.50,1.23,12.77,12.77,13.17
25.39,10.88,-2.13,10.88,-2.05,1.72,0.53,1.26,12.60,12.60,13.01
25.65,10.86,-1.70,10.86,-1.69,1.53,0.56,1.29,12.40,12.40,12.57
25.91,10.85,-1.20,10.85,-1.28,1.33,0.58,1.32,12.18,12.18,12.06
26.16,10.84,-0.94,10.84,-0.97,1.14,0.62,1.35,11.99,11.99,11.78
26.43,10.83,-0.84,10.83,-0.84,1.00,0.65,1.38,11.83,11.83,11.67
26.69,10.82,-0.85,10.82,-0.84,0.90,0.69,1.41,11.72,11.72,11.67
26.96,10.81,-0.89,10.81,-0.88,0.87,0.73,1.44,11.68,11.69,11.71
27.23,10.81,-0.96,10.81,-0.93,0.88,0.78,1.47,11.69,11.69,11.77
27.50,10.80,-0.96,10.80,-0.98,0.92,0.83,1.50,11.73,11.73,11.77
27.77,10.80,-1.02,10.80,-1.03,0.99,0.88,1.53,11.79,11.79,11.82
28.05,10.80,-1.08,10.80,-1.08,1.07,0.94,1.56,11.87,11.87,11.88
28.33,10.80,-1.15,10.80,-1.13,1.14,1.01,1.59,11.94,11.94,11.95
28.62,10.80,-1.17,10.79,-1.19,1.22,1.08,1.61,12.01,12.01,11.97
28.90,10.79,-1.23,10.79,-1.26,1.29,1.17,1.64,12.08,12.08,12.02
29.19,10.79,-1.38,10.79,-1.35,1.36,1.25,1.66,12.14,12.14,12.16
29.48,10.78,-1.46,10.78,-1.43,1.42,1.34,1.68,12.20,12.20,12.24
29.78,10.78,-1.49,10.78,-1.50,1.46,1.44,1.70,12.24,12.24,12.27
30.08,10.77,-1.51,10.77,-1.54,1.49,1.53,1.72,12.26,12.26,12.28
30.38,10.76,-1.58,10.76,-1.56,1.51,1.62,1.74,12.27,12.27,12.34
30.68,10.76,-1.57,10.76,-1.55,1.50,1.70,1.75,12.26,12.26,12.32
30.99,10.75,-1.50,10.75,-1.51,1.50,1.77,1.77,12.24,12.24,12.25
31.30,10.74,-1.45,10.74,-1.46,1.49,1.81,1.78,12.23,12.23,12.19
31.61,10.73,-1.44,10.73,-1.45,1.51,1.84,1.79,12.24,12.24,12.17
31.93,10.72,-1.48,10.72,-1.48,1.55,1.83,1.79,12.27,12.27,12.19
32.24,10.71,-1.55,10.71,-1.54,1.62,1.82,1.80,12.33,12.33,12.26
32.57,10.70,-1.62,10.70,-1.63,1.70,1.77,1.80,12.40,12.40,12.32
32.89,10.69,-1.73,10.69,-1.76,1.78,1.73,1.81,12.47,12.47,12.41
33.22,10.67,-1.90,10.67,-1.90,1.85,1.66,1.81,12.52,12.52,12.58
33.55,10.66,-2.05,10.66,-2.03,1.90,1.60,1.81,12.56,12.56,12.71
33.89,10.64,-2.09,10.64,-2.06,1.92,1.53,1.80,12.57,12.57,12.73
34.23,10.63,-2.02,10.63,-1.99,1.92,1.47,1.80,12.55,12.55,12.65
34.57,10.61,-1.83,10.61,-1.87,1.88,1.41,1.80,12.49,12.49,12.44
34.92,10.60,-1.73,10.60,-1.75,1.82,1.36,1.79,12.42,12.42,12.32
35.27,10.58,-1.67,10.58,-1.66,1.73,1.31,1.79,12.31,12.31,12.25
35.62,10.56,-1.62,10.56,-1.61,1.64,1.27,1.78,12.20,12.20,12.18
35.97,10.54,-1.57,10.55,-1.57,1.55,1.24,1.77,12.10,12.10,12.11
36.33,10.53,-1.52,10.53,-1.52,1.49,1.22,1.76,12.02,12.02,12.04
36.70,10.51,-1.48,10.51,-1.47,1.45,1.20,1.76,11.96,11.96,11.98
37.06,10.49,-1.42,10.49,-1.42,1.44,1.18,1.75,11.93,11.93,11.91
