frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.82,-0.91,4.82,-0.90,1.06,1.07,0.66,5.88,5.88,5.73
20.20,4.85,-1.10,4.85,-1.14,1.15,1.10,0.68,6.00,6.00,5.95
20.40,4.88,-1.35,4.88,-1.31,1.22,1.12,0.70,6.11,6.11,6.23
20.61,4.92,-1.38,4.93,-1.41,1.29,1.14,0.72,6.21,6.21,6.30
20.81,4.97,-1.47,4.97,-1.44,1.34,1.16,0.74,6.31,6.31,6.44
21.02,5.03,-1.43,5.03,-1.41,1.38,1.19,0.77,6.41,6.41,6.46
21.23,5.08,-1.33,5.08,-1.40,1.40,1.21,0.79,6.49,6.49,6.41
21.44,5.14,-1.38,5.14,-1.38,1.42,1.23,0.81,6.56,6.56,6.52
21.66,5.19,-1.41,5.19,-1.37,1.38,1.25,0.84,6.57,6.57,6.60
21.87,5.24,-1.36,5.24,-1.37,1.34,1.27,0.86,6.58,6.58,6.60
22.09,5.28,-1.32,5.28,-1.34,1.31,1.29,0.89,6.59,6.59,6.60
22.31,5.31,-1.29,5.31,-1.28,1.30,1.31,0.91,6.60,6.60,6.60
22.54,5.32,-1.26,5.32,-1.24,1.29,1.33,0.94,6.61,6.61,6.59
22.76,5.33,-1.18,5.33,-1.25,1.28,1.35,0.97,6.61,6.61,6.51
22.99,5.32,-1.27,5.32,-1.28,1.28,1.37,1.00,6.61,6.61,6.59
23.22,5.31,-1.38,5.31,-1.31,1.29,1.39,1.03,6.60,6.61,6.69
23.45,5.30,-1.31,5.30,-1.33,1.31,1.41,1.05,6.61,6.61,6.62
23.69,5.30,-1.30,5.30,-1.33,1.33,1.42,1.09,6.63,6.63,6.60
23.92,5.30,-1.33,5.30,-1.33,1.35,1.44,1.12,6.65,6.65,6.63
24.16,5.31,-1.38,5.31,-1.36,1.37,1.45,1.15,6.67,6.67,6.69
24.40,5.33,-1.37,5.33,-1.38,1.37,1.46,1.18,6.69,6.69,6.70
24.65,5.36,-1.38,5.36,-1.39,1.35,1.47,1.21,6.71,6.71,6.74
24.89,5.40,-1.39,5.41,-1.37,1.33,1.49,1.24,6.74,6.74,6.80
25.14,5.46,-1.34,5.46,-1.33,1.31,1.49,1.28,6.77,6.77,6.80
25.39,5.52,-1.28,5.52,-1.29,1.30,1.50,1.31,6.81,6.81,6.80
25.65,5.57,-1.24,5.57,-1.25,1.27,1.51,1.34,6.85,6.84,6.81
25.91,5.63,-1.25,5.63,-1.22,1.24,1.52,1.38,6.87,6.87,6.88
26.16,5.67,-1.22,5.67,-1.22,1.24,1.52,1.41,6.91,6.91,6.90
26.43,5.72,-1.20,5.72,-1.27,1.27,1.52,1.44,6.99,6.99,6.92
26.69,5.76,-1.36,5.76,-1.32,1.34,1.53,1.47,7.10,7.10,7.12
26.96,5.80,-1.40,5.80,-1.32,1.43,1.53,1.50,7.23,7.23,7.20
27.23,5.84,-1.36,5.83,-1.37,1.50,1.53,1.54,7.34,7.33,7.20
27.50,5.86,-1.34,5.86,-1.54,1.54,1.53,1.57,7.40,7.40,7.20
27.77,5.87,-1.77,5.87,-1.74,1.56,1.52,1.59,7.43,7.43,7.64
28.05,5.88,-2.07,5.88,-1.85,1.57,1.52,1.62,7.45,7.45,7.95
28.33,5.88,-1.79,5.88,-1.77,1.58,1.51,1.65,7.46,7.46,7.67
28.62,5.88,-1.45,5.88,-1.53,1.60,1.51,1.68,7.49,7.49,7.33
28.90,5.89,-1.26,5.89,-1.35,1.64,1.50,1.70,7.52,7.52,7.15
29.19,5.89,-1.40,5.89,-1.37,1.66,1.50,1.72,7.55,7.55,7.29
29.48,5.90,-1.54,5.90,-1.56,1.67,1.49,1.74,7.57,7.57,7.44
29.78,5.92,-1.76,5.92,-1.77,1.67,1.48,1.76,7.59,7.59,7.68
30.08,5.94,-1.95,5.95,-1.88,1.68,1.47,1.77,7.62,7.62,7.90
30.38,5.99,-1.91,5.99,-1.91,1.70,1.46,1.79,7.69,7.69,7.90
30.68,6.04,-1.82,6.03,-1.85,1.74,1.45,1.80,7.77,7.77,7.85
30.99,6.09,-1.71,6.09,-1.73,1.77,1.45,1.81,7.85,7.85,7.80
31.30,6.13,-1.66,6.13,-1.60,1.77,1.44,1.82,7.91,7.91,7.80
31.61,6.18,-1.52,6.18,-1.56,1.76,1.43,1.82,7.94,7.94,7.69
31.93,6.22,-1.51,6.22,-1.62,1.73,1.42,1.82,7.95,7.95,7.73
32.24,6.25,-1.79,6.25,-1.73,1.70,1.42,1.82,7.95,7.95,8.04
32.57,6.28,-1.87,6.28,-1.82,1.66,1.41,1.82,7.95,7.95,8.15
32.89,6.32,-1.84,6.32,-1.82,1.61,1.41,1.82,7.93,7.93,8.15
33.22,6.34,-1.65,6.34,-1.68,1.56,1.41,1.81,7.90,7.90,7.99
33.55,6.36,-1.49,6.36,-1.50,1.50,1.40,1.80,7.86,7.86,7.86
33.89,6.38,-1.34,6.38,-1.33,1.42,1.41,1.79,7.80,7.80,7.72
34.23,6.39,-1.20,6.40,-1.20,1.34,1.41,1.78,7.73,7.73,7.59
34.57,6.41,-1.12,6.41,-1.16,1.26,1.42,1.77,7.67,7.67,7.53
34.92,6.43,-1.16,6.43,-1.17,1.20,1.43,1.75,7.63,7.63,7.59
35.27,6.44,-1.26,6.44,-1.21,1.17,1.44,1.74,7.62,7.62,7.70
35.62,6.45,-1.25,6.45,-1.25,1.18,1.46,1.72,7.63,7.63,7.70
35.97,6.45,-1.25,6.45,-1.26,1.22,1.48,1.70,7.67,7.66,7.70
36.33,6.43,-1.27,6.43,-1.26,1.27,1.51,1.69,7.70,7.70,7.70
36.70,6.41,-1.29,6.41,-1.31,1.33,1.54,1.67,7.74,7.74,7.70
37.06,6.38,-1.37,6.38,-1.37,1.41,1.58,1.65,7.79,7.79,7.75
37.43,6.35,-1.47,6.35,-1.46,1.50,1.62,1.63,7.85,7.85,7.82
37.81,6.33,-1.55,6.33,-1.55,1.60,1.66,1.61,7.93,7.93,7.88
38.19,6.31,-1.65,6.31,-1.65,1.70,1.71,1.60,8.01,8.01,7.96
38.57,6.30,-1.76,6.30,-1.78,1.79,1.75,1.58,8.08,8.08,8.06
38.95,6.29,-1.89,6.29,-1.92,1.84,1.79,1.56,8.13,8.13,8.18
39.34,6.29,-2.05,6.29,-2.00,1.88,1.81,1.54,8.16,8.16,8.34
39.74,6.29,-2.03,6.29,-2.00,1.88,1.83,1.53,8.17,8.17,8.32
40.14,6.29,-1.90,6.29,-1.92,1.87,1.83,1.51,8.15,8.15,8.19
40.54,6.29,-1.77,6.29,-1.77,1.84,1.82,1.50,8.13,8.13,8.05
40.94,6.30,-1.66,6.29,-1.67,1.79,1.80,1.48,8.08,8.08,7.96
41.35,6.31,-1.60,6.31,-1.63,1.72,1.75,1.47,8.03,8.03,7.91
41.76,6.33,-1.64,6.34,-1.64,1.66,1.71,1.46,8.00,8.00,7.98
42.18,6.38,-1.67,6.38,-1.64,1.63,1.65,1.45,8.01,8.01,8.05
42.60,6.44,-1.65,6.44,-1.61,1.60,1.60,1.44,8.04,8.04,8.08
43.03,6.51,-1.51,6.51,-1.56,1.55,1.55,1.43,8.06,8.06,8.01
43.46,6.57,-1.49,6.57,-1.47,1.46,1.50,1.42,8.03,8.03,8.06
43.90,6.63,-1.45,6.62,-1.45,1.33,1.45,1.42,7.96,7.95,8.07
44.33,6.66,-1.35,6.65,-1.45,1.21,1.41,1.41,7.87,7.86,8.01
44.78,6.65,-1.41,6.65,-1.25,1.11,1.38,1.41,7.77,7.77,8.06
45.23,6.62,-1.12,6.62,-0.94,1.07,1.35,1.40,7.69,7.69,7.74
45.68,6.58,-0.46,6.58,-0.70,1.05,1.34,1.40,7.63,7.63,7.03
46.13,6.52,-0.55,6.53,-0.73,1.08,1.33,1.40,7.60,7.60,7.07
46.60,6.47,-1.05,6.48,-1.01,1.13,1.32,1.40,7.61,7.61,7.52
47.06,6.44,-1.65,6.44,-1.39,1.22,1.33,1.40,7.66,7.66,8.08
47.53,6.41,-1.54,6.41,-1.59,1.34,1.34,1.40,7.75,7.75,7.95
48.01,6.39,-1.55,6.39,-1.64,1.48,1.36,1.41,7.87,7.87,7.94
48.49,6.38,-1.63,6.38,-1.62,1.62,1.38,1.41,8.00,7.99,8.01
48.97,6.37,-1.71,6.37,-1.69,1.71,1.41,1.42,8.08,8.08,8.08
49.46,6.37,-1.73,6.37,-1.72,1.74,1.45,1.42,8.11,8.11,8.10
