frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.17,2.92,5.17,2.94,-2.97,-2.45,-0.69,2.20,2.20,2.25
20.20,5.15,2.85,5.15,2.85,-2.82,-2.44,-0.72,2.33,2.33,2.30
20.40,5.14,2.76,5.14,2.75,-2.69,-2.43,-0.74,2.46,2.46,2.38
20.61,5.15,2.69,5.15,2.63,-2.57,-2.42,-0.76,2.58,2.58,2.45
20.81,5.17,2.44,5.17,2.46,-2.46,-2.41,-0.79,2.70,2.70,2.73
21.02,5.20,2.27,5.20,2.30,-2.38,-2.39,-0.81,2.82,2.82,2.93
21.23,5.24,2.18,5.24,2.18,-2.31,-2.38,-0.84,2.93,2.93,3.05
21.44,5.27,2.17,5.27,2.17,-2.25,-2.37,-0.86,3.02,3.02,3.11
21.66,5.31,2.18,5.31,2.21,-2.22,-2.35,-0.89,3.09,3.09,3.13
21.87,5.34,2.28,5.34,2.26,-2.22,-2.33,-0.92,3.12,3.12,3.06
22.09,5.35,2.31,5.35,2.28,-2.22,-2.32,-0.95,3.13,3.13,3.05
22.31,5.36,2.27,5.36,2.28,-2.24,-2.30,-0.98,3.12,3.12,3.08
22.54,5.36,2.22,5.35,2.27,-2.25,-2.28,-1.01,3.11,3.11,3.13
22.76,5.35,2.29,5.34,2.25,-2.24,-2.26,-1.04,3.10,3.10,3.06
22.99,5.33,2.24,5.33,2.23,-2.22,-2.24,-1.07,3.11,3.11,3.09
23.22,5.32,2.17,5.32,2.20,-2.19,-2.22,-1.10,3.13,3.13,3.15
23.45,5.31,2.16,5.31,2.14,-2.15,-2.19,-1.13,3.16,3.16,3.15
23.69,5.30,2.09,5.30,2.10,-2.11,-2.17,-1.17,3.19,3.19,3.21
23.92,5.30,2.05,5.30,2.07,-2.07,-2.15,-1.20,3.23,3.23,3.25
24.16,5.29,2.05,5.29,2.02,-2.01,-2.12,-1.24,3.28,3.28,3.25
24.40,5.29,1.97,5.29,1.99,-1.96,-2.10,-1.27,3.33,3.33,3.31
24.65,5.28,1.93,5.28,1.95,-1.91,-2.07,-1.31,3.37,3.37,3.35
24.89,5.27,1.92,5.27,1.89,-1.88,-2.04,-1.34,3.39,3.39,3.35
25.14,5.25,1.85,5.25,1.85,-1.87,-2.01,-1.38,3.38,3.38,3.41
25.39,5.24,1.80,5.24,1.81,-1.88,-1.98,-1.41,3.36,3.37,3.45
25.65,5.24,1.80,5.24,1.81,-1.90,-1.95,-1.45,3.33,3.33,3.43
25.91,5.24,1.87,5.24,1.88,-1.94,-1.92,-1.49,3.30,3.30,3.37
26.16,5.24,1.98,5.24,1.98,-1.97,-1.89,-1.52,3.27,3.27,3.26
26.43,5.25,2.11,5.25,2.07,-2.01,-1.86,-1.56,3.25,3.25,3.15
26.69,5.26,2.11,5.26,2.13,-2.03,-1.83,-1.59,3.23,3.23,3.15
26.96,5.26,2.11,5.26,2.12,-2.04,-1.79,-1.62,3.22,3.22,3.15
27.23,5.25,2.10,5.25,2.07,-2.04,-1.76,-1.65,3.21,3.21,3.16
27.50,5.23,1.99,5.23,2.00,-2.03,-1.73,-1.68,3.21,3.21,3.25
27.77,5.22,1.91,5.22,1.92,-1.99,-1.69,-1.71,3.22,3.22,3.30
28.05,5.20,1.86,5.21,1.87,-1.95,-1.66,-1.74,3.25,3.26,3.35
28.33,5.21,1.86,5.21,1.87,-1.90,-1.62,-1.76,3.30,3.31,3.35
28.62,5.22,1.87,5.22,1.86,-1.85,-1.58,-1.78,3.37,3.37,3.35
28.90,5.25,1.86,5.26,1.83,-1.79,-1.55,-1.80,3.46,3.46,3.40
29.19,5.29,1.74,5.29,1.75,-1.72,-1.51,-1.82,3.57,3.57,3.54
29.48,5.32,1.63,5.31,1.65,-1.62,-1.47,-1.83,3.70,3.69,3.69
29.78,5.31,1.52,5.31,1.53,-1.49,-1.43,-1.84,3.82,3.82,3.79
30.08,5.29,1.42,5.29,1.40,-1.34,-1.39,-1.85,3.95,3.95,3.88
30.38,5.24,1.24,5.24,1.21,-1.17,-1.36,-1.85,4.07,4.07,4.00
30.68,5.17,0.99,5.17,0.99,-1.00,-1.32,-1.85,4.17,4.17,4.18
30.99,5.10,0.73,5.10,0.78,-0.84,-1.28,-1.85,4.26,4.26,4.36
31.30,5.04,0.62,5.04,0.61,-0.69,-1.24,-1.84,4.36,4.36,4.43
31.61,5.01,0.51,5.01,0.50,-0.54,-1.20,-1.83,4.47,4.47,4.50
31.93,5.00,0.43,5.00,0.43,-0.41,-1.16,-1.81,4.59,4.59,4.57
32.24,5.01,0.37,5.01,0.37,-0.31,-1.12,-1.79,4.70,4.70,4.64
32.57,5.03,0.33,5.03,0.33,-0.25,-1.07,-1.77,4.78,4.78,4.70
32.89,5.05,0.28,5.05,0.26,-0.24,-1.03,-1.74,4.81,4.81,4.77
33.22,5.08,0.22,5.07,0.21,-0.29,-0.99,-1.71,4.79,4.79,4.85
33.55,5.09,0.18,5.09,0.22,-0.37,-0.95,-1.68,4.72,4.72,4.92
