frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,15.97,10.83,15.97,10.84,-10.94,-11.24,-3.97,5.03,5.03,5.15
20.20,15.98,10.78,15.98,10.78,-10.76,-11.22,-4.08,5.21,5.21,5.20
20.40,15.98,10.70,15.98,10.68,-10.60,-11.20,-4.19,5.38,5.38,5.28
20.61,15.97,10.62,15.97,10.55,-10.45,-10.98,-4.30,5.52,5.52,5.35
20.81,15.96,10.33,15.96,10.35,-10.31,-10.76,-4.42,5.65,5.65,5.63
21.02,15.94,10.12,15.95,10.15,-10.19,-10.48,-4.54,5.76,5.76,5.83
21.23,15.93,9.97,15.92,9.97,-10.08,-10.20,-4.66,5.85,5.85,5.95
21.44,15.90,9.89,15.90,9.89,-9.98,-9.96,-4.79,5.92,5.92,6.01
21.66,15.87,9.84,15.87,9.87,-9.89,-9.72,-4.92,5.97,5.98,6.03
21.87,15.84,9.88,15.84,9.86,-9.83,-9.55,-5.05,6.01,6.01,5.95
22.09,15.80,9.86,15.80,9.83,-9.79,-9.39,-5.19,6.01,6.01,5.95
22.31,15.77,9.78,15.77,9.79,-9.76,-9.30,-5.33,6.01,6.01,5.98
22.54,15.73,9.70,15.73,9.75,-9.74,-9.21,-5.47,5.99,5.99,6.03
22.76,15.70,9.74,15.70,9.70,-9.71,-9.18,-5.62,5.99,5.99,5.96
22.99,15.67,9.68,15.67,9.67,-9.67,-9.16,-5.77,6.00,6.01,5.99
23.22,15.65,9.61,15.65,9.63,-9.62,-9.18,-5.93,6.03,6.03,6.05
23.45,15.63,9.58,15.63,9.56,-9.57,-9.20,-6.09,6.06,6.06,6.05
23.69,15.61,9.50,15.61,9.51,-9.51,-9.25,-6.25,6.10,6.10,6.11
23.92,15.59,9.44,15.58,9.45,-9.45,-9.30,-6.42,6.14,6.14,6.15
24.16,15.56,9.41,15.56,9.38,-9.37,-9.36,-6.59,6.19,6.19,6.15
24.40,15.52,9.31,15.52,9.32,-9.29,-9.42,-6.76,6.23,6.23,6.21
24.65,15.48,9.23,15.48,9.25,-9.21,-9.46,-6.94,6.27,6.27,6.25
24.89,15.43,9.19,15.43,9.16,-9.15,-9.50,-7.12,6.28,6.28,6.25
25.14,15.38,9.08,15.38,9.08,-9.10,-9.52,-7.30,6.28,6.28,6.31
25.39,15.34,8.99,15.34,9.01,-9.08,-9.52,-7.48,6.26,6.26,6.35
25.65,15.31,8.98,15.31,8.99,-9.08,-9.50,-7.67,6.23,6.23,6.33
25.91,15.29,9.02,15.29,9.04,-9.10,-9.47,-7.86,6.19,6.19,6.27
26.16,15.28,9.12,15.29,9.12,-9.12,-9.41,-8.05,6.16,6.16,6.16
26.43,15.29,9.24,15.29,9.20,-9.15,-9.34,-8.24,6.14,6.14,6.05
26.69,15.29,9.25,15.29,9.26,-9.17,-9.25,-8.43,6.12,6.12,6.05
26.96,15.29,9.25,15.29,9.26,-9.18,-9.16,-8.62,6.12,6.11,6.05
27.23,15.29,9.23,15.29,9.21,-9.18,-9.05,-8.80,6.11,6.11,6.05
27.50,15.27,9.12,15.27,9.13,-9.15,-8.95,-8.98,6.12,6.12,6.15
27.77,15.24,9.04,15.24,9.05,-9.10,-8.84,-9.16,6.14,6.14,6.20
28.05,15.21,8.97,15.21,8.98,-9.03,-8.73,-9.33,6.18,6.18,6.25
28.33,15.18,8.94,15.18,8.94,-8.95,-8.62,-9.50,6.23,6.23,6.25
28.62,15.15,8.91,15.16,8.90,-8.87,-8.52,-9.65,6.29,6.29,6.25
28.90,15.14,8.84,15.14,8.81,-8.78,-8.42,-9.79,6.36,6.36,6.30
29.19,15.12,8.68,15.13,8.69,-8.68,-8.33,-9.93,6.45,6.45,6.44
29.48,15.12,8.53,15.12,8.56,-8.56,-8.24,-10.05,6.55,6.55,6.59
29.78,15.11,8.42,15.11,8.43,-8.44,-8.16,-10.16,6.68,6.68,6.69
30.08,15.10,8.33,15.11,8.32,-8.29,-8.08,-10.24,6.81,6.81,6.78
30.38,15.09,8.20,15.09,8.17,-8.14,-8.01,-10.32,6.95,6.95,6.90
30.68,15.07,7.99,15.07,7.99,-7.99,-7.94,-10.36,7.08,7.08,7.08
