frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.09,-0.51,8.08,-0.50,0.47,0.55,0.37,8.56,8.55,8.60
20.20,8.11,-0.46,8.11,-0.47,0.45,0.56,0.38,8.56,8.56,8.56
20.40,8.12,-0.44,8.13,-0.44,0.44,0.57,0.39,8.57,8.57,8.56
20.61,8.14,-0.42,8.14,-0.42,0.44,0.58,0.40,8.58,8.58,8.56
20.81,8.15,-0.41,8.15,-0.41,0.44,0.59,0.41,8.59,8.59,8.56
21.02,8.15,-0.41,8.15,-0.41,0.44,0.60,0.42,8.59,8.59,8.56
21.23,8.14,-0.42,8.14,-0.42,0.45,0.61,0.44,8.60,8.59,8.56
21.44,8.13,-0.44,8.12,-0.45,0.47,0.62,0.45,8.59,8.59,8.56
21.66,8.10,-0.48,8.10,-0.50,0.50,0.63,0.46,8.60,8.61,8.58
21.87,8.08,-0.57,8.08,-0.55,0.54,0.64,0.47,8.62,8.62,8.65
22.09,8.06,-0.60,8.06,-0.60,0.57,0.65,0.49,8.63,8.63,8.66
22.31,8.04,-0.62,8.04,-0.63,0.61,0.66,0.50,8.65,8.65,8.66
22.54,8.02,-0.64,8.02,-0.64,0.64,0.67,0.51,8.66,8.66,8.66
22.76,8.00,-0.66,8.00,-0.66,0.66,0.68,0.53,8.66,8.66,8.66
22.99,7.99,-0.68,7.99,-0.68,0.68,0.69,0.54,8.66,8.66,8.66
23.22,7.97,-0.69,7.97,-0.69,0.69,0.70,0.56,8.66,8.66,8.66
23.45,7.96,-0.70,7.96,-0.70,0.70,0.71,0.57,8.66,8.66,8.66
23.69,7.95,-0.71,7.95,-0.70,0.72,0.73,0.59,8.67,8.67,8.66
23.92,7.95,-0.72,7.95,-0.72,0.74,0.74,0.60,8.68,8.68,8.66
24.16,7.94,-0.72,7.94,-0.74,0.75,0.75,0.62,8.70,8.70,8.66
24.40,7.94,-0.79,7.94,-0.78,0.77,0.76,0.64,8.72,8.72,8.73
24.65,7.94,-0.82,7.94,-0.81,0.79,0.77,0.65,8.74,8.73,8.76
24.89,7.94,-0.82,7.94,-0.83,0.81,0.78,0.67,8.75,8.75,8.76
25.14,7.94,-0.82,7.94,-0.83,0.82,0.79,0.69,8.76,8.76,8.76
25.39,7.93,-0.83,7.93,-0.83,0.83,0.81,0.71,8.77,8.77,8.76
25.65,7.93,-0.84,7.93,-0.84,0.84,0.82,0.72,8.77,8.77,8.76
25.91,7.92,-0.84,7.92,-0.84,0.84,0.83,0.74,8.76,8.76,8.76
26.16,7.92,-0.85,7.92,-0.85,0.84,0.84,0.76,8.76,8.76,8.76
26.43,7.91,-0.85,7.91,-0.85,0.85,0.86,0.78,8.76,8.76,8.76
26.69,7.91,-0.85,7.91,-0.85,0.86,0.87,0.80,8.77,8.77,8.76
26.96,7.91,-0.85,7.91,-0.85,0.87,0.88,0.81,8.78,8.78,8.76
27.23,7.90,-0.86,7.90,-0.87,0.88,0.89,0.83,8.78,8.78,8.76
27.50,7.88,-0.88,7.88,-0.89,0.89,0.91,0.85,8.77,8.77,8.76
27.77,7.85,-0.91,7.85,-0.91,0.90,0.92,0.86,8.75,8.75,8.76
