frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.35,-8.33,3.35,-8.32,6.00,5.93,2.70,9.35,9.35,11.68
20.20,3.40,-8.25,3.40,-8.26,6.00,6.05,2.78,9.40,9.40,11.65
20.40,3.43,-8.21,3.44,-8.22,6.00,6.17,2.86,9.43,9.44,11.65
20.61,3.47,-8.18,3.46,-8.18,6.00,6.20,2.94,9.47,9.46,11.65
20.81,3.49,-8.16,3.49,-8.16,6.00,6.22,3.02,9.49,9.49,11.65
21.02,3.50,-8.15,3.50,-8.15,6.00,6.18,3.11,9.50,9.50,11.65
21.23,3.50,-8.15,3.50,-8.14,6.00,6.13,3.20,9.50,9.50,11.65
21.44,3.50,-8.15,3.50,-8.15,6.00,6.07,3.29,9.50,9.50,11.65
21.66,3.50,-8.16,3.50,-8.18,6.00,6.01,3.38,9.50,9.50,11.67
21.87,3.50,-8.24,3.51,-8.21,6.00,5.95,3.48,9.50,9.51,11.74
22.09,3.51,-8.24,3.51,-8.23,6.00,5.90,3.58,9.51,9.51,11.75
22.31,3.52,-8.23,3.52,-8.24,6.00,5.88,3.68,9.52,9.52,11.75
22.54,3.53,-8.21,3.54,-8.22,6.00,5.85,3.78,9.53,9.54,11.75
22.76,3.56,-8.19,3.56,-8.19,6.00,5.84,3.89,9.56,9.56,11.75
22.99,3.58,-8.17,3.58,-8.17,6.00,5.83,4.00,9.58,9.58,11.75
23.22,3.61,-8.14,3.61,-8.14,6.00,5.84,4.11,9.61,9.61,11.75
23.45,3.63,-8.11,3.63,-8.12,6.00,5.85,4.23,9.63,9.63,11.75
23.69,3.66,-8.09,3.66,-8.08,6.00,5.87,4.34,9.66,9.66,11.75
23.92,3.68,-8.07,3.68,-8.07,6.00,5.88,4.46,9.68,9.68,11.75
24.16,3.70,-8.05,3.70,-8.07,6.00,5.90,4.58,9.70,9.70,11.75
24.40,3.71,-8.10,3.71,-8.09,6.00,5.92,4.71,9.71,9.71,11.82
24.65,3.72,-8.13,3.72,-8.11,6.00,5.95,4.83,9.72,9.72,11.85
24.89,3.73,-8.12,3.73,-8.12,6.00,5.96,4.96,9.73,9.73,11.85
25.14,3.74,-8.11,3.74,-8.11,6.00,5.98,5.09,9.74,9.74,11.85
25.39,3.75,-8.10,3.75,-8.10,6.00,6.00,5.22,9.75,9.75,11.85
25.65,3.75,-8.10,3.75,-8.10,6.00,6.01,5.35,9.75,9.75,11.85
25.91,3.76,-8.09,3.76,-8.09,6.00,6.02,5.48,9.76,9.76,11.85
26.16,3.77,-8.08,3.77,-8.08,6.00,6.03,5.61,9.77,9.77,11.85
26.43,3.78,-8.07,3.78,-8.07,6.00,6.04,5.74,9.78,9.78,11.85
26.69,3.80,-8.05,3.80,-8.05,6.00,6.04,5.87,9.80,9.80,11.85
26.96,3.81,-8.04,3.81,-8.04,6.00,6.04,6.00,9.81,9.81,11.85
27.23,3.82,-8.03,3.82,-8.03,6.00,6.04,6.13,9.82,9.82,11.85
27.50,3.83,-8.02,3.83,-8.03,6.00,6.04,6.25,9.83,9.83,11.85
27.77,3.84,-8.01,3.84,-8.01,6.00,6.03,6.37,9.84,9.84,11.85
28.05,3.85,-7.99,3.85,-7.97,6.00,6.02,6.49,9.85,9.85,11.84
28.33,3.86,-7.91,3.86,-7.93,6.00,6.02,6.60,9.86,9.86,11.77
28.62,3.87,-7.88,3.87,-7.88,6.00,6.01,6.71,9.87,9.87,11.75
28.90,3.87,-7.85,3.87,-7.83,6.00,6.00,6.80,9.87,9.87,11.72
29.19,3.88,-7.77,3.88,-7.79,6.00,5.99,6.90,9.88,9.88,11.65
29.48,3.89,-7.76,3.89,-7.76,6.00,5.98,6.98,9.89,9.89,11.65
29.78,3.90,-7.75,3.90,-7.74,6.00,5.97,7.06,9.90,9.90,11.65
30.08,3.91,-7.74,3.91,-7.75,6.00,5.97,7.12,9.91,9.91,11.65
30.38,3.91,-7.74,3.91,-7.74,6.00,5.96,7.19,9.91,9.91,11.65
30.68,3.92,-7.73,3.92,-7.72,6.00,5.95,7.23,9.92,9.92,11.65
30.99,3.93,-7.71,3.93,-7.69,6.00,5.95,7.27,9.93,9.93,11.63
31.30,3.93,-7.64,3.93,-7.66,6.00,5.94,7.30,9.93,9.93,11.57
31.61,3.94,-7.61,3.94,-7.61,6.00,5.94,7.32,9.94,9.94,11.55
31.93,3.94,-7.58,3.94,-7.56,6.00,5.93,7.32,9.94,9.94,11.52
32.24,3.95,-7.51,3.95,-7.53,6.00,5.93,7.32,9.95,9.95,11.46
32.57,3.96,-7.49,3.96,-7.50,6.00,5.93,7.31,9.96,9.96,11.45
32.89,3.97,-7.48,3.97,-7.47,6.00,5.93,7.29,9.97,9.97,11.45
33.22,3.98,-7.47,3.98,-7.46,6.00,5.93,7.26,9.98,9.98,11.45
33.55,3.99,-7.46,3.99,-7.47,6.00,5.93,7.22,9.99,9.99,11.45
33.89,4.00,-7.49,4.00,-7.49,6.00,5.93,7.18,10.00,10.00,11.49
34.23,4.01,-7.54,4.01,-7.51,6.00,5.94,7.13,10.01,10.01,11.55
34.57,4.02,-7.53,4.02,-7.55,6.00,5.94,7.07,10.02,10.02,11.55
34.92,4.02,-7.57,4.02,-7.58,6.00,5.94,7.01,10.02,10.02,11.59
35.27,4.03,-7.62,4.03,-7.60,6.00,5.95,6.95,10.03,10.03,11.65
35.62,4.03,-7.62,4.03,-7.62,6.00,5.95,6.88,10.03,10.03,11.65
35.97,4.04,-7.61,4.04,-7.62,6.00,5.96,6.81,10.04,10.04,11.65
36.33,4.05,-7.60,4.05,-7.60,6.00,5.97,6.74,10.05,10.05,11.65
36.70,4.06,-7.59,4.06,-7.57,6.00,5.97,6.66,10.06,10.06,11.65
37.06,4.07,-7.52,4.07,-7.52,6.00,5.98,6.59,10.07,10.07,11.60
37.43,4.08,-7.44,4.08,-7.45,6.00,5.99,6.51,10.08,10.08,11.53
37.81,4.09,-7.37,4.09,-7.39,6.00,6.00,6.44,10.09,10.09,11.46
38.19,4.10,-7.35,4.10,-7.36,6.00,6.00,6.37,10.10,10.10,11.45
38.57,4.10,-7.34,4.10,-7.34,6.00,6.01,6.30,10.10,10.10,11.45
38.95,4.11,-7.34,4.11,-7.32,6.00,6.02,6.23,10.11,10.11,11.45
39.34,4.11,-7.27,4.11,-7.29,6.00,6.02,6.16,10.11,10.11,11.38
39.74,4.11,-7.24,4.11,-7.25,6.00,6.03,6.10,10.11,10.11,11.35
40.14,4.11,-7.22,4.11,-7.18,6.00,6.04,6.04,10.11,10.11,11.34
40.54,4.11,-7.09,4.11,-7.10,6.00,6.05,5.98,10.11,10.11,11.20
40.94,4.11,-7.00,4.11,-7.01,6.00,6.05,5.93,10.11,10.11,11.11
41.35,4.11,-6.93,4.11,-6.92,6.00,6.06,5.88,10.11,10.11,11.04
41.76,4.11,-6.86,4.11,-6.87,6.00,6.06,5.83,10.11,10.11,10.97
42.18,4.11,-6.84,4.11,-6.84,6.00,6.07,5.79,10.11,10.11,10.95
42.60,4.11,-6.84,4.11,-6.83,6.00,6.07,5.75,10.11,10.11,10.95
43.03,4.12,-6.83,4.12,-6.83,6.00,6.08,5.72,10.12,10.12,10.95
43.46,4.13,-6.82,4.13,-6.83,6.00,6.08,5.69,10.13,10.13,10.95
43.90,4.14,-6.81,4.14,-6.81,6.00,6.09,5.67,10.14,10.14,10.95
44.33,4.15,-6.80,4.15,-6.78,6.00,6.09,5.65,10.15,10.15,10.95
44.78,4.16,-6.73,4.16,-6.75,6.00,6.09,5.63,10.16,10.16,10.89
45.23,4.17,-6.68,4.17,-6.70,6.00,6.09,5.62,10.17,10.17,10.85
45.68,4.17,-6.68,4.17,-6.65,6.00,6.09,5.61,10.17,10.17,10.85
46.13,4.18,-6.60,4.18,-6.61,6.00,6.09,5.61,10.18,10.18,10.78
46.60,4.19,-6.56,4.19,-6.57,6.00,6.09,5.61,10.19,10.19,10.75
47.06,4.19,-6.56,4.19,-6.55,6.00,6.09,5.61,10.19,10.19,10.75
47.53,4.20,-6.55,4.20,-6.54,6.00,6.08,5.62,10.20,10.20,10.75
48.01,4.21,-6.54,4.21,-6.54,6.00,6.08,5.63,10.21,10.21,10.75
48.49,4.22,-6.53,4.22,-6.53,6.00,6.07,5.65,10.22,10.22,10.75
48.97,4.22,-6.53,4.22,-6.53,6.00,6.07,5.67,10.22,10.22,10.75
49.46,4.22,-6.53,4.22,-6.53,6.00,6.06,5.69,10.22,10.22,10.75
49.96,4.20,-6.55,4.20,-6.55,6.00,6.05,5.71,10.20,10.20,10.75
50.46,4.18,-6.57,4.18,-6.60,6.00,6.05,5.74,10.18,10.18,10.75
50.96,4.15,-6.66,4.15,-6.64,6.00,6.04,5.77,10.15,10.15,10.81
51.47,4.13,-6.70,4.13,-6.67,6.00,6.03,5.80,10.13,10.13,10.83
51.99,4.10,-6.65,4.10,-6.69,6.00,6.01,5.84,10.10,10.10,10.75
52.51,4.07,-6.68,4.07,-6.66,6.00,6.00,5.87,10.07,10.07,10.75
53.03,4.04,-6.65,4.03,-6.63,6.00,5.99,5.91,10.04,10.03,10.68
53.56,3.98,-6.56,3.98,-6.60,6.00,5.97,5.95,9.98,9.98,10.54
54.10,3.92,-6.56,3.91,-6.55,6.00,5.96,5.98,9.92,9.92,10.47
54.64,3.86,-6.50,3.86,-6.48,6.01,5.94,6.02,9.87,9.87,10.36
55.18,3.83,-6.41,3.85,-6.41,6.02,5.93,6.06,9.85,9.86,10.24
55.74,3.87,-6.30,3.87,-6.31,6.02,5.91,6.09,9.89,9.89,10.17
56.29,3.93,-6.22,3.93,-6.23,6.01,5.89,6.12,9.93,9.93,10.15
56.86,4.00,-6.15,4.00,-6.15,5.98,5.87,6.15,9.98,9.98,10.15
57.42,4.07,-6.08,4.07,-6.07,5.95,5.85,6.18,10.01,10.01,10.15
58.00,4.13,-5.97,4.12,-5.97,5.90,5.82,6.20,10.03,10.03,10.09
58.58,4.17,-5.86,4.17,-5.86,5.85,5.80,6.22,10.02,10.02,10.03
59.16,4.20,-5.75,4.20,-5.75,5.79,5.78,6.23,9.99,9.99,9.95
59.76,4.22,-5.67,4.22,-5.68,5.72,5.75,6.24,9.94,9.94,9.89
60.35,4.23,-5.62,4.23,-5.63,5.65,5.73,6.24,9.88,9.88,9.85
60.96,4.24,-5.61,4.24,-5.59,5.58,5.70,6.24,9.82,9.82,9.85
61.57,4.23,-5.54,4.23,-5.54,5.53,5.67,6.23,9.76,9.76,9.78
62.18,4.23,-5.48,4.23,-5.49,5.49,5.65,6.22,9.71,9.71,9.71
62.80,4.22,-5.43,4.22,-5.45,5.46,5.62,6.20,9.68,9.68,9.65
63.43,4.21,-5.44,4.21,-5.43,5.45,5.59,6.17,9.66,9.66,9.65
64.07,4.20,-5.45,4.20,-5.43,5.45,5.56,6.13,9.66,9.66,9.65
64.71,4.20,-5.45,4.20,-5.45,5.46,5.53,6.09,9.66,9.66,9.65
65.35,4.20,-5.45,4.20,-5.47,5.48,5.49,6.05,9.68,9.68,9.65
66.01,4.20,-5.50,4.20,-5.50,5.50,5.46,6.00,9.70,9.70,9.70
66.67,4.20,-5.55,4.20,-5.53,5.51,5.43,5.94,9.72,9.72,9.75
67.33,4.21,-5.54,4.21,-5.54,5.52,5.39,5.88,9.73,9.73,9.75
