frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.48,1.73,10.48,1.73,-1.67,-1.66,-0.89,8.81,8.81,8.75
20.20,10.47,1.72,10.47,1.72,-1.70,-1.70,-0.92,8.77,8.77,8.75
20.40,10.47,1.72,10.47,1.72,-1.74,-1.74,-0.94,8.73,8.74,8.75
20.61,10.48,1.72,10.48,1.73,-1.77,-1.77,-0.97,8.71,8.72,8.76
20.81,10.51,1.76,10.51,1.76,-1.80,-1.81,-1.00,8.71,8.71,8.76
21.02,10.55,1.80,10.55,1.80,-1.83,-1.85,-1.03,8.72,8.72,8.76
21.23,10.60,1.84,10.60,1.85,-1.86,-1.88,-1.06,8.74,8.74,8.76
21.44,10.65,1.90,10.65,1.90,-1.90,-1.91,-1.09,8.75,8.75,8.75
21.66,10.70,1.95,10.70,1.95,-1.94,-1.94,-1.12,8.75,8.75,8.75
21.87,10.74,2.00,10.74,2.00,-1.99,-1.97,-1.16,8.75,8.75,8.74
22.09,10.78,2.04,10.78,2.04,-2.02,-1.99,-1.19,8.75,8.75,8.74
22.31,10.80,2.06,10.80,2.06,-2.05,-2.01,-1.23,8.75,8.75,8.74
22.54,10.81,2.08,10.81,2.07,-2.06,-2.02,-1.26,8.75,8.75,8.73
22.76,10.81,2.08,10.81,2.08,-2.07,-2.03,-1.30,8.74,8.74,8.73
22.99,10.80,2.07,10.79,2.06,-2.06,-2.04,-1.34,8.74,8.74,8.73
23.22,10.77,2.04,10.77,2.04,-2.04,-2.05,-1.38,8.73,8.73,8.73
23.45,10.74,2.02,10.74,2.02,-2.02,-2.05,-1.42,8.72,8.72,8.72
23.69,10.70,1.99,10.70,1.99,-1.99,-2.05,-1.46,8.72,8.72,8.72
23.92,10.67,1.95,10.67,1.96,-1.96,-2.05,-1.50,8.71,8.71,8.71
24.16,10.64,1.93,10.64,1.93,-1.93,-2.04,-1.54,8.70,8.70,8.71
24.40,10.61,1.91,10.61,1.90,-1.91,-2.03,-1.58,8.70,8.70,8.70
24.65,10.58,1.89,10.58,1.89,-1.89,-2.02,-1.63,8.69,8.69,8.70
24.89,10.57,1.88,10.57,1.88,-1.88,-2.01,-1.67,8.69,8.69,8.69
25.14,10.56,1.87,10.56,1.87,-1.87,-2.00,-1.71,8.68,8.68,8.69
25.39,10.55,1.87,10.55,1.87,-1.88,-1.99,-1.76,8.68,8.68,8.68
25.65,10.56,1.88,10.56,1.88,-1.89,-1.98,-1.80,8.67,8.67,8.68
25.91,10.57,1.89,10.57,1.90,-1.90,-1.97,-1.85,8.67,8.67,8.68
26.16,10.59,1.91,10.59,1.91,-1.92,-1.96,-1.89,8.67,8.67,8.67
26.43,10.61,1.94,10.61,1.94,-1.94,-1.95,-1.93,8.67,8.67,8.67
26.69,10.63,1.96,10.63,1.96,-1.96,-1.94,-1.98,8.68,8.68,8.67
26.96,10.66,1.98,10.66,1.98,-1.97,-1.93,-2.02,8.68,8.68,8.67
27.23,10.67,2.00,10.67,2.00,-1.99,-1.92,-2.06,8.68,8.68,8.68
27.50,10.69,2.01,10.69,2.01,-2.01,-1.91,-2.10,8.68,8.68,8.68
27.77,10.70,2.02,10.70,2.02,-2.02,-1.90,-2.14,8.68,8.68,8.68
28.05,10.70,2.03,10.70,2.03,-2.03,-1.89,-2.18,8.67,8.67,8.67
28.33,10.70,2.03,10.70,2.03,-2.03,-1.89,-2.21,8.66,8.67,8.67
28.62,10.70,2.03,10.70,2.03,-2.04,-1.88,-2.24,8.66,8.66,8.66
28.90,10.69,2.03,10.69,2.03,-2.03,-1.88,-2.27,8.66,8.66,8.66
29.19,10.68,2.03,10.68,2.03,-2.02,-1.87,-2.30,8.65,8.65,8.65
29.48,10.66,2.02,10.66,2.02,-2.01,-1.87,-2.33,8.65,8.65,8.64
29.78,10.63,2.00,10.63,2.00,-2.00,-1.86,-2.35,8.64,8.64,8.63
30.08,10.60,1.98,10.60,1.98,-1.98,-1.86,-2.37,8.63,8.63,8.62
30.38,10.57,1.95,10.57,1.95,-1.95,-1.86,-2.39,8.61,8.61,8.62
30.68,10.53,1.92,10.53,1.92,-1.93,-1.86,-2.40,8.60,8.60,8.61
30.99,10.49,1.90,10.49,1.90,-1.91,-1.85,-2.41,8.59,8.59,8.60
31.30,10.46,1.88,10.46,1.88,-1.88,-1.85,-2.42,8.58,8.58,8.59
31.61,10.44,1.86,10.44,1.86,-1.86,-1.85,-2.42,8.58,8.58,8.58
31.93,10.41,1.85,10.41,1.85,-1.84,-1.85,-2.42,8.57,8.57,8.57
32.24,10.39,1.83,10.39,1.83,-1.82,-1.85,-2.42,8.56,8.56,8.56
32.57,10.36,1.82,10.36,1.81,-1.81,-1.85,-2.41,8.55,8.55,8.54
32.89,10.33,1.80,10.33,1.80,-1.79,-1.85,-2.40,8.54,8.54,8.53
33.22,10.30,1.78,10.30,1.78,-1.78,-1.85,-2.39,8.52,8.52,8.52
33.55,10.27,1.76,10.27,1.77,-1.78,-1.85,-2.38,8.50,8.50,8.51
33.89,10.26,1.76,10.26,1.76,-1.78,-1.85,-2.36,8.48,8.48,8.50
34.23,10.25,1.76,10.25,1.76,-1.78,-1.85,-2.34,8.47,8.47,8.48
34.57,10.25,1.78,10.25,1.78,-1.78,-1.85,-2.32,8.46,8.46,8.47
34.92,10.25,1.79,10.25,1.79,-1.78,-1.85,-2.29,8.46,8.46,8.45
35.27,10.24,1.81,10.24,1.80,-1.78,-1.85,-2.27,8.46,8.46,8.44
35.62,10.24,1.81,10.24,1.81,-1.78,-1.85,-2.24,8.45,8.45,8.43
35.97,10.22,1.80,10.22,1.80,-1.78,-1.84,-2.21,8.44,8.44,8.42
36.33,10.19,1.78,10.20,1.78,-1.78,-1.84,-2.18,8.41,8.41,8.42
36.70,10.17,1.76,10.17,1.76,-1.78,-1.84,-2.15,8.39,8.39,8.41
37.06,10.15,1.75,10.15,1.76,-1.78,-1.84,-2.12,8.37,8.37,8.40
37.43,10.14,1.76,10.14,1.76,-1.78,-1.84,-2.09,8.36,8.36,8.38
37.81,10.14,1.78,10.14,1.78,-1.78,-1.84,-2.06,8.36,8.36,8.36
38.19,10.15,1.80,10.15,1.80,-1.79,-1.83,-2.03,8.36,8.36,8.34
38.57,10.15,1.82,10.15,1.81,-1.79,-1.83,-2.00,8.36,8.36,8.34
38.95,10.15,1.82,10.15,1.82,-1.80,-1.83,-1.97,8.35,8.35,8.33
39.34,10.13,1.81,10.13,1.81,-1.80,-1.82,-1.94,8.33,8.33,8.33
39.74,10.11,1.80,10.11,1.80,-1.80,-1.82,-1.91,8.31,8.31,8.31
40.14,10.09,1.79,10.09,1.79,-1.80,-1.82,-1.89,8.29,8.29,8.30
40.54,10.07,1.79,10.07,1.79,-1.80,-1.81,-1.86,8.26,8.26,8.28
40.94,10.06,1.79,10.06,1.79,-1.81,-1.81,-1.83,8.24,8.25,8.26
41.35,10.05,1.80,10.05,1.81,-1.82,-1.80,-1.81,8.23,8.23,8.25
41.76,10.06,1.82,10.06,1.83,-1.83,-1.80,-1.78,8.22,8.22,8.23
42.18,10.06,1.85,10.06,1.85,-1.85,-1.79,-1.76,8.22,8.22,8.21
42.60,10.06,1.87,10.06,1.87,-1.85,-1.79,-1.74,8.21,8.21,8.19
43.03,10.05,1.89,10.05,1.88,-1.86,-1.78,-1.72,8.19,8.19,8.17
43.46,10.02,1.87,10.02,1.87,-1.85,-1.78,-1.70,8.17,8.17,8.15
43.90,9.98,1.85,9.98,1.85,-1.84,-1.77,-1.68,8.14,8.14,8.13
44.33,9.94,1.82,9.94,1.82,-1.83,-1.76,-1.67,8.11,8.11,8.12
44.78,9.89,1.80,9.89,1.80,-1.81,-1.75,-1.65,8.08,8.09,8.10
45.23,9.85,1.77,9.85,1.77,-1.78,-1.75,-1.64,8.06,8.07,8.07
45.68,9.81,1.76,9.81,1.75,-1.76,-1.74,-1.62,8.05,8.05,8.05
46.13,9.77,1.74,9.77,1.74,-1.74,-1.73,-1.61,8.03,8.03,8.03
46.60,9.74,1.72,9.74,1.72,-1.72,-1.72,-1.60,8.01,8.01,8.02
47.06,9.71,1.70,9.71,1.70,-1.71,-1.71,-1.59,8.00,8.00,8.01
47.53,9.68,1.69,9.68,1.69,-1.70,-1.70,-1.59,7.98,7.98,7.99
48.01,9.66,1.69,9.66,1.69,-1.69,-1.70,-1.58,7.97,7.97,7.97
48.49,9.64,1.69,9.64,1.69,-1.68,-1.69,-1.57,7.96,7.96,7.95
48.97,9.62,1.68,9.62,1.68,-1.67,-1.68,-1.57,7.95,7.95,7.93
49.46,9.59,1.67,9.59,1.67,-1.66,-1.67,-1.57,7.93,7.93,7.92
49.96,9.56,1.65,9.56,1.65,-1.65,-1.66,-1.56,7.92,7.92,7.92
50.46,9.53,1.63,9.54,1.63,-1.63,-1.65,-1.56,7.90,7.90,7.91
50.96,9.51,1.61,9.51,1.61,-1.62,-1.64,-1.56,7.89,7.89,7.90
51.47,9.48,1.60,9.48,1.60,-1.60,-1.63,-1.56,7.88,7.88,7.88
51.99,9.45,1.58,9.45,1.58,-1.58,-1.62,-1.56,7.87,7.87,7.87
52.51,9.42,1.57,9.42,1.56,-1.56,-1.61,-1.56,7.86,7.86,7.85
53.03,9.38,1.54,9.38,1.54,-1.54,-1.60,-1.57,7.85,7.85,7.84
53.56,9.35,1.52,9.35,1.52,-1.52,-1.58,-1.57,7.83,7.83,7.83
54.10,9.31,1.50,9.31,1.50,-1.50,-1.57,-1.57,7.81,7.81,7.81
54.64,9.27,1.48,9.27,1.48,-1.48,-1.56,-1.57,7.78,7.78,7.79
55.18,9.23,1.46,9.23,1.46,-1.47,-1.55,-1.57,7.76,7.76,7.77
55.74,9.20,1.46,9.20,1.46,-1.46,-1.54,-1.58,7.74,7.74,7.75
56.29,9.18,1.46,9.17,1.46,-1.46,-1.53,-1.58,7.72,7.71,7.72
56.86,9.15,1.46,9.15,1.46,-1.46,-1.52,-1.58,7.69,7.69,7.69
