frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.99,2.30,10.99,2.30,-2.30,-2.25,-0.97,8.69,8.69,8.69
20.20,10.99,2.30,10.99,2.30,-2.30,-2.25,-1.00,8.70,8.70,8.69
20.40,10.99,2.29,10.99,2.29,-2.29,-2.25,-1.03,8.70,8.70,8.70
20.61,10.99,2.29,10.99,2.29,-2.29,-2.26,-1.06,8.70,8.70,8.70
20.81,10.98,2.28,10.98,2.28,-2.29,-2.26,-1.10,8.70,8.70,8.70
21.02,10.98,2.28,10.98,2.28,-2.28,-2.26,-1.13,8.70,8.70,8.70
21.23,10.97,2.28,10.97,2.28,-2.28,-2.26,-1.16,8.69,8.69,8.70
21.44,10.97,2.28,10.97,2.28,-2.28,-2.26,-1.20,8.69,8.69,8.69
21.66,10.96,2.28,10.96,2.28,-2.27,-2.26,-1.23,8.69,8.69,8.69
21.87,10.96,2.28,10.96,2.27,-2.27,-2.26,-1.27,8.69,8.69,8.68
22.09,10.95,2.27,10.95,2.27,-2.27,-2.26,-1.31,8.68,8.68,8.68
22.31,10.95,2.27,10.95,2.27,-2.27,-2.26,-1.35,8.68,8.68,8.68
22.54,10.94,2.27,10.94,2.27,-2.27,-2.26,-1.39,8.68,8.68,8.68
22.76,10.94,2.26,10.94,2.26,-2.26,-2.26,-1.43,8.67,8.67,8.68
22.99,10.93,2.26,10.93,2.26,-2.26,-2.26,-1.47,8.67,8.67,8.67
23.22,10.93,2.26,10.93,2.26,-2.26,-2.26,-1.51,8.67,8.67,8.67
23.45,10.92,2.25,10.92,2.25,-2.26,-2.25,-1.56,8.66,8.66,8.67
23.69,10.92,2.25,10.91,2.25,-2.25,-2.25,-1.60,8.66,8.66,8.66
23.92,10.91,2.25,10.91,2.25,-2.25,-2.25,-1.65,8.66,8.66,8.66
24.16,10.90,2.25,10.90,2.25,-2.25,-2.25,-1.69,8.65,8.65,8.65
24.40,10.90,2.25,10.90,2.25,-2.25,-2.24,-1.74,8.64,8.64,8.64
24.65,10.89,2.25,10.89,2.25,-2.25,-2.24,-1.79,8.64,8.64,8.64
24.89,10.88,2.25,10.88,2.25,-2.25,-2.24,-1.84,8.63,8.63,8.63
25.14,10.88,2.25,10.88,2.25,-2.25,-2.24,-1.88,8.63,8.63,8.63
25.39,10.87,2.24,10.87,2.24,-2.24,-2.23,-1.93,8.62,8.62,8.62
25.65,10.86,2.24,10.86,2.24,-2.24,-2.23,-1.98,8.62,8.62,8.62
25.91,10.85,2.23,10.85,2.23,-2.23,-2.23,-2.03,8.62,8.62,8.62
26.16,10.84,2.23,10.84,2.23,-2.23,-2.22,-2.08,8.62,8.62,8.62
26.43,10.84,2.22,10.83,2.22,-2.22,-2.22,-2.13,8.62,8.62,8.61
26.69,10.83,2.21,10.83,2.21,-2.21,-2.21,-2.17,8.62,8.62,8.62
26.96,10.82,2.20,10.82,2.20,-2.20,-2.21,-2.22,8.62,8.62,8.62
27.23,10.81,2.19,10.81,2.19,-2.19,-2.20,-2.26,8.62,8.62,8.62
27.50,10.79,2.17,10.79,2.17,-2.18,-2.20,-2.31,8.62,8.62,8.62
27.77,10.78,2.16,10.78,2.16,-2.17,-2.19,-2.35,8.62,8.62,8.62
28.05,10.77,2.15,10.77,2.15,-2.16,-2.19,-2.39,8.61,8.61,8.62
28.33,10.76,2.15,10.76,2.15,-2.15,-2.18,-2.43,8.61,8.61,8.61
28.62,10.75,2.14,10.75,2.14,-2.14,-2.17,-2.46,8.60,8.60,8.61
28.90,10.73,2.14,10.73,2.14,-2.13,-2.17,-2.49,8.60,8.60,8.60
29.19,10.72,2.13,10.72,2.13,-2.13,-2.16,-2.53,8.59,8.59,8.59
29.48,10.71,2.12,10.71,2.12,-2.12,-2.15,-2.55,8.58,8.58,8.58
29.78,10.69,2.12,10.69,2.12,-2.12,-2.15,-2.58,8.57,8.57,8.57
30.08,10.68,2.11,10.68,2.11,-2.11,-2.14,-2.59,8.57,8.57,8.57
30.38,10.66,2.10,10.66,2.10,-2.10,-2.13,-2.61,8.56,8.56,8.56
30.68,10.65,2.10,10.65,2.10,-2.10,-2.13,-2.62,8.55,8.55,8.55
30.99,10.63,2.09,10.63,2.09,-2.09,-2.12,-2.63,8.54,8.54,8.54
31.30,10.61,2.08,10.61,2.08,-2.08,-2.11,-2.64,8.53,8.53,8.53
31.61,10.60,2.08,10.60,2.08,-2.08,-2.10,-2.64,8.52,8.52,8.52
31.93,10.58,2.07,10.58,2.07,-2.07,-2.09,-2.63,8.51,8.51,8.51
32.24,10.56,2.07,10.56,2.07,-2.07,-2.08,-2.63,8.50,8.50,8.50
32.57,10.55,2.06,10.55,2.06,-2.06,-2.08,-2.62,8.49,8.49,8.49
32.89,10.53,2.06,10.53,2.06,-2.05,-2.07,-2.60,8.48,8.47,8.47
33.22,10.51,2.05,10.51,2.05,-2.05,-2.06,-2.59,8.46,8.46,8.46
33.55,10.49,2.04,10.49,2.04,-2.04,-2.05,-2.57,8.45,8.45,8.45
33.89,10.47,2.03,10.47,2.03,-2.04,-2.04,-2.54,8.44,8.44,8.44
34.23,10.45,2.03,10.45,2.03,-2.03,-2.03,-2.51,8.42,8.42,8.43
34.57,10.43,2.02,10.43,2.02,-2.02,-2.02,-2.48,8.41,8.41,8.41
34.92,10.41,2.02,10.41,2.02,-2.02,-2.01,-2.45,8.40,8.40,8.40
35.27,10.39,2.01,10.39,2.01,-2.01,-2.00,-2.42,8.39,8.39,8.38
35.62,10.37,2.00,10.37,2.00,-1.99,-1.99,-2.39,8.38,8.38,8.37
35.97,10.35,1.99,10.35,1.99,-1.98,-1.98,-2.35,8.37,8.37,8.36
36.33,10.33,1.97,10.33,1.97,-1.97,-1.97,-2.31,8.35,8.35,8.36
36.70,10.30,1.95,10.30,1.95,-1.96,-1.96,-2.27,8.34,8.34,8.35
37.06,10.28,1.94,10.28,1.94,-1.95,-1.95,-2.23,8.33,8.33,8.34
37.43,10.26,1.93,10.26,1.94,-1.94,-1.93,-2.19,8.32,8.32,8.32
37.81,10.23,1.93,10.23,1.93,-1.92,-1.92,-2.15,8.31,8.31,8.30
38.19,10.21,1.92,10.21,1.92,-1.91,-1.91,-2.11,8.30,8.30,8.29
38.57,10.18,1.91,10.18,1.90,-1.90,-1.90,-2.07,8.29,8.29,8.28
38.95,10.16,1.89,10.16,1.89,-1.88,-1.89,-2.03,8.27,8.27,8.27
39.34,10.13,1.86,10.13,1.87,-1.87,-1.88,-1.99,8.26,8.26,8.27
39.74,10.11,1.85,10.11,1.85,-1.86,-1.86,-1.95,8.25,8.25,8.26
40.14,10.08,1.84,10.08,1.84,-1.84,-1.85,-1.91,8.24,8.24,8.24
40.54,10.05,1.83,10.05,1.83,-1.83,-1.84,-1.88,8.22,8.22,8.22
