frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.18,-3.65,4.18,-3.64,3.65,3.44,1.58,7.83,7.83,7.83
20.20,4.18,-3.65,4.18,-3.65,3.65,3.48,1.63,7.83,7.83,7.83
20.40,4.18,-3.65,4.18,-3.66,3.66,3.52,1.67,7.83,7.83,7.83
20.61,4.17,-3.66,4.17,-3.66,3.66,3.56,1.72,7.83,7.83,7.83
20.81,4.16,-3.67,4.17,-3.67,3.66,3.60,1.77,7.83,7.83,7.84
21.02,4.16,-3.67,4.16,-3.67,3.67,3.63,1.83,7.83,7.83,7.83
21.23,4.16,-3.68,4.16,-3.68,3.67,3.67,1.88,7.83,7.83,7.83
21.44,4.15,-3.68,4.15,-3.68,3.68,3.69,1.93,7.83,7.83,7.83
21.66,4.14,-3.68,4.14,-3.68,3.69,3.72,1.99,7.83,7.83,7.82
21.87,4.14,-3.68,4.13,-3.69,3.69,3.72,2.05,7.83,7.83,7.82
22.09,4.12,-3.69,4.12,-3.69,3.70,3.72,2.11,7.82,7.82,7.82
22.31,4.11,-3.71,4.11,-3.71,3.71,3.70,2.17,7.82,7.82,7.81
22.54,4.10,-3.72,4.10,-3.72,3.71,3.68,2.23,7.81,7.81,7.81
22.76,4.09,-3.72,4.09,-3.72,3.71,3.65,2.30,7.80,7.80,7.81
22.99,4.09,-3.72,4.09,-3.72,3.71,3.62,2.36,7.80,7.80,7.81
23.22,4.10,-3.71,4.10,-3.71,3.70,3.60,2.43,7.80,7.80,7.81
23.45,4.11,-3.69,4.11,-3.69,3.69,3.57,2.50,7.80,7.80,7.80
23.69,4.13,-3.67,4.13,-3.67,3.67,3.54,2.57,7.80,7.80,7.80
23.92,4.14,-3.65,4.14,-3.65,3.66,3.52,2.64,7.80,7.80,7.79
24.16,4.16,-3.63,4.15,-3.63,3.64,3.50,2.72,7.80,7.79,7.79
24.40,4.16,-3.62,4.16,-3.62,3.62,3.49,2.79,7.79,7.79,7.78
24.65,4.17,-3.61,4.17,-3.61,3.61,3.47,2.87,7.78,7.78,7.77
24.89,4.17,-3.60,4.17,-3.60,3.60,3.46,2.94,7.77,7.77,7.77
25.14,4.17,-3.59,4.17,-3.59,3.59,3.45,3.02,7.76,7.76,7.76
25.39,4.18,-3.58,4.18,-3.58,3.57,3.44,3.10,7.75,7.75,7.76
25.65,4.19,-3.57,4.19,-3.57,3.56,3.43,3.17,7.75,7.75,7.76
25.91,4.20,-3.55,4.20,-3.55,3.55,3.43,3.25,7.75,7.75,7.75
26.16,4.22,-3.53,4.22,-3.53,3.54,3.42,3.33,7.75,7.75,7.75
26.43,4.23,-3.52,4.23,-3.52,3.52,3.42,3.41,7.75,7.75,7.75
26.69,4.25,-3.50,4.25,-3.50,3.50,3.42,3.48,7.75,7.75,7.75
26.96,4.26,-3.49,4.26,-3.49,3.49,3.41,3.56,7.75,7.75,7.75
27.23,4.28,-3.48,4.28,-3.48,3.47,3.41,3.63,7.75,7.75,7.75
27.50,4.29,-3.46,4.29,-3.46,3.46,3.41,3.70,7.75,7.75,7.76
27.77,4.31,-3.45,4.31,-3.45,3.45,3.41,3.77,7.75,7.75,7.75
28.05,4.32,-3.43,4.32,-3.43,3.44,3.41,3.84,7.75,7.75,7.75
28.33,4.32,-3.42,4.32,-3.42,3.43,3.41,3.90,7.75,7.75,7.75
28.62,4.33,-3.41,4.33,-3.41,3.42,3.40,3.96,7.74,7.74,7.74
28.90,4.33,-3.41,4.32,-3.41,3.41,3.40,4.02,7.74,7.73,7.73
29.19,4.32,-3.40,4.32,-3.40,3.40,3.40,4.07,7.72,7.72,7.73
29.48,4.31,-3.40,4.31,-3.40,3.40,3.40,4.12,7.71,7.71,7.72
29.78,4.31,-3.40,4.31,-3.40,3.40,3.40,4.16,7.70,7.71,7.71
30.08,4.31,-3.40,4.31,-3.39,3.39,3.40,4.20,7.70,7.70,7.70
30.38,4.30,-3.39,4.30,-3.39,3.39,3.40,4.23,7.70,7.70,7.69
30.68,4.30,-3.39,4.29,-3.39,3.40,3.40,4.25,7.69,7.69,7.68
30.99,4.28,-3.39,4.28,-3.39,3.40,3.40,4.28,7.68,7.68,7.67
31.30,4.27,-3.40,4.27,-3.40,3.40,3.40,4.29,7.67,7.67,7.66
31.61,4.25,-3.41,4.25,-3.41,3.40,3.40,4.30,7.65,7.65,7.65
31.93,4.23,-3.42,4.23,-3.41,3.40,3.40,4.30,7.63,7.63,7.64
32.24,4.22,-3.41,4.22,-3.41,3.40,3.40,4.30,7.62,7.62,7.63
32.57,4.21,-3.41,4.22,-3.41,3.40,3.40,4.29,7.61,7.61,7.62
32.89,4.22,-3.39,4.22,-3.39,3.39,3.40,4.28,7.61,7.61,7.61
33.22,4.22,-3.38,4.22,-3.38,3.38,3.40,4.26,7.61,7.61,7.60
33.55,4.22,-3.36,4.22,-3.36,3.38,3.40,4.23,7.60,7.60,7.59
33.89,4.22,-3.36,4.22,-3.36,3.37,3.40,4.21,7.59,7.59,7.57
34.23,4.21,-3.36,4.21,-3.36,3.36,3.40,4.18,7.57,7.57,7.56
34.57,4.19,-3.36,4.19,-3.36,3.35,3.40,4.14,7.54,7.54,7.55
34.92,4.18,-3.35,4.18,-3.35,3.34,3.40,4.10,7.52,7.52,7.53
35.27,4.17,-3.34,4.17,-3.34,3.33,3.40,4.06,7.50,7.51,7.52
35.62,4.18,-3.33,4.18,-3.33,3.32,3.40,4.02,7.50,7.50,7.50
35.97,4.19,-3.31,4.19,-3.31,3.31,3.40,3.97,7.50,7.50,7.50
36.33,4.20,-3.29,4.20,-3.29,3.30,3.40,3.93,7.50,7.50,7.49
36.70,4.21,-3.28,4.21,-3.28,3.29,3.40,3.88,7.49,7.49,7.49
37.06,4.20,-3.27,4.20,-3.27,3.28,3.40,3.83,7.49,7.48,7.48
37.43,4.19,-3.27,4.19,-3.27,3.28,3.40,3.78,7.47,7.47,7.46
37.81,4.16,-3.27,4.16,-3.27,3.28,3.40,3.74,7.45,7.45,7.44
38.19,4.14,-3.28,4.14,-3.28,3.28,3.40,3.69,7.42,7.42,7.42
38.57,4.12,-3.29,4.12,-3.29,3.28,3.40,3.64,7.40,7.40,7.41
38.95,4.11,-3.30,4.11,-3.30,3.28,3.40,3.60,7.39,7.39,7.41
39.34,4.10,-3.30,4.10,-3.30,3.28,3.40,3.55,7.38,7.39,7.40
39.74,4.10,-3.29,4.10,-3.29,3.28,3.39,3.51,7.38,7.38,7.39
40.14,4.10,-3.28,4.10,-3.28,3.28,3.39,3.47,7.38,7.38,7.38
40.54,4.10,-3.26,4.09,-3.26,3.28,3.39,3.43,7.38,7.37,7.36
40.94,4.08,-3.26,4.08,-3.26,3.28,3.39,3.39,7.36,7.36,7.34
41.35,4.06,-3.27,4.06,-3.27,3.28,3.39,3.35,7.34,7.34,7.33
41.76,4.03,-3.29,4.03,-3.28,3.29,3.39,3.32,7.31,7.31,7.31
42.18,3.99,-3.30,3.99,-3.30,3.29,3.39,3.28,7.28,7.28,7.29
42.60,3.96,-3.30,3.97,-3.30,3.29,3.38,3.25,7.25,7.26,7.27
43.03,3.94,-3.30,3.94,-3.30,3.29,3.38,3.23,7.23,7.23,7.24
43.46,3.93,-3.29,3.93,-3.29,3.28,3.38,3.20,7.21,7.21,7.22
43.90,3.93,-3.28,3.93,-3.28,3.27,3.38,3.18,7.20,7.20,7.21
44.33,3.93,-3.26,3.93,-3.26,3.25,3.38,3.16,7.19,7.19,7.19
44.78,3.94,-3.23,3.94,-3.23,3.24,3.37,3.14,7.17,7.17,7.17
45.23,3.94,-3.21,3.94,-3.21,3.22,3.37,3.13,7.16,7.16,7.15
45.68,3.94,-3.19,3.94,-3.19,3.20,3.37,3.11,7.14,7.14,7.13
46.13,3.93,-3.18,3.93,-3.18,3.19,3.37,3.10,7.13,7.12,7.11
46.60,3.92,-3.18,3.92,-3.18,3.18,3.36,3.09,7.10,7.10,7.10
47.06,3.90,-3.18,3.90,-3.18,3.18,3.36,3.09,7.08,7.08,7.08
47.53,3.88,-3.19,3.88,-3.19,3.18,3.36,3.09,7.06,7.06,7.07
48.01,3.86,-3.19,3.86,-3.19,3.18,3.35,3.08,7.04,7.04,7.05
48.49,3.84,-3.18,3.84,-3.19,3.18,3.35,3.08,7.02,7.02,7.03
