frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.49,1.68,12.49,1.68,-1.70,0.06,-0.14,10.79,10.79,10.80
20.20,12.51,1.62,12.51,1.62,-1.63,0.06,-0.15,10.88,10.88,10.89
20.40,12.53,1.56,12.53,1.56,-1.56,0.06,-0.15,10.97,10.97,10.97
20.61,12.54,1.50,12.54,1.50,-1.49,0.06,-0.16,11.06,11.06,11.05
20.81,12.55,1.43,12.55,1.43,-1.41,0.06,-0.16,11.14,11.14,11.12
21.02,12.55,1.36,12.55,1.36,-1.34,0.07,-0.17,11.21,11.21,11.19
21.23,12.55,1.28,12.55,1.28,-1.27,0.07,-0.18,11.27,11.27,11.26
21.44,12.54,1.21,12.54,1.21,-1.21,0.07,-0.18,11.33,11.33,11.33
21.66,12.52,1.13,12.52,1.13,-1.13,0.07,-0.19,11.39,11.39,11.39
21.87,12.50,1.06,12.50,1.06,-1.06,0.07,-0.20,11.45,11.45,11.45
22.09,12.49,0.98,12.49,0.98,-0.99,0.08,-0.20,11.50,11.50,11.50
22.31,12.47,0.92,12.47,0.92,-0.92,0.08,-0.21,11.55,11.55,11.55
22.54,12.46,0.85,12.46,0.85,-0.86,0.08,-0.22,11.60,11.60,11.60
22.76,12.44,0.80,12.44,0.80,-0.80,0.08,-0.23,11.64,11.64,11.64
22.99,12.43,0.75,12.43,0.75,-0.75,0.08,-0.23,11.68,11.68,11.68
23.22,12.41,0.70,12.41,0.70,-0.69,0.08,-0.24,11.72,11.72,11.72
23.45,12.40,0.65,12.39,0.65,-0.64,0.09,-0.25,11.75,11.75,11.75
23.69,12.37,0.60,12.37,0.60,-0.60,0.09,-0.26,11.78,11.78,11.77
23.92,12.35,0.56,12.35,0.56,-0.55,0.09,-0.27,11.80,11.80,11.79
24.16,12.32,0.51,12.32,0.51,-0.50,0.09,-0.28,11.81,11.81,11.81
24.40,12.28,0.46,12.28,0.46,-0.46,0.10,-0.28,11.82,11.82,11.82
24.65,12.24,0.42,12.24,0.42,-0.42,0.10,-0.29,11.82,11.82,11.83
24.89,12.21,0.38,12.21,0.38,-0.39,0.10,-0.30,11.82,11.82,11.83
25.14,12.18,0.35,12.18,0.35,-0.36,0.10,-0.31,11.82,11.82,11.82
25.39,12.15,0.33,12.15,0.33,-0.34,0.11,-0.32,11.81,11.81,11.82
25.65,12.13,0.32,12.13,0.32,-0.33,0.11,-0.33,11.80,11.80,11.80
25.91,12.10,0.32,12.11,0.32,-0.32,0.11,-0.33,11.79,11.79,11.79
26.16,12.08,0.32,12.08,0.32,-0.31,0.12,-0.34,11.77,11.77,11.77
26.43,12.06,0.32,12.06,0.32,-0.31,0.12,-0.35,11.75,11.75,11.74
26.69,12.02,0.31,12.02,0.31,-0.30,0.12,-0.35,11.72,11.72,11.71
26.96,11.99,0.31,11.99,0.31,-0.30,0.12,-0.36,11.69,11.69,11.68
27.23,11.94,0.30,11.94,0.30,-0.30,0.13,-0.37,11.65,11.65,11.65
27.50,11.90,0.29,11.90,0.29,-0.29,0.13,-0.37,11.61,11.61,11.61
27.77,11.86,0.28,11.86,0.28,-0.29,0.14,-0.37,11.57,11.57,11.58
28.05,11.82,0.28,11.82,0.28,-0.29,0.14,-0.38,11.53,11.53,11.54
28.33,11.78,0.28,11.78,0.28,-0.28,0.14,-0.38,11.50,11.50,11.50
28.62,11.75,0.28,11.75,0.28,-0.28,0.15,-0.38,11.47,11.47,11.47
28.90,11.72,0.28,11.72,0.28,-0.28,0.15,-0.38,11.44,11.44,11.44
29.19,11.69,0.28,11.69,0.28,-0.27,0.16,-0.38,11.42,11.42,11.41
29.48,11.66,0.27,11.66,0.27,-0.26,0.16,-0.37,11.39,11.39,11.38
29.78,11.62,0.26,11.62,0.26,-0.25,0.16,-0.37,11.37,11.37,11.36
30.08,11.58,0.24,11.58,0.24,-0.24,0.17,-0.36,11.35,11.35,11.34
30.38,11.54,0.21,11.54,0.21,-0.21,0.17,-0.36,11.33,11.33,11.33
30.68,11.50,0.18,11.50,0.18,-0.19,0.18,-0.35,11.32,11.32,11.32
30.99,11.47,0.16,11.47,0.16,-0.16,0.18,-0.34,11.31,11.31,11.31
31.30,11.44,0.13,11.44,0.13,-0.13,0.19,-0.32,11.31,11.31,11.31
31.61,11.41,0.09,11.41,0.09,-0.09,0.20,-0.31,11.32,11.32,11.31
31.93,11.37,0.06,11.37,0.06,-0.05,0.20,-0.29,11.32,11.32,11.32
32.24,11.34,0.01,11.34,0.01,-0.01,0.21,-0.28,11.33,11.33,11.32
32.57,11.30,-0.03,11.30,-0.03,0.03,0.21,-0.26,11.34,11.34,11.34
32.89,11.27,-0.08,11.27,-0.08,0.07,0.22,-0.24,11.35,11.35,11.35
33.22,11.24,-0.12,11.24,-0.12,0.12,0.23,-0.21,11.36,11.36,11.36
33.55,11.21,-0.16,11.21,-0.16,0.16,0.24,-0.19,11.37,11.37,11.38
33.89,11.19,-0.20,11.19,-0.20,0.20,0.24,-0.16,11.39,11.39,11.39
34.23,11.17,-0.23,11.17,-0.23,0.23,0.25,-0.14,11.41,11.41,11.41
34.57,11.16,-0.26,11.16,-0.26,0.26,0.26,-0.11,11.42,11.42,11.42
34.92,11.14,-0.29,11.14,-0.29,0.29,0.27,-0.08,11.44,11.44,11.44
35.27,11.13,-0.32,11.13,-0.32,0.32,0.28,-0.05,11.45,11.45,11.45
35.62,11.11,-0.35,11.11,-0.35,0.35,0.28,-0.01,11.46,11.46,11.46
35.97,11.09,-0.38,11.10,-0.38,0.38,0.29,0.02,11.47,11.47,11.47
36.33,11.08,-0.40,11.08,-0.40,0.40,0.30,0.06,11.48,11.48,11.48
36.70,11.06,-0.42,11.06,-0.42,0.42,0.31,0.09,11.48,11.48,11.48
37.06,11.04,-0.44,11.04,-0.45,0.45,0.33,0.13,11.49,11.49,11.49
37.43,11.02,-0.47,11.02,-0.47,0.47,0.34,0.17,11.49,11.49,11.49
37.81,11.00,-0.49,11.00,-0.49,0.49,0.35,0.21,11.49,11.49,11.49
38.19,10.98,-0.51,10.98,-0.51,0.51,0.36,0.24,11.49,11.49,11.49
38.57,10.96,-0.53,10.96,-0.53,0.53,0.37,0.29,11.49,11.49,11.49
38.95,10.94,-0.55,10.94,-0.55,0.55,0.39,0.33,11.48,11.48,11.48
39.34,10.91,-0.57,10.91,-0.57,0.57,0.40,0.37,11.48,11.48,11.48
39.74,10.89,-0.59,10.89,-0.59,0.59,0.42,0.41,11.47,11.47,11.47
40.14,10.86,-0.61,10.86,-0.61,0.61,0.43,0.46,11.47,11.47,11.47
40.54,10.83,-0.63,10.83,-0.63,0.63,0.45,0.50,11.46,11.46,11.46
40.94,10.80,-0.65,10.80,-0.65,0.65,0.46,0.55,11.45,11.45,11.45
41.35,10.78,-0.67,10.78,-0.67,0.67,0.48,0.59,11.44,11.44,11.44
41.76,10.75,-0.69,10.74,-0.69,0.69,0.50,0.64,11.43,11.43,11.43
