frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,15.97,3.75,15.97,3.75,-3.76,-3.54,-1.03,12.22,12.22,12.23
20.20,15.98,3.66,15.98,3.66,-3.67,-3.64,-1.06,12.31,12.31,12.31
20.40,15.98,3.58,15.98,3.58,-3.58,-3.74,-1.09,12.40,12.40,12.39
20.61,15.97,3.50,15.97,3.50,-3.49,-3.70,-1.12,12.48,12.48,12.47
20.81,15.96,3.41,15.96,3.41,-3.40,-3.66,-1.16,12.56,12.56,12.55
21.02,15.94,3.33,15.95,3.33,-3.32,-3.53,-1.19,12.63,12.63,12.62
21.23,15.93,3.24,15.92,3.24,-3.23,-3.39,-1.23,12.70,12.69,12.69
21.44,15.90,3.15,15.90,3.15,-3.14,-3.22,-1.27,12.76,12.76,12.75
21.66,15.87,3.06,15.87,3.06,-3.05,-3.05,-1.30,12.82,12.82,12.81
21.87,15.84,2.96,15.84,2.96,-2.96,-2.91,-1.35,12.87,12.87,12.87
22.09,15.80,2.87,15.80,2.87,-2.88,-2.76,-1.39,12.93,12.93,12.93
22.31,15.77,2.79,15.77,2.79,-2.79,-2.64,-1.43,12.97,12.97,12.98
22.54,15.73,2.71,15.73,2.71,-2.71,-2.53,-1.47,13.02,13.02,13.02
22.76,15.70,2.63,15.70,2.63,-2.64,-2.45,-1.51,13.06,13.06,13.07
22.99,15.67,2.57,15.67,2.57,-2.58,-2.38,-1.56,13.10,13.10,13.11
23.22,15.65,2.51,15.65,2.51,-2.52,-2.33,-1.61,13.13,13.13,13.14
23.45,15.63,2.46,15.63,2.46,-2.46,-2.28,-1.65,13.17,13.17,13.17
23.69,15.61,2.41,15.61,2.41,-2.41,-2.25,-1.70,13.20,13.20,13.19
23.92,15.59,2.37,15.58,2.37,-2.36,-2.23,-1.75,13.22,13.22,13.22
24.16,15.56,2.32,15.56,2.32,-2.31,-2.22,-1.80,13.24,13.24,13.23
24.40,15.52,2.28,15.52,2.28,-2.26,-2.21,-1.85,13.26,13.26,13.24
24.65,15.48,2.23,15.48,2.23,-2.22,-2.21,-1.90,13.26,13.26,13.25
24.89,15.43,2.18,15.43,2.18,-2.18,-2.21,-1.95,13.25,13.25,13.25
25.14,15.38,2.14,15.38,2.14,-2.14,-2.21,-2.00,13.24,13.24,13.25
25.39,15.34,2.10,15.34,2.10,-2.12,-2.22,-2.05,13.22,13.23,13.24
25.65,15.31,2.08,15.31,2.08,-2.10,-2.24,-2.10,13.21,13.21,13.23
25.91,15.29,2.08,15.29,2.08,-2.10,-2.25,-2.16,13.19,13.19,13.21
26.16,15.28,2.09,15.29,2.10,-2.11,-2.26,-2.21,13.17,13.18,13.19
26.43,15.29,2.12,15.29,2.12,-2.13,-2.28,-2.26,13.16,13.16,13.16
26.69,15.29,2.15,15.29,2.16,-2.15,-2.29,-2.31,13.14,13.14,13.14
26.96,15.29,2.19,15.29,2.19,-2.17,-2.30,-2.35,13.12,13.12,13.10
27.23,15.29,2.22,15.29,2.22,-2.20,-2.32,-2.40,13.09,13.09,13.07
27.50,15.27,2.23,15.27,2.23,-2.22,-2.33,-2.44,13.05,13.05,13.04
27.77,15.24,2.24,15.24,2.24,-2.24,-2.34,-2.49,13.01,13.01,13.00
28.05,15.21,2.25,15.21,2.25,-2.25,-2.34,-2.53,12.96,12.96,12.96
28.33,15.18,2.25,15.18,2.25,-2.26,-2.34,-2.56,12.92,12.92,12.93
28.62,15.15,2.26,15.16,2.26,-2.27,-2.35,-2.60,12.88,12.88,12.90
28.90,15.14,2.27,15.14,2.27,-2.29,-2.34,-2.63,12.85,12.85,12.86
29.19,15.12,2.29,15.13,2.29,-2.30,-2.34,-2.66,12.82,12.83,12.83
29.48,15.12,2.31,15.12,2.31,-2.31,-2.33,-2.68,12.81,12.81,12.81
29.78,15.11,2.33,15.11,2.33,-2.32,-2.32,-2.70,12.79,12.79,12.79
30.08,15.10,2.34,15.11,2.34,-2.33,-2.30,-2.71,12.78,12.78,12.77
30.38,15.09,2.34,15.09,2.34,-2.33,-2.28,-2.73,12.77,12.77,12.75
30.68,15.07,2.33,15.07,2.33,-2.31,-2.26,-2.73,12.76,12.76,12.74
30.99,15.04,2.30,15.04,2.30,-2.29,-2.23,-2.73,12.75,12.75,12.74
31.30,15.00,2.26,15.00,2.26,-2.25,-2.20,-2.73,12.75,12.74,12.73
31.61,14.95,2.21,14.95,2.21,-2.21,-2.17,-2.72,12.74,12.74,12.74
31.93,14.89,2.15,14.89,2.15,-2.16,-2.14,-2.71,12.74,12.74,12.74
32.24,14.84,2.09,14.84,2.09,-2.10,-2.10,-2.69,12.74,12.74,12.75
32.57,14.79,2.03,14.79,2.03,-2.04,-2.06,-2.67,12.75,12.75,12.76
32.89,14.74,1.97,14.74,1.97,-1.98,-2.02,-2.64,12.76,12.76,12.77
33.22,14.71,1.92,14.71,1.92,-1.92,-1.98,-2.61,12.78,12.78,12.79
33.55,14.67,1.87,14.67,1.87,-1.86,-1.94,-2.57,12.81,12.81,12.80
33.89,14.63,1.82,14.63,1.82,-1.81,-1.90,-2.53,12.82,12.82,12.82
34.23,14.60,1.77,14.60,1.76,-1.76,-1.85,-2.49,12.84,12.84,12.83
34.57,14.56,1.71,14.56,1.71,-1.72,-1.81,-2.44,12.84,12.84,12.85
34.92,14.53,1.67,14.53,1.67,-1.68,-1.76,-2.39,12.85,12.85,12.86
35.27,14.50,1.63,14.50,1.63,-1.65,-1.72,-2.34,12.86,12.86,12.87
35.62,14.49,1.61,14.49,1.61,-1.62,-1.67,-2.28,12.87,12.87,12.89
35.97,14.49,1.59,14.49,1.59,-1.60,-1.63,-2.23,12.89,12.89,12.89
36.33,14.48,1.58,14.48,1.58,-1.58,-1.59,-2.17,12.91,12.90,12.90
36.70,14.48,1.57,14.48,1.57,-1.56,-1.54,-2.11,12.92,12.92,12.91
37.06,14.47,1.55,14.46,1.55,-1.55,-1.50,-2.05,12.92,12.92,12.91
37.43,14.45,1.53,14.45,1.53,-1.53,-1.46,-1.98,12.92,12.92,12.91
37.81,14.42,1.51,14.42,1.51,-1.51,-1.41,-1.92,12.91,12.92,12.91
38.19,14.39,1.48,14.39,1.48,-1.48,-1.37,-1.85,12.92,12.91,12.91
38.57,14.36,1.45,14.36,1.45,-1.44,-1.33,-1.79,12.92,12.91,12.91
38.95,14.32,1.41,14.32,1.41,-1.40,-1.29,-1.72,12.91,12.91,12.91
39.34,14.27,1.37,14.27,1.37,-1.36,-1.26,-1.66,12.91,12.91,12.90
39.74,14.21,1.32,14.21,1.32,-1.31,-1.22,-1.59,12.90,12.90,12.90
40.14,14.15,1.26,14.15,1.26,-1.26,-1.18,-1.53,12.89,12.89,12.89
40.54,14.09,1.21,14.09,1.21,-1.21,-1.15,-1.46,12.88,12.88,12.88
40.94,14.03,1.16,14.03,1.16,-1.16,-1.11,-1.40,12.87,12.87,12.87
41.35,13.97,1.11,13.97,1.11,-1.12,-1.08,-1.33,12.86,12.86,12.87
41.76,13.92,1.07,13.92,1.07,-1.08,-1.05,-1.27,12.85,12.85,12.85
42.18,13.88,1.04,13.88,1.04,-1.04,-1.02,-1.20,12.84,12.84,12.84
42.60,13.84,1.01,13.84,1.01,-1.01,-0.99,-1.14,12.82,12.82,12.83
43.03,13.80,0.99,13.80,0.99,-0.99,-0.96,-1.08,12.81,12.81,12.82
43.46,13.77,0.97,13.77,0.97,-0.98,-0.93,-1.02,12.80,12.80,12.80
43.90,13.74,0.96,13.74,0.96,-0.96,-0.90,-0.96,12.78,12.78,12.78
44.33,13.72,0.95,13.71,0.95,-0.95,-0.87,-0.89,12.77,12.77,12.76
44.78,13.68,0.94,13.68,0.94,-0.94,-0.85,-0.84,12.75,12.75,12.74
45.23,13.65,0.93,13.65,0.93,-0.92,-0.82,-0.78,12.73,12.73,12.72
45.68,13.61,0.91,13.61,0.91,-0.91,-0.80,-0.72,12.70,12.70,12.70
46.13,13.56,0.89,13.56,0.89,-0.89,-0.77,-0.66,12.67,12.67,12.67
46.60,13.52,0.87,13.52,0.87,-0.87,-0.75,-0.60,12.65,12.65,12.65
47.06,13.47,0.85,13.47,0.85,-0.85,-0.73,-0.55,12.62,12.62,12.62
47.53,13.42,0.82,13.42,0.82,-0.82,-0.71,-0.49,12.60,12.60,12.60
48.01,13.37,0.80,13.37,0.80,-0.79,-0.68,-0.44,12.58,12.58,12.57
48.49,13.31,0.76,13.31,0.76,-0.75,-0.66,-0.38,12.56,12.56,12.55
48.97,13.24,0.72,13.24,0.72,-0.71,-0.64,-0.33,12.53,12.53,12.52
49.46,13.17,0.68,13.17,0.68,-0.67,-0.62,-0.28,12.50,12.50,12.49
49.96,13.09,0.63,13.10,0.63,-0.63,-0.60,-0.23,12.47,12.47,12.47
50.46,13.02,0.58,13.02,0.58,-0.59,-0.58,-0.18,12.43,12.43,12.44
50.96,12.95,0.53,12.95,0.54,-0.55,-0.56,-0.13,12.40,12.40,12.42
51.47,12.89,0.50,12.89,0.50,-0.51,-0.55,-0.08,12.38,12.38,12.39
51.99,12.84,0.47,12.84,0.47,-0.48,-0.53,-0.03,12.36,12.36,12.36
