frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,13.11,1.50,13.11,1.50,-1.51,0.10,-0.06,11.60,11.60,11.60
20.20,13.10,1.42,13.10,1.42,-1.42,0.10,-0.07,11.68,11.69,11.69
20.40,13.10,1.33,13.10,1.33,-1.33,0.11,-0.07,11.77,11.77,11.77
20.61,13.09,1.25,13.09,1.25,-1.24,0.11,-0.07,11.85,11.85,11.85
20.81,13.08,1.16,13.08,1.16,-1.15,0.11,-0.07,11.93,11.93,11.92
21.02,13.07,1.08,13.07,1.08,-1.07,0.11,-0.08,11.99,12.00,11.99
21.23,13.05,0.99,13.05,0.99,-0.99,0.12,-0.08,12.06,12.06,12.06
21.44,13.04,0.91,13.04,0.91,-0.92,0.12,-0.08,12.12,12.12,12.13
21.66,13.03,0.84,13.03,0.84,-0.84,0.12,-0.09,12.19,12.19,12.19
21.87,13.02,0.77,13.02,0.77,-0.77,0.12,-0.09,12.25,12.25,12.25
22.09,13.00,0.70,13.00,0.70,-0.70,0.13,-0.10,12.30,12.30,12.30
22.31,12.99,0.64,12.99,0.64,-0.64,0.13,-0.10,12.35,12.35,12.35
22.54,12.98,0.58,12.98,0.58,-0.58,0.13,-0.10,12.40,12.40,12.40
22.76,12.96,0.52,12.96,0.52,-0.52,0.14,-0.11,12.44,12.44,12.44
22.99,12.94,0.46,12.94,0.46,-0.46,0.14,-0.11,12.48,12.48,12.48
23.22,12.92,0.41,12.92,0.41,-0.41,0.14,-0.12,12.51,12.51,12.51
23.45,12.90,0.36,12.90,0.36,-0.36,0.15,-0.12,12.54,12.54,12.54
23.69,12.88,0.31,12.88,0.31,-0.31,0.15,-0.13,12.57,12.57,12.57
23.92,12.86,0.27,12.86,0.27,-0.27,0.15,-0.13,12.59,12.59,12.59
24.16,12.84,0.23,12.84,0.24,-0.24,0.16,-0.13,12.60,12.61,12.61
