frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.12,-4.42,7.12,-4.42,4.47,3.62,1.74,11.60,11.60,11.54
20.20,7.14,-4.49,7.14,-4.49,4.50,3.83,1.79,11.63,11.63,11.62
20.40,7.16,-4.54,7.16,-4.54,4.52,4.03,1.85,11.68,11.68,11.71
20.61,7.20,-4.59,7.20,-4.58,4.54,4.28,1.90,11.74,11.74,11.78
20.81,7.26,-4.60,7.26,-4.60,4.56,4.53,1.96,11.82,11.82,11.86
21.02,7.33,-4.60,7.33,-4.60,4.57,4.79,2.01,11.90,11.90,11.93
21.23,7.41,-4.59,7.41,-4.59,4.58,5.06,2.07,12.00,11.99,12.00
21.44,7.49,-4.58,7.49,-4.58,4.59,5.29,2.13,12.08,12.08,12.07
21.66,7.56,-4.57,7.56,-4.57,4.59,5.52,2.20,12.15,12.15,12.13
21.87,7.62,-4.57,7.62,-4.57,4.59,5.62,2.26,12.21,12.20,12.19
22.09,7.66,-4.58,7.66,-4.58,4.59,5.71,2.33,12.25,12.25,12.24
22.31,7.70,-4.59,7.70,-4.59,4.59,5.65,2.39,12.29,12.29,12.29
22.54,7.73,-4.60,7.73,-4.60,4.60,5.57,2.46,12.33,12.33,12.34
22.76,7.77,-4.61,7.77,-4.61,4.60,5.40,2.54,12.37,12.37,12.38
22.99,7.80,-4.62,7.80,-4.61,4.60,5.22,2.61,12.40,12.41,12.42
23.22,7.84,-4.61,7.85,-4.61,4.60,5.01,2.68,12.44,12.44,12.45
23.45,7.89,-4.59,7.89,-4.59,4.59,4.81,2.76,12.48,12.48,12.48
23.69,7.93,-4.58,7.93,-4.58,4.58,4.63,2.84,12.51,12.51,12.51
23.92,7.97,-4.56,7.97,-4.56,4.57,4.46,2.92,12.54,12.54,12.53
24.16,8.00,-4.54,8.00,-4.54,4.55,4.32,3.00,12.55,12.55,12.54
24.40,8.03,-4.53,8.03,-4.53,4.54,4.19,3.08,12.56,12.56,12.56
24.65,8.05,-4.52,8.05,-4.52,4.52,4.09,3.17,12.56,12.56,12.56
24.89,8.07,-4.50,8.07,-4.50,4.50,4.00,3.25,12.56,12.56,12.56
25.14,8.08,-4.48,8.08,-4.48,4.47,3.93,3.33,12.56,12.56,12.56
25.39,8.10,-4.45,8.10,-4.45,4.45,3.86,3.42,12.55,12.55,12.55
25.65,8.12,-4.42,8.12,-4.42,4.42,3.82,3.51,12.54,12.54,12.54
25.91,8.13,-4.39,8.13,-4.39,4.39,3.77,3.59,12.52,12.52,12.52
26.16,8.15,-4.35,8.15,-4.35,4.35,3.74,3.68,12.50,12.50,12.50
26.43,8.16,-4.31,8.16,-4.31,4.32,3.72,3.76,12.48,12.48,12.48
26.69,8.18,-4.27,8.18,-4.27,4.27,3.70,3.85,12.45,12.45,12.45
26.96,8.19,-4.23,8.19,-4.23,4.23,3.68,3.93,12.42,12.42,12.42
27.23,8.20,-4.19,8.20,-4.19,4.18,3.67,4.01,12.38,12.38,12.38
27.50,8.21,-4.14,8.21,-4.14,4.14,3.66,4.09,12.35,12.35,12.35
27.77,8.22,-4.09,8.22,-4.09,4.09,3.66,4.17,12.31,12.31,12.31
